LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752006548.323378,106220.000,15506,1,EA,1,100,0.814364
1752006548.390378,106287.000,15522,1,EA,1,100,0.814745
1752006548.456878,106353.500,15537,2,EA,1,100,0.814651
1752006548.523378,106420.000,15537,2,EA,1,100,0.814840
1752006548.590378,106487.000,15554,1,EA,1,100,0.815605
1752006548.656878,106553.500,15571,2,EA,1,100,0.815987
1752006548.723378,106620.000,15571,2,EA,1,100,0.816178
1752006548.790378,106687.000,15587,1,EA,1,100,0.816752
1752006548.856878,106753.500,15613,2,EA,1,100,0.817041
1752006548.923378,106820.000,15613,2,EA,1,100,0.817136
1752006548.990378,106887.000,15630,1,EA,1,100,0.817136
1752006549.056878,106953.500,15647,2,EA,1,100,0.816944
1752006549.123378,107020.000,15647,2,EA,1,100,0.817520
1752006549.189878,107086.500,15664,2,EA,1,100,0.818096
1752006549.256378,107153.000,15664,2,EA,1,100,0.818096
1752006549.323378,107220.000,15681,1,EA,1,100,0.818385
1752006549.389878,107286.500,15695,2,EA,1,100,0.819252
1752006549.456378,107353.000,15695,2,EA,1,100,0.819155
1752006549.523378,107420.000,15712,1,EA,1,100,0.818673
1752006549.589878,107486.500,15729,2,EA,1,100,0.819155
1752006549.656378,107553.000,15729,2,EA,1,100,0.819348
1752006549.723378,107620.000,15748,1,EA,1,100,0.819445
1752006549.789878,107686.500,15762,2,EA,1,100,0.820507
1752006549.856378,107753.000,15762,2,EA,1,100,0.820894
1752006549.923378,107820.000,15780,1,EA,1,100,0.821281
1752006549.989878,107886.500,15796,2,EA,1,100,0.821669
1752006550.056377,107953.000,15796,2,EA,1,100,0.821475
1752006550.123377,108020.000,15813,1,EA,1,100,0.821669
1752006550.189877,108086.500,15828,2,EA,1,100,0.822056
1752006550.256377,108153.000,15828,2,EA,1,100,0.822736
1752006550.323377,108220.000,15845,1,EA,1,100,0.823223
1752006550.389877,108286.500,15863,2,EA,1,100,0.822931
1752006550.456377,108353.000,15863,2,EA,1,100,0.823126
1752006550.523377,108420.000,15880,1,EA,1,100,0.823613
1752006550.589877,108486.500,15895,2,EA,1,100,0.823613
1752006550.656377,108553.000,15895,2,EA,1,100,0.824197
1752006550.723377,108620.000,15912,1,EA,1,100,0.824588
1752006550.789877,108686.500,15928,2,EA,1,100,0.824784
1752006550.856377,108753.000,15928,2,EA,1,100,0.824784
1752006550.923377,108820.000,15946,1,EA,1,100,0.824784
1752006550.989877,108886.500,15961,2,EA,1,100,0.825566
1752006551.056377,108953.000,15961,2,EA,1,100,0.825859
1752006551.123377,109020.000,15979,1,EA,1,100,0.826350
1752006551.189877,109086.500,15996,2,EA,1,100,0.828218
1752006551.256377,109153.000,15996,2,EA,1,100,0.841735
1752006551.323377,109220.000,16013,1,EA,1,100,0.871227
1752006551.389877,109286.500,16030,2,EA,1,100,0.859079
1752006551.456377,109353.000,16030,2,EA,1,100,0.846236
1752006551.522877,109419.500,16047,2,EA,1,100,0.837785
1752006551.589377,109486.000,16047,2,EA,1,100,0.843060
1752006551.656377,109553.000,16063,1,EA,1,100,0.838592
1752006551.722877,109619.500,16080,2,EA,1,100,0.838794
1752006551.789377,109686.000,16080,2,EA,1,100,0.845003
1752006551.856377,109753.000,16096,1,EA,1,100,0.841837
1752006551.922877,109819.500,16114,2,EA,1,100,0.833771
1752006551.989377,109886.000,16114,2,EA,1,100,0.830886
1752006552.056377,109953.000,16130,1,EA,1,100,0.830193
1752006552.122877,110019.500,16147,2,EA,1,100,0.838087
1752006552.189377,110086.000,16147,2,EA,1,100,0.841124
1752006552.256377,110153.000,16164,1,EA,1,100,0.836979
1752006552.322877,110219.500,16179,2,EA,1,100,0.832675
1752006552.389376,110286.000,16179,2,EA,1,100,0.825370
1752006552.456376,110353.000,16195,1,EA,1,100,0.828809
1752006552.522876,110419.500,16213,2,EA,1,100,0.831184
1752006552.589376,110486.000,16213,2,EA,1,100,0.830688
1752006552.656376,110553.000,16229,1,EA,1,100,0.836878
1752006552.722876,110619.500,16244,2,EA,1,100,0.844491
1752006552.789376,110686.000,16244,2,EA,1,100,0.847782
1752006552.856376,110753.000,16260,1,EA,1,100,0.849541
1752006552.922876,110819.500,16280,2,EA,1,100,0.844696
1752006552.989376,110886.000,16280,2,EA,1,100,0.835372
