LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752778621.824858,499017.000,13966,2,AK,1,100,13206
1752778621.824858,499017.000,13966,2,AK,1,100,RD
1752778621.874359,499066.500,13969,2,AK,1,100,13967
1752778621.923859,499116.000,13969,2,AK,1,100,RD
1752778624.429872,501622.000,14823,2,AK,1,100,13967
1752778626.935886,504128.000,14823,2,AK,1,100,RD
1752778626.942886,504135.000,14826,2,AK,1,100,14824
1752778626.949886,504142.000,14826,2,AK,1,100,RD
1752778629.496400,506688.500,15673,2,AK,1,100,14824
1752778632.042913,509235.000,15673,2,AK,1,100,RD
1752778632.049913,509242.000,15676,2,AK,1,100,15674
1752778632.056913,509249.000,15676,2,AK,1,100,RD
1752778634.612927,511805.000,16548,2,AK,1,100,15674
1752778637.168941,514361.000,16548,2,AK,1,100,RD
1752778637.179941,514372.000,16551,2,AK,1,100,16549
1752778637.190941,514383.000,16551,2,AK,1,100,RD
1752778639.735955,516928.000,17408,2,AK,1,100,16549
1752778642.280969,519473.000,17408,2,AK,1,100,RD
1752778642.287969,519480.000,17411,2,AK,1,100,17409
1752778642.294969,519487.000,17411,2,AK,1,100,RD
1752778644.841482,522033.500,18252,2,AK,1,100,17409
1752778647.387996,524580.000,18252,2,AK,1,100,RD
1752778647.394496,524586.500,18255,2,AK,1,100,18253
1752778647.400996,524593.000,18255,2,AK,1,100,RD
1752778649.954010,527146.000,19133,2,AK,1,100,18253
1752778652.507024,529699.000,19133,2,AK,1,100,RD
1752778652.514024,529706.000,19136,2,AK,1,100,19134
1752778652.521024,529713.000,19136,2,AK,1,100,RD
1752778655.068037,532260.000,19994,2,AK,1,100,19134
1752778657.615051,534807.000,19994,2,AK,1,100,RD
1752778657.623051,534815.000,19997,2,AK,1,100,19995
1752778657.631051,534823.000,19997,2,AK,1,100,RD
1752778660.179065,537371.000,20852,2,AK,1,100,19995
1752778662.727079,539919.000,20852,2,AK,1,100,RD
1752778665.291592,542483.500,21717,2,AK,1,100,20853
1752778667.856106,545048.000,21717,2,AK,1,100,RD
1752778667.857106,545049.000,21719,2,AK,1,100,20853
1752778667.858106,545050.000,21719,2,AK,1,100,RD
1752778667.869106,545061.000,21722,2,AK,1,100,21720
1752778667.880106,545072.000,21722,2,AK,1,100,RD
1752778670.422120,547614.000,22575,2,AK,1,100,21720
1752778672.964134,550156.000,22575,2,AK,1,100,RD
1752778672.970634,550162.500,22578,2,AK,1,100,22576
1752778672.977134,550169.000,22578,2,AK,1,100,RD
1752778675.542648,552734.500,23449,2,AK,1,100,22576
1752778678.108161,555300.000,23449,2,AK,1,100,RD
1752778678.120661,555312.500,23452,2,AK,1,100,23450
1752778678.133162,555325.000,23452,2,AK,1,100,RD
1752778680.674675,557866.500,24312,2,AK,1,100,23450
1752778683.216189,560408.000,24312,2,AK,1,100,RD
1752778683.229189,560421.000,24315,2,AK,1,100,24313
1752778683.242189,560434.000,24315,2,AK,1,100,RD
1752778685.783703,562975.500,25171,2,AK,1,100,24313
1752778688.325216,565517.000,25171,2,AK,1,100,RD
1752778688.336216,565528.000,25174,2,AK,1,100,25172
1752778688.347217,565539.000,25174,2,AK,1,100,RD
1752778690.906730,568098.500,26043,2,AK,1,100,25172
1752778693.466244,570658.000,26043,2,AK,1,100,RD
1752778693.472744,570664.500,26046,2,AK,1,100,26044
1752778693.479244,570671.000,26046,2,AK,1,100,RD
1752778696.027258,573219.000,26915,2,AK,1,100,26044
1752778698.575272,575767.000,26915,2,AK,1,100,RD
1752778698.583272,575775.000,26918,2,AK,1,100,26916
1752778698.591272,575783.000,26918,2,AK,1,100,RD
1752778701.155285,578347.000,27793,2,AK,1,100,26916
1752778703.719299,580911.000,27793,2,AK,1,100,RD
1752778703.730299,580922.000,27796,2,AK,1,100,27794
1752778703.741299,580933.000,27796,2,AK,1,100,RD
1752778706.284313,583476.000,28662,2,AK,1,100,27794
1752778708.827327,586019.000,28662,2,AK,1,100,RD
1752778708.844327,586036.000,28665,2,AK,1,100,28663
1752778708.861327,586053.000,28665,2,AK,1,100,RD
1752778711.414841,588606.500,29544,2,AK,1,100,28663
1752778713.968354,591160.000,29544,2,AK,1,100,RD
1752778713.982855,591174.500,29547,2,AK,1,100,29545
1752778713.997355,591189.000,29547,2,AK,1,100,RD
1752778716.535868,593727.500,30406,2,AK,1,100,29545
1752778719.074382,596266.000,30406,2,AK,1,100,RD
1752778719.080382,596272.000,30409,2,AK,1,100,30407
1752778719.086382,596278.000,30409,2,AK,1,100,RD
1752778721.656396,598848.000,31275,2,AK,1,100,30407
1752778724.226410,601418.000,31275,2,AK,1,100,RD
1752778724.253410,601445.000,31278,2,AK,1,100,31276
1752778724.280410,601472.000,31278,2,AK,1,100,RD
1752778726.807424,603999.000,32068,2,AK,1,100,31276
1752778729.334437,606526.000,32068,2,AK,1,100,RD
1752778729.343937,606535.500,32071,2,AK,1,100,32069
1752778729.353437,606545.000,32071,2,AK,1,100,RD
1752778731.899451,609091.000,32905,2,AK,1,100,32069
1752778734.445465,611637.000,32905,2,AK,1,100,RD
1752778734.452465,611644.000,32908,2,AK,1,100,32906
1752778734.459465,611651.000,32908,2,AK,1,100,RD
1752778737.012978,614204.500,33746,2,AK,1,100,32906
1752778739.566492,616758.000,33746,2,AK,1,100,RD
1752778739.574992,616766.500,33749,2,AK,1,100,33747
1752778739.583492,616775.000,33749,2,AK,1,100,RD
1752778742.135006,619326.500,34588,2,AK,1,100,33747
1752778744.686520,621878.000,34588,2,AK,1,100,RD
1752778744.693020,621884.500,34591,2,AK,1,100,34589
1752778744.699520,621891.000,34591,2,AK,1,100,RD
1752778747.249034,624440.500,35425,2,AK,1,100,34589
1752778749.798547,626990.000,35425,2,AK,1,100,RD
1752778749.805547,626997.000,35428,2,AK,1,100,35426
1752778749.812547,627004.000,35428,2,AK,1,100,RD
1752778752.369061,629560.500,36263,2,AK,1,100,35426
1752778754.925575,632117.000,36263,2,AK,1,100,RD
1752778754.931575,632123.000,36266,2,AK,1,100,36264
1752778754.937575,632129.000,36266,2,AK,1,100,RD
1752778757.491089,634682.500,37103,2,AK,1,100,36264
1752778760.044602,637236.000,37103,2,AK,1,100,RD
1752778760.052603,637244.000,37106,2,AK,1,100,37104
1752778760.060603,637252.000,37106,2,AK,1,100,RD
1752778762.609116,639800.500,37948,2,AK,1,100,37104
1752778765.157630,642349.000,37948,2,AK,1,100,RD
1752778765.167130,642358.500,37951,2,AK,1,100,37949
1752778765.176630,642368.000,37951,2,AK,1,100,RD
1752778767.727144,644918.500,38788,2,AK,1,100,37949
1752778770.277658,647469.000,38788,2,AK,1,100,RD
1752778770.284158,647475.500,38791,2,AK,1,100,38789
1752778770.290658,647482.000,38791,2,AK,1,100,RD
1752778772.841171,650032.500,39627,2,AK,1,100,38789
1752778775.391685,652583.000,39627,2,AK,1,100,RD
1752778775.398185,652589.500,39630,2,AK,1,100,39628
1752778775.404685,652596.000,39630,2,AK,1,100,RD
1752778777.959199,655150.500,40467,2,AK,1,100,39628
1752778780.513713,657705.000,40467,2,AK,1,100,RD
1752778780.520713,657712.000,40470,2,AK,1,100,40468
1752778780.527713,657719.000,40470,2,AK,1,100,RD
1752778783.081726,660273.000,41311,2,AK,1,100,40468
1752778785.635740,662827.000,41311,2,AK,1,100,RD
1752778785.644740,662836.000,41314,2,AK,1,100,41312
1752778785.653740,662845.000,41314,2,AK,1,100,RD
1752778788.204254,665395.500,42152,2,AK,1,100,41312
1752778790.754768,667946.000,42152,2,AK,1,100,RD
1752778790.759268,667950.500,42155,2,AK,1,100,42153
1752778790.763768,667955.000,42155,2,AK,1,100,RD
1752778793.321282,670512.500,42991,2,AK,1,100,42153
1752778795.878795,673070.000,42991,2,AK,1,100,RD
1752778795.888795,673080.000,42994,2,AK,1,100,42992
1752778795.898795,673090.000,42994,2,AK,1,100,RD
1752778798.449809,675641.000,43833,2,AK,1,100,42992
1752778801.000823,678192.000,43833,2,AK,1,100,RD
1752778801.020823,678212.000,43836,2,AK,1,100,43834
1752778801.040823,678232.000,43836,2,AK,1,100,RD
1752778803.577337,680768.500,44670,2,AK,1,100,43834
1752778806.113850,683305.000,44670,2,AK,1,100,RD
1752778806.123351,683314.500,44673,2,AK,1,100,44671
1752778806.132851,683324.000,44673,2,AK,1,100,RD
1752778808.689864,685881.000,45507,2,AK,1,100,44671
1752778811.246878,688438.000,45507,2,AK,1,100,RD
1752778811.253378,688444.500,45510,2,AK,1,100,45508
1752778811.259878,688451.000,45510,2,AK,1,100,RD
1752778813.811892,691003.000,46351,2,AK,1,100,45508
1752778816.363906,693555.000,46351,2,AK,1,100,RD
1752778816.368906,693560.000,46354,2,AK,1,100,46352
1752778816.373906,693565.000,46354,2,AK,1,100,RD
1752778818.929919,696121.000,47190,2,AK,1,100,46352
1752778821.485933,698677.000,47190,2,AK,1,100,RD
1752778821.495433,698686.500,47193,2,AK,1,100,47191
1752778821.504933,698696.000,47193,2,AK,1,100,RD
1752778824.060447,701251.500,48032,2,AK,1,100,47191
1752778826.615961,703807.000,48032,2,AK,1,100,RD
1752778826.621461,703812.500,48035,2,AK,1,100,48033
1752778826.626961,703818.000,48035,2,AK,1,100,RD
1752778829.178975,706370.000,48871,2,AK,1,100,48033
1752778831.730988,708922.000,48871,2,AK,1,100,RD
1752778831.736988,708928.000,48874,2,AK,1,100,48872
1752778831.742988,708934.000,48874,2,AK,1,100,RD
1752778834.299002,711490.000,49710,2,AK,1,100,48872
1752778836.855016,714046.000,49710,2,AK,1,100,RD
1752778836.859516,714050.500,49713,2,AK,1,100,49711
1752778836.864016,714055.000,49713,2,AK,1,100,RD
1752778839.418030,716609.000,50549,2,AK,1,100,49711
1752778841.972044,719163.000,50549,2,AK,1,100,RD
1752778841.977544,719168.500,50552,2,AK,1,100,50550
1752778841.983044,719174.000,50552,2,AK,1,100,RD
1752778844.536057,721727.000,51388,2,AK,1,100,50550
1752778847.089071,724280.000,51388,2,AK,1,100,RD
1752778847.096071,724287.000,51391,2,AK,1,100,51389
1752778847.103071,724294.000,51391,2,AK,1,100,RD
1752778849.664085,726855.000,52227,2,AK,1,100,51389
1752778852.225099,729416.000,52227,2,AK,1,100,RD
1752778852.230099,729421.000,52230,2,AK,1,100,52228
1752778852.235099,729426.000,52230,2,AK,1,100,RD
1752778854.788612,731979.500,53067,2,AK,1,100,52228
1752778857.342126,734533.000,53067,2,AK,1,100,RD
1752778857.351126,734542.000,53070,2,AK,1,100,53068
1752778857.360126,734551.000,53070,2,AK,1,100,RD
1752778859.918640,737109.500,53906,2,AK,1,100,53068
1752778862.477154,739668.000,53906,2,AK,1,100,RD
1752778862.515154,739706.000,53909,2,AK,1,100,53907
1752778862.553154,739744.000,53909,2,AK,1,100,RD
1752778865.073668,742264.500,54745,2,AK,1,100,53907
1752778867.594181,744785.000,54745,2,AK,1,100,RD
1752778867.620182,744811.000,54748,2,AK,1,100,54746
1752778867.646182,744837.000,54748,2,AK,1,100,RD
1752778870.181195,747372.000,55585,2,AK,1,100,54746
1752778872.716209,749907.000,55585,2,AK,1,100,RD
1752778872.721709,749912.500,55588,2,AK,1,100,55586
