LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752778619.747847,496940,13629,1,BI,1,100,760
1752778620.427851,497620,13746,1,BI,1,100,680
1752778621.027854,498220,13849,1,BI,1,100,600
1752778621.907859,499100,13970,1,BI,1,100,880
1752778622.347861,499540,14057,1,BI,1,100,440
1752778623.227866,500420,14193,1,BI,1,100,880
1752778623.880869,501073,14308,1,BI,1,100,640
1752778624.560873,501753,14430,1,BI,1,100,680
1752778625.200877,502393,14533,1,BI,1,100,640
1752778625.800880,502993,14634,1,BI,1,100,600
1752778626.480883,503673,14739,1,BI,1,100,680
1752778627.200887,504393,14878,1,BI,1,100,720
1752778627.920891,505113,14995,1,BI,1,100,720
1752778628.613895,505806,15098,1,BI,1,100,680
1752778629.053897,506246,15185,1,BI,1,100,440
1752778630.413905,507606,15403,1,BI,1,100,1360
1752778631.133909,508326,15519,1,BI,1,100,720
1752778631.693912,508886,15620,1,BI,1,100,560
1752778632.493916,509686,15759,1,BI,1,100,800
1752778632.973918,510166,15828,1,BI,1,100,480
1752778633.586922,510779,15949,1,BI,1,100,600
1752778634.226925,511419,16052,1,BI,1,100,640
1752778634.986929,512179,16172,1,BI,1,100,760
1752778635.466932,512659,16258,1,BI,1,100,480
1752778636.026935,513219,16361,1,BI,1,100,560
1752778636.665938,513858,16464,1,BI,1,100,640
1752778637.146941,514339,16553,1,BI,1,100,480
1752778637.745944,514938,16638,1,BI,1,100,600
1752778638.399948,515592,16757,1,BI,1,100,640
1752778639.079951,516272,16876,1,BI,1,100,680
1752778639.799955,516992,16997,1,BI,1,100,720
1752778640.438959,517631,17101,1,BI,1,100,640
1752778641.198963,518391,17220,1,BI,1,100,760
1752778641.878966,519071,17340,1,BI,1,100,680
1752778642.732971,519925,17494,1,BI,1,100,840
1752778643.372974,520565,17593,1,BI,1,100,640
1752778644.051978,521244,17710,1,BI,1,100,680
1752778644.651981,521844,17794,1,BI,1,100,600
1752778645.731987,522924,17982,1,BI,1,100,1080
1752778646.411991,523604,18097,1,BI,1,100,680
1752778647.051994,524244,18200,1,BI,1,100,640
