LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752778624.551873,501744.000,14428,1,B%,1,100,15
1752778629.551900,506744.000,15284,1,B%,1,100,15
1752778634.550927,511743.000,16123,1,B%,1,100,15
1752778639.550954,516743.000,16960,1,B%,1,100,15
1752778644.549981,521742.000,17793,1,B%,1,100,16
1752778649.550008,526742.000,18649,1,B%,1,100,16
1752778654.549035,531741.000,19499,1,B%,1,100,16
1752778659.549061,536741.000,20341,1,B%,1,100,15
1752778664.548088,541740.000,21163,1,B%,1,100,16
1752778669.548115,546740.000,22029,1,B%,1,100,16
1752778674.547142,551739.000,22868,1,B%,1,100,16
1752778679.547169,556739.000,23706,1,B%,1,100,16
1752778684.546196,561738.000,24552,1,B%,1,100,16
1752778689.546223,566738.000,25396,1,B%,1,100,16
1752778694.545250,571737.000,26256,1,B%,1,100,16
1752778699.545277,576737.000,27107,1,B%,1,100,16
1752778704.544304,581736.000,27953,1,B%,1,100,16
1752778709.544331,586736.000,28801,1,B%,1,100,16
1752778714.543358,591735.000,29669,1,B%,1,100,16
1752778719.543384,596735.000,30511,1,B%,1,100,16
1752778724.542411,601734.000,31346,1,B%,1,100,16
1752778729.542438,606734.000,32122,1,B%,1,100,16
1752778734.541465,611733.000,32927,1,B%,1,100,16
1752778739.541492,616733.000,33769,1,B%,1,100,17
1752778744.540519,621732.000,34567,1,B%,1,100,16
1752778749.540546,626732.000,35389,1,B%,1,100,16
1752778754.539573,631731.000,36212,1,B%,1,100,16
1752778759.539600,636731.000,37036,1,B%,1,100,16
1752778764.538627,641730.000,37863,1,B%,1,100,17
1752778769.538654,646730.000,38688,1,B%,1,100,16
1752778774.537680,651729.000,39492,1,B%,1,100,16
1752778779.537707,656729.000,40316,1,B%,1,100,17
1752778784.536734,661728.000,41145,1,B%,1,100,16
1752778789.536761,666728.000,41968,1,B%,1,100,17
1752778794.536788,671728.000,42790,1,B%,1,100,17
1752778799.535815,676727.000,43599,1,B%,1,100,16
1752778804.534842,681726.000,44418,1,B%,1,100,16
1752778809.534869,686726.000,45241,1,B%,1,100,17
1752778814.533896,691725.000,46066,1,B%,1,100,17
1752778819.533923,696725.000,46888,1,B%,1,100,17
1752778824.532950,701724.000,47695,1,B%,1,100,18
1752778829.532977,706724.000,48520,1,B%,1,100,17
1752778834.532003,711723.000,49343,1,B%,1,100,17
1752778839.532030,716723.000,50165,1,B%,1,100,17
1752778844.532057,721723.000,50989,1,B%,1,100,17
1752778849.531084,726722.000,51792,1,B%,1,100,17
1752778854.530111,731721.000,52616,1,B%,1,100,17
1752778859.530138,736721.000,53438,1,B%,1,100,17
1752778864.530165,741721.000,54263,1,B%,1,100,18
1752778869.529192,746720.000,55068,1,B%,1,100,18
1752778874.528219,751719.000,55889,1,B%,1,100,18
1752778879.528246,756719.000,56715,1,B%,1,100,18
1752778884.527273,761718.000,57539,1,B%,1,100,18
1752778889.527300,766718.000,58362,1,B%,1,100,18
1752778894.526326,771717.000,59182,1,B%,1,100,18
1752778899.526353,776717.000,59987,1,B%,1,100,18
1752778904.525380,781716.000,60811,1,B%,1,100,18
1752778909.525407,786716.000,61633,1,B%,1,100,18
1752778914.524434,791715.000,62458,1,B%,1,100,19
1752778919.524461,796715.000,63263,1,B%,1,100,18
1752778924.523488,801714.000,64082,1,B%,1,100,18
1752778929.523515,806714.000,64906,1,B%,1,100,18
1752778934.522542,811713.000,146,1,B%,1,100,18
1752778939.522569,816713.000,967,1,B%,1,100,18
1752778944.521596,821712.000,1789,1,B%,1,100,19
1752778949.521622,826712.000,2611,1,B%,1,100,19
1752778954.520649,831711.000,3444,1,B%,1,100,19
1752778959.520676,836711.000,4266,1,B%,1,100,19
1752778964.519703,841710.000,5089,1,B%,1,100,19
1752778969.519730,846710.000,5910,1,B%,1,100,19
1752778974.518757,851709.000,6733,1,B%,1,100,19
1752778979.518784,856709.000,7554,1,B%,1,100,19
1752778984.517811,861708.000,8373,1,B%,1,100,19
1752778989.517838,866708.000,9199,1,B%,1,100,19
1752778994.517865,871708.000,10019,1,B%,1,100,20
1752778999.516892,876707.000,10857,1,B%,1,100,20
1752779004.515919,881706.000,11683,1,B%,1,100,19
1752779009.515945,886706.000,12506,1,B%,1,100,20
1752779014.514972,891705.000,13331,1,B%,1,100,19
1752779019.514999,896705.000,14153,1,B%,1,100,20
1752779024.514026,901704.000,14974,1,B%,1,100,20
1752779029.514053,906704.000,15797,1,B%,1,100,20
1752779034.513080,911703.000,16618,1,B%,1,100,20
1752779039.513107,916703.000,17458,1,B%,1,100,20
1752779044.512134,921702.000,18282,1,B%,1,100,20
1752779049.512161,926702.000,19102,1,B%,1,100,20
1752779054.511188,931701.000,19942,1,B%,1,100,20
1752779059.511215,936701.000,20762,1,B%,1,100,20
1752779064.510241,941700.000,21582,1,B%,1,100,20
1752779069.510268,946700.000,22406,1,B%,1,100,21
1752779074.509295,951699.000,23225,1,B%,1,100,21
1752779079.509322,956699.000,24050,1,B%,1,100,21
1752779084.508349,961698.000,24872,1,B%,1,100,20
1752779089.508376,966698.000,25694,1,B%,1,100,21
1752779094.507403,971697.000,26514,1,B%,1,100,21
1752779099.507430,976697.000,27338,1,B%,1,100,21
1752779104.506457,981696.000,28178,1,B%,1,100,21
1752779109.506484,986696.000,28998,1,B%,1,100,21
1752779114.505511,991695.000,29819,1,B%,1,100,21
1752779119.505538,996695.000,30642,1,B%,1,100,22
1752779124.504564,1001694.000,31480,1,B%,1,100,22
1752779129.504591,1006694.000,32303,1,B%,1,100,22
1752779134.503618,1011693.000,33126,1,B%,1,100,21
1752779139.503645,1016693.000,33870,1,B%,1,100,22
1752779144.502672,1021692.000,34692,1,B%,1,100,22
1752779149.502699,1026692.000,35516,1,B%,1,100,22
1752779154.501726,1031691.000,36338,1,B%,1,100,22
1752779159.501753,1036691.000,37159,1,B%,1,100,22
1752779164.500780,1041690.000,37978,1,B%,1,100,22
1752779169.500807,1046690.000,38799,1,B%,1,100,22
1752779174.499834,1051689.000,39623,1,B%,1,100,22
1752779179.499860,1056689.000,40429,1,B%,1,100,23
1752779184.498887,1061688.000,41252,1,B%,1,100,23
1752779189.498914,1066688.000,42073,1,B%,1,100,22
1752779194.497941,1071687.000,42876,1,B%,1,100,23
1752779199.497968,1076687.000,43698,1,B%,1,100,23
1752779204.496995,1081686.000,44521,1,B%,1,100,23
1752779209.497022,1086686.000,45344,1,B%,1,100,23
1752779214.496049,1091685.000,46166,1,B%,1,100,23
1752779219.496076,1096685.000,46990,1,B%,1,100,23
1752779224.495103,1101684.000,47796,1,B%,1,100,23
1752779229.495130,1106684.000,48618,1,B%,1,100,23
1752779234.494157,1111683.000,49444,1,B%,1,100,23
1752779239.494183,1116683.000,50264,1,B%,1,100,23
1752779244.493210,1121682.000,51091,1,B%,1,100,23
1752779249.493237,1126682.000,51892,1,B%,1,100,23
1752779254.492264,1131681.000,52715,1,B%,1,100,23
1752779259.492291,1136681.000,53537,1,B%,1,100,23
1752779264.491318,1141680.000,54359,1,B%,1,100,24
1752779269.491345,1146680.000,55164,1,B%,1,100,23
1752779274.490372,1151679.000,55985,1,B%,1,100,23
1752779279.490399,1156679.000,56810,1,B%,1,100,23
