LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752778619.603846,496796.000,13605,4,EM,1,100,RS
1752778619.603846,496796.000,13605,4,EM,1,100,RB
1752778619.603846,496796.000,13605,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778619.603846,496796.000,13605,4,EM,1,100,PS
1752778619.653847,496846.000,13628,4,EM,1,100,RS
1752778619.703847,496896.000,13628,4,EM,1,100,RB
1752778619.753847,496946.000,13628,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778619.803848,496996.000,13628,4,EM,1,100,PS
1752778619.854098,497046.250,13661,4,EM,1,100,RS
1752778619.904348,497096.500,13661,4,EM,1,100,RB
1752778619.954598,497146.750,13661,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778620.004849,497197.000,13661,4,EM,1,100,PS
1752778620.055099,497247.250,13695,4,EM,1,100,RS
1752778620.105349,497297.500,13695,4,EM,1,100,RB
1752778620.155599,497347.750,13695,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778620.205850,497398.000,13695,4,EM,1,100,PS
1752778620.256100,497448.250,13728,4,EM,1,100,RS
1752778620.306350,497498.500,13728,4,EM,1,100,RB
1752778620.356600,497548.750,13728,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778620.406851,497599.000,13728,4,EM,1,100,PS
1752778620.457101,497649.250,13764,4,EM,1,100,RS
1752778620.507351,497699.500,13764,4,EM,1,100,RB
1752778620.557602,497749.750,13764,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778620.607852,497800.000,13764,4,EM,1,100,PS
1752778620.659602,497851.750,13798,4,EM,1,100,RS
1752778620.711352,497903.500,13798,4,EM,1,100,RB
1752778620.763103,497955.250,13798,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778620.814853,498007.000,13798,4,EM,1,100,PS
1752778620.864853,498057.000,13832,4,EM,1,100,RS
1752778620.914854,498107.000,13832,4,EM,1,100,RB
1752778620.964854,498157.000,13832,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778621.014854,498207.000,13832,4,EM,1,100,PS
1752778621.065104,498257.250,13867,4,EM,1,100,RS
1752778621.115355,498307.500,13867,4,EM,1,100,RB
1752778621.165605,498357.750,13867,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778621.215855,498408.000,13867,4,EM,1,100,PS
1752778621.266105,498458.250,13899,4,EM,1,100,RS
1752778621.316356,498508.500,13899,4,EM,1,100,RB
1752778621.366606,498558.750,13899,4,EM,1,100,2025-07-17_14-56-58-835144.csv
1752778621.416856,498609.000,13899,4,EM,1,100,PS
1752778621.467106,498659.250,13932,4,EM,1,100,RS
1752778621.517357,498709.500,13932,4,EM,1,100,RB
1752778621.567607,498759.750,13932,4,EM,1,100,2025-07-17_14-56-58-835144.csv
