LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752778619.747847,496940,13630,1,HR,1,100,82.70
1752778620.427851,497620,13747,1,HR,1,100,83.93
1752778621.027854,498220,13850,1,HR,1,100,87.50
1752778621.907859,499100,13971,1,HR,1,100,83.21
1752778622.347861,499540,14058,1,HR,1,100,95.02
1752778623.227866,500420,14194,1,HR,1,100,89.06
1752778623.880869,501073,14309,1,HR,1,100,90.10
1752778624.560873,501753,14431,1,HR,1,100,89.69
1752778625.200877,502393,14534,1,HR,1,100,90.59
1752778625.800880,502993,14635,1,HR,1,100,92.68
1752778626.480883,503673,14740,1,HR,1,100,91.69
1752778627.200887,504393,14879,1,HR,1,100,89.83
1752778627.920891,505113,14996,1,HR,1,100,88.39
1752778628.613895,505806,15099,1,HR,1,100,88.36
1752778629.053897,506246,15186,1,HR,1,100,99.02
1752778630.413905,507606,15404,1,HR,1,100,86.82
1752778631.133909,508326,15520,1,HR,1,100,86.05
1752778631.693912,508886,15621,1,HR,1,100,90.74
1752778632.493916,509686,15760,1,HR,1,100,87.24
1752778632.973918,510166,15829,1,HR,1,100,95.63
1752778633.586922,510779,15950,1,HR,1,100,96.60
1752778634.226925,511419,16053,1,HR,1,100,95.97
1752778634.986929,512179,16173,1,HR,1,100,92.19
1752778635.466932,512659,16259,1,HR,1,100,99.48
1752778636.026935,513219,16362,1,HR,1,100,101.18
1752778636.665938,513858,16465,1,HR,1,100,99.53
1752778637.146941,514339,16554,1,HR,1,100,105.19
1752778637.745944,514938,16639,1,HR,1,100,104.04
1752778638.399948,515592,16758,1,HR,1,100,101.75
1752778639.079951,516272,16877,1,HR,1,100,98.75
1752778639.799955,516992,16998,1,HR,1,100,95.32
1752778640.438959,517631,17102,1,HR,1,100,94.97
1752778641.198963,518391,17221,1,HR,1,100,91.41
1752778641.878966,519071,17341,1,HR,1,100,90.71
1752778642.732971,519925,17495,1,HR,1,100,86.42
1752778643.372974,520565,17594,1,HR,1,100,88.05
1752778644.051978,521244,17711,1,HR,1,100,88.09
1752778644.651981,521844,17795,1,HR,1,100,90.74
1752778645.731987,522924,17983,1,HR,1,100,82.92
1752778646.411991,523604,18098,1,HR,1,100,84.10
1752778647.051994,524244,18201,1,HR,1,100,86.24
1752778647.744998,524937,18324,1,HR,1,100,86.69
1752778648.385001,525577,18426,1,HR,1,100,88.26
1752778649.145005,526337,18563,1,HR,1,100,86.19
1752778649.745009,526937,18668,1,HR,1,100,89.26
1752778650.265012,527457,18753,1,HR,1,100,95.06
1752778650.865015,528057,18857,1,HR,1,100,96.16
1752778651.545018,528737,18959,1,HR,1,100,94.40
1752778652.278022,529470,19098,1,HR,1,100,91.94
1752778653.038026,530230,19222,1,HR,1,100,89.05
1752778653.678030,530870,19326,1,HR,1,100,90.10
1752778654.438034,531630,19462,1,HR,1,100,87.62
1752778655.118038,532310,19582,1,HR,1,100,87.76
1752778655.878042,533070,19703,1,HR,1,100,85.80
1752778656.638046,533830,19822,1,HR,1,100,84.28
1752778657.171049,534363,19925,1,HR,1,100,91.19
1752778657.891053,535083,20048,1,HR,1,100,89.44
1752778658.451056,535643,20134,1,HR,1,100,93.38
1752778659.051059,536243,20235,1,HR,1,100,94.85
1752778659.731062,536923,20361,1,HR,1,100,93.38
1752778660.451066,537643,20480,1,HR,1,100,91.15
1752778661.091070,538283,20581,1,HR,1,100,91.73
1752778661.864074,539056,20715,1,HR,1,100,88.89
1752778662.504077,539696,20814,1,HR,1,100,89.97
1752778663.224081,540416,20927,1,HR,1,100,88.49
1752778663.904085,541096,21046,1,HR,1,100,88.44
1752778664.584089,541776,21166,1,HR,1,100,88.39
1752778665.224092,542416,21269,1,HR,1,100,89.58
1752778665.664094,542856,21338,1,HR,1,100,99.98
1752778666.344098,543536,21458,1,HR,1,100,97.37
1752778667.037102,544229,21578,1,HR,1,100,95.34
1752778667.677105,544869,21681,1,HR,1,100,94.99
1752778668.397109,545589,21808,1,HR,1,100,92.40
1752778669.077113,546269,21929,1,HR,1,100,91.47
1752778669.797117,546989,22048,1,HR,1,100,89.66
1752778670.556121,547748,22184,1,HR,1,100,87.28
1752778671.116124,548308,22271,1,HR,1,100,91.70
1752778671.970128,549162,22407,1,HR,1,100,87.19
1752778672.450131,549642,22491,1,HR,1,100,95.59
1752778673.010134,550202,22597,1,HR,1,100,98.16
1752778673.769138,550961,22713,1,HR,1,100,93.89
1752778674.369141,551561,22816,1,HR,1,100,95.25
1752778674.969144,552161,22919,1,HR,1,100,96.30
1752778675.609148,552801,23019,1,HR,1,100,95.74
1752778676.343152,553535,23158,1,HR,1,100,92.98
1752778677.142156,554334,23273,1,HR,1,100,88.98
1752778677.822160,555014,23395,1,HR,1,100,88.82
1752778678.422163,555614,23505,1,HR,1,100,91.30
1752778678.982166,556174,23605,1,HR,1,100,94.82
1752778679.662170,556854,23709,1,HR,1,100,93.36
1752778680.302173,557494,23828,1,HR,1,100,93.45
1752778680.915176,558107,23932,1,HR,1,100,94.90
1752778681.555180,558747,24032,1,HR,1,100,94.65
1752778682.196183,559388,24138,1,HR,1,100,94.45
1752778682.915187,560107,24258,1,HR,1,100,91.98
1752778683.555191,560747,24382,1,HR,1,100,92.37
1752778684.315195,561507,24503,1,HR,1,100,89.39
1752778684.875198,562067,24607,1,HR,1,100,93.33
1752778685.688202,562880,24742,1,HR,1,100,89.26
1752778686.608207,563800,24897,1,HR,1,100,83.92
1752778687.208210,564400,24982,1,HR,1,100,87.49
1752778687.808214,565000,25086,1,HR,1,100,90.27
1752778688.408217,565600,25194,1,HR,1,100,92.43
1752778689.048220,566240,25295,1,HR,1,100,92.73
1752778689.688224,566880,25416,1,HR,1,100,92.95
1752778690.301227,567493,25517,1,HR,1,100,94.52
1752778690.981231,568173,25617,1,HR,1,100,93.12
1752778691.621234,568813,25736,1,HR,1,100,93.26
1752778692.341238,569533,25854,1,HR,1,100,91.06
1752778692.941241,570133,25958,1,HR,1,100,93.04
1752778693.661245,570853,26083,1,HR,1,100,90.89
1752778694.181248,571373,26170,1,HR,1,100,96.33
1752778694.781251,571973,26275,1,HR,1,100,97.15
1752778695.434255,572626,26378,1,HR,1,100,96.39
1752778695.994258,573186,26483,1,HR,1,100,98.78
1752778696.594261,573786,26583,1,HR,1,100,99.05
1752778697.154264,574346,26672,1,HR,1,100,100.85
1752778698.074269,575266,26827,1,HR,1,100,92.93
1752778698.834273,576026,26970,1,HR,1,100,89.82
1752778699.514277,576706,27073,1,HR,1,100,89.47
1752778700.247281,577439,27209,1,HR,1,100,88.11
1752778700.927284,578119,27310,1,HR,1,100,88.14
1752778701.687288,578879,27451,1,HR,1,100,86.09
1752778702.447292,579639,27569,1,HR,1,100,84.51
1752778702.927295,580119,27654,1,HR,1,100,93.50
1752778703.526298,580718,27757,1,HR,1,100,94.95
1752778704.126301,581318,27865,1,HR,1,100,96.07
1752778704.700305,581892,27970,1,HR,1,100,98.53
1752778705.300308,582492,28056,1,HR,1,100,98.86
1752778706.060312,583252,28195,1,HR,1,100,94.43
1752778706.620315,583812,28280,1,HR,1,100,97.26
1752778707.339319,584531,28417,1,HR,1,100,94.16
1752778708.099323,585291,28540,1,HR,1,100,90.78
1752778708.699326,585891,28644,1,HR,1,100,92.83
1752778709.313329,586505,28752,1,HR,1,100,94.42
1752778710.113334,587305,28888,1,HR,1,100,90.11
1752778710.712337,587904,28989,1,HR,1,100,92.31
1752778711.232340,588424,29078,1,HR,1,100,97.43
1752778711.832343,589024,29181,1,HR,1,100,98.00
1752778712.432346,589624,29282,1,HR,1,100,98.45
1752778713.072350,590264,29387,1,HR,1,100,97.40
1752778713.725353,590917,29490,1,HR,1,100,96.59
1752778714.445357,591637,29632,1,HR,1,100,93.65
1752778715.045360,592237,29722,1,HR,1,100,95.06
1752778715.725364,592917,29841,1,HR,1,100,93.54
1752778716.485368,593677,29977,1,HR,1,100,90.30
1752778717.205372,594397,30097,1,HR,1,100,88.75
1752778717.845375,595037,30200,1,HR,1,100,89.86
1752778718.618379,595810,30337,1,HR,1,100,87.44
1752778719.298383,596490,30442,1,HR,1,100,87.61
1752778720.018387,597210,30564,1,HR,1,100,86.66
1752778720.418389,597610,30633,1,HR,1,100,100.74
1752778721.018392,598210,30734,1,HR,1,100,100.57
1752778721.618396,598810,30836,1,HR,1,100,100.45
1752778722.858402,600050,31040,1,HR,1,100,88.88
1752778723.391405,600583,31139,1,HR,1,100,94.77
1752778724.151409,601343,31257,1,HR,1,100,91.25
1752778724.871413,602063,31363,1,HR,1,100,89.49
1752778725.631417,602823,31467,1,HR,1,100,87.15
1752778726.431422,603623,31601,1,HR,1,100,84.45
1752778727.191426,604383,31719,1,HR,1,100,83.23
1752778727.964430,605156,31852,1,HR,1,100,82.28
1752778728.684434,605876,31967,1,HR,1,100,82.51
1752778729.524438,606716,32104,1,HR,1,100,80.05
1752778730.364443,607556,32239,1,HR,1,100,78.13
1752778730.924446,608116,32339,1,HR,1,100,84.58
1752778731.564449,608756,32439,1,HR,1,100,86.62
1752778732.857456,610049,32653,1,HR,1,100,77.79
1752778733.377459,610569,32737,1,HR,1,100,86.14
1752778734.017462,611209,32838,1,HR,1,100,87.83
1752778734.577465,611769,32929,1,HR,1,100,92.12
1752778735.257469,612449,33030,1,HR,1,100,91.26
1752778735.977473,613169,33146,1,HR,1,100,89.50
1752778736.617476,613809,33264,1,HR,1,100,90.44
1752778737.310480,614502,33380,1,HR,1,100,89.95
