LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1752778619.693847,496886.000,13626,3,MY,1,100,106
1752778619.693847,496886.000,13626,3,MY,1,100,104
1752778619.693847,496886.000,13626,3,MY,1,100,105
1752778619.733847,496926.000,13645,2,MY,1,100,104
1752778619.773847,496966.000,13645,2,MY,1,100,106
1752778619.813848,497006.000,13659,3,MY,1,100,105
1752778619.853848,497046.000,13659,3,MY,1,100,104
1752778619.893848,497086.000,13659,3,MY,1,100,104
1752778619.933848,497126.000,13677,3,MY,1,100,106
1752778619.973848,497166.000,13677,3,MY,1,100,104
1752778620.013849,497206.000,13677,3,MY,1,100,105
1752778620.053849,497246.000,13693,2,MY,1,100,105
1752778620.093849,497286.000,13693,2,MY,1,100,104
1752778620.133849,497326.000,13710,3,MY,1,100,105
1752778620.173850,497366.000,13710,3,MY,1,100,104
1752778620.213850,497406.000,13710,3,MY,1,100,105
1752778620.253850,497446.000,13726,2,MY,1,100,105
1752778620.293850,497486.000,13726,2,MY,1,100,105
1752778620.333850,497526.000,13744,3,MY,1,100,104
1752778620.373851,497566.000,13744,3,MY,1,100,105
1752778620.413851,497606.000,13744,3,MY,1,100,105
1752778620.453851,497646.000,13762,2,MY,1,100,105
1752778620.493851,497686.000,13762,2,MY,1,100,104
1752778620.533851,497726.000,13780,3,MY,1,100,105
1752778620.573852,497766.000,13780,3,MY,1,100,105
1752778620.613852,497806.000,13780,3,MY,1,100,105
1752778620.653852,497846.000,13796,2,MY,1,100,104
1752778620.693852,497886.000,13796,2,MY,1,100,105
1752778620.733853,497926.000,13811,3,MY,1,100,104
1752778620.773853,497966.000,13811,3,MY,1,100,105
1752778620.813853,498006.000,13811,3,MY,1,100,105
1752778620.853853,498046.000,13830,2,MY,1,100,104
1752778620.893853,498086.000,13830,2,MY,1,100,106
1752778620.933854,498126.000,13847,3,MY,1,100,106
1752778620.973854,498166.000,13847,3,MY,1,100,104
1752778621.013854,498206.000,13847,3,MY,1,100,106
1752778621.049521,498241.667,13865,3,MY,1,100,106
1752778621.085188,498277.333,13865,3,MY,1,100,105
1752778621.120855,498313.000,13865,3,MY,1,100,106
1752778621.160855,498353.000,13880,2,MY,1,100,106
1752778621.200855,498393.000,13880,2,MY,1,100,106
1752778621.240855,498433.000,13897,3,MY,1,100,105
1752778621.280855,498473.000,13897,3,MY,1,100,105
1752778621.320856,498513.000,13897,3,MY,1,100,106
1752778621.360856,498553.000,13914,2,MY,1,100,105
1752778621.400856,498593.000,13914,2,MY,1,100,105
1752778621.440856,498633.000,13930,3,MY,1,100,106
1752778621.480857,498673.000,13930,3,MY,1,100,105
1752778621.520857,498713.000,13930,3,MY,1,100,105
1752778621.560857,498753.000,13946,2,MY,1,100,106
1752778621.600857,498793.000,13946,2,MY,1,100,106
1752778621.640857,498833.000,13962,3,MY,1,100,106
1752778621.680858,498873.000,13962,3,MY,1,100,105
1752778621.720858,498913.000,13962,3,MY,1,100,106
1752778621.760858,498953.000,13989,5,MY,1,100,106
1752778621.800858,498993.000,13989,5,MY,1,100,106
1752778621.840858,499033.000,13989,5,MY,1,100,106
1752778621.880859,499073.000,13989,5,MY,1,100,105
1752778621.920859,499113.000,13989,5,MY,1,100,106
1752778621.960859,499153.000,14004,2,MY,1,100,105
1752778622.000859,499193.000,14004,2,MY,1,100,105
1752778622.040860,499233.000,14020,3,MY,1,100,106
1752778622.080860,499273.000,14020,3,MY,1,100,106
1752778622.120860,499313.000,14020,3,MY,1,100,107
1752778622.160860,499353.000,14037,2,MY,1,100,106
1752778622.200860,499393.000,14037,2,MY,1,100,107
1752778622.240861,499433.000,14054,3,MY,1,100,106
