LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752778619.587846,496780.000,13607,1,PI,1,100,157985
1752778619.627847,496820.000,13612,3,PI,1,100,157993
1752778619.667847,496860.000,13612,3,PI,1,100,158021
1752778619.707847,496900.000,13612,3,PI,1,100,158044
1752778619.747847,496940.000,13631,2,PI,1,100,158064
1752778619.787847,496980.000,13631,2,PI,1,100,158085
1752778619.827848,497020.000,13647,3,PI,1,100,158101
1752778619.867848,497060.000,13647,3,PI,1,100,158118
1752778619.907848,497100.000,13647,3,PI,1,100,158147
1752778619.947848,497140.000,13663,2,PI,1,100,158171
1752778619.987849,497180.000,13663,2,PI,1,100,158140
1752778620.027849,497220.000,13679,3,PI,1,100,158098
1752778620.067849,497260.000,13679,3,PI,1,100,158078
1752778620.107849,497300.000,13679,3,PI,1,100,158052
1752778620.147849,497340.000,13696,2,PI,1,100,158018
1752778620.187850,497380.000,13696,2,PI,1,100,157997
1752778620.227850,497420.000,13713,3,PI,1,100,158009
1752778620.267850,497460.000,13713,3,PI,1,100,158004
1752778620.307850,497500.000,13713,3,PI,1,100,158025
1752778620.347850,497540.000,13731,2,PI,1,100,158033
1752778620.387851,497580.000,13731,2,PI,1,100,158054
1752778620.427851,497620.000,13748,3,PI,1,100,158052
1752778620.467851,497660.000,13748,3,PI,1,100,158059
1752778620.507851,497700.000,13748,3,PI,1,100,158074
1752778620.547852,497740.000,13766,2,PI,1,100,158113
1752778620.587852,497780.000,13766,2,PI,1,100,158170
1752778620.627852,497820.000,13782,3,PI,1,100,158206
1752778620.667852,497860.000,13782,3,PI,1,100,158253
1752778620.707852,497900.000,13782,3,PI,1,100,158288
1752778620.747853,497940.000,13799,2,PI,1,100,158251
1752778620.787853,497980.000,13799,2,PI,1,100,158218
1752778620.827853,498020.000,13816,3,PI,1,100,158215
1752778620.867853,498060.000,13816,3,PI,1,100,158212
1752778620.907853,498100.000,13816,3,PI,1,100,158183
1752778620.947854,498140.000,13833,2,PI,1,100,158203
1752778620.987854,498180.000,13833,2,PI,1,100,158230
1752778621.027854,498220.000,13851,3,PI,1,100,158227
1752778621.067854,498260.000,13851,3,PI,1,100,158233
1752778621.107855,498300.000,13851,3,PI,1,100,158245
1752778621.147855,498340.000,13868,3,PI,1,100,158256
1752778621.187855,498380.000,13868,3,PI,1,100,158266
1752778621.227855,498420.000,13868,3,PI,1,100,158284
1752778621.267855,498460.000,13883,2,PI,1,100,158318
1752778621.307856,498500.000,13883,2,PI,1,100,158326
1752778621.347856,498540.000,13900,3,PI,1,100,158313
1752778621.387856,498580.000,13900,3,PI,1,100,158321
1752778621.427856,498620.000,13900,3,PI,1,100,158300
1752778621.467856,498660.000,13916,2,PI,1,100,158277
1752778621.507857,498700.000,13916,2,PI,1,100,158273
1752778621.547857,498740.000,13934,3,PI,1,100,158266
1752778621.587857,498780.000,13934,3,PI,1,100,158230
1752778621.627857,498820.000,13934,3,PI,1,100,158249
1752778621.667858,498860.000,13948,2,PI,1,100,158228
1752778621.707858,498900.000,13948,2,PI,1,100,158236
1752778621.747858,498940.000,13975,5,PI,1,100,158238
1752778621.787858,498980.000,13975,5,PI,1,100,158234
1752778621.827858,499020.000,13975,5,PI,1,100,158249
1752778621.867859,499060.000,13975,5,PI,1,100,158281
1752778621.907859,499100.000,13975,5,PI,1,100,158295
1752778621.947859,499140.000,13992,2,PI,1,100,158306
1752778621.987859,499180.000,13992,2,PI,1,100,158335
1752778622.027859,499220.000,14006,3,PI,1,100,158339
1752778622.067860,499260.000,14006,3,PI,1,100,158297
1752778622.107860,499300.000,14006,3,PI,1,100,158286
1752778622.147860,499340.000,14023,3,PI,1,100,158252
1752778622.187860,499380.000,14023,3,PI,1,100,158228
1752778622.227861,499420.000,14023,3,PI,1,100,158248
1752778622.267861,499460.000,14040,2,PI,1,100,158274
1752778622.307861,499500.000,14040,2,PI,1,100,158341
1752778622.347861,499540.000,14059,3,PI,1,100,158351
1752778622.387861,499580.000,14059,3,PI,1,100,158397
1752778622.427862,499620.000,14059,3,PI,1,100,158448
1752778622.467862,499660.000,14075,2,PI,1,100,158466
1752778622.507862,499700.000,14075,2,PI,1,100,158485
1752778622.547862,499740.000,14093,3,PI,1,100,158481
1752778622.587863,499780.000,14093,3,PI,1,100,158495
1752778622.627863,499820.000,14093,3,PI,1,100,158531
1752778622.667863,499860.000,14109,2,PI,1,100,158514
1752778622.707863,499900.000,14109,2,PI,1,100,158497
1752778622.747863,499940.000,14126,3,PI,1,100,158469
1752778622.787864,499980.000,14126,3,PI,1,100,158430
1752778622.827864,500020.000,14126,3,PI,1,100,158412
1752778622.867864,500060.000,14141,2,PI,1,100,158366
1752778622.907864,500100.000,14141,2,PI,1,100,158353
1752778622.947864,500140.000,14158,3,PI,1,100,158368
1752778622.987865,500180.000,14158,3,PI,1,100,158355
1752778623.027865,500220.000,14158,3,PI,1,100,158363
1752778623.067865,500260.000,14176,2,PI,1,100,158372
1752778623.107865,500300.000,14176,2,PI,1,100,158372
1752778623.147866,500340.000,14195,3,PI,1,100,158383
1752778623.187866,500380.000,14195,3,PI,1,100,158400
1752778623.227866,500420.000,14195,3,PI,1,100,158408
1752778623.267866,500460.000,14210,2,PI,1,100,158425
1752778623.307866,500500.000,14210,2,PI,1,100,158436
1752778623.347867,500540.000,14227,3,PI,1,100,158470
1752778623.387867,500580.000,14227,3,PI,1,100,158440
1752778623.427867,500620.000,14227,3,PI,1,100,158382
1752778623.467867,500660.000,14243,2,PI,1,100,158350
1752778623.507867,500700.000,14243,2,PI,1,100,158326
1752778623.552201,500744.333,14261,3,PI,1,100,158302
1752778623.596535,500788.667,14261,3,PI,1,100,158283
1752778623.640868,500833.000,14261,3,PI,1,100,158308
1752778623.680868,500873.000,14276,2,PI,1,100,158296
1752778623.720869,500913.000,14276,2,PI,1,100,158285
1752778623.760869,500953.000,14292,3,PI,1,100,158297
1752778623.800869,500993.000,14292,3,PI,1,100,158327
1752778623.840869,501033.000,14292,3,PI,1,100,158328
1752778623.880869,501073.000,14311,2,PI,1,100,158338
1752778623.920870,501113.000,14311,2,PI,1,100,158361
