LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752778619.587846,496780.000,13608,1,PR,1,100,62204
1752778619.627847,496820.000,13613,3,PR,1,100,62209
1752778619.667847,496860.000,13613,3,PR,1,100,62203
1752778619.707847,496900.000,13613,3,PR,1,100,62201
1752778619.747847,496940.000,13632,2,PR,1,100,62208
1752778619.787847,496980.000,13632,2,PR,1,100,62210
1752778619.827848,497020.000,13648,3,PR,1,100,62198
1752778619.867848,497060.000,13648,3,PR,1,100,62203
1752778619.907848,497100.000,13648,3,PR,1,100,62227
1752778619.947848,497140.000,13664,2,PR,1,100,62216
1752778619.987849,497180.000,13664,2,PR,1,100,62224
1752778620.027849,497220.000,13680,3,PR,1,100,62231
1752778620.067849,497260.000,13680,3,PR,1,100,62225
1752778620.107849,497300.000,13680,3,PR,1,100,62207
1752778620.147849,497340.000,13697,2,PR,1,100,62209
1752778620.187850,497380.000,13697,2,PR,1,100,62209
1752778620.227850,497420.000,13714,3,PR,1,100,62213
1752778620.267850,497460.000,13714,3,PR,1,100,62199
1752778620.307850,497500.000,13714,3,PR,1,100,62203
1752778620.347850,497540.000,13732,2,PR,1,100,62219
1752778620.387851,497580.000,13732,2,PR,1,100,62208
1752778620.427851,497620.000,13749,3,PR,1,100,62218
1752778620.467851,497660.000,13749,3,PR,1,100,62220
1752778620.507851,497700.000,13749,3,PR,1,100,62220
1752778620.547852,497740.000,13767,2,PR,1,100,62231
1752778620.587852,497780.000,13767,2,PR,1,100,62230
1752778620.627852,497820.000,13783,3,PR,1,100,62266
1752778620.667852,497860.000,13783,3,PR,1,100,62286
1752778620.707852,497900.000,13783,3,PR,1,100,62326
1752778620.747853,497940.000,13800,2,PR,1,100,62325
1752778620.787853,497980.000,13800,2,PR,1,100,62350
1752778620.827853,498020.000,13817,3,PR,1,100,62367
1752778620.867853,498060.000,13817,3,PR,1,100,62383
1752778620.907853,498100.000,13817,3,PR,1,100,62398
1752778620.947854,498140.000,13834,2,PR,1,100,62425
1752778620.987854,498180.000,13834,2,PR,1,100,62424
1752778621.027854,498220.000,13852,3,PR,1,100,62418
1752778621.067854,498260.000,13852,3,PR,1,100,62439
1752778621.107855,498300.000,13852,3,PR,1,100,62436
1752778621.147855,498340.000,13869,3,PR,1,100,62432
1752778621.187855,498380.000,13869,3,PR,1,100,62427
1752778621.227855,498420.000,13869,3,PR,1,100,62445
1752778621.267855,498460.000,13884,2,PR,1,100,62442
1752778621.307856,498500.000,13884,2,PR,1,100,62450
1752778621.347856,498540.000,13901,3,PR,1,100,62442
1752778621.387856,498580.000,13901,3,PR,1,100,62453
1752778621.427856,498620.000,13901,3,PR,1,100,62451
1752778621.467856,498660.000,13917,2,PR,1,100,62456
1752778621.507857,498700.000,13917,2,PR,1,100,62449
1752778621.547857,498740.000,13935,3,PR,1,100,62451
1752778621.587857,498780.000,13935,3,PR,1,100,62435
1752778621.627857,498820.000,13935,3,PR,1,100,62441
1752778621.667858,498860.000,13949,2,PR,1,100,62451
1752778621.707858,498900.000,13949,2,PR,1,100,62449
1752778621.747858,498940.000,13976,5,PR,1,100,62456
1752778621.787858,498980.000,13976,5,PR,1,100,62458
1752778621.827858,499020.000,13976,5,PR,1,100,62454
1752778621.867859,499060.000,13976,5,PR,1,100,62450
1752778621.907859,499100.000,13976,5,PR,1,100,62449
1752778621.947859,499140.000,13993,2,PR,1,100,62450
1752778621.987859,499180.000,13993,2,PR,1,100,62458
1752778622.027859,499220.000,14007,3,PR,1,100,62440
1752778622.067860,499260.000,14007,3,PR,1,100,62460
