RD,TS_received,TS_sent,AK,RoundTrip,
499021,499114,2025-07-17_14-57-01-835269,499116,93,
504128,504140,2025-07-17_14-57-06-942438,504142,12,
509235,509248,2025-07-17_14-57-12-049036,509249,13,
514362,514381,2025-07-17_14-57-17-181273,514383,19,
519474,519486,2025-07-17_14-57-22-287753,519487,12,
524580,524592,2025-07-17_14-57-27-392092,524593,12,
529700,529712,2025-07-17_14-57-32-516534,529713,12,
534808,534822,2025-07-17_14-57-37-621998,534823,14,
539920,545047,2025-07-17_14-57-42-739567,545048,5127,
545051,545071,2025-07-17_14-57-47-864923,545072,20,
550157,550168,2025-07-17_14-57-52-969223,550169,11,
555301,555323,2025-07-17_14-57-58-113466,555325,22,
560409,560433,2025-07-17_14-58-03-227478,560434,24,
565522,565537,2025-07-17_14-58-08-338073,565539,15,
570659,570670,2025-07-17_14-58-13-471511,570671,11,
575767,575782,2025-07-17_14-58-18-580014,575783,15,
580911,580920,2025-07-17_14-58-23-723829,580933,9,
586019,586052,2025-07-17_14-58-28-839173,586053,33,
591161,591187,2025-07-17_14-58-33-972989,591189,26,
596267,596277,2025-07-17_14-58-39-079251,596278,10,
601418,601471,2025-07-17_14-58-44-232468,601472,53,
606530,606544,2025-07-17_14-58-49-346131,606545,14,
611638,611650,2025-07-17_14-58-54-453013,611651,12,
616758,616774,2025-07-17_14-58-59-570823,616775,16,
621878,621890,2025-07-17_14-59-04-691700,621891,12,
626991,627003,2025-07-17_14-59-09-808408,627004,12,
632117,632127,2025-07-17_14-59-14-930144,632129,10,
637237,637251,2025-07-17_14-59-20-056070,637252,14,
642349,642363,2025-07-17_14-59-25-164898,642368,14,
647473,647481,2025-07-17_14-59-30-285351,647482,8,
652584,652595,2025-07-17_14-59-35-399969,652596,11,
657706,657718,2025-07-17_14-59-40-522251,657719,12,
662831,662840,2025-07-17_14-59-45-645531,662845,9,
667946,667954,2025-07-17_14-59-50-760147,667955,8,
673070,673089,2025-07-17_14-59-55-883490,673090,19,
678193,678231,2025-07-17_15-00-01-005637,678232,38,
683305,683323,2025-07-17_15-00-06-123011,683324,18,
688442,688450,2025-07-17_15-00-11-256222,688451,8,
693555,693564,2025-07-17_15-00-16-368130,693565,9,
698677,698695,2025-07-17_15-00-21-496714,698696,18,
703807,703816,2025-07-17_15-00-26-620716,703818,9,
708922,708933,2025-07-17_15-00-31-736744,708934,11,
714047,714054,2025-07-17_15-00-36-859516,714055,7,
719164,719173,2025-07-17_15-00-41-976923,719174,9,
724281,724293,2025-07-17_15-00-47-098075,724294,12,
729416,729425,2025-07-17_15-00-52-229411,729426,9,
734533,734550,2025-07-17_15-00-57-355226,734551,17,
739669,739743,2025-07-17_15-01-02-546008,739744,74,
744785,744833,2025-07-17_15-01-07-636259,744837,48,
749908,749916,2025-07-17_15-01-12-721821,749918,8,
755027,755036,2025-07-17_15-01-17-841168,755037,9,
760143,760155,2025-07-17_15-01-22-956426,760156,12,
765267,765275,2025-07-17_15-01-28-080802,765276,8,
770375,770407,2025-07-17_15-01-33-188902,770408,32,
775508,775544,2025-07-17_15-01-38-323228,775545,36,
780629,780640,2025-07-17_15-01-43-445616,780641,11,
785761,785775,2025-07-17_15-01-48-580916,785781,14,
790888,790907,2025-07-17_15-01-53-711183,790912,19,
796001,796014,2025-07-17_15-01-58-819644,796019,13,
