LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752172666.341812,271882.000,43148,1,BV,1,100,3.56
1752172671.341853,276882.000,43977,1,BV,1,100,3.56
1752172676.340894,281881.000,44816,1,BV,1,100,3.56
1752172681.340934,286881.000,45662,1,BV,1,100,3.56
1752172686.339975,291880.000,46511,1,BV,1,100,3.56
1752172691.340016,296880.000,47365,1,BV,1,100,3.56
1752172696.339056,301879.000,48220,1,BV,1,100,3.55
1752172701.339097,306879.000,49053,1,BV,1,100,3.56
1752172706.338138,311878.000,49900,1,BV,1,100,3.56
1752172711.338178,316878.000,50749,1,BV,1,100,3.56
1752172716.337219,321877.000,51597,1,BV,1,100,3.56
1752172721.337260,326877.000,52448,1,BV,1,100,3.56
1752172726.336300,331876.000,53294,1,BV,1,100,3.56
1752172731.336341,336876.000,54119,1,BV,1,100,3.56
1752172736.335382,341875.000,54967,1,BV,1,100,3.56
1752172741.335422,346875.000,55793,1,BV,1,100,3.56
1752172746.334463,351874.000,56619,1,BV,1,100,3.56
1752172751.334504,356874.000,57441,1,BV,1,100,3.56
1752172756.333544,361873.000,58206,1,BV,1,100,3.56
1752172761.333585,366873.000,59012,1,BV,1,100,3.56
1752172766.332626,371872.000,59840,1,BV,1,100,3.56
1752172771.332666,376872.000,60676,1,BV,1,100,3.56
1752172776.331707,381871.000,61502,1,BV,1,100,3.56
1752172781.331748,386871.000,62339,1,BV,1,100,3.56
1752172786.330788,391870.000,63164,1,BV,1,100,3.56
1752172791.330829,396870.000,63988,1,BV,1,100,3.56
1752172796.329870,401869.000,64794,1,BV,1,100,3.56
1752172801.329910,406869.000,84,1,BV,1,100,3.56
1752172806.328951,411868.000,911,1,BV,1,100,3.56
1752172811.328992,416868.000,1737,1,BV,1,100,3.56
1752172816.328032,421867.000,2561,1,BV,1,100,3.56
1752172821.328073,426867.000,3385,1,BV,1,100,3.56
1752172826.327114,431866.000,4227,1,BV,1,100,3.56
1752172831.327154,436866.000,5049,1,BV,1,100,3.56
1752172836.326195,441865.000,5876,1,BV,1,100,3.57
1752172841.326236,446865.000,6694,1,BV,1,100,3.56
1752172846.325276,451864.000,7515,1,BV,1,100,3.57
1752172851.325317,456864.000,8356,1,BV,1,100,3.56
1752172856.324358,461863.000,9196,1,BV,1,100,3.57
1752172861.324398,466863.000,10020,1,BV,1,100,3.57
1752172866.323439,471862.000,10843,1,BV,1,100,3.57
1752172871.323480,476862.000,11668,1,BV,1,100,3.56
1752172876.322520,481861.000,12508,1,BV,1,100,3.57
1752172881.322561,486861.000,13316,1,BV,1,100,3.57
1752172886.321602,491860.000,14158,1,BV,1,100,3.57
1752172891.321642,496860.000,14982,1,BV,1,100,3.57
1752172896.320683,501859.000,15807,1,BV,1,100,3.57
1752172901.320724,506859.000,16629,1,BV,1,100,3.57
