LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752172663.883792,269424.000,42722,3,GY,1,100,0.000
1752172663.883792,269424.000,42722,3,GY,1,100,0.275
1752172663.883792,269424.000,42722,3,GY,1,100,0.793
1752172663.923793,269464.000,42741,2,GY,1,100,0.183
1752172663.963793,269504.000,42741,2,GY,1,100,0.458
1752172664.003793,269544.000,42756,3,GY,1,100,0.458
1752172664.043794,269584.000,42756,3,GY,1,100,-0.153
1752172664.083794,269624.000,42756,3,GY,1,100,0.427
1752172664.119461,269659.667,42773,3,GY,1,100,0.641
1752172664.155128,269695.333,42773,3,GY,1,100,-0.183
1752172664.190795,269731.000,42773,3,GY,1,100,0.153
1752172664.230795,269771.000,42789,2,GY,1,100,-0.122
1752172664.270796,269811.000,42789,2,GY,1,100,-1.465
1752172664.310796,269851.000,42807,3,GY,1,100,-3.052
1752172664.350796,269891.000,42807,3,GY,1,100,-4.883
1752172664.390796,269931.000,42807,3,GY,1,100,-6.134
1752172664.430797,269971.000,42824,2,GY,1,100,-7.019
1752172664.470797,270011.000,42824,2,GY,1,100,-9.369
1752172664.510797,270051.000,42840,3,GY,1,100,-11.505
1752172664.550798,270091.000,42840,3,GY,1,100,-11.444
1752172664.590798,270131.000,42840,3,GY,1,100,-9.247
1752172664.630298,270170.500,42856,2,GY,1,100,-4.547
1752172664.669799,270210.000,42856,2,GY,1,100,-0.946
1752172664.709799,270250.000,42876,3,GY,1,100,1.892
1752172664.749799,270290.000,42876,3,GY,1,100,3.357
1752172664.789800,270330.000,42876,3,GY,1,100,1.770
1752172664.829800,270370.000,42892,3,GY,1,100,-0.275
1752172664.869800,270410.000,42892,3,GY,1,100,-0.305
1752172664.909801,270450.000,42892,3,GY,1,100,-1.160
1752172664.949801,270490.000,42907,2,GY,1,100,-2.045
1752172664.989801,270530.000,42907,2,GY,1,100,-1.160
1752172665.029802,270570.000,42926,3,GY,1,100,-1.221
1752172665.069802,270610.000,42926,3,GY,1,100,-0.702
1752172665.109802,270650.000,42926,3,GY,1,100,-0.153
1752172665.149803,270690.000,42943,2,GY,1,100,-0.183
1752172665.189803,270730.000,42943,2,GY,1,100,0.885
1752172665.229803,270770.000,42959,3,GY,1,100,1.099
1752172665.269804,270810.000,42959,3,GY,1,100,0.183
1752172665.309804,270850.000,42959,3,GY,1,100,0.519
1752172665.349804,270890.000,42975,2,GY,1,100,0.885
1752172665.389805,270930.000,42975,2,GY,1,100,1.251
1752172665.429805,270970.000,42991,3,GY,1,100,1.282
1752172665.469805,271010.000,42991,3,GY,1,100,1.251
1752172665.509806,271050.000,42991,3,GY,1,100,1.282
1752172665.549806,271090.000,43008,2,GY,1,100,1.434
1752172665.589806,271130.000,43008,2,GY,1,100,0.885
1752172665.629807,271170.000,43027,3,GY,1,100,1.251
1752172665.669807,271210.000,43027,3,GY,1,100,1.160
1752172665.709807,271250.000,43027,3,GY,1,100,0.336
1752172665.749808,271290.000,43042,2,GY,1,100,0.458
1752172665.789808,271330.000,43042,2,GY,1,100,0.946
1752172665.829808,271370.000,43058,3,GY,1,100,0.366
1752172665.869809,271410.000,43058,3,GY,1,100,0.305
1752172665.909809,271450.000,43058,3,GY,1,100,0.549
1752172665.949809,271490.000,43075,2,GY,1,100,0.244
1752172665.989809,271530.000,43075,2,GY,1,100,-0.610
1752172666.029810,271570.000,43092,3,GY,1,100,-0.854
1752172666.069810,271610.000,43092,3,GY,1,100,-0.397
1752172666.109810,271650.000,43092,3,GY,1,100,-0.153
1752172666.149811,271690.000,43109,2,GY,1,100,-0.031
1752172666.189811,271730.000,43109,2,GY,1,100,0.671
1752172666.229811,271770.000,43125,3,GY,1,100,0.641
1752172666.269812,271810.000,43125,3,GY,1,100,0.580
1752172666.309812,271850.000,43125,3,GY,1,100,0.244
1752172666.349812,271890.000,43143,3,GY,1,100,0.366
1752172666.389813,271930.000,43143,3,GY,1,100,0.519
1752172666.429813,271970.000,43143,3,GY,1,100,0.183
1752172666.469813,272010.000,43161,2,GY,1,100,0.153
1752172666.509814,272050.000,43161,2,GY,1,100,0.671
1752172666.549814,272090.000,43176,3,GY,1,100,0.214
1752172666.589814,272130.000,43176,3,GY,1,100,-0.885
1752172666.629815,272170.000,43176,3,GY,1,100,-0.885
1752172666.669815,272210.000,43193,2,GY,1,100,-0.305
1752172666.709815,272250.000,43193,2,GY,1,100,-0.244
1752172666.749816,272290.000,43212,3,GY,1,100,0.305
1752172666.789816,272330.000,43212,3,GY,1,100,0.427
1752172666.829816,272370.000,43212,3,GY,1,100,0.214
1752172666.869817,272410.000,43228,2,GY,1,100,0.183
1752172666.909817,272450.000,43228,2,GY,1,100,0.336
1752172666.949817,272490.000,43244,3,GY,1,100,0.427
1752172666.989818,272530.000,43244,3,GY,1,100,0.122
1752172667.029818,272570.000,43244,3,GY,1,100,0.610
1752172667.069818,272610.000,43260,2,GY,1,100,0.854
1752172667.109819,272650.000,43260,2,GY,1,100,0.275
1752172667.149819,272690.000,43277,3,GY,1,100,0.519
1752172667.189819,272730.000,43277,3,GY,1,100,-0.031
1752172667.229820,272770.000,43277,3,GY,1,100,0.000
1752172667.269820,272810.000,43295,2,GY,1,100,0.580
1752172667.309820,272850.000,43295,2,GY,1,100,0.916
1752172667.349821,272890.000,43313,3,GY,1,100,1.556
1752172667.389821,272930.000,43313,3,GY,1,100,1.556
1752172667.429821,272970.000,43313,3,GY,1,100,1.007
1752172667.469822,273010.000,43334,4,GY,1,100,0.610
1752172667.509822,273050.000,43334,4,GY,1,100,0.519
1752172667.549822,273090.000,43334,4,GY,1,100,0.122
1752172667.589822,273130.000,43334,4,GY,1,100,1.068
1752172667.629823,273170.000,43349,2,GY,1,100,1.434
1752172667.669823,273210.000,43349,2,GY,1,100,0.580
1752172667.709823,273250.000,43366,3,GY,1,100,0.732
1752172667.749824,273290.000,43366,3,GY,1,100,0.397
1752172667.789824,273330.000,43366,3,GY,1,100,-0.122
1752172667.829824,273370.000,43383,2,GY,1,100,0.092
1752172667.869825,273410.000,43383,2,GY,1,100,0.214
1752172667.909825,273450.000,43401,3,GY,1,100,0.031
1752172667.949825,273490.000,43401,3,GY,1,100,-0.183
1752172667.989826,273530.000,43401,3,GY,1,100,0.122
1752172668.029826,273570.000,43418,2,GY,1,100,0.427
1752172668.069826,273610.000,43418,2,GY,1,100,0.641
1752172668.109827,273650.000,43433,3,GY,1,100,0.854
1752172668.149827,273690.000,43433,3,GY,1,100,1.434
1752172668.189827,273730.000,43433,3,GY,1,100,0.854
1752172668.225161,273765.333,43450,3,GY,1,100,1.099
1752172668.260495,273800.667,43450,3,GY,1,100,1.190
1752172668.295828,273836.000,43450,3,GY,1,100,0.519
1752172668.336329,273876.500,43467,2,GY,1,100,0.427
1752172668.376829,273917.000,43467,2,GY,1,100,0.214
1752172668.416496,273956.667,43486,3,GY,1,100,-0.061
1752172668.456163,273996.333,43486,3,GY,1,100,0.397
1752172668.495830,274036.000,43486,3,GY,1,100,0.946
1752172668.535830,274076.000,43500,2,GY,1,100,0.916
1752172668.575831,274116.000,43500,2,GY,1,100,0.885
1752172668.615831,274156.000,43518,3,GY,1,100,0.610
1752172668.655831,274196.000,43518,3,GY,1,100,0.458
1752172668.695831,274236.000,43518,3,GY,1,100,0.000
1752172668.735832,274276.000,43534,3,GY,1,100,0.397
