LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752172663.883792,269424.000,42726,3,MZ,1,100,-80
1752172663.883792,269424.000,42726,3,MZ,1,100,-80
1752172663.883792,269424.000,42726,3,MZ,1,100,-81
1752172663.923793,269464.000,42745,2,MZ,1,100,-83
1752172663.963793,269504.000,42745,2,MZ,1,100,-79
1752172664.003793,269544.000,42760,3,MZ,1,100,-79
1752172664.043794,269584.000,42760,3,MZ,1,100,-81
1752172664.083794,269624.000,42760,3,MZ,1,100,-80
1752172664.119461,269659.667,42777,3,MZ,1,100,-79
1752172664.155128,269695.333,42777,3,MZ,1,100,-80
1752172664.190795,269731.000,42777,3,MZ,1,100,-81
1752172664.230795,269771.000,42793,2,MZ,1,100,-81
1752172664.270796,269811.000,42793,2,MZ,1,100,-81
1752172664.310796,269851.000,42811,3,MZ,1,100,-81
1752172664.350796,269891.000,42811,3,MZ,1,100,-81
1752172664.390796,269931.000,42811,3,MZ,1,100,-79
1752172664.430797,269971.000,42828,2,MZ,1,100,-81
1752172664.470797,270011.000,42828,2,MZ,1,100,-82
1752172664.510797,270051.000,42844,3,MZ,1,100,-83
1752172664.550798,270091.000,42844,3,MZ,1,100,-83
1752172664.590798,270131.000,42844,3,MZ,1,100,-83
1752172664.630298,270170.500,42860,2,MZ,1,100,-83
1752172664.669799,270210.000,42860,2,MZ,1,100,-84
1752172664.709799,270250.000,42880,3,MZ,1,100,-82
1752172664.749799,270290.000,42880,3,MZ,1,100,-83
1752172664.789800,270330.000,42880,3,MZ,1,100,-84
1752172664.829800,270370.000,42896,3,MZ,1,100,-82
1752172664.869800,270410.000,42896,3,MZ,1,100,-83
1752172664.909801,270450.000,42896,3,MZ,1,100,-82
1752172664.949801,270490.000,42911,2,MZ,1,100,-85
1752172664.989801,270530.000,42911,2,MZ,1,100,-83
1752172665.029802,270570.000,42930,3,MZ,1,100,-83
1752172665.069802,270610.000,42930,3,MZ,1,100,-83
1752172665.109802,270650.000,42930,3,MZ,1,100,-84
1752172665.149803,270690.000,42947,2,MZ,1,100,-84
1752172665.189803,270730.000,42947,2,MZ,1,100,-84
1752172665.229803,270770.000,42963,3,MZ,1,100,-82
1752172665.269804,270810.000,42963,3,MZ,1,100,-85
1752172665.309804,270850.000,42963,3,MZ,1,100,-83
1752172665.349804,270890.000,42979,2,MZ,1,100,-83
1752172665.389805,270930.000,42979,2,MZ,1,100,-84
1752172665.429805,270970.000,42995,3,MZ,1,100,-83
1752172665.469805,271010.000,42995,3,MZ,1,100,-83
1752172665.509806,271050.000,42995,3,MZ,1,100,-83
1752172665.549806,271090.000,43012,2,MZ,1,100,-83
1752172665.589806,271130.000,43012,2,MZ,1,100,-82
1752172665.629807,271170.000,43031,3,MZ,1,100,-83
1752172665.669807,271210.000,43031,3,MZ,1,100,-83
1752172665.709807,271250.000,43031,3,MZ,1,100,-82
1752172665.749808,271290.000,43046,2,MZ,1,100,-82
1752172665.789808,271330.000,43046,2,MZ,1,100,-83
1752172665.829808,271370.000,43062,3,MZ,1,100,-83
1752172665.869809,271410.000,43062,3,MZ,1,100,-82
1752172665.909809,271450.000,43062,3,MZ,1,100,-84
1752172665.949809,271490.000,43079,2,MZ,1,100,-83
1752172665.989809,271530.000,43079,2,MZ,1,100,-83
1752172666.029810,271570.000,43096,3,MZ,1,100,-83
1752172666.069810,271610.000,43096,3,MZ,1,100,-83
1752172666.109810,271650.000,43096,3,MZ,1,100,-84
1752172666.149811,271690.000,43113,2,MZ,1,100,-83
1752172666.189811,271730.000,43113,2,MZ,1,100,-81
1752172666.229811,271770.000,43129,3,MZ,1,100,-82
1752172666.269812,271810.000,43129,3,MZ,1,100,-84
1752172666.309812,271850.000,43129,3,MZ,1,100,-83
1752172666.349812,271890.000,43147,3,MZ,1,100,-83
1752172666.389813,271930.000,43147,3,MZ,1,100,-83
1752172666.429813,271970.000,43147,3,MZ,1,100,-83
1752172666.469813,272010.000,43165,2,MZ,1,100,-83
1752172666.509814,272050.000,43165,2,MZ,1,100,-83
1752172666.549814,272090.000,43180,3,MZ,1,100,-83
1752172666.589814,272130.000,43180,3,MZ,1,100,-83
1752172666.629815,272170.000,43180,3,MZ,1,100,-83
1752172666.669815,272210.000,43197,2,MZ,1,100,-83
1752172666.709815,272250.000,43197,2,MZ,1,100,-83
1752172666.749816,272290.000,43216,3,MZ,1,100,-84
1752172666.789816,272330.000,43216,3,MZ,1,100,-82
1752172666.829816,272370.000,43216,3,MZ,1,100,-83
1752172666.869817,272410.000,43232,2,MZ,1,100,-84
1752172666.909817,272450.000,43232,2,MZ,1,100,-84
1752172666.949817,272490.000,43248,3,MZ,1,100,-82
1752172666.989818,272530.000,43248,3,MZ,1,100,-82
1752172667.029818,272570.000,43248,3,MZ,1,100,-83
1752172667.069818,272610.000,43264,2,MZ,1,100,-82
1752172667.109819,272650.000,43264,2,MZ,1,100,-83
1752172667.149819,272690.000,43281,3,MZ,1,100,-82
1752172667.189819,272730.000,43281,3,MZ,1,100,-83
1752172667.229820,272770.000,43281,3,MZ,1,100,-83
1752172667.269820,272810.000,43299,2,MZ,1,100,-83
1752172667.309820,272850.000,43299,2,MZ,1,100,-84
1752172667.349821,272890.000,43317,3,MZ,1,100,-84
1752172667.389821,272930.000,43317,3,MZ,1,100,-83
