LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752172663.790792,269331.000,42706,1,PI,1,100,154603
1752172663.830792,269371.000,42711,2,PI,1,100,154632
1752172663.870792,269411.000,42711,2,PI,1,100,154628
1752172663.910793,269451.000,42730,3,PI,1,100,154662
1752172663.950793,269491.000,42730,3,PI,1,100,154687
1752172663.990793,269531.000,42730,3,PI,1,100,154700
1752172664.030794,269571.000,42747,2,PI,1,100,154721
1752172664.070794,269611.000,42747,2,PI,1,100,154733
1752172664.110794,269651.000,42762,3,PI,1,100,154758
1752172664.150795,269691.000,42762,3,PI,1,100,154727
1752172664.190795,269731.000,42762,3,PI,1,100,154627
1752172664.230795,269771.000,42778,2,PI,1,100,154606
1752172664.270796,269811.000,42778,2,PI,1,100,154594
1752172664.310796,269851.000,42796,3,PI,1,100,154596
1752172664.350796,269891.000,42796,3,PI,1,100,154639
1752172664.390796,269931.000,42796,3,PI,1,100,154639
1752172664.430797,269971.000,42814,2,PI,1,100,154649
1752172664.470797,270011.000,42814,2,PI,1,100,154691
1752172664.510797,270051.000,42830,3,PI,1,100,154716
1752172664.550798,270091.000,42830,3,PI,1,100,154715
1752172664.590798,270131.000,42830,3,PI,1,100,154730
1752172664.637298,270177.500,42845,2,PI,1,100,154752
1752172664.683799,270224.000,42845,2,PI,1,100,154786
1752172664.723799,270264.000,42865,3,PI,1,100,154759
1752172664.763800,270304.000,42865,3,PI,1,100,154713
1752172664.803800,270344.000,42865,3,PI,1,100,154656
1752172664.843800,270384.000,42881,2,PI,1,100,154619
1752172664.883800,270424.000,42881,2,PI,1,100,154641
1752172664.923801,270464.000,42898,3,PI,1,100,154661
1752172664.963801,270504.000,42898,3,PI,1,100,154692
1752172665.003801,270544.000,42898,3,PI,1,100,154682
1752172665.043802,270584.000,42915,2,PI,1,100,154703
1752172665.083802,270624.000,42915,2,PI,1,100,154725
1752172665.123802,270664.000,42932,3,PI,1,100,154736
1752172665.163803,270704.000,42932,3,PI,1,100,154743
1752172665.203803,270744.000,42932,3,PI,1,100,154763
1752172665.243803,270784.000,42948,2,PI,1,100,154787
1752172665.283804,270824.000,42948,2,PI,1,100,154757
1752172665.323804,270864.000,42966,3,PI,1,100,154668
1752172665.363804,270904.000,42966,3,PI,1,100,154659
1752172665.403805,270944.000,42966,3,PI,1,100,154649
1752172665.443805,270984.000,42980,2,PI,1,100,154653
1752172665.483805,271024.000,42980,2,PI,1,100,154673
1752172665.523806,271064.000,42997,3,PI,1,100,154684
1752172665.563806,271104.000,42997,3,PI,1,100,154693
1752172665.603806,271144.000,42997,3,PI,1,100,154711
1752172665.643807,271184.000,43016,2,PI,1,100,154747
1752172665.683807,271224.000,43016,2,PI,1,100,154758
1752172665.723807,271264.000,43033,3,PI,1,100,154754
1752172665.763808,271304.000,43033,3,PI,1,100,154780
1752172665.803808,271344.000,43033,3,PI,1,100,154802
1752172665.843808,271384.000,43047,3,PI,1,100,154753
1752172665.883809,271424.000,43047,3,PI,1,100,154674
1752172665.923809,271464.000,43047,3,PI,1,100,154620
1752172665.963809,271504.000,43064,2,PI,1,100,154657
1752172666.003810,271544.000,43064,2,PI,1,100,154658
1752172666.043810,271584.000,43081,3,PI,1,100,154658
1752172666.083810,271624.000,43081,3,PI,1,100,154674
1752172666.123811,271664.000,43081,3,PI,1,100,154696
1752172666.163811,271704.000,43100,2,PI,1,100,154699
1752172666.203811,271744.000,43100,2,PI,1,100,154726
1752172666.243812,271784.000,43114,3,PI,1,100,154744
1752172666.283812,271824.000,43114,3,PI,1,100,154756
1752172666.323812,271864.000,43114,3,PI,1,100,154761
1752172666.363813,271904.000,43132,2,PI,1,100,154789
1752172666.403813,271944.000,43132,2,PI,1,100,154803
1752172666.443813,271984.000,43150,3,PI,1,100,154689
1752172666.483814,272024.000,43150,3,PI,1,100,154645
1752172666.523814,272064.000,43150,3,PI,1,100,154654
1752172666.563814,272104.000,43167,2,PI,1,100,154630
1752172666.603814,272144.000,43167,2,PI,1,100,154647
1752172666.643815,272184.000,43182,3,PI,1,100,154686
1752172666.683815,272224.000,43182,3,PI,1,100,154678
1752172666.723815,272264.000,43182,3,PI,1,100,154681
1752172666.763816,272304.000,43201,2,PI,1,100,154718
1752172666.803816,272344.000,43201,2,PI,1,100,154736
1752172666.843816,272384.000,43217,3,PI,1,100,154751
1752172666.883817,272424.000,43217,3,PI,1,100,154751
1752172666.923817,272464.000,43217,3,PI,1,100,154781
1752172666.963817,272504.000,43234,2,PI,1,100,154765
1752172667.003818,272544.000,43234,2,PI,1,100,154694
1752172667.043818,272584.000,43250,3,PI,1,100,154639
1752172667.083818,272624.000,43250,3,PI,1,100,154644
1752172667.123819,272664.000,43250,3,PI,1,100,154642
1752172667.163819,272704.000,43266,2,PI,1,100,154654
1752172667.203819,272744.000,43266,2,PI,1,100,154671
1752172667.243820,272784.000,43284,3,PI,1,100,154649
1752172667.283820,272824.000,43284,3,PI,1,100,154721
1752172667.323820,272864.000,43284,3,PI,1,100,154725
1752172667.363821,272904.000,43302,3,PI,1,100,154741
1752172667.403821,272944.000,43302,3,PI,1,100,154750
1752172667.443821,272984.000,43302,3,PI,1,100,154769
1752172667.483822,273024.000,43323,3,PI,1,100,154792
1752172667.523822,273064.000,43323,3,PI,1,100,154789
1752172667.563822,273104.000,43323,3,PI,1,100,154724
1752172667.603823,273144.000,43340,3,PI,1,100,154679
1752172667.643823,273184.000,43340,3,PI,1,100,154648
1752172667.683823,273224.000,43340,3,PI,1,100,154654
1752172667.723824,273264.000,43355,2,PI,1,100,154675
1752172667.763824,273304.000,43355,2,PI,1,100,154674
1752172667.803824,273344.000,43372,3,PI,1,100,154683
1752172667.843825,273384.000,43372,3,PI,1,100,154707
1752172667.883825,273424.000,43372,3,PI,1,100,154709
1752172667.923825,273464.000,43390,3,PI,1,100,154738
1752172667.963826,273504.000,43390,3,PI,1,100,154758
1752172668.003826,273544.000,43390,3,PI,1,100,154763
1752172668.043826,273584.000,43408,2,PI,1,100,154761
1752172668.083827,273624.000,43408,2,PI,1,100,154782
1752172668.123827,273664.000,43423,3,PI,1,100,154743
1752172668.163827,273704.000,43423,3,PI,1,100,154677
1752172668.203827,273744.000,43423,3,PI,1,100,154671
1752172668.243828,273784.000,43439,2,PI,1,100,154676
1752172668.283828,273824.000,43439,2,PI,1,100,154688
1752172668.323828,273864.000,43456,3,PI,1,100,154703
1752172668.363829,273904.000,43456,3,PI,1,100,154715
1752172668.403829,273944.000,43456,3,PI,1,100,154714
1752172668.443829,273984.000,43475,2,PI,1,100,154727
1752172668.483830,274024.000,43475,2,PI,1,100,154746
1752172668.523830,274064.000,43491,3,PI,1,100,154762
1752172668.563830,274104.000,43491,3,PI,1,100,154772
1752172668.603831,274144.000,43491,3,PI,1,100,154775
1752172668.643831,274184.000,43507,2,PI,1,100,154745
1752172668.683831,274224.000,43507,2,PI,1,100,154671
1752172668.723832,274264.000,43523,3,PI,1,100,154637
1752172668.763832,274304.000,43523,3,PI,1,100,154642
1752172668.803832,274344.000,43523,3,PI,1,100,154669
