LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752172663.850792,269391.000,42717,1,TH,1,100,38.397
1752172663.983793,269524.000,42736,1,TH,1,100,38.438
1752172664.117794,269658.000,42768,1,TH,1,100,38.438
1752172664.250795,269791.000,42784,1,TH,1,100,38.414
1752172664.383796,269924.000,42802,1,TH,1,100,38.414
1752172664.517798,270058.000,42835,1,TH,1,100,38.445
1752172664.650799,270191.000,42851,1,TH,1,100,38.445
1752172664.783800,270324.000,42871,1,TH,1,100,38.454
1752172664.916801,270457.000,42887,1,TH,1,100,38.461
1752172665.050802,270591.000,42921,1,TH,1,100,38.464
1752172665.183803,270724.000,42938,1,TH,1,100,38.464
1752172665.316804,270857.000,42954,1,TH,1,100,38.377
1752172665.450805,270991.000,42986,1,TH,1,100,38.377
1752172665.583806,271124.000,43003,1,TH,1,100,38.423
1752172665.716807,271257.000,43022,1,TH,1,100,38.423
1752172665.850808,271391.000,43053,1,TH,1,100,38.442
1752172665.983809,271524.000,43070,1,TH,1,100,38.442
1752172666.116811,271657.000,43087,1,TH,1,100,38.433
1752172666.250812,271791.000,43120,1,TH,1,100,38.433
1752172666.383813,271924.000,43138,1,TH,1,100,38.466
1752172666.516814,272057.000,43156,1,TH,1,100,38.473
1752172666.650815,272191.000,43188,1,TH,1,100,38.471
1752172666.783816,272324.000,43207,1,TH,1,100,38.471
1752172666.916817,272457.000,43223,1,TH,1,100,38.437
1752172667.050818,272591.000,43255,1,TH,1,100,38.437
1752172667.183819,272724.000,43272,1,TH,1,100,38.466
1752172667.316820,272857.000,43290,1,TH,1,100,38.466
1752172667.450821,272991.000,43308,1,TH,1,100,38.425
1752172667.583822,273124.000,43329,1,TH,1,100,38.425
1752172667.716824,273257.000,43361,1,TH,1,100,38.401
1752172667.850825,273391.000,43378,1,TH,1,100,38.408
1752172667.983826,273524.000,43396,1,TH,1,100,38.471
1752172668.116827,273657.000,43428,1,TH,1,100,38.471
1752172668.250828,273791.000,43445,1,TH,1,100,38.516
1752172668.383829,273924.000,43462,1,TH,1,100,38.516
1752172668.516830,274057.000,43481,1,TH,1,100,38.468
1752172668.650831,274191.000,43513,1,TH,1,100,38.468
1752172668.783832,274324.000,43529,1,TH,1,100,38.533
1752172668.916833,274457.000,43546,1,TH,1,100,38.533
1752172669.049834,274590.000,43582,1,TH,1,100,38.475
1752172669.183835,274724.000,43598,1,TH,1,100,38.483
1752172669.316837,274857.000,43615,1,TH,1,100,38.411
1752172669.449838,274990.000,43649,1,TH,1,100,38.411
1752172669.583839,275124.000,43667,1,TH,1,100,38.444
1752172669.716840,275257.000,43687,1,TH,1,100,38.444
1752172669.849841,275390.000,43720,1,TH,1,100,38.564
1752172669.983842,275524.000,43736,1,TH,1,100,38.564
1752172670.116843,275657.000,43758,1,TH,1,100,38.439
1752172670.249844,275790.000,43791,1,TH,1,100,38.439
1752172670.383845,275924.000,43808,1,TH,1,100,38.542
1752172670.516846,276057.000,43827,1,TH,1,100,38.542
1752172670.649847,276190.000,43861,1,TH,1,100,38.470
1752172670.783848,276324.000,43879,1,TH,1,100,38.470
1752172670.916850,276457.000,43896,1,TH,1,100,38.566
1752172671.049851,276590.000,43915,1,TH,1,100,38.573
1752172671.183852,276724.000,43950,1,TH,1,100,38.463
1752172671.316853,276857.000,43967,1,TH,1,100,38.463
1752172671.449854,276990.000,43986,1,TH,1,100,38.434
1752172671.582855,277123.000,44019,1,TH,1,100,38.434
1752172671.716856,277257.000,44037,1,TH,1,100,38.506
1752172671.849857,277390.000,44055,1,TH,1,100,38.506
1752172671.982858,277523.000,44089,1,TH,1,100,38.463
1752172672.116859,277657.000,44106,1,TH,1,100,38.463
1752172672.249860,277790.000,44122,1,TH,1,100,38.545
1752172672.383861,277924.000,44156,1,TH,1,100,38.552
1752172672.516863,278057.000,44173,1,TH,1,100,38.559
1752172672.649864,278190.000,44196,1,TH,1,100,38.559
1752172672.782865,278323.000,44212,1,TH,1,100,38.502
1752172672.916866,278457.000,44231,1,TH,1,100,38.502
1752172673.049867,278590.000,44263,1,TH,1,100,38.478
1752172673.182868,278723.000,44279,1,TH,1,100,38.478
1752172673.316869,278857.000,44296,1,TH,1,100,38.571
1752172673.449870,278990.000,44330,1,TH,1,100,38.571
1752172673.582871,279123.000,44346,1,TH,1,100,38.614
1752172673.716872,279257.000,44364,1,TH,1,100,38.614
1752172673.849873,279390.000,44395,1,TH,1,100,38.521
1752172673.982874,279523.000,44415,1,TH,1,100,38.521
1752172674.116876,279657.000,44433,1,TH,1,100,38.494
1752172674.249877,279790.000,44466,1,TH,1,100,38.494
1752172674.382878,279923.000,44483,1,TH,1,100,38.528
1752172674.516879,280057.000,44500,1,TH,1,100,38.535
1752172674.649880,280190.000,44536,1,TH,1,100,38.542
1752172674.782881,280323.000,44552,1,TH,1,100,38.542
1752172674.916882,280457.000,44569,1,TH,1,100,38.588
1752172675.049883,280590.000,44586,1,TH,1,100,38.588
1752172675.182884,280723.000,44621,1,TH,1,100,38.566
1752172675.315885,280856.000,44638,1,TH,1,100,38.566
1752172675.449886,280990.000,44655,1,TH,1,100,38.432
1752172675.582888,281123.000,44688,1,TH,1,100,38.432
1752172675.715889,281256.000,44706,1,TH,1,100,38.547
1752172675.849890,281390.000,44724,1,TH,1,100,38.547
1752172675.982891,281523.000,44756,1,TH,1,100,38.563
1752172676.115892,281656.000,44773,1,TH,1,100,38.571
1752172676.249893,281790.000,44791,1,TH,1,100,38.602
1752172676.382894,281923.000,44825,1,TH,1,100,38.602
1752172676.515895,282056.000,44842,1,TH,1,100,38.523
1752172676.649896,282190.000,44858,1,TH,1,100,38.523
1752172676.782897,282323.000,44892,1,TH,1,100,38.587
1752172676.915898,282456.000,44911,1,TH,1,100,38.587
1752172677.049899,282590.000,44928,1,TH,1,100,38.542
1752172677.182901,282723.000,44945,1,TH,1,100,38.542
1752172677.315902,282856.000,44979,1,TH,1,100,38.528
1752172677.449903,282990.000,44995,1,TH,1,100,38.528
1752172677.582904,283123.000,45012,1,TH,1,100,38.580
1752172677.715905,283256.000,45051,1,TH,1,100,38.588
1752172677.849906,283390.000,45068,1,TH,1,100,38.601
1752172677.982907,283523.000,45085,1,TH,1,100,38.601
1752172678.115908,283656.000,45104,1,TH,1,100,38.575
1752172678.248909,283789.000,45137,1,TH,1,100,38.575
1752172678.382910,283923.000,45157,1,TH,1,100,38.554
1752172678.515911,284056.000,45173,1,TH,1,100,38.554
1752172678.649912,284190.000,45192,1,TH,1,100,38.566
1752172678.782914,284323.000,45224,1,TH,1,100,38.566
1752172678.915915,284456.000,45240,1,TH,1,100,38.597
1752172679.048916,284589.000,45262,1,TH,1,100,38.597
1752172679.182917,284723.000,45293,1,TH,1,100,38.501
1752172679.315918,284856.000,45309,1,TH,1,100,38.508
1752172679.448919,284989.000,45329,1,TH,1,100,38.558
1752172679.582920,285123.000,45364,1,TH,1,100,38.558
1752172679.715921,285256.000,45381,1,TH,1,100,38.525
1752172679.848922,285389.000,45398,1,TH,1,100,38.525
1752172679.982923,285523.000,45430,1,TH,1,100,38.515
1752172680.115924,285656.000,45448,1,TH,1,100,38.515
1752172680.248925,285789.000,45465,1,TH,1,100,38.577
1752172680.382927,285923.000,45499,1,TH,1,100,38.577
1752172680.515928,286056.000,45515,1,TH,1,100,38.690
1752172680.648929,286189.000,45532,1,TH,1,100,38.690
1752172680.782930,286323.000,45551,1,TH,1,100,38.654
1752172680.915931,286456.000,45582,1,TH,1,100,38.661
1752172681.048932,286589.000,45600,1,TH,1,100,38.601
1752172681.182933,286723.000,45616,1,TH,1,100,38.601
1752172681.315934,286856.000,45652,1,TH,1,100,38.549
1752172681.448935,286989.000,45671,1,TH,1,100,38.549
1752172681.581936,287122.000,45689,1,TH,1,100,38.702
1752172681.715937,287256.000,45723,1,TH,1,100,38.702
1752172681.848938,287389.000,45740,1,TH,1,100,38.597
1752172681.982940,287523.000,45756,1,TH,1,100,38.604
1752172682.115941,287656.000,45790,1,TH,1,100,38.570
1752172682.248942,287789.000,45807,1,TH,1,100,38.570
1752172682.381943,287922.000,45826,1,TH,1,100,38.642
1752172682.515944,288056.000,45859,1,TH,1,100,38.642
1752172682.648945,288189.000,45876,1,TH,1,100,38.577
1752172682.781946,288322.000,45893,1,TH,1,100,38.577
1752172682.915947,288456.000,45919,1,TH,1,100,38.549
1752172683.048948,288589.000,45936,1,TH,1,100,38.549
1752172683.181949,288722.000,45967,1,TH,1,100,38.685
1752172683.315950,288856.000,45984,1,TH,1,100,38.685
1752172683.448951,288989.000,46001,1,TH,1,100,38.575
1752172683.581953,289122.000,46036,1,TH,1,100,38.582
1752172683.715954,289256.000,46054,1,TH,1,100,38.592
1752172683.848955,289389.000,46070,1,TH,1,100,38.592
1752172683.981956,289522.000,46104,1,TH,1,100,38.620
1752172684.115957,289656.000,46123,1,TH,1,100,38.620
