LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752172667.491822,273032.000,43318,1,TL,1,100,2025-07-10_14-37-42-480048
1752172667.500822,273041.000,43321,1,TL,1,100,2025-07-10_14-37-47-496818
1752172672.604863,278145.000,44183,1,TL,1,100,2025-07-10_14-37-47-619461
1752172672.630864,278171.000,44186,1,TL,1,100,2025-07-10_14-37-52-616468
1752172677.723905,283264.000,45036,1,TL,1,100,2025-07-10_14-37-52-734734
1752172677.732905,283273.000,45039,1,TL,1,100,2025-07-10_14-37-57-729405
1752172682.835947,288376.000,45903,1,TL,1,100,2025-07-10_14-37-57-871548
1752172682.846947,288387.000,45906,1,TL,1,100,2025-07-10_14-38-02-841281
1752172687.956988,293497.000,46774,1,TL,1,100,2025-07-10_14-38-02-968044
1752172687.967988,293508.000,46777,1,TL,1,100,2025-07-10_14-38-07-964805
1752172693.086030,298626.000,47648,1,TL,1,100,2025-07-10_14-38-08-091198
1752172693.099030,298639.000,47651,1,TL,1,100,2025-07-10_14-38-13-091992
1752172698.195071,303735.000,48515,1,TL,1,100,2025-07-10_14-38-13-215404
1752172698.216072,303756.000,48518,1,TL,1,100,2025-07-10_14-38-18-201919
1752172703.310113,308850.000,49378,1,TL,1,100,2025-07-10_14-38-18-326329
1752172703.353113,308893.000,49381,1,TL,1,100,2025-07-10_14-38-23-322914
1752172708.422155,313962.000,50242,1,TL,1,100,2025-07-10_14-38-23-447200
1752172708.433155,313973.000,50245,1,TL,1,100,2025-07-10_14-38-28-429934
1752172713.548196,319088.000,51109,1,TL,1,100,2025-07-10_14-38-28-562437
1752172713.562196,319102.000,51112,1,TL,1,100,2025-07-10_14-38-33-557336
1752172718.667238,324207.000,51976,1,TL,1,100,2025-07-10_14-38-33-693877
1752172718.680238,324220.000,51979,1,TL,1,100,2025-07-10_14-38-38-672369
1752172723.787280,329327.000,52844,1,TL,1,100,2025-07-10_14-38-38-805526
1752172723.803280,329343.000,52847,1,TL,1,100,2025-07-10_14-38-43-792575
1752172728.907321,334447.000,53709,1,TL,1,100,2025-07-10_14-38-43-925565
1752172728.946322,334486.000,53712,1,TL,1,100,2025-07-10_14-38-48-916839
