RD,TS_received,TS_sent,AK,RoundTrip,
273033,273041,2025-07-10_14-37-47-496818,273042,8,
278147,278171,2025-07-10_14-37-52-616468,278172,24,
283266,283273,2025-07-10_14-37-57-729405,283276,7,
288378,288387,2025-07-10_14-38-02-841281,288388,9,
293499,293508,2025-07-10_14-38-07-964805,293509,9,
298628,298639,2025-07-10_14-38-13-091992,298640,11,
303737,303756,2025-07-10_14-38-18-201919,303757,19,
308856,308893,2025-07-10_14-38-23-322914,308894,37,
313963,313973,2025-07-10_14-38-28-429934,313974,10,
319089,319102,2025-07-10_14-38-33-557336,319105,13,
324209,324220,2025-07-10_14-38-38-672369,324221,11,
329329,329343,2025-07-10_14-38-43-792575,329345,14,
334448,334486,2025-07-10_14-38-48-916839,334487,38,
339572,339582,2025-07-10_14-38-54-037489,339583,10,
344688,349810,2025-07-10_14-38-59-152639,349811,5122,
349817,349830,2025-07-10_14-39-04-283690,349831,13,
354929,354939,2025-07-10_14-39-09-394352,354940,10,
360037,360044,2025-07-10_14-39-14-500712,360045,7,
365152,370258,2025-07-10_14-39-20-256282,370259,5106,
370262,370270,2025-07-10_14-39-24-725660,370271,8,
375384,375394,2025-07-10_14-39-29-850994,375395,10,
380497,380525,2025-07-10_14-39-34-961009,380526,28,
385605,385614,2025-07-10_14-39-40-069753,385616,9,
390721,390734,2025-07-10_14-39-45-190217,390735,13,
395841,395853,2025-07-10_14-39-50-310007,395854,12,
400961,400975,2025-07-10_14-39-55-426599,400980,14,
406083,406114,2025-07-10_14-40-00-551364,406118,31,
411194,411215,2025-07-10_14-40-05-666370,411217,21,
416304,416401,2025-07-10_14-40-10-857765,416402,97,
421414,426520,2025-07-10_14-40-15-967390,426521,5106,
426523,426531,2025-07-10_14-40-20-987068,426532,8,
431630,431644,2025-07-10_14-40-26-095233,431645,14,
436771,436788,2025-07-10_14-40-31-241452,436790,17,
441877,441888,2025-07-10_14-40-36-342094,441889,11,
447015,452127,2025-07-10_14-40-41-575246,452128,5112,
452131,452163,2025-07-10_14-40-46-597336,452167,32,
457236,457248,2025-07-10_14-40-51-704804,457249,12,
462373,462382,2025-07-10_14-40-56-838475,462383,9,
467487,467500,2025-07-10_14-41-01-952811,467501,13,
472593,472612,2025-07-10_14-41-07-059572,472613,19,
477718,477780,2025-07-10_14-41-12-182647,477781,62,
482825,487944,2025-07-10_14-41-17-421626,487945,5119,
487951,487968,2025-07-10_14-41-22-424145,487969,17,
493057,493070,2025-07-10_14-41-27-525669,493071,13,
498194,498208,2025-07-10_14-41-32-662698,498209,14,
503300,508407,2025-07-10_14-41-38-005136,508408,5107,
508410,513527,2025-07-10_14-41-42-876540,513529,5117,
513535,513543,2025-07-10_14-41-48-000778,513547,8,
518641,518655,2025-07-10_14-41-53-111215,518656,14,
523762,523788,2025-07-10_14-41-58-229250,523789,26,
528870,528883,2025-07-10_14-42-03-338568,528884,13,
533978,539092,2025-07-10_14-42-08-443798,539093,5114,
539101,539110,2025-07-10_14-42-13-566558,539111,9,
544200,
549310,
