LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752617372.328581,286938.000,44520,2,AK,1,100,43724
1752617372.328581,286938.000,44520,2,AK,1,100,RD
1752617372.338581,286948.000,44523,2,AK,1,100,44521
1752617372.348581,286958.000,44523,2,AK,1,100,RD
1752617374.901572,289511.000,45359,2,AK,1,100,44521
1752617377.454563,292064.000,45359,2,AK,1,100,RD
1752617377.460563,292070.000,45362,2,AK,1,100,45360
1752617377.466563,292076.000,45362,2,AK,1,100,RD
1752617380.037054,294646.500,46204,2,AK,1,100,45360
1752617382.607545,297217.000,46204,2,AK,1,100,RD
1752617382.613545,297223.000,46207,2,AK,1,100,46205
1752617382.619545,297229.000,46207,2,AK,1,100,RD
1752617385.170536,299780.000,47064,2,AK,1,100,46205
1752617387.721527,302331.000,47064,2,AK,1,100,RD
1752617387.760027,302369.500,47067,2,AK,1,100,47065
1752617387.798527,302408.000,47067,2,AK,1,100,RD
1752617390.318518,304928.000,47905,2,AK,1,100,47065
1752617392.838509,307448.000,47905,2,AK,1,100,RD
1752617392.845509,307455.000,47908,2,AK,1,100,47906
1752617392.852509,307462.000,47908,2,AK,1,100,RD
1752617395.407500,310017.000,48754,2,AK,1,100,47906
1752617397.962491,312572.000,48754,2,AK,1,100,RD
1752617397.973991,312583.500,48757,2,AK,1,100,48755
1752617397.985491,312595.000,48757,2,AK,1,100,RD
1752617400.531982,315141.500,49610,2,AK,1,100,48755
1752617403.078473,317688.000,49610,2,AK,1,100,RD
1752617403.092473,317702.000,49613,2,AK,1,100,49611
1752617403.106473,317716.000,49613,2,AK,1,100,RD
1752617405.657964,320267.500,50455,2,AK,1,100,49611
1752617408.209455,322819.000,50455,2,AK,1,100,RD
1752617408.227455,322837.000,50458,2,AK,1,100,50456
1752617408.245455,322855.000,50458,2,AK,1,100,RD
1752617410.787946,325397.500,51291,2,AK,1,100,50456
1752617413.330438,327940.000,51291,2,AK,1,100,RD
1752617413.357437,327967.000,51294,2,AK,1,100,51292
1752617413.384437,327994.000,51294,2,AK,1,100,RD
1752617415.912928,330522.500,52124,2,AK,1,100,51292
1752617418.441420,333051.000,52124,2,AK,1,100,RD
1752617418.449420,333059.000,52127,2,AK,1,100,52125
1752617418.457420,333067.000,52127,2,AK,1,100,RD
1752617421.013911,335623.500,52955,2,AK,1,100,52125
1752617423.570402,338180.000,52955,2,AK,1,100,RD
1752617423.577902,338187.500,52958,2,AK,1,100,52956
1752617423.585402,338195.000,52958,2,AK,1,100,RD
1752617426.137393,340747.000,53785,2,AK,1,100,52956
1752617428.689384,343299.000,53785,2,AK,1,100,RD
1752617428.695884,343305.500,53788,2,AK,1,100,53786
1752617428.702384,343312.000,53788,2,AK,1,100,RD
1752617431.255375,345865.000,54618,2,AK,1,100,53786
1752617433.808366,348418.000,54618,2,AK,1,100,RD
1752617433.822866,348432.500,54621,2,AK,1,100,54619
1752617433.837366,348447.000,54621,2,AK,1,100,RD
1752617436.379357,350989.000,55446,2,AK,1,100,54619
1752617438.921348,353531.000,55446,2,AK,1,100,RD
1752617438.933848,353543.500,55449,2,AK,1,100,55447
1752617438.946348,353556.000,55449,2,AK,1,100,RD
1752617441.496839,356106.500,56276,2,AK,1,100,55447
1752617444.047330,358657.000,56276,2,AK,1,100,RD
1752617444.053830,358663.500,56279,2,AK,1,100,56277
1752617444.060330,358670.000,56279,2,AK,1,100,RD
1752617446.610321,361220.000,57106,2,AK,1,100,56277
1752617449.160312,363770.000,57106,2,AK,1,100,RD
1752617449.166312,363776.000,57109,2,AK,1,100,57107
1752617449.172312,363782.000,57109,2,AK,1,100,RD
1752617451.723803,366333.500,57931,2,AK,1,100,57107
1752617454.275294,368885.000,57931,2,AK,1,100,RD
1752617454.280294,368890.000,57934,2,AK,1,100,57932
1752617454.285294,368895.000,57934,2,AK,1,100,RD
1752617456.842285,371452.000,58763,2,AK,1,100,57932
1752617459.399276,374009.000,58763,2,AK,1,100,RD
1752617459.412276,374022.000,58766,2,AK,1,100,58764
1752617459.425276,374035.000,58766,2,AK,1,100,RD
1752617461.971267,376581.000,59588,2,AK,1,100,58764
1752617464.517258,379127.000,59588,2,AK,1,100,RD
1752617464.522258,379132.000,59591,2,AK,1,100,59589
1752617464.527258,379137.000,59591,2,AK,1,100,RD
1752617467.080749,381690.500,60416,2,AK,1,100,59589
1752617469.634241,384244.000,60416,2,AK,1,100,RD
1752617472.187732,386797.500,61229,2,AK,1,100,60417
1752617474.741223,389351.000,61229,2,AK,1,100,RD
1752617474.742723,389352.500,61231,2,AK,1,100,60417
1752617474.744223,389354.000,61231,2,AK,1,100,RD
1752617474.753223,389363.000,61234,2,AK,1,100,61232
1752617474.762223,389372.000,61234,2,AK,1,100,RD
1752617477.309714,391919.500,62059,2,AK,1,100,61232
1752617479.857205,394467.000,62059,2,AK,1,100,RD
1752617479.867205,394477.000,62062,2,AK,1,100,62060
1752617479.877205,394487.000,62062,2,AK,1,100,RD
1752617482.423696,397033.500,62889,2,AK,1,100,62060
