LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752617372.425581,287035,44524,1,BI,1,100,1840
1752617374.518573,289128,44874,1,BI,1,100,2080
1752617375.118571,289728,44974,1,BI,1,100,600
1752617376.278567,290888,45154,1,BI,1,100,1160
1752617378.518559,293128,45530,1,BI,1,100,2240
1752617382.010547,296620,46102,1,BI,1,100,3480
1752617382.890544,297500,46245,1,BI,1,100,880
1752617383.584542,298194,46361,1,BI,1,100,680
1752617384.743538,299353,46546,1,BI,1,100,1160
1752617386.103533,300713,46782,1,BI,1,100,1360
1752617386.823530,301433,46904,1,BI,1,100,720
1752617387.503528,302113,47028,1,BI,1,100,680
1752617388.116526,302726,47119,1,BI,1,100,600
1752617389.596521,304206,47371,1,BI,1,100,1480
1752617390.396518,305006,47506,1,BI,1,100,800
1752617392.236511,306846,47803,1,BI,1,100,1840
1752617394.569503,309179,48179,1,BI,1,100,2320
1752617395.369500,309979,48314,1,BI,1,100,800
1752617396.049498,310659,48431,1,BI,1,100,680
1752617396.889495,311499,48565,1,BI,1,100,840
1752617397.502493,312112,48670,1,BI,1,100,600
1752617398.302490,312912,48810,1,BI,1,100,800
1752617399.702485,314312,49051,1,BI,1,100,1400
1752617404.715468,319325,49882,1,BI,1,100,5000
1752617406.395462,321005,50151,1,BI,1,100,1680
1752617407.048459,321658,50250,1,BI,1,100,640
1752617410.728447,325338,50858,1,BI,1,100,3680
1752617415.140431,329750,51575,1,BI,1,100,4400
1752617415.820429,330430,51691,1,BI,1,100,680
1752617417.474423,332084,51958,1,BI,1,100,1640
1752617418.274420,332884,52090,1,BI,1,100,800
1752617418.913418,333523,52194,1,BI,1,100,640
1752617420.927411,335537,52524,1,BI,1,100,2000
1752617422.166407,336776,52722,1,BI,1,100,1240
1752617422.886404,337496,52839,1,BI,1,100,720
1752617424.126400,338736,53042,1,BI,1,100,1240
1752617426.179393,340789,53370,1,BI,1,100,2040
1752617426.939390,341549,53502,1,BI,1,100,760
1752617428.739384,343349,53790,1,BI,1,100,1800
1752617430.152379,344762,54021,1,BI,1,100,1400
1752617430.712377,345322,54105,1,BI,1,100,560
1752617432.752370,347362,54435,1,BI,1,100,2040
1752617433.472367,348082,54567,1,BI,1,100,720
1752617436.085358,350695,54982,1,BI,1,100,2600
1752617437.925351,352535,55280,1,BI,1,100,1840
1752617439.338347,353948,55499,1,BI,1,100,1400
1752617442.498335,357108,56027,1,BI,1,100,3160
1752617443.058334,357668,56112,1,BI,1,100,560
1752617444.431329,359041,56331,1,BI,1,100,1360
1752617445.951323,360561,56577,1,BI,1,100,1520
1752617449.044313,363654,57088,1,BI,1,100,3080
1752617451.524304,366134,57485,1,BI,1,100,2480
1752617454.457294,369067,57953,1,BI,1,100,2920
1752617455.816289,370426,58184,1,BI,1,100,1360
1752617456.456287,371066,58283,1,BI,1,100,640
1752617459.029278,373639,58696,1,BI,1,100,2560
1752617464.522258,379132,59593,1,BI,1,100,5480
1752617467.855247,382465,60119,1,BI,1,100,3320
1752617472.668230,387278,60896,1,BI,1,100,4800
1752617473.428227,388038,61012,1,BI,1,100,760
1752617474.068225,388678,61127,1,BI,1,100,640
1752617477.801212,392411,61729,1,BI,1,100,3720
1752617479.561206,394171,62007,1,BI,1,100,1760
1752617481.414199,396024,62309,1,BI,1,100,1840
1752617482.654195,397264,62510,1,BI,1,100,1240
1752617484.587188,399197,62821,1,BI,1,100,1920
1752617487.947176,402557,63371,1,BI,1,100,3360
1752617488.746174,403356,63503,1,BI,1,100,800
1752617490.000169,404610,63701,1,BI,1,100,1240
1752617491.519164,406129,63937,1,BI,1,100,1520
1752617491.959162,406569,64022,1,BI,1,100,440
1752617493.853156,408463,64318,1,BI,1,100,1880
1752617494.373154,408983,64419,1,BI,1,100,520
1752617497.692142,412302,64952,1,BI,1,100,3320
1752617499.665136,414275,65263,1,BI,1,100,1960
1752617500.345133,414955,65384,1,BI,1,100,680
1752617501.025131,415635,65483,1,BI,1,100,680
