LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752617377.229564,291839.000,45339,1,BV,1,100,3.57
1752617382.228546,296838.000,46153,1,BV,1,100,3.57
1752617387.228529,301838.000,46992,1,BV,1,100,3.57
1752617392.227511,306837.000,47821,1,BV,1,100,3.57
1752617397.227494,311837.000,48651,1,BV,1,100,3.57
1752617402.226476,316836.000,49474,1,BV,1,100,3.58
1752617407.226459,321836.000,50301,1,BV,1,100,3.57
1752617412.225441,326835.000,51120,1,BV,1,100,3.57
1752617417.225424,331835.000,51939,1,BV,1,100,3.57
1752617422.224406,336834.000,52755,1,BV,1,100,3.58
1752617427.224389,341834.000,53552,1,BV,1,100,3.57
1752617432.223371,346833.000,54367,1,BV,1,100,3.57
1752617437.223354,351833.000,55181,1,BV,1,100,3.58
1752617442.222336,356832.000,55992,1,BV,1,100,3.58
1752617447.222319,361832.000,56808,1,BV,1,100,3.58
1752617452.221301,366831.000,57618,1,BV,1,100,3.57
1752617457.221284,371831.000,58415,1,BV,1,100,3.58
1752617462.220266,376830.000,59225,1,BV,1,100,3.58
1752617467.220249,381830.000,60037,1,BV,1,100,3.58
1752617472.219232,386829.000,60828,1,BV,1,100,3.58
1752617477.219214,391829.000,61645,1,BV,1,100,3.58
1752617482.218197,396828.000,62457,1,BV,1,100,3.58
1752617487.218179,401828.000,63270,1,BV,1,100,3.58
1752617492.217162,406827.000,64071,1,BV,1,100,3.58
1752617497.217144,411827.000,64884,1,BV,1,100,3.58
1752617502.216127,416826.000,161,1,BV,1,100,3.58
1752617507.216109,421826.000,969,1,BV,1,100,3.58
1752617512.216092,426826.000,1778,1,BV,1,100,3.58
1752617517.215074,431825.000,2567,1,BV,1,100,3.58
1752617522.214057,436824.000,3392,1,BV,1,100,3.59
1752617527.214039,441824.000,4197,1,BV,1,100,3.58
1752617532.213022,446823.000,5006,1,BV,1,100,3.59
1752617537.213004,451823.000,5829,1,BV,1,100,3.59
1752617542.211987,456822.000,6636,1,BV,1,100,3.59
1752617547.211969,461822.000,7437,1,BV,1,100,3.59
1752617552.210952,466821.000,8264,1,BV,1,100,3.59
1752617557.210934,471821.000,8654,1,BV,1,100,3.59
1752617562.209917,476820.000,9460,1,BV,1,100,3.59
1752617567.209899,481820.000,10285,1,BV,1,100,3.59
