LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752617372.397581,287007.000,44532,2,EL,1,100,-17456.800781
1752617372.397581,287007.000,44532,2,EL,1,100,-17462.599609
1752617372.464080,287073.500,44549,2,EL,1,100,-17469.000000
1752617372.530580,287140.000,44549,2,EL,1,100,-17472.800781
1752617372.597580,287207.000,44566,1,EL,1,100,-17477.000000
1752617372.664080,287273.500,44583,2,EL,1,100,-17482.000000
1752617372.730580,287340.000,44583,2,EL,1,100,-17488.400391
1752617372.797579,287407.000,44599,1,EL,1,100,-17495.400391
1752617372.864079,287473.500,44615,2,EL,1,100,-17500.199219
1752617372.930579,287540.000,44615,2,EL,1,100,-17503.199219
1752617372.997579,287607.000,44631,1,EL,1,100,-17505.599609
1752617373.064078,287673.500,44648,2,EL,1,100,-17506.599609
1752617373.130578,287740.000,44648,2,EL,1,100,-17504.400391
1752617373.197578,287807.000,44664,1,EL,1,100,-17501.599609
1752617373.264078,287873.500,44680,2,EL,1,100,-17504.800781
1752617373.330577,287940.000,44680,2,EL,1,100,-17512.800781
1752617373.397577,288007.000,44696,1,EL,1,100,-17534.400391
1752617373.464077,288073.500,44713,2,EL,1,100,-17577.800781
1752617373.530577,288140.000,44713,2,EL,1,100,-17655.000000
1752617373.597577,288207.000,44730,1,EL,1,100,-17667.199219
1752617373.664076,288273.500,44745,2,EL,1,100,-17666.199219
1752617373.730576,288340.000,44745,2,EL,1,100,-17668.599609
1752617373.797576,288407.000,44763,1,EL,1,100,-17671.000000
1752617373.864076,288473.500,44781,2,EL,1,100,-17672.599609
1752617373.930575,288540.000,44781,2,EL,1,100,-17673.400391
1752617373.997575,288607.000,44797,1,EL,1,100,-17674.199219
1752617374.064075,288673.500,44812,2,EL,1,100,-17676.400391
1752617374.130575,288740.000,44812,2,EL,1,100,-17676.800781
1752617374.197574,288807.000,44828,1,EL,1,100,-17678.199219
1752617374.264074,288873.500,44846,2,EL,1,100,-17680.000000
1752617374.330574,288940.000,44846,2,EL,1,100,-17681.800781
1752617374.397574,289007.000,44862,1,EL,1,100,-17683.800781
1752617374.464073,289073.500,44880,2,EL,1,100,-17685.800781
1752617374.530573,289140.000,44880,2,EL,1,100,-17686.400391
