LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752617372.298581,286908.000,44506,4,EM,1,100,RS
1752617372.298581,286908.000,44506,4,EM,1,100,RB
1752617372.298581,286908.000,44506,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617372.298581,286908.000,44506,4,EM,1,100,PS
1752617372.348831,286958.250,44544,4,EM,1,100,RS
1752617372.399081,287008.500,44544,4,EM,1,100,RB
1752617372.449331,287058.750,44544,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617372.499580,287109.000,44544,4,EM,1,100,PS
1752617372.549830,287159.250,44578,4,EM,1,100,RS
1752617372.600080,287209.500,44578,4,EM,1,100,RB
1752617372.650330,287259.750,44578,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617372.700580,287310.000,44578,4,EM,1,100,PS
1752617372.750829,287360.250,44609,4,EM,1,100,RS
1752617372.801079,287410.500,44609,4,EM,1,100,RB
1752617372.851329,287460.750,44609,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617372.901579,287511.000,44609,4,EM,1,100,PS
1752617372.952579,287562.000,44643,4,EM,1,100,RS
1752617373.003579,287613.000,44643,4,EM,1,100,RB
1752617373.054578,287664.000,44643,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617373.105578,287715.000,44643,4,EM,1,100,PS
1752617373.155828,287765.250,44674,4,EM,1,100,RS
1752617373.206078,287815.500,44674,4,EM,1,100,RB
1752617373.256328,287865.750,44674,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617373.306578,287916.000,44674,4,EM,1,100,PS
1752617373.356827,287966.250,44708,4,EM,1,100,RS
1752617373.407077,288016.500,44708,4,EM,1,100,RB
1752617373.457327,288066.750,44708,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617373.507577,288117.000,44708,4,EM,1,100,PS
1752617373.557827,288167.250,44740,4,EM,1,100,RS
1752617373.608076,288217.500,44740,4,EM,1,100,RB
1752617373.658326,288267.750,44740,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617373.708576,288318.000,44740,4,EM,1,100,PS
1752617373.759076,288368.500,44775,4,EM,1,100,RS
1752617373.809576,288419.000,44775,4,EM,1,100,RB
1752617373.860076,288469.500,44775,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617373.910575,288520.000,44775,4,EM,1,100,PS
1752617373.960825,288570.250,44807,4,EM,1,100,RS
1752617374.011075,288620.500,44807,4,EM,1,100,RB
1752617374.061325,288670.750,44807,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617374.111575,288721.000,44807,4,EM,1,100,PS
1752617374.161825,288771.250,44840,4,EM,1,100,RS
1752617374.212074,288821.500,44840,4,EM,1,100,RB
1752617374.262324,288871.750,44840,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617374.312574,288922.000,44840,4,EM,1,100,PS
1752617374.362824,288972.250,44873,4,EM,1,100,RS
1752617374.413074,289022.500,44873,4,EM,1,100,RB
1752617374.463323,289072.750,44873,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617374.513573,289123.000,44873,4,EM,1,100,PS
1752617374.563823,289173.250,44908,4,EM,1,100,RS
1752617374.614073,289223.500,44908,4,EM,1,100,RB
1752617374.664323,289273.750,44908,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617374.714573,289324.000,44908,4,EM,1,100,PS
1752617374.764822,289374.250,44941,4,EM,1,100,RS
1752617374.815072,289424.500,44941,4,EM,1,100,RB
1752617374.865322,289474.750,44941,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617374.915572,289525.000,44941,4,EM,1,100,PS
1752617374.966572,289576.000,44973,4,EM,1,100,RS
1752617375.017572,289627.000,44973,4,EM,1,100,RB
1752617375.068571,289678.000,44973,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617375.119571,289729.000,44973,4,EM,1,100,PS
1752617375.169571,289779.000,45009,4,EM,1,100,RS
1752617375.219571,289829.000,45009,4,EM,1,100,RB
1752617375.269571,289879.000,45009,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617375.319570,289929.000,45009,4,EM,1,100,PS
1752617375.370820,289980.250,45040,4,EM,1,100,RS
1752617375.422070,290031.500,45040,4,EM,1,100,RB
1752617375.473320,290082.750,45040,4,EM,1,100,2025-07-15_18-09-31-471018.csv
1752617375.524570,290134.000,45040,4,EM,1,100,PS
