LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752617372.278581,286888.000,44515,1,GZ,1,100,0.488
1752617372.318248,286927.667,44540,3,GZ,1,100,0.519
1752617372.357914,286967.333,44540,3,GZ,1,100,0.763
1752617372.397581,287007.000,44540,3,GZ,1,100,1.068
1752617372.437914,287047.333,44557,3,GZ,1,100,0.885
1752617372.478247,287087.667,44557,3,GZ,1,100,0.488
1752617372.518580,287128.000,44557,3,GZ,1,100,0.092
1752617372.558247,287167.667,44574,3,GZ,1,100,0.641
1752617372.597913,287207.333,44574,3,GZ,1,100,0.671
1752617372.637580,287247.000,44574,3,GZ,1,100,0.305
1752617372.677580,287287.000,44591,2,GZ,1,100,0.793
1752617372.717580,287327.000,44591,2,GZ,1,100,0.671
1752617372.757579,287367.000,44605,3,GZ,1,100,0.549
1752617372.797579,287407.000,44605,3,GZ,1,100,0.519
1752617372.837579,287447.000,44605,3,GZ,1,100,0.732
1752617372.877579,287487.000,44623,2,GZ,1,100,0.885
1752617372.917579,287527.000,44623,2,GZ,1,100,1.038
1752617372.957579,287567.000,44639,3,GZ,1,100,0.397
1752617372.997579,287607.000,44639,3,GZ,1,100,0.366
1752617373.037578,287647.000,44639,3,GZ,1,100,0.732
1752617373.077578,287687.000,44656,2,GZ,1,100,0.763
1752617373.117578,287727.000,44656,2,GZ,1,100,0.519
1752617373.157911,287767.333,44670,3,GZ,1,100,-0.153
1752617373.198245,287807.667,44670,3,GZ,1,100,0.092
1752617373.238578,287848.000,44670,3,GZ,1,100,0.122
1752617373.278078,287887.500,44688,2,GZ,1,100,-0.122
1752617373.317577,287927.000,44688,2,GZ,1,100,0.183
1752617373.357577,287967.000,44704,3,GZ,1,100,0.732
1752617373.397577,288007.000,44704,3,GZ,1,100,0.183
1752617373.437577,288047.000,44704,3,GZ,1,100,-0.031
1752617373.477577,288087.000,44721,2,GZ,1,100,-0.580
1752617373.517577,288127.000,44721,2,GZ,1,100,-0.793
1752617373.557577,288167.000,44736,3,GZ,1,100,-0.061
1752617373.597577,288207.000,44736,3,GZ,1,100,0.671
1752617373.637576,288247.000,44736,3,GZ,1,100,1.587
1752617373.677576,288287.000,44753,2,GZ,1,100,1.068
1752617373.717576,288327.000,44753,2,GZ,1,100,-0.061
1752617373.757576,288367.000,44771,3,GZ,1,100,1.221
1752617373.797576,288407.000,44771,3,GZ,1,100,0.885
1752617373.837576,288447.000,44771,3,GZ,1,100,-0.763
1752617373.877576,288487.000,44789,2,GZ,1,100,-0.397
1752617373.917575,288527.000,44789,2,GZ,1,100,0.244
1752617373.957575,288567.000,44803,3,GZ,1,100,-0.122
1752617373.997575,288607.000,44803,3,GZ,1,100,-0.610
1752617374.037575,288647.000,44803,3,GZ,1,100,-0.824
1752617374.077908,288687.333,44820,3,GZ,1,100,-1.404
1752617374.118241,288727.667,44820,3,GZ,1,100,-0.244
1752617374.158575,288768.000,44820,3,GZ,1,100,0.610
1752617374.198574,288808.000,44836,2,GZ,1,100,0.580
1752617374.238574,288848.000,44836,2,GZ,1,100,0.244
1752617374.278574,288888.000,44854,3,GZ,1,100,0.946
1752617374.318574,288928.000,44854,3,GZ,1,100,1.007
1752617374.358574,288968.000,44854,3,GZ,1,100,0.732
1752617374.398574,289008.000,44869,2,GZ,1,100,0.763
1752617374.438574,289048.000,44869,2,GZ,1,100,0.916
1752617374.478573,289088.000,44887,3,GZ,1,100,0.916
1752617374.518573,289128.000,44887,3,GZ,1,100,0.275
1752617374.558573,289168.000,44887,3,GZ,1,100,0.153
1752617374.598573,289208.000,44904,2,GZ,1,100,0.458
