LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752617372.425581,287035,44525,1,HR,1,100,50.47
1752617374.518573,289128,44875,1,HR,1,100,45.66
1752617375.118571,289728,44975,1,HR,1,100,57.74
1752617376.278567,290888,45155,1,HR,1,100,56.40
1752617378.518559,293128,45531,1,HR,1,100,49.82
1752617382.010547,296620,46103,1,HR,1,100,42.58
1752617382.890544,297500,46246,1,HR,1,100,48.27
1752617383.584542,298194,46362,1,HR,1,100,57.15
1752617384.743538,299353,46547,1,HR,1,100,55.95
1752617386.103533,300713,46783,1,HR,1,100,53.32
1752617386.823530,301433,46905,1,HR,1,100,59.99
1752617387.503528,302113,47029,1,HR,1,100,66.26
1752617388.116526,302726,47120,1,HR,1,100,73.76
1752617389.596521,304206,47372,1,HR,1,100,66.38
1752617390.396518,305006,47507,1,HR,1,100,68.29
1752617392.236511,306846,47804,1,HR,1,100,60.36
1752617394.569503,309179,48180,1,HR,1,100,52.70
1752617395.369500,309979,48315,1,HR,1,100,57.65
1752617396.049498,310659,48432,1,HR,1,100,64.45
1752617396.889495,311499,48566,1,HR,1,100,66.00
1752617397.502493,312112,48671,1,HR,1,100,73.56
1752617398.302490,312912,48811,1,HR,1,100,73.88
1752617399.702485,314312,49052,1,HR,1,100,66.98
1752617404.715468,319325,49883,1,HR,1,100,54.76
1752617406.395462,321005,50152,1,HR,1,100,50.53
1752617407.048459,321658,50251,1,HR,1,100,60.14
1752617410.728447,325338,50859,1,HR,1,100,50.39
1752617415.140431,329750,51576,1,HR,1,100,42.23
1752617415.820429,330430,51692,1,HR,1,100,52.45
1752617417.474423,332084,51959,1,HR,1,100,48.92
1752617418.274420,332884,52091,1,HR,1,100,54.72
1752617418.913418,333523,52195,1,HR,1,100,63.39
1752617420.927411,335537,52525,1,HR,1,100,55.97
1752617422.166407,336776,52723,1,HR,1,100,54.29
1752617422.886404,337496,52840,1,HR,1,100,60.74
1752617424.126400,338736,53043,1,HR,1,100,58.00
1752617426.179393,340789,53371,1,HR,1,100,51.64
1752617426.939390,341549,53503,1,HR,1,100,57.71
1752617428.739384,343349,53791,1,HR,1,100,52.29
1752617430.152379,344762,54022,1,HR,1,100,50.20
1752617430.712377,345322,54106,1,HR,1,100,62.85
1752617432.752370,347362,54436,1,HR,1,100,55.42
1752617433.472367,348082,54568,1,HR,1,100,61.62
1752617436.085358,350695,54983,1,HR,1,100,53.06
1752617437.925351,352535,55281,1,HR,1,100,48.51
1752617439.338347,353948,55500,1,HR,1,100,47.26
1752617442.498335,357108,56028,1,HR,1,100,40.97
1752617443.058334,357668,56113,1,HR,1,100,55.68
1752617444.431329,359041,56332,1,HR,1,100,53.11
1752617445.951323,360561,56578,1,HR,1,100,50.08
1752617449.044313,363654,57089,1,HR,1,100,43.28
1752617451.524304,366134,57486,1,HR,1,100,39.04
1752617454.457294,369067,57954,1,HR,1,100,34.93
1752617455.816289,370426,58185,1,HR,1,100,36.97
1752617456.456287,371066,58284,1,HR,1,100,49.59
1752617459.029278,373639,58697,1,HR,1,100,43.78
1752617464.522258,379132,59594,1,HR,1,100,36.48
1752617467.855247,382465,60120,1,HR,1,100,32.39
1752617472.668230,387278,60897,1,HR,1,100,27.97
1752617473.428227,388038,61013,1,HR,1,100,39.30
1752617474.068225,388678,61128,1,HR,1,100,51.40
1752617477.801212,392411,61730,1,HR,1,100,43.56
1752617479.561206,394171,62008,1,HR,1,100,41.46
1752617481.414199,396024,62310,1,HR,1,100,39.49
1752617482.654195,397264,62511,1,HR,1,100,41.47
1752617484.587188,399197,62822,1,HR,1,100,39.20
1752617487.947176,402557,63372,1,HR,1,100,34.45
1752617488.746174,403356,63504,1,HR,1,100,43.47
1752617490.000169,404610,63702,1,HR,1,100,44.56
1752617491.519164,406129,63938,1,HR,1,100,43.43
1752617491.959162,406569,64023,1,HR,1,100,64.08
1752617493.853156,408463,64319,1,HR,1,100,56.93
1752617494.373154,408983,64420,1,HR,1,100,69.92
1752617497.692142,412302,64953,1,HR,1,100,58.40
1752617499.665136,414275,65264,1,HR,1,100,52.22
1752617500.345133,414955,65385,1,HR,1,100,60.23
1752617501.025131,415635,65484,1,HR,1,100,66.45
1752617507.531108,422141,1004,1,HR,1,100,53.74
1752617509.331102,423941,1301,1,HR,1,100,49.21
1752617515.384081,429994,2272,1,HR,1,100,40.48
1752617517.317074,431927,2570,1,HR,1,100,38.43
1752617518.517070,433127,2768,1,HR,1,100,41.00
1752617519.717065,434327,2968,1,HR,1,100,43.00
1752617526.503042,441113,4066,1,HR,1,100,35.42
1752617528.462035,443072,4379,1,HR,1,100,34.35
1752617529.222032,443832,4511,1,HR,1,100,44.26
1752617529.876030,444486,4612,1,HR,1,100,55.26
1752617530.676027,445286,4745,1,HR,1,100,59.65
1752617537.088005,451698,5780,1,HR,1,100,48.47
1752617538.288000,452898,5979,1,HR,1,100,48.81
1752617539.100998,453711,6112,1,HR,1,100,54.63
1752617541.020991,455631,6423,1,HR,1,100,49.44
1752617548.046966,462657,7571,1,HR,1,100,40.35
1752617548.646964,463257,7672,1,HR,1,100,53.61
1752617549.126962,463737,7739,1,HR,1,100,69.48
1752617550.246959,464857,7920,1,HR,1,100,65.94
1752617560.272923,474883,9130,1,HR,1,100,52.62
1752617560.805922,475416,9214,1,HR,1,100,66.57
1752617561.405920,476016,9313,1,HR,1,100,74.00
1752617563.285913,477896,9629,1,HR,1,100,64.65
1752617566.098903,480709,10087,1,HR,1,100,55.04
1752617566.658901,481269,10171,1,HR,1,100,66.62
1752617571.990882,486601,11040,1,HR,1,100,54.32
1752617572.630880,487241,11141,1,HR,1,100,63.08
1752617573.230878,487841,11241,1,HR,1,100,71.29
1752617573.910876,488521,11356,1,HR,1,100,75.05
1752617575.083872,489694,11540,1,HR,1,100,69.87
1752617578.936858,493547,12164,1,HR,1,100,57.81
1752617581.496849,496107,12589,1,HR,1,100,50.17
1752617584.269840,498880,13034,1,HR,1,100,43.86
1752617586.069833,500680,13331,1,HR,1,100,41.52
1752617589.322822,503933,13857,1,HR,1,100,36.41
1752617591.122816,505733,14153,1,HR,1,100,35.72
1752617592.495811,507106,14368,1,HR,1,100,37.59
1752617593.855806,508466,14599,1,HR,1,100,39.04
1752617595.095802,509706,14797,1,HR,1,100,41.12
1752617596.415797,511026,15011,1,HR,1,100,42.08
1752617599.028788,513639,15440,1,HR,1,100,37.86
1752617600.148784,514759,15621,1,HR,1,100,41.35
1752617600.908781,515519,15738,1,HR,1,100,49.71
1752617601.521779,516132,15837,1,HR,1,100,60.88
1752617607.334759,521945,16774,1,HR,1,100,49.65
1752617609.333752,523944,17104,1,HR,1,100,45.28
1752617610.587747,525198,17318,1,HR,1,100,45.97
1752617611.306745,525917,17434,1,HR,1,100,54.28
1752617611.866743,526477,17517,1,HR,1,100,66.02
1752617614.999732,529610,18027,1,HR,1,100,55.63
1752617616.279728,530890,18241,1,HR,1,100,53.68
1752617631.398675,546009,20683,1,HR,1,100,42.64
1752617632.038672,546649,20782,1,HR,1,100,53.99
1752617632.651670,547262,20885,1,HR,1,100,64.22
1752617633.331668,547942,21000,1,HR,1,100,69.56
1752617634.011666,548622,21116,1,HR,1,100,73.71
1752617634.571664,549182,21199,1,HR,1,100,81.14
1752617645.036627,559647,22887,1,HR,1,100,64.38
1752617645.596625,560207,22987,1,HR,1,100,73.89
1752617647.689618,562300,23318,1,HR,1,100,63.88
1752617650.289609,564900,23744,1,HR,1,100,54.81
1752617653.982596,568593,24352,1,HR,1,100,46.25
1752617656.835586,571446,24810,1,HR,1,100,40.67
1752617658.835579,573446,25126,1,HR,1,100,38.30
1752617659.475576,574086,25241,1,HR,1,100,50.62
1752617662.248567,576859,25685,1,HR,1,100,44.20
1752617663.408563,578019,25868,1,HR,1,100,45.87
1752617667.061550,581672,26457,1,HR,1,100,39.34
1752617668.501545,583112,26707,1,HR,1,100,39.86
1752617669.114543,583725,26806,1,HR,1,100,53.22
1752617674.407524,589018,27660,1,HR,1,100,43.92
1752617676.967515,591578,28069,1,HR,1,100,39.37
1752617685.832484,600443,29512,1,HR,1,100,32.13
1752617693.818456,608429,30791,1,HR,1,100,26.66
1752617695.898449,610509,31136,1,HR,1,100,27.15
1752617699.391437,614002,31696,1,HR,1,100,24.95
1752617713.230388,627841,33939,1,HR,1,100,20.37
1752617720.536363,635147,35119,1,HR,1,100,17.67
1752617721.415360,636026,35269,1,HR,1,100,28.90
1752617722.655355,637266,35469,1,HR,1,100,33.23
1752617724.548349,639159,35779,1,HR,1,100,32.94
1752617732.814320,647425,37109,1,HR,1,100,27.24
1752617734.974312,649585,37453,1,HR,1,100,27.36
1752617739.667296,654278,38226,1,HR,1,100,24.13
1752617747.693268,662304,39521,1,HR,1,100,20.43
1752617748.373265,662984,39637,1,HR,1,100,35.50
1752617751.186256,665797,40080,1,HR,1,100,32.37
1752617752.386251,666997,40280,1,HR,1,100,36.29
