LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752617372.278581,286888.000,44518,1,MZ,1,100,-58
1752617372.318248,286927.667,44543,3,MZ,1,100,-58
1752617372.357914,286967.333,44543,3,MZ,1,100,-58
1752617372.397581,287007.000,44543,3,MZ,1,100,-59
1752617372.437914,287047.333,44560,3,MZ,1,100,-58
1752617372.478247,287087.667,44560,3,MZ,1,100,-58
1752617372.518580,287128.000,44560,3,MZ,1,100,-57
1752617372.558247,287167.667,44577,3,MZ,1,100,-58
1752617372.597913,287207.333,44577,3,MZ,1,100,-57
1752617372.637580,287247.000,44577,3,MZ,1,100,-58
1752617372.677580,287287.000,44594,2,MZ,1,100,-59
1752617372.717580,287327.000,44594,2,MZ,1,100,-58
1752617372.757579,287367.000,44608,3,MZ,1,100,-58
1752617372.797579,287407.000,44608,3,MZ,1,100,-58
1752617372.837579,287447.000,44608,3,MZ,1,100,-58
1752617372.877579,287487.000,44626,2,MZ,1,100,-60
1752617372.917579,287527.000,44626,2,MZ,1,100,-58
1752617372.957579,287567.000,44642,3,MZ,1,100,-57
1752617372.997579,287607.000,44642,3,MZ,1,100,-57
1752617373.037578,287647.000,44642,3,MZ,1,100,-57
1752617373.077578,287687.000,44659,2,MZ,1,100,-59
1752617373.117578,287727.000,44659,2,MZ,1,100,-57
1752617373.157911,287767.333,44673,3,MZ,1,100,-58
1752617373.198245,287807.667,44673,3,MZ,1,100,-58
1752617373.238578,287848.000,44673,3,MZ,1,100,-58
1752617373.278078,287887.500,44691,2,MZ,1,100,-58
1752617373.317577,287927.000,44691,2,MZ,1,100,-58
1752617373.357577,287967.000,44707,3,MZ,1,100,-57
1752617373.397577,288007.000,44707,3,MZ,1,100,-59
1752617373.437577,288047.000,44707,3,MZ,1,100,-58
1752617373.477577,288087.000,44724,2,MZ,1,100,-59
1752617373.517577,288127.000,44724,2,MZ,1,100,-58
1752617373.557577,288167.000,44739,3,MZ,1,100,-58
1752617373.597577,288207.000,44739,3,MZ,1,100,-58
1752617373.637576,288247.000,44739,3,MZ,1,100,-59
1752617373.677576,288287.000,44756,2,MZ,1,100,-59
1752617373.717576,288327.000,44756,2,MZ,1,100,-57
1752617373.757576,288367.000,44774,3,MZ,1,100,-59
1752617373.797576,288407.000,44774,3,MZ,1,100,-58
1752617373.837576,288447.000,44774,3,MZ,1,100,-58
1752617373.877576,288487.000,44792,2,MZ,1,100,-59
1752617373.917575,288527.000,44792,2,MZ,1,100,-58
1752617373.957575,288567.000,44806,3,MZ,1,100,-58
1752617373.997575,288607.000,44806,3,MZ,1,100,-60
1752617374.037575,288647.000,44806,3,MZ,1,100,-58
1752617374.077908,288687.333,44823,3,MZ,1,100,-58
1752617374.118241,288727.667,44823,3,MZ,1,100,-58
1752617374.158575,288768.000,44823,3,MZ,1,100,-58
1752617374.198574,288808.000,44839,2,MZ,1,100,-58
1752617374.238574,288848.000,44839,2,MZ,1,100,-59
1752617374.278574,288888.000,44857,3,MZ,1,100,-58
1752617374.318574,288928.000,44857,3,MZ,1,100,-58
1752617374.358574,288968.000,44857,3,MZ,1,100,-57
1752617374.398574,289008.000,44872,2,MZ,1,100,-60
1752617374.438574,289048.000,44872,2,MZ,1,100,-58
1752617374.478573,289088.000,44890,3,MZ,1,100,-57
1752617374.518573,289128.000,44890,3,MZ,1,100,-57
1752617374.558573,289168.000,44890,3,MZ,1,100,-58
1752617374.598573,289208.000,44907,2,MZ,1,100,-57
1752617374.638573,289248.000,44907,2,MZ,1,100,-60
1752617374.678573,289288.000,44924,3,MZ,1,100,-58
1752617374.718573,289328.000,44924,3,MZ,1,100,-59
1752617374.758572,289368.000,44924,3,MZ,1,100,-58
1752617374.798572,289408.000,44940,2,MZ,1,100,-58
1752617374.838572,289448.000,44940,2,MZ,1,100,-58
1752617374.878572,289488.000,44956,3,MZ,1,100,-58
1752617374.918572,289528.000,44956,3,MZ,1,100,-59
1752617374.958572,289568.000,44956,3,MZ,1,100,-57
1752617374.998572,289608.000,44972,2,MZ,1,100,-58
1752617375.038571,289648.000,44972,2,MZ,1,100,-60
1752617375.078571,289688.000,44991,3,MZ,1,100,-58
1752617375.118571,289728.000,44991,3,MZ,1,100,-58
1752617375.158571,289768.000,44991,3,MZ,1,100,-59
1752617375.198571,289808.000,45008,2,MZ,1,100,-57
1752617375.238571,289848.000,45008,2,MZ,1,100,-59
1752617375.278571,289888.000,45023,3,MZ,1,100,-58
1752617375.318570,289928.000,45023,3,MZ,1,100,-59
1752617375.358570,289968.000,45023,3,MZ,1,100,-59
1752617375.398570,290008.000,45039,3,MZ,1,100,-59
1752617375.438570,290048.000,45039,3,MZ,1,100,-58
1752617375.478570,290088.000,45039,3,MZ,1,100,-59
1752617375.518570,290128.000,45056,2,MZ,1,100,-60
1752617375.558570,290168.000,45056,2,MZ,1,100,-58
1752617375.598570,290208.000,45073,3,MZ,1,100,-60
1752617375.638569,290248.000,45073,3,MZ,1,100,-58
1752617375.678569,290288.000,45073,3,MZ,1,100,-60
1752617375.718569,290328.000,45088,2,MZ,1,100,-58
1752617375.758569,290368.000,45088,2,MZ,1,100,-58
1752617375.793902,290403.333,45104,3,MZ,1,100,-58
1752617375.829235,290438.667,45104,3,MZ,1,100,-59
1752617375.864569,290474.000,45104,3,MZ,1,100,-58
1752617375.904568,290514.000,45122,3,MZ,1,100,-58
1752617375.944568,290554.000,45122,3,MZ,1,100,-59
1752617375.984568,290594.000,45122,3,MZ,1,100,-59
1752617376.024568,290634.000,45138,2,MZ,1,100,-58
1752617376.064568,290674.000,45138,2,MZ,1,100,-58
1752617376.104568,290714.000,45153,3,MZ,1,100,-58
1752617376.144568,290754.000,45153,3,MZ,1,100,-58
1752617376.184567,290794.000,45153,3,MZ,1,100,-57
