LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752617372.332581,286942.000,44521,2,RD,1,100,TL
1752617372.332581,286942.000,44521,2,RD,1,100,TU
1752617374.893572,289503.000,45360,2,RD,1,100,TL
1752617377.454563,292064.000,45360,2,RD,1,100,TU
1752617380.031054,294640.500,46205,2,RD,1,100,TL
1752617382.607545,297217.000,46205,2,RD,1,100,TU
1752617385.165036,299774.500,47065,2,RD,1,100,TL
1752617387.722527,302332.000,47065,2,RD,1,100,TU
1752617390.281018,304890.500,47906,2,RD,1,100,TL
1752617392.839509,307449.000,47906,2,RD,1,100,TU
1752617395.401500,310011.000,48755,2,RD,1,100,TL
1752617397.963491,312573.000,48755,2,RD,1,100,TU
1752617400.521482,315131.000,49611,2,RD,1,100,TL
1752617403.079473,317689.000,49611,2,RD,1,100,TU
1752617405.644464,320254.000,50456,2,RD,1,100,TL
1752617408.209455,322819.000,50456,2,RD,1,100,TU
1752617410.770446,325380.000,51292,2,RD,1,100,TL
1752617413.331438,327941.000,51292,2,RD,1,100,TU
1752617415.886929,330496.500,52125,2,RD,1,100,TL
1752617418.442420,333052.000,52125,2,RD,1,100,TU
1752617421.006911,335616.500,52956,2,RD,1,100,TL
1752617423.571402,338181.000,52956,2,RD,1,100,TU
1752617426.130893,340740.500,53786,2,RD,1,100,TL
1752617428.690384,343300.000,53786,2,RD,1,100,TU
1752617431.249875,345859.500,54619,2,RD,1,100,TL
1752617433.809366,348419.000,54619,2,RD,1,100,TU
1752617436.365357,350975.000,55447,2,RD,1,100,TL
1752617438.921348,353531.000,55447,2,RD,1,100,TU
1752617441.484839,356094.500,56277,2,RD,1,100,TL
1752617444.048330,358658.000,56277,2,RD,1,100,TU
1752617446.604321,361214.000,57107,2,RD,1,100,TL
1752617449.160312,363770.000,57107,2,RD,1,100,TU
1752617451.718303,366328.000,57932,2,RD,1,100,TL
1752617454.276294,368886.000,57932,2,RD,1,100,TU
1752617456.838285,371448.000,58764,2,RD,1,100,TL
1752617459.400276,374010.000,58764,2,RD,1,100,TU
1752617461.958767,376568.500,59589,2,RD,1,100,TL
1752617464.517258,379127.000,59589,2,RD,1,100,TU
1752617467.076250,381686.000,60417,2,RD,1,100,TL
1752617469.635241,384245.000,60417,2,RD,1,100,TU
1752617472.189732,386799.500,61232,2,RD,1,100,TL
1752617474.744223,389354.000,61232,2,RD,1,100,TU
1752617477.300714,391910.500,62060,2,RD,1,100,TL
1752617479.857205,394467.000,62060,2,RD,1,100,TU
1752617482.415696,397025.500,62890,2,RD,1,100,TL
1752617484.974187,399584.000,62890,2,RD,1,100,TU
1752617487.538178,402148.000,63721,2,RD,1,100,TL
1752617490.102169,404712.000,63721,2,RD,1,100,TU
1752617492.664160,407274.000,64552,2,RD,1,100,TL
1752617495.226151,409836.000,64552,2,RD,1,100,TU
1752617497.787642,412397.500,65380,2,RD,1,100,TL
1752617500.349133,414959.000,65380,2,RD,1,100,TU
1752617502.908624,417518.500,671,2,RD,1,100,TL
1752617505.468115,420078.000,671,2,RD,1,100,TU
1752617508.022606,422632.500,1499,2,RD,1,100,TL
1752617510.577097,425187.000,1499,2,RD,1,100,TU
1752617513.132088,427742.000,2322,2,RD,1,100,TL
1752617515.687079,430297.000,2322,2,RD,1,100,TU
