LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752617372.323581,286933.000,44533,1,T1,1,100,37.756
1752617372.457581,287067.000,44550,1,T1,1,100,37.646
1752617372.590580,287200.000,44567,1,T1,1,100,37.670
1752617372.723580,287333.000,44584,1,T1,1,100,37.680
1752617372.857579,287467.000,44616,1,T1,1,100,37.613
1752617372.990579,287600.000,44632,1,T1,1,100,37.691
1752617373.123578,287733.000,44649,1,T1,1,100,37.724
1752617373.256578,287866.000,44681,1,T1,1,100,37.703
1752617373.390577,288000.000,44697,1,T1,1,100,37.659
1752617373.523577,288133.000,44714,1,T1,1,100,37.711
1752617373.656576,288266.000,44746,1,T1,1,100,37.591
1752617373.790576,288400.000,44764,1,T1,1,100,37.788
1752617373.923575,288533.000,44782,1,T1,1,100,37.766
1752617374.056575,288666.000,44813,1,T1,1,100,37.686
1752617374.190574,288800.000,44829,1,T1,1,100,37.758
1752617374.323574,288933.000,44847,1,T1,1,100,37.612
1752617374.456574,289066.000,44863,1,T1,1,100,37.726
1752617374.590573,289200.000,44897,1,T1,1,100,37.775
1752617374.723573,289333.000,44914,1,T1,1,100,37.725
1752617374.856572,289466.000,44930,1,T1,1,100,37.739
1752617374.990572,289600.000,44962,1,T1,1,100,37.674
1752617375.123571,289733.000,44981,1,T1,1,100,37.753
1752617375.256571,289866.000,44998,1,T1,1,100,37.751
1752617375.390570,290000.000,45029,1,T1,1,100,37.786
1752617375.523570,290133.000,45046,1,T1,1,100,37.801
1752617375.656569,290266.000,45063,1,T1,1,100,37.772
1752617375.790569,290400.000,45094,1,T1,1,100,37.724
1752617375.923568,290533.000,45112,1,T1,1,100,37.810
1752617376.056568,290666.000,45128,1,T1,1,100,37.811
1752617376.190567,290800.000,45162,1,T1,1,100,37.741
1752617376.323567,290933.000,45179,1,T1,1,100,37.817
1752617376.456567,291066.000,45195,1,T1,1,100,37.850
1752617376.590566,291200.000,45212,1,T1,1,100,37.793
1752617376.723566,291333.000,45244,1,T1,1,100,37.769
1752617376.856565,291466.000,45262,1,T1,1,100,37.794
1752617376.989565,291599.000,45280,1,T1,1,100,37.769
1752617377.123564,291733.000,45311,1,T1,1,100,37.758
1752617377.256564,291866.000,45328,1,T1,1,100,37.754
1752617377.389563,291999.000,45347,1,T1,1,100,37.645
1752617377.523563,292133.000,45369,1,T1,1,100,37.740
1752617377.656562,292266.000,45386,1,T1,1,100,37.817
1752617377.789562,292399.000,45417,1,T1,1,100,37.743
1752617377.923561,292533.000,45435,1,T1,1,100,37.676
1752617378.056561,292666.000,45451,1,T1,1,100,37.718
1752617378.189560,292799.000,45485,1,T1,1,100,37.736
1752617378.323560,292933.000,45502,1,T1,1,100,37.815
1752617378.456560,293066.000,45518,1,T1,1,100,37.884
1752617378.589559,293199.000,45554,1,T1,1,100,37.808
1752617378.723559,293333.000,45571,1,T1,1,100,37.775
1752617378.856558,293466.000,45587,1,T1,1,100,37.796
1752617378.989558,293599.000,45621,1,T1,1,100,37.806
1752617379.123557,293733.000,45638,1,T1,1,100,37.739
1752617379.256557,293866.000,45655,1,T1,1,100,37.816
1752617379.389556,293999.000,45672,1,T1,1,100,37.849
1752617379.522556,294132.000,45704,1,T1,1,100,37.758
1752617379.656555,294266.000,45720,1,T1,1,100,37.753
1752617379.789555,294399.000,45737,1,T1,1,100,37.929
1752617379.923554,294533.000,45771,1,T1,1,100,37.827
1752617380.056554,294666.000,45787,1,T1,1,100,37.819
1752617380.189553,294799.000,45804,1,T1,1,100,37.815
1752617380.322553,294932.000,45838,1,T1,1,100,37.814
1752617380.456553,295066.000,45854,1,T1,1,100,37.813
1752617380.589552,295199.000,45872,1,T1,1,100,37.848
1752617380.722552,295332.000,45903,1,T1,1,100,37.757
1752617380.856551,295466.000,45919,1,T1,1,100,37.718
1752617380.989551,295599.000,45939,1,T1,1,100,37.878
1752617381.122550,295732.000,45970,1,T1,1,100,37.805
1752617381.256550,295866.000,45987,1,T1,1,100,37.774
1752617381.389549,295999.000,46006,1,T1,1,100,37.831
1752617381.522549,296132.000,46022,1,T1,1,100,37.821
1752617381.656548,296266.000,46056,1,T1,1,100,37.745
1752617381.789548,296399.000,46073,1,T1,1,100,37.854
1752617381.922547,296532.000,46090,1,T1,1,100,37.760
1752617382.056547,296666.000,46125,1,T1,1,100,37.754
1752617382.189546,296799.000,46142,1,T1,1,100,37.823
1752617382.322546,296932.000,46161,1,T1,1,100,37.852
1752617382.456546,297066.000,46192,1,T1,1,100,37.865
1752617382.589545,297199.000,46215,1,T1,1,100,37.871
1752617382.722545,297332.000,46233,1,T1,1,100,37.802
1752617382.855544,297465.000,46252,1,T1,1,100,37.879
1752617382.989544,297599.000,46269,1,T1,1,100,37.912
1752617383.122543,297732.000,46286,1,T1,1,100,37.714
1752617383.255543,297865.000,46318,1,T1,1,100,37.805
