LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752617372.327581,286937.000,44519,1,TL,1,100,2025-07-15_18-09-27-032252
1752617372.346581,286956.000,44522,1,TL,1,100,2025-07-15_18-09-32-340199
1752617377.453563,292063.000,45358,1,TL,1,100,2025-07-15_18-09-32-462438
1752617377.461563,292071.000,45361,1,TL,1,100,2025-07-15_18-09-37-458063
1752617382.601545,297211.000,46203,1,TL,1,100,2025-07-15_18-09-37-583762
1752617382.618545,297228.000,46206,1,TL,1,100,2025-07-15_18-09-42-615300
1752617387.720527,302330.000,47063,1,TL,1,100,2025-07-15_18-09-42-751905
1752617387.797527,302407.000,47066,1,TL,1,100,2025-07-15_18-09-47-790919
1752617392.837509,307447.000,47904,1,TL,1,100,2025-07-15_18-09-47-851816
1752617392.846509,307456.000,47907,1,TL,1,100,2025-07-15_18-09-52-843343
1752617397.961491,312571.000,48753,1,TL,1,100,2025-07-15_18-09-52-970525
1752617397.984491,312594.000,48756,1,TL,1,100,2025-07-15_18-09-57-980207
1752617403.077473,317687.000,49609,1,TL,1,100,2025-07-15_18-09-58-100649
1752617403.104473,317714.000,49612,1,TL,1,100,2025-07-15_18-10-03-083216
1752617408.204455,322814.000,50454,1,TL,1,100,2025-07-15_18-10-03-208032
1752617408.243455,322853.000,50457,1,TL,1,100,2025-07-15_18-10-08-219055
1752617413.329438,327939.000,51290,1,TL,1,100,2025-07-15_18-10-08-350074
1752617413.383437,327993.000,51293,1,TL,1,100,2025-07-15_18-10-13-339021
1752617418.440420,333050.000,52123,1,TL,1,100,2025-07-15_18-10-13-459012
1752617418.456420,333066.000,52126,1,TL,1,100,2025-07-15_18-10-18-451453
1752617423.568402,338178.000,52954,1,TL,1,100,2025-07-15_18-10-18-569069
1752617423.584402,338194.000,52957,1,TL,1,100,2025-07-15_18-10-23-577906
1752617428.688384,343298.000,53784,1,TL,1,100,2025-07-15_18-10-23-704584
1752617428.701384,343311.000,53787,1,TL,1,100,2025-07-15_18-10-28-696369
1752617433.807366,348417.000,54617,1,TL,1,100,2025-07-15_18-10-28-819763
1752617433.835366,348445.000,54620,1,TL,1,100,2025-07-15_18-10-33-815638
1752617438.919348,353529.000,55445,1,TL,1,100,2025-07-15_18-10-33-947225
1752617438.945348,353555.000,55448,1,TL,1,100,2025-07-15_18-10-38-940892
1752617444.046330,358656.000,56275,1,TL,1,100,2025-07-15_18-10-39-063923
1752617444.058330,358668.000,56278,1,TL,1,100,2025-07-15_18-10-44-055558
1752617449.159312,363769.000,57105,1,TL,1,100,2025-07-15_18-10-44-177835
1752617449.171312,363781.000,57108,1,TL,1,100,2025-07-15_18-10-49-165598
1752617454.274294,368884.000,57930,1,TL,1,100,2025-07-15_18-10-49-297594
1752617454.284294,368894.000,57933,1,TL,1,100,2025-07-15_18-10-54-280069
1752617459.393276,374003.000,58762,1,TL,1,100,2025-07-15_18-10-54-402181
1752617459.423276,374033.000,58765,1,TL,1,100,2025-07-15_18-10-59-420254
1752617464.515258,379125.000,59587,1,TL,1,100,2025-07-15_18-10-59-546082
1752617464.526258,379136.000,59590,1,TL,1,100,2025-07-15_18-11-04-523012
1752617469.632241,384242.000,60415,1,TL,1,100,2025-07-15_18-11-04-650224
1752617474.740223,389350.000,61228,1,TL,1,100,2025-07-15_18-11-09-639560
1752617474.742223,389352.000,61230,1,TL,1,100,2025-07-15_18-11-09-769789
1752617474.758223,389368.000,61233,1,TL,1,100,2025-07-15_18-11-14-749638
1752617479.856205,394466.000,62058,1,TL,1,100,2025-07-15_18-11-14-881442
1752617479.876205,394486.000,62061,1,TL,1,100,2025-07-15_18-11-19-862714
1752617484.969187,399579.000,62888,1,TL,1,100,2025-07-15_18-11-19-988800
1752617484.988187,399598.000,62891,1,TL,1,100,2025-07-15_18-11-24-979210
1752617490.100169,404710.000,63719,1,TL,1,100,2025-07-15_18-11-25-106914
1752617490.115169,404725.000,63722,1,TL,1,100,2025-07-15_18-11-30-111779
1752617495.221151,409831.000,64550,1,TL,1,100,2025-07-15_18-11-30-237184
1752617495.235151,409845.000,64553,1,TL,1,100,2025-07-15_18-11-35-230651
1752617500.347133,414957.000,65378,1,TL,1,100,2025-07-15_18-11-35-367547
1752617500.360133,414970.000,65381,1,TL,1,100,2025-07-15_18-11-40-355774
1752617505.466115,420076.000,669,1,TL,1,100,2025-07-15_18-11-40-487997
1752617505.480115,420090.000,672,1,TL,1,100,2025-07-15_18-11-45-474883
1752617510.574097,425184.000,1497,1,TL,1,100,2025-07-15_18-11-45-559968
