RD,TS_received,TS_sent,AK,RoundTrip,
286942,286956,2025-07-15_18-09-32-340199,286958,14,
292064,292071,2025-07-15_18-09-37-458063,292076,7,
297217,297228,2025-07-15_18-09-42-615300,297229,11,
302332,302407,2025-07-15_18-09-47-790919,302408,75,
307449,307456,2025-07-15_18-09-52-843343,307462,7,
312573,312594,2025-07-15_18-09-57-980207,312595,21,
317689,317714,2025-07-15_18-10-03-083216,317716,25,
322819,322853,2025-07-15_18-10-08-219055,322855,34,
327941,327993,2025-07-15_18-10-13-339021,327994,52,
333052,333066,2025-07-15_18-10-18-451453,333067,14,
338181,338194,2025-07-15_18-10-23-577906,338195,13,
343300,343311,2025-07-15_18-10-28-696369,343312,11,
348419,348445,2025-07-15_18-10-33-815638,348447,26,
353531,353555,2025-07-15_18-10-38-940892,353556,24,
358658,358668,2025-07-15_18-10-44-055558,358670,10,
363770,363781,2025-07-15_18-10-49-165598,363782,11,
368886,368894,2025-07-15_18-10-54-280069,368895,8,
374010,374033,2025-07-15_18-10-59-420254,374035,23,
379127,379136,2025-07-15_18-11-04-523012,379137,9,
384245,389350,2025-07-15_18-11-09-639560,389351,5105,
389354,389368,2025-07-15_18-11-14-749638,389372,14,
394467,394486,2025-07-15_18-11-19-862714,394487,19,
399584,399598,2025-07-15_18-11-24-979210,399599,14,
404712,404725,2025-07-15_18-11-30-111779,404726,13,
409836,409845,2025-07-15_18-11-35-230651,409850,9,
414959,414970,2025-07-15_18-11-40-355774,414972,11,
420078,420090,2025-07-15_18-11-45-474883,420091,12,
425187,
430297,
