LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
1.0071108127079073e-05,0.0007663197729422894,0.0,0.000346995452742088,0.0
4.577776421399579e-05,0.005825678273873103,-1.1902218695638903e-05,0.002878505813776055,0.008
1.8311105685598313e-06,0.0021222571489608443,-9.155552842799156e-06,0.0006701864680928982,0.016
1.098666341135899e-05,0.007104709006012146,-6.40888698995941e-06,0.002634968108157597,0.024
-3.6622211371196626e-06,0.0038956877346110414,-2.563554795983764e-05,0.001378826258125553,0.032
-9.155552842799157e-07,0.007851802117984558,-2.838221381267739e-05,0.0031421857356486705,0.04
5.493331705679495e-06,0.006114993743705556,-2.563554795983764e-05,0.002410657063509018,0.048
2.92977690969573e-05,0.006981109042634357,-3.6622211371196624e-05,0.0032410657063509014,0.056
4.119998779259621e-05,0.00401013214514603,-4.211554307687612e-05,0.0022678304391613516,0.064
0.0001052888576921903,0.007915890987884151,2.92977690969573e-05,0.0034809411908322393,0.072
0.00012909329508346812,0.0072374645222327335,6.866664632099367e-05,0.002845545823541978,0.08
0.00012359996337778863,0.00619098483230079,7.599108859523301e-05,0.002204657124546037,0.088
0.00013275551622058779,0.007482833338419751,7.873775444807274e-05,0.0027732169560838646,0.096
0.00013000885036774804,0.006945402386547441,8.423108615375224e-05,0.0023850215155491804,0.104
0.00012634662923062835,0.007341837824640644,7.141331217383343e-05,0.0026880703146458327,0.112
0.0001171910763878292,0.006103091525009917,6.683553575243384e-05,0.0020792260505996885,0.12
0.00011444441053498947,0.0053926206244087034,6.866664632099367e-05,0.0016992706076235234,0.128
0.00011627552110354929,0.005998718222602007,6.95822016052736e-05,0.0018887905514694662,0.136
0.00011535996581926937,0.005532700582903531,7.232886745811333e-05,0.00162785729544969,0.144
0.0001107821893978698,0.005830256050294503,6.500442518387402e-05,0.0017358928189947203,0.152
0.00010620441297647022,0.005073091830195013,6.134220404675436e-05,0.0013797418134098328,0.16
0.00010162663655507064,0.004809411908322398,6.225775933103427e-05,0.0011334574419385355,0.168
0.00010345774712363048,0.0050447096163823354,6.134220404675436e-05,0.001206701864680929,0.176
9.97955259865108e-05,0.004898220770897549,6.317331461531417e-05,0.001009857478560747,0.184
9.796441541795099e-05,0.004908291879024629,5.767998290963469e-05,0.0010235908078249456,0.192
9.247108371227149e-05,0.004514603106784264,5.5848872341074855e-05,0.0007415997802667317,0.2
9.063997314371165e-05,0.004101687673574023,5.493331705679494e-05,0.0005291909543137912,0.208
8.789330729087191e-05,0.00412732322153386,5.493331705679494e-05,0.0004358043153172399,0.216
8.6977752006592e-05,0.003754692220831934,5.401776177251503e-05,0.0002380443739127781,0.224
8.239997558519242e-05,0.003672292245246742,5.127109591967528e-05,0.00011535996581926937,0.232
8.056886501663259e-05,0.00315134128849147,4.8524430066835536e-05,-0.00013092440565202795,0.24
7.690664387951292e-05,0.0029251991332743307,4.8524430066835536e-05,-0.00034882656331064785,0.248
7.599108859523301e-05,0.0026963103122043517,4.577776421399579e-05,-0.0004733420819727164,0.256
7.232886745811333e-05,0.0024939725943784906,4.577776421399579e-05,-0.0006912442396313364,0.264
7.049775688955351e-05,0.0022037415692617575,4.394665364543596e-05,-0.0008322397534104434,0.272
6.591998046815394e-05,0.0019272438734092227,4.303109836115604e-05,-0.0010757774590289008,0.28
6.500442518387402e-05,0.0015536973174230168,4.119998779259621e-05,-0.0012652974028748436,0.288
6.134220404675436e-05,0.001446577349162267,4.119998779259621e-05,-0.0014419995727408671,0.296
6.0426648762474434e-05,0.0010739463484603412,3.936887722403637e-05,-0.0016434217352824486,0.304
5.5848872341074855e-05,0.0009402752769554735,3.845332193975646e-05,-0.001834772789696951,0.312
5.493331705679494e-05,0.0005182042909024322,3.6622211371196624e-05,-0.0020453505050813314,0.32
5.035554063539536e-05,0.00034882656331064785,3.5706656086916715e-05,-0.0022540971098971526,0.328
5.035554063539536e-05,1.922666096987823e-05,3.387554551835688e-05,-0.0024298837244788964,0.336
4.577776421399579e-05,-0.00014465773491622666,3.387554551835688e-05,-0.0026624347666859946,0.344
4.4862208929715866e-05,-0.0005072176274910732,3.204443494979705e-05,-0.0028592791528061763,0.352
4.0284432508316294e-05,-0.0006875820184942167,3.1128879665517136e-05,-0.003081759086886196,0.36
3.936887722403637e-05,-0.0010794396801660207,2.92977690969573e-05,-0.003274941251869258,0.368
3.5706656086916715e-05,-0.0011792352061525313,2.92977690969573e-05,-0.0034727011932737203,0.376
3.47911008026368e-05,-0.0015866573076570938,2.746665852839747e-05,-0.0037134922330393384,0.384
3.0213324381237217e-05,-0.0017130039368877224,2.746665852839747e-05,-0.003944212164677877,0.392
2.838221381267739e-05,-0.002136906033509323,2.563554795983764e-05,-0.0041557054353465375,0.4
2.563554795983764e-05,-0.002271492660298471,2.4719992675557722e-05,-0.004354380932035279,0.408
2.4719992675557722e-05,-0.002620319223609119,2.2888882106997894e-05,-0.004541154210028382,0.416
2.0142216254158147e-05,-0.002769554734946745,2.2888882106997894e-05,-0.004824976348155156,0.424
1.8311105685598312e-05,-0.003179723502304147,2.105777153843806e-05,-0.005074922940763573,0.432
1.3733329264198735e-05,-0.0033225501266518137,2.105777153843806e-05,-0.005290078432569353,0.44
1.464888454847865e-05,-0.0037528611102633745,1.922666096987823e-05,-0.005469527268288216,0.448
1.0071108127079073e-05,-0.0037638477736747335,1.922666096987823e-05,-0.0056434827723014,0.456
9.155552842799156e-06,-0.004243598742637409,1.73955504013184e-05,-0.0059840693380535295,0.464
3.6622211371196626e-06,-0.0043443098239082,1.73955504013184e-05,-0.006268807031464583,0.472
1.8311105685598313e-06,-0.004827723014007995,1.5564439832758568e-05,-0.006483046967986083,0.48
0.0,-0.004937589648121586,1.5564439832758568e-05,-0.006619464705343791,0.488
0.0,-0.005203100680562761,1.3733329264198735e-05,-0.006757713553270058,0.496
-5.493331705679495e-06,-0.005391705069124423,1.464888454847865e-05,-0.0071935178685872975,0.504
-8.239997558519242e-06,-0.005838496047853023,1.1902218695638903e-05,-0.0075414288766136655,0.512
-1.281777397991882e-05,-0.006016113773003325,1.281777397991882e-05,-0.007735526596881008,0.52
-9.155552842799156e-06,-0.006495864741966001,9.155552842799156e-06,-0.0078005310220648815,0.528
-1.3733329264198735e-05,-0.006245002594073305,1.0071108127079073e-05,-0.00783898434400464,0.536
-1.6479995117038484e-05,-0.006899624622333444,9.155552842799156e-06,-0.008474379711294899,0.544
-2.4719992675557722e-05,-0.006954557939390239,1.0071108127079073e-05,-0.008896450697347942,0.552
-2.563554795983764e-05,-0.007622913296914578,8.239997558519242e-06,-0.009092379528183843,0.56
-2.197332682271798e-05,-0.007715384380626849,5.493331705679495e-06,-0.008963286233100373,0.568
-2.3804437391277807e-05,-0.007591784417249061,4.577776421399578e-06,-0.008856166264839625,0.576
-3.0213324381237217e-05,-0.008005615405743583,7.324442274239325e-06,-0.009801019318216498,0.584
-3.1128879665517136e-05,-0.007548753318887905,8.239997558519242e-06,-0.010255134739219336,0.592
-4.4862208929715866e-05,-0.0061552781762138735,1.464888454847865e-05,-0.009922788171025725,0.6
