LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752701123.718214,400307.000,64214,2,AK,1,100,63456
1752701123.718214,400307.000,64214,2,AK,1,100,RD
1752701123.724214,400313.000,64217,2,AK,1,100,64215
1752701123.730214,400319.000,64217,2,AK,1,100,RD
1752701126.284719,402873.500,65076,2,AK,1,100,64215
1752701128.839225,405428.000,65076,2,AK,1,100,RD
1752701128.868725,405457.500,65079,2,AK,1,100,65077
1752701128.898225,405487.000,65079,2,AK,1,100,RD
1752701131.430230,408019.000,398,2,AK,1,100,65077
1752701133.962235,410551.000,398,2,AK,1,100,RD
1752701133.969235,410558.000,401,2,AK,1,100,399
1752701133.976235,410565.000,401,2,AK,1,100,RD
1752701136.523240,413112.000,1264,2,AK,1,100,399
1752701139.070246,415659.000,1264,2,AK,1,100,RD
1752701139.077246,415666.000,1267,2,AK,1,100,1265
1752701139.084246,415673.000,1267,2,AK,1,100,RD
1752701141.648251,418237.000,2143,2,AK,1,100,1265
1752701144.212256,420801.000,2143,2,AK,1,100,RD
1752701144.216756,420805.500,2146,2,AK,1,100,2144
1752701144.221256,420810.000,2146,2,AK,1,100,RD
1752701146.770761,423359.500,3005,2,AK,1,100,2144
1752701149.320266,425909.000,3005,2,AK,1,100,RD
1752701149.324766,425913.500,3008,2,AK,1,100,3006
1752701149.329267,425918.000,3008,2,AK,1,100,RD
1752701151.891772,428480.500,3888,2,AK,1,100,3006
1752701154.454277,431043.000,3888,2,AK,1,100,RD
1752701154.458777,431047.500,3891,2,AK,1,100,3889
1752701154.463277,431052.000,3891,2,AK,1,100,RD
1752701157.014282,433603.000,4758,2,AK,1,100,3889
1752701159.565287,436154.000,4758,2,AK,1,100,RD
1752701159.570287,436159.000,4761,2,AK,1,100,4759
1752701159.575287,436164.000,4761,2,AK,1,100,RD
1752701162.132793,438721.500,5638,2,AK,1,100,4759
1752701164.690298,441279.000,5638,2,AK,1,100,RD
1752701164.701298,441290.000,5641,2,AK,1,100,5639
1752701164.712298,441301.000,5641,2,AK,1,100,RD
1752701167.255303,443844.000,6489,2,AK,1,100,5639
1752701169.798308,446387.000,6489,2,AK,1,100,RD
1752701169.803808,446392.500,6492,2,AK,1,100,6490
1752701169.809308,446398.000,6492,2,AK,1,100,RD
1752701172.373314,448962.000,7371,2,AK,1,100,6490
1752701174.937319,451526.000,7371,2,AK,1,100,RD
1752701174.944819,451533.500,7374,2,AK,1,100,7372
1752701174.952319,451541.000,7374,2,AK,1,100,RD
1752701177.498324,454087.000,8231,2,AK,1,100,7372
1752701180.044329,456633.000,8231,2,AK,1,100,RD
1752701180.059829,456648.500,8234,2,AK,1,100,8232
1752701180.075329,456664.000,8234,2,AK,1,100,RD
1752701182.613335,459202.000,9098,2,AK,1,100,8232
1752701185.151340,461740.000,9098,2,AK,1,100,RD
1752701185.183840,461772.500,9101,2,AK,1,100,9099
1752701185.216340,461805.000,9101,2,AK,1,100,RD
1752701187.737845,464326.500,9977,2,AK,1,100,9099
1752701190.259350,466848.000,9977,2,AK,1,100,RD
1752701190.268850,466857.500,9980,2,AK,1,100,9978
1752701190.278350,466867.000,9980,2,AK,1,100,RD
1752701192.837855,469426.500,10871,2,AK,1,100,9978
1752701195.397361,471986.000,10871,2,AK,1,100,RD
1752701195.402861,471991.500,10874,2,AK,1,100,10872
1752701195.408361,471997.000,10874,2,AK,1,100,RD
1752701197.958366,474547.000,11735,2,AK,1,100,10872
1752701200.508371,477097.000,11735,2,AK,1,100,RD
1752701200.515371,477104.000,11738,2,AK,1,100,11736
1752701200.522371,477111.000,11738,2,AK,1,100,RD
1752701203.069876,479658.500,12600,2,AK,1,100,11736
1752701205.617382,482206.000,12600,2,AK,1,100,RD
1752701205.627382,482216.000,12603,2,AK,1,100,12601
1752701205.637382,482226.000,12603,2,AK,1,100,RD
1752701208.193387,484782.000,13488,2,AK,1,100,12601
1752701210.749392,487338.000,13488,2,AK,1,100,RD
1752701210.775892,487364.500,13491,2,AK,1,100,13489
1752701210.802392,487391.000,13491,2,AK,1,100,RD
1752701213.342397,489931.000,14314,2,AK,1,100,13489
1752701215.882403,492471.000,14314,2,AK,1,100,RD
1752701215.888903,492477.500,14317,2,AK,1,100,14315
1752701215.895403,492484.000,14317,2,AK,1,100,RD
1752701218.442908,495031.500,15180,2,AK,1,100,14315
1752701220.990413,497579.000,15180,2,AK,1,100,RD
1752701223.554918,500143.500,16037,2,AK,1,100,15181
1752701226.119424,502708.000,16037,2,AK,1,100,RD
1752701226.120424,502709.000,16039,2,AK,1,100,15181
1752701226.121424,502710.000,16039,2,AK,1,100,RD
1752701226.127424,502716.000,16042,2,AK,1,100,16040
1752701226.133424,502722.000,16042,2,AK,1,100,RD
1752701228.679429,505268.000,16905,2,AK,1,100,16040
1752701231.225434,507814.000,16905,2,AK,1,100,RD
1752701231.229934,507818.500,16908,2,AK,1,100,16906
1752701231.234434,507823.000,16908,2,AK,1,100,RD
1752701233.783939,510372.500,17775,2,AK,1,100,16906
1752701236.333444,512922.000,17775,2,AK,1,100,RD
1752701236.362444,512951.000,17778,2,AK,1,100,17776
1752701236.391445,512980.000,17778,2,AK,1,100,RD
1752701238.916950,515505.500,18643,2,AK,1,100,17776
1752701241.442455,518031.000,18643,2,AK,1,100,RD
1752701244.002960,520591.500,19492,2,AK,1,100,18644
1752701246.563465,523152.000,19492,2,AK,1,100,RD
1752701246.564965,523153.500,19494,2,AK,1,100,18644
1752701246.566465,523155.000,19494,2,AK,1,100,RD
1752701246.574965,523163.500,19497,2,AK,1,100,19495
1752701246.583465,523172.000,19497,2,AK,1,100,RD
1752701249.127471,525716.000,20365,2,AK,1,100,19495
1752701251.671476,528260.000,20365,2,AK,1,100,RD
1752701251.676476,528265.000,20368,2,AK,1,100,20366
1752701251.681476,528270.000,20368,2,AK,1,100,RD
1752701254.231981,530820.500,21218,2,AK,1,100,20366
1752701256.782486,533371.000,21218,2,AK,1,100,RD
1752701256.810486,533399.000,21221,2,AK,1,100,21219
1752701256.838486,533427.000,21221,2,AK,1,100,RD
1752701259.364491,535953.000,22071,2,AK,1,100,21219
1752701261.890497,538479.000,22071,2,AK,1,100,RD
1752701264.463002,541051.500,22929,2,AK,1,100,22072
1752701267.035507,543624.000,22929,2,AK,1,100,RD
1752701267.037507,543626.000,22931,2,AK,1,100,22072
1752701267.039507,543628.000,22931,2,AK,1,100,RD
1752701267.044507,543633.000,22934,2,AK,1,100,22932
1752701267.049507,543638.000,22934,2,AK,1,100,RD
1752701269.596512,546185.000,23783,2,AK,1,100,22932
1752701272.143518,548732.000,23783,2,AK,1,100,RD
1752701272.151518,548740.000,23786,2,AK,1,100,23784
1752701272.159518,548748.000,23786,2,AK,1,100,RD
1752701274.719023,551307.500,24653,2,AK,1,100,23784
1752701277.278528,553867.000,24653,2,AK,1,100,RD
1752701277.284528,553873.000,24656,2,AK,1,100,24654
1752701277.290528,553879.000,24656,2,AK,1,100,RD
1752701279.838533,556427.000,25512,2,AK,1,100,24654
1752701282.386539,558975.000,25512,2,AK,1,100,RD
1752701282.405539,558994.000,25515,2,AK,1,100,25513
1752701282.424539,559013.000,25515,2,AK,1,100,RD
1752701284.959544,561548.000,26365,2,AK,1,100,25513
1752701287.494549,564083.000,26365,2,AK,1,100,RD
1752701287.500549,564089.000,26368,2,AK,1,100,26366
1752701287.506549,564095.000,26368,2,AK,1,100,RD
1752701290.065054,566653.500,27229,2,AK,1,100,26366
1752701292.623559,569212.000,27229,2,AK,1,100,RD
1752701292.629559,569218.000,27232,2,AK,1,100,27230
1752701292.635560,569224.000,27232,2,AK,1,100,RD
1752701295.187065,571775.500,28075,2,AK,1,100,27230
1752701297.738570,574327.000,28075,2,AK,1,100,RD
1752701297.743570,574332.000,28078,2,AK,1,100,28076
1752701297.748570,574337.000,28078,2,AK,1,100,RD
1752701300.298075,576886.500,28920,2,AK,1,100,28076
1752701302.847580,579436.000,28920,2,AK,1,100,RD
1752701302.862080,579450.500,28923,2,AK,1,100,28921
1752701302.876580,579465.000,28923,2,AK,1,100,RD
1752701305.438086,582026.500,29776,2,AK,1,100,28921
1752701307.999591,584588.000,29776,2,AK,1,100,RD
1752701308.009591,584598.000,29779,2,AK,1,100,29777
1752701308.019591,584608.000,29779,2,AK,1,100,RD
1752701310.561596,587150.000,30623,2,AK,1,100,29777
1752701313.103601,589692.000,30623,2,AK,1,100,RD
1752701313.129101,589717.500,30626,2,AK,1,100,30624
1752701313.154601,589743.000,30626,2,AK,1,100,RD
1752701315.683107,592271.500,31468,2,AK,1,100,30624
1752701318.211612,594800.000,31468,2,AK,1,100,RD
1752701318.217612,594806.000,31471,2,AK,1,100,31469
1752701318.223612,594812.000,31471,2,AK,1,100,RD
1752701320.788617,597377.000,32326,2,AK,1,100,31469
1752701323.353622,599942.000,32326,2,AK,1,100,RD
1752701323.359122,599947.500,32329,2,AK,1,100,32327
1752701323.364622,599953.000,32329,2,AK,1,100,RD
1752701325.913128,602501.500,33164,2,AK,1,100,32327
1752701328.461633,605050.000,33164,2,AK,1,100,RD
1752701328.467633,605056.000,33167,2,AK,1,100,33165
1752701328.473633,605062.000,33167,2,AK,1,100,RD
1752701331.022138,607610.500,34008,2,AK,1,100,33165
1752701333.570643,610159.000,34008,2,AK,1,100,RD
1752701333.576643,610165.000,34011,2,AK,1,100,34009
1752701333.582643,610171.000,34011,2,AK,1,100,RD
1752701336.134148,612722.500,34848,2,AK,1,100,34009
1752701338.685654,615274.000,34848,2,AK,1,100,RD
1752701338.691154,615279.500,34851,2,AK,1,100,34849
1752701338.696654,615285.000,34851,2,AK,1,100,RD
1752701341.249159,617837.500,35685,2,AK,1,100,34849
1752701343.801664,620390.000,35685,2,AK,1,100,RD
1752701343.808164,620396.500,35688,2,AK,1,100,35686
1752701343.814664,620403.000,35688,2,AK,1,100,RD
1752701346.382169,622970.500,36525,2,AK,1,100,35686
1752701348.949675,625538.000,36525,2,AK,1,100,RD
1752701348.956175,625544.500,36528,2,AK,1,100,36526
1752701348.962675,625551.000,36528,2,AK,1,100,RD
1752701351.516680,628105.000,37362,2,AK,1,100,36526
1752701354.070685,630659.000,37362,2,AK,1,100,RD
1752701354.076185,630664.500,37365,2,AK,1,100,37363
