LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752701125.173217,401762.000,64475,1,BV,1,100,3.64
1752701130.172227,406761.000,65321,1,BV,1,100,3.63
1752701135.172238,411761.000,625,1,BV,1,100,3.64
1752701140.171248,416760.000,1473,1,BV,1,100,3.63
1752701145.171258,421760.000,2315,1,BV,1,100,3.64
1752701150.170268,426759.000,3181,1,BV,1,100,3.63
1752701155.170278,431759.000,4033,1,BV,1,100,3.63
1752701160.169289,436758.000,4879,1,BV,1,100,3.64
1752701165.169299,441758.000,5747,1,BV,1,100,3.63
1752701170.168309,446757.000,6583,1,BV,1,100,3.63
1752701175.168319,451757.000,7424,1,BV,1,100,3.64
1752701180.167330,456756.000,8267,1,BV,1,100,3.64
1752701185.167340,461756.000,9121,1,BV,1,100,3.64
1752701190.166350,466755.000,9974,1,BV,1,100,3.63
1752701195.166360,471755.000,10852,1,BV,1,100,3.63
1752701200.165370,476754.000,11696,1,BV,1,100,3.64
1752701205.165381,481754.000,12545,1,BV,1,100,3.64
1752701210.164391,486753.000,13399,1,BV,1,100,3.64
1752701215.164401,491753.000,14240,1,BV,1,100,3.64
1752701220.163411,496752.000,15056,1,BV,1,100,3.63
1752701225.163422,501752.000,15898,1,BV,1,100,3.63
1752701230.162432,506751.000,16743,1,BV,1,100,3.64
1752701235.162442,511751.000,17603,1,BV,1,100,3.63
1752701240.161452,516750.000,18447,1,BV,1,100,3.64
1752701245.161462,521750.000,19268,1,BV,1,100,3.64
1752701250.160473,526749.000,20119,1,BV,1,100,3.64
1752701255.160483,531749.000,20977,1,BV,1,100,3.64
1752701260.159493,536748.000,21795,1,BV,1,100,3.64
1752701265.159503,541748.000,22635,1,BV,1,100,3.63
1752701270.158514,546747.000,23473,1,BV,1,100,3.64
1752701275.158524,551747.000,24314,1,BV,1,100,3.64
1752701280.157534,556746.000,25151,1,BV,1,100,3.64
1752701285.157544,561746.000,25994,1,BV,1,100,3.64
1752701290.156554,566745.000,26841,1,BV,1,100,3.64
1752701295.156565,571745.000,27672,1,BV,1,100,3.64
1752701300.155575,576744.000,28497,1,BV,1,100,3.64
1752701305.155585,581744.000,29325,1,BV,1,100,3.64
1752701310.154595,586743.000,30153,1,BV,1,100,3.64
1752701315.154606,591743.000,30978,1,BV,1,100,3.64
1752701320.153616,596742.000,31804,1,BV,1,100,3.64
1752701325.153626,601742.000,32648,1,BV,1,100,3.64
1752701330.152636,606741.000,33452,1,BV,1,100,3.64
1752701335.152646,611741.000,34281,1,BV,1,100,3.64
1752701340.151657,616740.000,35101,1,BV,1,100,3.64
1752701345.151667,621740.000,35925,1,BV,1,100,3.64
1752701350.150677,626739.000,36728,1,BV,1,100,3.64
1752701355.150687,631739.000,37552,1,BV,1,100,3.64
1752701360.149698,636738.000,38378,1,BV,1,100,3.64
1752701365.149708,641738.000,39205,1,BV,1,100,3.64
1752701370.148718,646737.000,40012,1,BV,1,100,3.64
1752701375.148728,651737.000,40835,1,BV,1,100,3.64
1752701380.147738,656736.000,41658,1,BV,1,100,3.64
1752701385.147749,661736.000,42463,1,BV,1,100,3.64
1752701390.146759,666735.000,43289,1,BV,1,100,3.65
1752701395.146769,671735.000,44113,1,BV,1,100,3.64
1752701400.145779,676734.000,44927,1,BV,1,100,3.64
1752701405.145790,681734.000,45751,1,BV,1,100,3.64
1752701410.144800,686733.000,46574,1,BV,1,100,3.64
1752701415.144810,691733.000,47397,1,BV,1,100,3.64
1752701420.143820,696732.000,48155,1,BV,1,100,3.64
1752701425.143830,701732.000,48976,1,BV,1,100,3.65
1752701430.142841,706731.000,49799,1,BV,1,100,3.64
1752701435.142851,711731.000,50622,1,BV,1,100,3.64
1752701440.141861,716730.000,51425,1,BV,1,100,3.65
1752701445.141871,721730.000,52247,1,BV,1,100,3.65
1752701450.140882,726729.000,53072,1,BV,1,100,3.65
1752701455.140892,731729.000,53895,1,BV,1,100,3.65
1752701460.139902,736728.000,54719,1,BV,1,100,3.64
1752701465.139912,741728.000,55526,1,BV,1,100,3.65
