LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752701125.173217,401762.000,64476,1,B%,1,100,35
1752701130.172227,406761.000,65322,1,B%,1,100,35
1752701135.172238,411761.000,626,1,B%,1,100,36
1752701140.171248,416760.000,1474,1,B%,1,100,35
1752701145.171258,421760.000,2316,1,B%,1,100,37
1752701150.170268,426759.000,3182,1,B%,1,100,35
1752701155.170278,431759.000,4034,1,B%,1,100,35
1752701160.169289,436758.000,4880,1,B%,1,100,36
1752701165.169299,441758.000,5748,1,B%,1,100,35
1752701170.168309,446757.000,6584,1,B%,1,100,35
1752701175.168319,451757.000,7425,1,B%,1,100,36
1752701180.167330,456756.000,8268,1,B%,1,100,36
1752701185.167340,461756.000,9122,1,B%,1,100,36
1752701190.166350,466755.000,9975,1,B%,1,100,35
1752701195.166360,471755.000,10853,1,B%,1,100,35
1752701200.165370,476754.000,11697,1,B%,1,100,36
1752701205.165381,481754.000,12546,1,B%,1,100,36
1752701210.164391,486753.000,13400,1,B%,1,100,36
1752701215.164401,491753.000,14241,1,B%,1,100,36
1752701220.163411,496752.000,15057,1,B%,1,100,35
1752701225.163422,501752.000,15899,1,B%,1,100,35
1752701230.162432,506751.000,16744,1,B%,1,100,36
1752701235.162442,511751.000,17604,1,B%,1,100,35
1752701240.161452,516750.000,18448,1,B%,1,100,36
1752701245.161462,521750.000,19269,1,B%,1,100,36
1752701250.160473,526749.000,20120,1,B%,1,100,36
1752701255.160483,531749.000,20978,1,B%,1,100,36
1752701260.159493,536748.000,21796,1,B%,1,100,36
1752701265.159503,541748.000,22636,1,B%,1,100,35
1752701270.158514,546747.000,23474,1,B%,1,100,36
1752701275.158524,551747.000,24315,1,B%,1,100,36
1752701280.157534,556746.000,25152,1,B%,1,100,36
1752701285.157544,561746.000,25995,1,B%,1,100,36
1752701290.156554,566745.000,26842,1,B%,1,100,36
1752701295.156565,571745.000,27673,1,B%,1,100,36
1752701300.155575,576744.000,28498,1,B%,1,100,36
1752701305.155585,581744.000,29326,1,B%,1,100,36
1752701310.154595,586743.000,30154,1,B%,1,100,36
1752701315.154606,591743.000,30979,1,B%,1,100,36
1752701320.153616,596742.000,31805,1,B%,1,100,37
1752701325.153626,601742.000,32649,1,B%,1,100,36
1752701330.152636,606741.000,33453,1,B%,1,100,36
1752701335.152646,611741.000,34282,1,B%,1,100,36
1752701340.151657,616740.000,35102,1,B%,1,100,36
1752701345.151667,621740.000,35926,1,B%,1,100,37
1752701350.150677,626739.000,36729,1,B%,1,100,36
1752701355.150687,631739.000,37553,1,B%,1,100,37
1752701360.149698,636738.000,38379,1,B%,1,100,36
1752701365.149708,641738.000,39206,1,B%,1,100,37
1752701370.148718,646737.000,40013,1,B%,1,100,36
1752701375.148728,651737.000,40836,1,B%,1,100,37
1752701380.147738,656736.000,41659,1,B%,1,100,36
1752701385.147749,661736.000,42464,1,B%,1,100,37
1752701390.146759,666735.000,43290,1,B%,1,100,37
1752701395.146769,671735.000,44114,1,B%,1,100,37
1752701400.145779,676734.000,44928,1,B%,1,100,37
1752701405.145790,681734.000,45752,1,B%,1,100,36
1752701410.144800,686733.000,46575,1,B%,1,100,37
1752701415.144810,691733.000,47398,1,B%,1,100,37
1752701420.143820,696732.000,48156,1,B%,1,100,36
1752701425.143830,701732.000,48977,1,B%,1,100,37
1752701430.142841,706731.000,49800,1,B%,1,100,36
1752701435.142851,711731.000,50623,1,B%,1,100,37
1752701440.141861,716730.000,51426,1,B%,1,100,37
1752701445.141871,721730.000,52248,1,B%,1,100,37
1752701450.140882,726729.000,53073,1,B%,1,100,37
1752701455.140892,731729.000,53896,1,B%,1,100,37
1752701460.139902,736728.000,54720,1,B%,1,100,37
1752701465.139912,741728.000,55527,1,B%,1,100,37
1752701470.138922,746727.000,56349,1,B%,1,100,37
1752701475.138933,751727.000,57170,1,B%,1,100,37
1752701480.137943,756726.000,57977,1,B%,1,100,38
1752701485.137953,761726.000,58803,1,B%,1,100,37
1752701490.136963,766725.000,59625,1,B%,1,100,38
1752701495.136974,771725.000,60432,1,B%,1,100,37
1752701500.135984,776724.000,61258,1,B%,1,100,37
1752701505.135994,781724.000,62080,1,B%,1,100,37
1752701510.135004,786723.000,62887,1,B%,1,100,38
1752701515.135014,791723.000,63709,1,B%,1,100,37
1752701520.134025,796722.000,64533,1,B%,1,100,37
1752701525.134035,801722.000,65356,1,B%,1,100,37
1752701530.133045,806721.000,642,1,B%,1,100,38
1752701535.133055,811721.000,1462,1,B%,1,100,37
1752701540.132066,816720.000,2303,1,B%,1,100,38
1752701545.132076,821720.000,3124,1,B%,1,100,38
1752701550.131086,826719.000,3945,1,B%,1,100,38
1752701555.131096,831719.000,4766,1,B%,1,100,38
1752701560.130106,836718.000,5604,1,B%,1,100,38
1752701565.130117,841718.000,6427,1,B%,1,100,38
1752701570.129127,846717.000,7246,1,B%,1,100,38
1752701575.129137,851717.000,8086,1,B%,1,100,37
1752701580.128147,856716.000,8907,1,B%,1,100,38
1752701585.128158,861716.000,9730,1,B%,1,100,38
1752701590.127168,866715.000,10552,1,B%,1,100,38
1752701595.127178,871715.000,11374,1,B%,1,100,38
1752701600.126188,876714.000,12196,1,B%,1,100,38
1752701605.126198,881714.000,13034,1,B%,1,100,38
