LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752701120.407207,396996.000,63667,2,EL,1,100,-9971.799805
1752701120.407207,396996.000,63667,2,EL,1,100,-9980.000000
1752701120.474208,397063.000,63686,1,EL,1,100,-9972.799805
1752701120.540708,397129.500,63701,2,EL,1,100,-9996.400391
1752701120.607208,397196.000,63701,2,EL,1,100,-10032.400391
1752701120.674208,397263.000,63718,1,EL,1,100,-10078.599609
1752701120.740708,397329.500,63734,2,EL,1,100,-10087.000000
1752701120.807208,397396.000,63734,2,EL,1,100,-10091.000000
1752701120.874208,397463.000,63752,1,EL,1,100,-10080.400391
1752701120.940708,397529.500,63768,2,EL,1,100,-10117.799805
1752701121.007209,397596.000,63768,2,EL,1,100,-10142.599609
1752701121.074209,397663.000,63785,1,EL,1,100,-10150.799805
1752701121.140709,397729.500,63802,2,EL,1,100,-10162.400391
1752701121.207209,397796.000,63802,2,EL,1,100,-10174.200195
1752701121.274209,397863.000,63819,1,EL,1,100,-10186.400391
1752701121.340709,397929.500,63834,2,EL,1,100,-10202.200195
1752701121.407209,397996.000,63834,2,EL,1,100,-10211.799805
1752701121.474210,398063.000,63850,1,EL,1,100,-10227.000000
1752701121.540710,398129.500,63867,2,EL,1,100,-10239.799805
1752701121.607210,398196.000,63867,2,EL,1,100,-10246.200195
1752701121.673710,398262.500,63886,2,EL,1,100,-10262.599609
1752701121.740210,398329.000,63886,2,EL,1,100,-10280.200195
1752701121.807210,398396.000,63902,1,EL,1,100,-10290.200195
1752701121.873710,398462.500,63918,2,EL,1,100,-10302.799805
1752701121.940211,398529.000,63918,2,EL,1,100,-10312.799805
1752701122.007211,398596.000,63934,1,EL,1,100,-10329.799805
1752701122.073711,398662.500,63951,2,EL,1,100,-10347.400391
1752701122.140211,398729.000,63951,2,EL,1,100,-10361.599609
1752701122.207211,398796.000,63968,1,EL,1,100,-10374.799805
1752701122.273711,398862.500,63983,2,EL,1,100,-10387.799805
1752701122.340211,398929.000,63983,2,EL,1,100,-10398.599609
1752701122.407211,398996.000,64001,1,EL,1,100,-10412.599609
1752701122.473712,399062.500,64019,2,EL,1,100,-10423.799805
1752701122.540212,399129.000,64019,2,EL,1,100,-10431.599609
1752701122.607212,399196.000,64035,1,EL,1,100,-10441.400391
1752701122.673712,399262.500,64050,2,EL,1,100,-10456.200195
1752701122.740212,399329.000,64050,2,EL,1,100,-10469.799805
1752701122.807212,399396.000,64066,1,EL,1,100,-10483.799805
1752701122.873712,399462.500,64084,2,EL,1,100,-10492.200195
1752701122.940213,399529.000,64084,2,EL,1,100,-10504.599609
1752701123.007213,399596.000,64102,1,EL,1,100,-10517.200195
1752701123.073713,399662.500,64118,2,EL,1,100,-10527.200195
1752701123.140213,399729.000,64118,2,EL,1,100,-10539.799805
1752701123.207213,399796.000,64134,1,EL,1,100,-10549.400391
1752701123.273713,399862.500,64151,2,EL,1,100,-10556.200195
1752701123.340213,399929.000,64151,2,EL,1,100,-10570.000000
1752701123.407214,399996.000,64167,1,EL,1,100,-10583.200195
1752701123.473714,400062.500,64184,2,EL,1,100,-10597.000000
1752701123.540214,400129.000,64184,2,EL,1,100,-10611.400391
1752701123.606714,400195.500,64201,2,EL,1,100,-10632.799805
1752701123.673214,400262.000,64201,2,EL,1,100,-10635.599609
1752701123.740214,400329.000,64225,2,EL,1,100,-10645.200195
1752701123.807214,400396.000,64225,2,EL,1,100,-10657.000000
1752701123.873214,400462.000,64242,1,EL,1,100,-10662.599609
1752701123.940215,400529.000,64259,2,EL,1,100,-10670.000000
1752701124.007215,400596.000,64259,2,EL,1,100,-10688.000000
1752701124.074215,400663.000,64275,1,EL,1,100,-10702.200195
1752701124.140715,400729.500,64291,2,EL,1,100,-10715.599609
1752701124.207215,400796.000,64291,2,EL,1,100,-10729.599609
1752701124.274215,400863.000,64307,1,EL,1,100,-10744.000000
1752701124.340715,400929.500,64328,2,EL,1,100,-10747.599609
1752701124.407216,400996.000,64328,2,EL,1,100,-10759.000000
1752701124.473216,401062.000,64344,1,EL,1,100,-10769.400391
1752701124.540216,401129.000,64361,2,EL,1,100,-10774.400391
1752701124.607216,401196.000,64361,2,EL,1,100,-10788.400391
1752701124.673716,401262.500,64376,2,EL,1,100,-10797.799805
1752701124.740216,401329.000,64376,2,EL,1,100,-10813.000000
1752701124.807216,401396.000,64393,1,EL,1,100,-10824.000000
1752701124.873717,401462.500,64412,2,EL,1,100,-10832.400391
1752701124.940217,401529.000,64412,2,EL,1,100,-10846.799805
1752701125.007217,401596.000,64431,1,EL,1,100,-10853.799805
1752701125.073717,401662.500,64445,2,EL,1,100,-10857.000000
1752701125.140217,401729.000,64445,2,EL,1,100,-10872.799805
1752701125.207217,401796.000,64463,1,EL,1,100,-10883.599609
1752701125.273717,401862.500,64483,2,EL,1,100,-10896.200195
1752701125.340217,401929.000,64483,2,EL,1,100,-10904.599609
1752701125.407218,401996.000,64500,1,EL,1,100,-10914.799805
1752701125.473718,402062.500,64515,2,EL,1,100,-10933.200195
1752701125.540218,402129.000,64515,2,EL,1,100,-10940.000000
1752701125.607218,402196.000,64536,1,EL,1,100,-10948.599609
1752701125.673718,402262.500,64552,2,EL,1,100,-10955.599609
1752701125.740218,402329.000,64552,2,EL,1,100,-10967.799805
1752701125.807218,402396.000,64569,1,EL,1,100,-10971.000000
1752701125.873719,402462.500,64584,2,EL,1,100,-10982.000000
1752701125.940219,402529.000,64584,2,EL,1,100,-10999.799805
1752701126.007219,402596.000,64601,1,EL,1,100,-11012.400391
1752701126.073719,402662.500,64619,2,EL,1,100,-11018.400391
1752701126.140219,402729.000,64619,2,EL,1,100,-11032.000000
1752701126.207219,402796.000,64637,1,EL,1,100,-11039.200195
1752701126.273719,402862.500,64654,2,EL,1,100,-11052.400391
1752701126.340220,402929.000,64654,2,EL,1,100,-11058.000000
1752701126.406220,402995.000,64670,1,EL,1,100,-11066.599609
1752701126.473220,403062.000,64687,2,EL,1,100,-11074.799805
1752701126.540220,403129.000,64687,2,EL,1,100,-11083.400391
1752701126.607220,403196.000,64704,1,EL,1,100,-11099.200195
1752701126.673720,403262.500,64719,2,EL,1,100,-11109.799805
1752701126.740220,403329.000,64719,2,EL,1,100,-11118.400391
1752701126.806720,403395.500,64738,2,EL,1,100,-11129.400391
1752701126.873221,403462.000,64738,2,EL,1,100,-11134.799805
1752701126.940221,403529.000,64756,1,EL,1,100,-11145.400391
1752701127.006721,403595.500,64775,2,EL,1,100,-11157.200195
1752701127.073221,403662.000,64775,2,EL,1,100,-11163.400391
1752701127.140221,403729.000,64791,1,EL,1,100,-11171.400391
1752701127.206721,403795.500,64807,2,EL,1,100,-11181.200195
1752701127.273221,403862.000,64807,2,EL,1,100,-11191.400391
1752701127.340222,403929.000,64823,1,EL,1,100,-11200.000000
1752701127.406722,403995.500,64840,2,EL,1,100,-11214.000000
1752701127.473222,404062.000,64840,2,EL,1,100,-11223.200195
1752701127.540222,404129.000,64861,1,EL,1,100,-11225.400391
1752701127.606722,404195.500,64876,2,EL,1,100,-11234.200195
1752701127.673222,404262.000,64876,2,EL,1,100,-11246.200195
1752701127.740222,404329.000,64892,1,EL,1,100,-11258.000000
1752701127.806723,404395.500,64912,2,EL,1,100,-11268.000000
1752701127.873223,404462.000,64912,2,EL,1,100,-11271.799805
1752701127.940223,404529.000,64928,1,EL,1,100,-11279.599609
1752701128.006723,404595.500,64943,2,EL,1,100,-11294.799805
1752701128.073223,404662.000,64943,2,EL,1,100,-11301.799805
1752701128.140223,404729.000,64959,1,EL,1,100,-11312.000000
1752701128.206723,404795.500,64981,2,EL,1,100,-11324.400391
1752701128.273223,404862.000,64981,2,EL,1,100,-11328.200195
1752701128.340224,404929.000,64997,1,EL,1,100,-11335.599609
1752701128.406724,404995.500,65014,2,EL,1,100,-11350.799805
1752701128.473224,405062.000,65014,2,EL,1,100,-11352.400391
1752701128.540224,405129.000,65031,1,EL,1,100,-11357.599609
1752701128.606724,405195.500,65048,2,EL,1,100,-11360.599609
1752701128.673224,405262.000,65048,2,EL,1,100,-11369.599609
1752701128.740224,405329.000,65064,1,EL,1,100,-11379.200195
1752701128.806891,405395.667,65086,3,EL,1,100,-11401.000000
1752701128.873558,405462.333,65086,3,EL,1,100,-11411.400391
1752701128.940225,405529.000,65086,3,EL,1,100,-11419.400391
1752701129.006225,405595.000,65106,1,EL,1,100,-11419.400391
1752701129.073225,405662.000,65121,2,EL,1,100,-11423.000000
1752701129.140225,405729.000,65121,2,EL,1,100,-11424.200195
1752701129.206225,405795.000,65138,1,EL,1,100,-11433.799805
1752701129.273226,405862.000,65157,2,EL,1,100,-11446.000000
1752701129.340226,405929.000,65157,2,EL,1,100,-11432.000000
1752701129.406226,405995.000,65173,1,EL,1,100,-11435.599609
1752701129.473226,406062.000,65189,2,EL,1,100,-11433.200195
1752701129.540226,406129.000,65189,2,EL,1,100,-11431.799805
1752701129.606226,406195.000,65207,1,EL,1,100,-11494.799805
1752701129.672726,406261.500,65224,2,EL,1,100,-11532.000000
1752701129.739226,406328.000,65224,2,EL,1,100,-11541.200195
1752701129.806227,406395.000,65242,1,EL,1,100,-11513.200195
1752701129.872727,406461.500,65258,2,EL,1,100,-11514.400391
1752701129.939227,406528.000,65258,2,EL,1,100,-11548.599609
1752701130.006227,406595.000,65274,1,EL,1,100,-11565.799805
1752701130.072727,406661.500,65293,2,EL,1,100,-11585.599609
1752701130.139227,406728.000,65293,2,EL,1,100,-11610.000000
1752701130.206227,406795.000,65310,1,EL,1,100,-11623.400391
1752701130.272728,406861.500,65330,2,EL,1,100,-11625.599609
1752701130.339228,406928.000,65330,2,EL,1,100,-11626.000000
1752701130.406228,406995.000,65345,2,EL,1,100,-11632.799805
1752701130.473228,407062.000,65345,2,EL,1,100,-11633.200195
1752701130.539228,407128.000,65363,1,EL,1,100,-11647.799805
