LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752701120.320207,396909.000,63648,4,EM,1,100,RS
1752701120.320207,396909.000,63648,4,EM,1,100,RB
1752701120.320207,396909.000,63648,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701120.320207,396909.000,63648,4,EM,1,100,PS
1752701120.370457,396959.250,63679,4,EM,1,100,RS
1752701120.420707,397009.500,63679,4,EM,1,100,RB
1752701120.470958,397059.750,63679,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701120.521208,397110.000,63679,4,EM,1,100,PS
1752701120.571208,397160.000,63713,4,EM,1,100,RS
1752701120.621208,397210.000,63713,4,EM,1,100,RB
1752701120.671208,397260.000,63713,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701120.721208,397310.000,63713,4,EM,1,100,PS
1752701120.771458,397360.250,63746,4,EM,1,100,RS
1752701120.821708,397410.500,63746,4,EM,1,100,RB
1752701120.871958,397460.750,63746,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701120.922208,397511.000,63746,4,EM,1,100,PS
1752701120.972459,397561.250,63780,4,EM,1,100,RS
1752701121.022709,397611.500,63780,4,EM,1,100,RB
1752701121.072959,397661.750,63780,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701121.123209,397712.000,63780,4,EM,1,100,PS
1752701121.173459,397762.250,63814,4,EM,1,100,RS
1752701121.223709,397812.500,63814,4,EM,1,100,RB
1752701121.273959,397862.750,63814,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701121.324209,397913.000,63814,4,EM,1,100,PS
1752701121.374459,397963.250,63845,4,EM,1,100,RS
1752701121.424709,398013.500,63845,4,EM,1,100,RB
1752701121.474960,398063.750,63845,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701121.525210,398114.000,63845,4,EM,1,100,PS
1752701121.576210,398165.000,63879,4,EM,1,100,RS
1752701121.627210,398216.000,63879,4,EM,1,100,RB
1752701121.678210,398267.000,63879,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701121.729210,398318.000,63879,4,EM,1,100,PS
1752701121.779460,398368.250,63912,4,EM,1,100,RS
1752701121.829710,398418.500,63912,4,EM,1,100,RB
1752701121.879960,398468.750,63912,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701121.930210,398519.000,63912,4,EM,1,100,PS
1752701121.980461,398569.250,63946,4,EM,1,100,RS
1752701122.030711,398619.500,63946,4,EM,1,100,RB
1752701122.080961,398669.750,63946,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701122.131211,398720.000,63946,4,EM,1,100,PS
1752701122.181461,398770.250,63978,4,EM,1,100,RS
1752701122.231711,398820.500,63978,4,EM,1,100,RB
1752701122.281961,398870.750,63978,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701122.332211,398921.000,63978,4,EM,1,100,PS
1752701122.382711,398971.500,64013,4,EM,1,100,RS
1752701122.433212,399022.000,64013,4,EM,1,100,RB
1752701122.483712,399072.500,64013,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701122.534212,399123.000,64013,4,EM,1,100,PS
1752701122.584462,399173.250,64045,4,EM,1,100,RS
1752701122.634712,399223.500,64045,4,EM,1,100,RB
1752701122.684962,399273.750,64045,4,EM,1,100,2025-07-16_17-25-19-561692.csv
1752701122.735212,399324.000,64045,4,EM,1,100,PS
1752701122.785462,399374.250,64078,4,EM,1,100,RS
1752701122.835712,399424.500,64078,4,EM,1,100,RB
