LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752701120.302207,396891.000,63650,1,PR,1,100,57025
1752701120.342207,396931.000,63664,3,PR,1,100,57006
1752701120.382207,396971.000,63664,3,PR,1,100,57023
1752701120.422207,397011.000,63664,3,PR,1,100,57029
1752701120.462207,397051.000,63683,2,PR,1,100,57043
1752701120.502208,397091.000,63683,2,PR,1,100,57049
1752701120.542208,397131.000,63698,3,PR,1,100,57053
1752701120.582208,397171.000,63698,3,PR,1,100,57043
1752701120.622208,397211.000,63698,3,PR,1,100,57055
1752701120.662208,397251.000,63715,2,PR,1,100,57038
1752701120.702208,397291.000,63715,2,PR,1,100,57023
1752701120.742208,397331.000,63731,3,PR,1,100,57030
1752701120.782208,397371.000,63731,3,PR,1,100,57017
1752701120.822208,397411.000,63731,3,PR,1,100,57011
1752701120.862208,397451.000,63749,2,PR,1,100,57033
1752701120.902208,397491.000,63749,2,PR,1,100,57021
1752701120.942208,397531.000,63765,3,PR,1,100,57033
1752701120.982209,397571.000,63765,3,PR,1,100,57009
1752701121.022209,397611.000,63765,3,PR,1,100,57052
1752701121.062209,397651.000,63782,2,PR,1,100,57052
1752701121.102209,397691.000,63782,2,PR,1,100,57051
1752701121.142209,397731.000,63799,3,PR,1,100,57064
1752701121.182209,397771.000,63799,3,PR,1,100,57081
1752701121.222209,397811.000,63799,3,PR,1,100,57088
1752701121.262209,397851.000,63816,2,PR,1,100,57072
1752701121.302209,397891.000,63816,2,PR,1,100,57090
1752701121.342209,397931.000,63831,3,PR,1,100,57088
1752701121.382209,397971.000,63831,3,PR,1,100,57066
1752701121.422209,398011.000,63831,3,PR,1,100,57066
1752701121.462210,398051.000,63847,2,PR,1,100,57064
1752701121.502210,398091.000,63847,2,PR,1,100,57086
1752701121.542210,398131.000,63864,3,PR,1,100,57073
1752701121.582210,398171.000,63864,3,PR,1,100,57088
1752701121.622210,398211.000,63864,3,PR,1,100,57087
1752701121.662210,398251.000,63883,3,PR,1,100,57092
1752701121.702210,398291.000,63883,3,PR,1,100,57081
1752701121.742210,398331.000,63883,3,PR,1,100,57103
1752701121.782210,398371.000,63899,2,PR,1,100,57114
1752701121.822210,398411.000,63899,2,PR,1,100,57107
1752701121.862210,398451.000,63915,3,PR,1,100,57111
1752701121.902210,398491.000,63915,3,PR,1,100,57145
1752701121.942211,398531.000,63915,3,PR,1,100,57118
1752701121.982211,398571.000,63931,2,PR,1,100,57117
