LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752701123.720214,400309.000,64215,2,RD,1,100,TL
1752701123.720214,400309.000,64215,2,RD,1,100,TU
1752701126.280219,402869.000,65077,2,RD,1,100,TL
1752701128.840225,405429.000,65077,2,RD,1,100,TU
1752701131.401230,407990.000,399,2,RD,1,100,TL
1752701133.962235,410551.000,399,2,RD,1,100,TU
1752701136.516240,413105.000,1265,2,RD,1,100,TL
1752701139.070246,415659.000,1265,2,RD,1,100,TU
1752701141.641251,418230.000,2144,2,RD,1,100,TL
1752701144.212256,420801.000,2144,2,RD,1,100,TU
1752701146.766261,423355.000,3006,2,RD,1,100,TL
1752701149.320266,425909.000,3006,2,RD,1,100,TU
1752701151.887272,428476.000,3889,2,RD,1,100,TL
1752701154.454277,431043.000,3889,2,RD,1,100,TU
1752701157.010282,433599.000,4759,2,RD,1,100,TL
1752701159.566287,436155.000,4759,2,RD,1,100,TU
1752701162.128293,438717.000,5639,2,RD,1,100,TL
1752701164.690298,441279.000,5639,2,RD,1,100,TU
1752701167.244303,443833.000,6490,2,RD,1,100,TL
1752701169.798308,446387.000,6490,2,RD,1,100,TU
1752701172.367814,448956.500,7372,2,RD,1,100,TL
1752701174.937319,451526.000,7372,2,RD,1,100,TU
1752701177.491324,454080.000,8232,2,RD,1,100,TL
1752701180.045329,456634.000,8232,2,RD,1,100,TU
1752701182.598335,459187.000,9099,2,RD,1,100,TL
1752701185.151340,461740.000,9099,2,RD,1,100,TU
1752701187.706345,464295.000,9978,2,RD,1,100,TL
1752701190.261350,466850.000,9978,2,RD,1,100,TU
1752701192.829855,469418.500,10872,2,RD,1,100,TL
1752701195.398361,471987.000,10872,2,RD,1,100,TU
1752701197.953866,474542.500,11736,2,RD,1,100,TL
1752701200.509371,477098.000,11736,2,RD,1,100,TU
1752701203.063876,479652.500,12601,2,RD,1,100,TL
1752701205.618382,482207.000,12601,2,RD,1,100,TU
1752701208.184387,484773.000,13489,2,RD,1,100,TL
1752701210.750392,487339.000,13489,2,RD,1,100,TU
1752701213.316897,489905.500,14315,2,RD,1,100,TL
1752701215.883403,492472.000,14315,2,RD,1,100,TU
1752701218.437408,495026.000,15181,2,RD,1,100,TL
1752701220.991413,497580.000,15181,2,RD,1,100,TU
1752701223.556918,500145.500,16040,2,RD,1,100,TL
1752701226.122424,502711.000,16040,2,RD,1,100,TU
1752701228.674429,505263.000,16906,2,RD,1,100,TL
1752701231.226434,507815.000,16906,2,RD,1,100,TU
1752701233.780439,510369.000,17776,2,RD,1,100,TL
1752701236.334444,512923.000,17776,2,RD,1,100,TU
1752701238.888950,515477.500,18644,2,RD,1,100,TL
1752701241.443455,518032.000,18644,2,RD,1,100,TU
1752701244.004960,520593.500,19495,2,RD,1,100,TL
1752701246.566465,523155.000,19495,2,RD,1,100,TU
1752701249.119471,525708.000,20366,2,RD,1,100,TL
1752701251.672476,528261.000,20366,2,RD,1,100,TU
1752701254.227981,530816.500,21219,2,RD,1,100,TL
1752701256.783486,533372.000,21219,2,RD,1,100,TU
1752701259.337491,535926.000,22072,2,RD,1,100,TL
1752701261.891497,538480.000,22072,2,RD,1,100,TU
1752701264.465502,541054.000,22932,2,RD,1,100,TL
1752701267.039507,543628.000,22932,2,RD,1,100,TU
1752701269.592012,546180.500,23784,2,RD,1,100,TL
1752701272.144518,548733.000,23784,2,RD,1,100,TU
1752701274.712023,551300.500,24654,2,RD,1,100,TL
1752701277.279528,553868.000,24654,2,RD,1,100,TU
1752701279.833533,556422.000,25513,2,RD,1,100,TL
1752701282.387539,558976.000,25513,2,RD,1,100,TU
1752701284.941544,561530.000,26366,2,RD,1,100,TL
1752701287.495549,564084.000,26366,2,RD,1,100,TU
1752701290.060054,566648.500,27230,2,RD,1,100,TL
1752701292.624559,569213.000,27230,2,RD,1,100,TU
1752701295.181565,571770.000,28076,2,RD,1,100,TL
1752701297.738570,574327.000,28076,2,RD,1,100,TU
1752701300.293575,576882.000,28921,2,RD,1,100,TL
1752701302.848580,579437.000,28921,2,RD,1,100,TU
1752701305.424086,582012.500,29777,2,RD,1,100,TL
1752701307.999591,584588.000,29777,2,RD,1,100,TU
1752701310.552096,587140.500,30624,2,RD,1,100,TL
1752701313.104601,589693.000,30624,2,RD,1,100,TU
1752701315.658607,592247.000,31469,2,RD,1,100,TL
1752701318.212612,594801.000,31469,2,RD,1,100,TU
1752701320.783617,597372.000,32327,2,RD,1,100,TL
1752701323.354622,599943.000,32327,2,RD,1,100,TU
1752701325.908128,602496.500,33165,2,RD,1,100,TL
1752701328.461633,605050.000,33165,2,RD,1,100,TU
1752701331.016638,607605.000,34009,2,RD,1,100,TL
1752701333.571643,610160.000,34009,2,RD,1,100,TU
1752701336.129148,612717.500,34849,2,RD,1,100,TL
1752701338.686654,615275.000,34849,2,RD,1,100,TU
1752701341.244659,617833.000,35686,2,RD,1,100,TL
1752701343.802664,620391.000,35686,2,RD,1,100,TU
1752701346.376669,622965.000,36526,2,RD,1,100,TL
1752701348.950675,625539.000,36526,2,RD,1,100,TU
1752701351.511180,628099.500,37363,2,RD,1,100,TL
1752701354.071685,630660.000,37363,2,RD,1,100,TU
1752701356.633690,633222.000,38206,2,RD,1,100,TL
1752701359.195696,635784.000,38206,2,RD,1,100,TU
1752701361.758701,638347.000,39048,2,RD,1,100,TL
1752701364.321706,640910.000,39048,2,RD,1,100,TU
1752701366.882711,643471.000,39891,2,RD,1,100,TL
1752701369.443717,646032.000,39891,2,RD,1,100,TU
1752701372.010222,648598.500,40731,2,RD,1,100,TL
1752701374.576727,651165.000,40731,2,RD,1,100,TU
1752701377.141232,653729.500,41570,2,RD,1,100,TL
1752701379.705738,656294.000,41570,2,RD,1,100,TU
1752701382.272243,658860.500,42411,2,RD,1,100,TL
1752701384.838748,661427.000,42411,2,RD,1,100,TU
1752701387.401253,663989.500,43251,2,RD,1,100,TL
1752701389.963759,666552.000,43251,2,RD,1,100,TU
1752701392.521264,669109.500,44092,2,RD,1,100,TL
1752701395.078769,671667.000,44092,2,RD,1,100,TU
1752701397.643774,674232.000,44931,2,RD,1,100,TL
1752701400.208779,676797.000,44931,2,RD,1,100,TU
1752701402.769785,679358.000,45771,2,RD,1,100,TL
1752701405.330790,681919.000,45771,2,RD,1,100,TU
1752701407.890795,684479.000,46611,2,RD,1,100,TL
1752701410.450800,687039.000,46611,2,RD,1,100,TU
1752701413.008806,689597.000,47449,2,RD,1,100,TL
1752701415.566811,692155.000,47449,2,RD,1,100,TU
1752701418.136316,694724.500,48243,2,RD,1,100,TL
1752701420.705821,697294.000,48243,2,RD,1,100,TU
1752701423.262327,699850.500,49080,2,RD,1,100,TL
1752701425.818832,702407.000,49080,2,RD,1,100,TU
1752701428.385337,704973.500,49919,2,RD,1,100,TL
1752701430.951842,707540.000,49919,2,RD,1,100,TU
1752701433.513848,710102.000,50758,2,RD,1,100,TL
1752701436.075853,712664.000,50758,2,RD,1,100,TU
1752701438.634858,715223.000,51595,2,RD,1,100,TL
1752701441.193863,717782.000,51595,2,RD,1,100,TU
1752701443.755368,720343.500,52436,2,RD,1,100,TL
1752701446.316874,722905.000,52436,2,RD,1,100,TU
1752701448.874379,725462.500,53273,2,RD,1,100,TL
1752701451.431884,728020.000,53273,2,RD,1,100,TU
1752701453.998889,730587.000,54117,2,RD,1,100,TL
1752701456.565895,733154.000,54117,2,RD,1,100,TU
1752701459.130900,735719.000,54956,2,RD,1,100,TL
1752701461.695905,738284.000,54956,2,RD,1,100,TU
1752701464.256410,740844.500,55796,2,RD,1,100,TL
1752701466.816916,743405.000,55796,2,RD,1,100,TU
1752701469.385921,745974.000,56632,2,RD,1,100,TL
1752701471.954926,748543.000,56632,2,RD,1,100,TU
1752701474.526431,751114.500,57473,2,RD,1,100,TL
1752701477.097937,753686.000,57473,2,RD,1,100,TU
1752701479.663942,756252.000,58313,2,RD,1,100,TL
1752701482.229947,758818.000,58313,2,RD,1,100,TU
1752701484.797452,761385.500,59156,2,RD,1,100,TL
1752701487.364958,763953.000,59156,2,RD,1,100,TU
1752701489.928963,766517.000,59995,2,RD,1,100,TL
1752701492.492968,769081.000,59995,2,RD,1,100,TU
1752701495.062973,771651.000,60837,2,RD,1,100,TL
1752701497.632979,774221.000,60837,2,RD,1,100,TU
1752701500.202984,776791.000,61676,2,RD,1,100,TL
1752701502.772989,779361.000,61676,2,RD,1,100,TU
1752701505.343494,781931.500,62516,2,RD,1,100,TL
1752701507.914000,784502.000,62516,2,RD,1,100,TU
1752701510.472505,787060.500,63355,2,RD,1,100,TL
1752701513.031010,789619.000,63355,2,RD,1,100,TU
1752701515.590015,792178.000,64194,2,RD,1,100,TL
1752701518.149021,794737.000,64194,2,RD,1,100,TU
1752701520.706526,797294.500,65034,2,RD,1,100,TL
1752701523.264031,799852.000,65034,2,RD,1,100,TU
1752701525.821536,802409.500,337,2,RD,1,100,TL
1752701528.379042,804967.000,337,2,RD,1,100,TU
1752701530.931047,807519.000,1177,2,RD,1,100,TL
1752701533.483052,810071.000,1177,2,RD,1,100,TU
1752701536.036557,812624.500,2015,2,RD,1,100,TL
1752701538.590062,815178.000,2015,2,RD,1,100,TU
1752701541.156568,817744.500,2870,2,RD,1,100,TL
1752701543.723073,820311.000,2870,2,RD,1,100,TU
1752701546.279078,822867.000,3707,2,RD,1,100,TL
1752701548.835083,825423.000,3707,2,RD,1,100,TU
1752701551.402089,827990.000,4563,2,RD,1,100,TL
1752701553.969094,830557.000,4563,2,RD,1,100,TU
1752701556.523099,833111.000,5401,2,RD,1,100,TL
1752701559.077104,835665.000,5401,2,RD,1,100,TU
1752701561.649110,838237.000,6257,2,RD,1,100,TL
1752701564.221115,840809.000,6257,2,RD,1,100,TU
1752701566.774120,843362.000,7094,2,RD,1,100,TL
1752701569.327125,845915.000,7094,2,RD,1,100,TU
1752701571.890130,848478.000,7949,2,RD,1,100,TL
1752701574.453136,851041.000,7949,2,RD,1,100,TU
1752701577.006641,853594.500,8787,2,RD,1,100,TL
1752701579.560146,856148.000,8787,2,RD,1,100,TU
1752701582.129651,858717.500,9643,2,RD,1,100,TL
1752701584.699157,861287.000,9643,2,RD,1,100,TU
1752701587.262662,863850.500,10482,2,RD,1,100,TL
1752701589.826167,866414.000,10482,2,RD,1,100,TU
