LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752701119.940206,396529,63680,1,SA,1,100,0.006907
1752701123.474214,400063,64195,1,SA,1,100,0.000620
1752701124.007215,400596,64322,1,SA,1,100,0.000992
1752701124.674216,401263,64405,1,SA,1,100,0.000474
1752701125.207217,401796,64477,1,SA,1,100,0.000232
1752701125.407218,401996,64530,1,SA,1,100,0.000468
1752701125.940219,402529,64613,1,SA,1,100,0.000238
1752701126.540220,403129,64731,1,SA,1,100,0.000891
1752701126.940221,403529,64769,1,SA,1,100,0.000231
1752701127.407222,403996,64854,1,SA,1,100,0.000183
1752701127.607222,404196,64905,1,SA,1,100,0.000678
1752701127.940223,404529,64975,1,SA,1,100,0.000909
1752701128.340224,404929,65008,1,SA,1,100,0.000312
1752701128.807225,405396,65100,1,SA,1,100,0.000383
1752701129.206225,405795,65151,1,SA,1,100,0.000256
1752701129.540226,406129,65236,1,SA,1,100,0.002323
1752701129.873227,406462,65324,1,SA,1,100,0.002411
1752701130.673228,407262,65442,1,SA,1,100,0.001986
1752701131.407230,407996,107,1,SA,1,100,0.003514
1752701132.940233,409529,276,1,SA,1,100,0.000982
1752701133.472234,410061,329,1,SA,1,100,0.000293
1752701133.672234,410261,362,1,SA,1,100,0.000364
1752701134.272236,410861,504,1,SA,1,100,0.000937
1752701134.806237,411395,572,1,SA,1,100,0.000278
1752701135.273238,411862,658,1,SA,1,100,0.000507
1752701135.673239,412262,727,1,SA,1,100,0.000486
1752701135.939239,412528,763,1,SA,1,100,0.000629
1752701136.206240,412795,797,1,SA,1,100,0.000311
1752701136.673241,413262,899,1,SA,1,100,0.000462
1752701136.939241,413528,936,1,SA,1,100,0.000378
1752701137.205242,413794,1004,1,SA,1,100,0.000990
1752701137.606243,414195,1040,1,SA,1,100,0.000357
1752701137.939243,414528,1124,1,SA,1,100,0.000653
1752701138.272244,414861,1160,1,SA,1,100,0.000227
1752701138.606245,415195,1227,1,SA,1,100,0.000551
1752701138.939245,415528,1335,1,SA,1,100,0.001303
1752701139.606247,416195,1387,1,SA,1,100,0.000159
1752701140.072248,416661,1454,1,SA,1,100,0.000299
1752701140.672249,417261,1559,1,SA,1,100,0.000170
1752701140.872249,417461,1595,1,SA,1,100,0.000275
1752701141.072250,417661,1648,1,SA,1,100,0.000467
1752701141.472250,418061,1700,1,SA,1,100,0.000310
1752701141.805251,418394,1767,1,SA,1,100,0.000269
1752701142.805253,419394,1952,1,SA,1,100,0.000808
1752701143.605255,420194,2071,1,SA,1,100,0.000417
1752701143.872255,420461,2124,1,SA,1,100,0.000644
1752701144.205256,420794,2213,1,SA,1,100,0.000956
1752701144.805257,421394,2282,1,SA,1,100,0.000417
1752701145.338258,421927,2353,1,SA,1,100,0.000218
1752701145.538259,422127,2420,1,SA,1,100,0.000994
1752701145.938260,422527,2456,1,SA,1,100,0.000221
1752701146.271260,422860,2524,1,SA,1,100,0.000432
1752701146.538261,423127,2578,1,SA,1,100,0.000477
1752701147.071262,423660,2664,1,SA,1,100,0.000440
1752701147.471263,424060,2715,1,SA,1,100,0.000272
1752701148.071264,424660,2883,1,SA,1,100,0.001425
1752701148.671265,425260,2918,1,SA,1,100,0.000279
1752701148.871266,425460,2953,1,SA,1,100,0.000324
1752701149.204266,425793,3011,1,SA,1,100,0.000260
1752701149.404267,425993,3078,1,SA,1,100,0.000673
1752701150.004268,426593,3147,1,SA,1,100,0.000295
1752701150.471269,427060,3250,1,SA,1,100,0.000957
1752701150.804270,427393,3286,1,SA,1,100,0.000231
1752701151.137270,427726,3355,1,SA,1,100,0.000536
1752701151.337271,427926,3374,1,SA,1,100,0.000312
1752701151.537271,428126,3410,1,SA,1,100,0.000298
1752701152.005272,428594,3512,1,SA,1,100,0.000190
1752701152.671273,429260,3611,1,SA,1,100,0.000489
1752701152.937274,429526,3665,1,SA,1,100,0.000436
1752701153.337275,429926,3751,1,SA,1,100,0.000635
1752701154.070276,430659,3833,1,SA,1,100,0.000313
1752701154.270277,430859,3893,1,SA,1,100,0.000463
1752701154.538277,431127,3943,1,SA,1,100,0.000591
1752701154.870278,431459,3979,1,SA,1,100,0.000352
1752701155.070278,431659,4014,1,SA,1,100,0.000370
1752701155.270279,431859,4050,1,SA,1,100,0.000355
1752701155.470279,432059,4086,1,SA,1,100,0.000271
1752701155.804280,432393,4155,1,SA,1,100,0.000495
1752701156.071280,432660,4190,1,SA,1,100,0.000283
1752701156.271281,432860,4226,1,SA,1,100,0.000164
1752701156.603281,433192,4295,1,SA,1,100,0.000478
1752701156.871282,433460,4331,1,SA,1,100,0.000454
1752701157.203283,433792,4398,1,SA,1,100,0.000378
1752701157.603283,434192,4451,1,SA,1,100,0.000390
1752701157.937284,434526,4536,1,SA,1,100,0.000634
1752701158.537285,435126,4621,1,SA,1,100,0.000660
1752701159.337287,435926,4738,1,SA,1,100,0.000303
1752701159.536287,436125,4812,1,SA,1,100,0.000580
1752701160.004288,436593,4915,1,SA,1,100,0.000968
1752701160.604290,437193,5002,1,SA,1,100,0.000865
1752701161.270291,437859,5069,1,SA,1,100,0.000503
1752701161.470291,438059,5123,1,SA,1,100,0.000515
1752701161.870292,438459,5190,1,SA,1,100,0.000404
1752701162.270293,438859,5243,1,SA,1,100,0.000193
1752701162.603294,439192,5344,1,SA,1,100,0.001082
1752701163.003294,439592,5379,1,SA,1,100,0.000451
1752701163.269295,439858,5447,1,SA,1,100,0.000986
1752701163.803296,440392,5499,1,SA,1,100,0.000179
1752701164.003297,440592,5534,1,SA,1,100,0.000429
1752701164.336297,440925,5603,1,SA,1,100,0.000361
1752701164.670298,441259,5675,1,SA,1,100,0.000212
1752701164.936298,441525,5711,1,SA,1,100,0.000467
1752701165.203299,441792,5781,1,SA,1,100,0.000949
1752701165.603300,442192,5883,1,SA,1,100,0.001796
1752701166.336301,442925,5936,1,SA,1,100,0.000355
1752701166.536302,443125,6003,1,SA,1,100,0.002750
1752701166.869302,443458,6041,1,SA,1,100,0.004643
1752701169.202307,445791,6493,1,SA,1,100,0.003377
1752701169.802308,446391,6531,1,SA,1,100,0.000100
1752701170.002309,446591,6565,1,SA,1,100,0.001175
1752701170.269309,446858,6669,1,SA,1,100,0.003234
1752701171.002311,447591,6736,1,SA,1,100,0.001160
1752701171.402312,447991,6789,1,SA,1,100,0.000501
1752701171.602312,448191,6841,1,SA,1,100,0.001553
1752701171.869313,448458,6877,1,SA,1,100,0.000786
1752701172.069313,448658,6912,1,SA,1,100,0.001358
1752701172.535314,449124,7013,1,SA,1,100,0.001494
1752701172.869315,449458,7049,1,SA,1,100,0.000984
1752701173.203315,449792,7251,1,SA,1,100,0.006875
1752701174.335318,450924,7352,1,SA,1,100,0.003134
1752701175.135319,451724,7427,1,SA,1,100,0.000117
1752701175.602320,452191,7512,1,SA,1,100,0.000550
1752701176.002321,452591,7598,1,SA,1,100,0.002531
1752701176.735323,453324,7700,1,SA,1,100,0.000581
1752701176.935323,453524,7770,1,SA,1,100,0.003277
1752701177.335324,453924,7803,1,SA,1,100,0.002287
1752701177.535324,454124,7839,1,SA,1,100,0.001989
1752701177.869325,454458,7892,1,SA,1,100,0.001105
1752701178.069325,454658,7927,1,SA,1,100,0.001275
1752701178.269326,454858,8009,1,SA,1,100,0.006963
1752701179.335328,455924,8146,1,SA,1,100,0.001549
1752701181.334332,457923,8486,1,SA,1,100,0.002178
