LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752701120.607208,397196.000,63696,1,SF,1,100,40.6231
1752701120.874208,397463.000,63747,1,SF,1,100,40.1531
1752701121.207209,397796.000,63797,1,SF,1,100,39.6886
1752701121.607210,398196.000,63862,1,SF,1,100,39.2295
1752701121.940211,398529.000,63913,1,SF,1,100,38.7757
1752701122.207211,398796.000,63963,1,SF,1,100,38.3271
1752701122.540212,399129.000,64014,1,SF,1,100,37.8838
1752701122.940213,399529.000,64079,1,SF,1,100,37.4455
1752701123.207213,399796.000,64129,1,SF,1,100,37.0124
1752701123.540214,400129.000,64179,1,SF,1,100,36.5842
1752701123.873214,400462.000,64237,1,SF,1,100,38.2432
1752701124.207215,400796.000,64286,1,SF,1,100,37.8008
1752701124.607216,401196.000,64356,1,SF,1,100,39.4458
1752701124.940217,401529.000,64407,1,SF,1,100,41.0717
1752701125.207217,401796.000,64458,1,SF,1,100,40.5966
1752701125.540218,402129.000,64510,1,SF,1,100,42.2093
1752701125.940219,402529.000,64579,1,SF,1,100,43.8032
1752701126.207219,402796.000,64632,1,SF,1,100,45.3788
1752701126.540220,403129.000,64682,1,SF,1,100,44.8538
1752701126.873221,403462.000,64733,1,SF,1,100,46.4172
1752701127.273221,403862.000,64802,1,SF,1,100,47.9625
1752701127.540222,404129.000,64856,1,SF,1,100,49.4899
1752701127.873223,404462.000,64907,1,SF,1,100,50.9997
1752701128.273223,404862.000,64974,1,SF,1,100,50.4097
1752701128.540224,405129.000,65026,1,SF,1,100,53.9911
1752701128.940225,405529.000,65081,1,SF,1,100,53.3665
1752701129.206225,405795.000,65133,1,SF,1,100,54.8314
1752701129.540226,406129.000,65184,1,SF,1,100,56.2794
1752701129.939227,406528.000,65253,1,SF,1,100,57.7106
1752701130.206227,406795.000,65305,1,SF,1,100,57.0430
1752701130.539228,407128.000,65358,1,SF,1,100,58.4653
1752701130.873229,407462.000,65408,1,SF,1,100,57.7890
1752701131.273230,407862.000,65475,1,SF,1,100,59.2028
1752701131.539230,408128.000,65528,1,SF,1,100,58.5179
1752701131.873231,408462.000,40,1,SF,1,100,57.8410
1752701132.273232,408862.000,109,1,SF,1,100,59.2541
1752701132.539232,409128.000,158,1,SF,1,100,58.5686
1752701132.872233,409461.000,209,1,SF,1,100,57.8911
1752701133.206234,409795.000,259,1,SF,1,100,57.2214
1752701133.606234,410195.000,328,1,SF,1,100,58.6417
1752701133.872235,410461.000,380,1,SF,1,100,62.1279
1752701134.206236,410795.000,436,1,SF,1,100,61.4092
1752701134.606236,411195.000,503,1,SF,1,100,60.6988
1752701134.872237,411461.000,555,1,SF,1,100,62.0789
1752701135.206238,411795.000,608,1,SF,1,100,63.4430
1752701135.539238,412128.000,660,1,SF,1,100,64.7913
1752701135.939239,412528.000,729,1,SF,1,100,66.1241
1752701136.206240,412795.000,782,1,SF,1,100,67.4414
1752701136.539240,413128.000,834,1,SF,1,100,68.7435
1752701136.939241,413528.000,901,1,SF,1,100,70.0305
1752701137.205242,413794.000,954,1,SF,1,100,71.3026
1752701137.539242,414128.000,1006,1,SF,1,100,72.5601
1752701137.872243,414461.000,1059,1,SF,1,100,73.8029
1752701138.272244,414861.000,1126,1,SF,1,100,75.0314
1752701138.539244,415128.000,1178,1,SF,1,100,76.2457
1752701138.872245,415461.000,1229,1,SF,1,100,77.4459
1752701139.272246,415861.000,1301,1,SF,1,100,76.5500
1752701139.539246,416128.000,1353,1,SF,1,100,77.7468
1752701139.872247,416461.000,1406,1,SF,1,100,78.9296
1752701140.205248,416794.000,1456,1,SF,1,100,80.0988
1752701140.605249,417194.000,1525,1,SF,1,100,79.1722
1752701140.872249,417461.000,1580,1,SF,1,100,80.3386
1752701141.205250,417794.000,1630,1,SF,1,100,81.4915
1752701141.605251,418194.000,1699,1,SF,1,100,82.6311
1752701141.872251,418461.000,1750,1,SF,1,100,83.7574
1752701142.205252,418794.000,1802,1,SF,1,100,84.8708
1752701142.538253,419127.000,1853,1,SF,1,100,83.8890
1752701142.938253,419527.000,1920,1,SF,1,100,82.9186
1752701143.205254,419794.000,1970,1,SF,1,100,84.0416
1752701143.538255,420127.000,2021,1,SF,1,100,83.0694
1752701143.938255,420527.000,2088,1,SF,1,100,84.1907
1752701144.205256,420794.000,2147,1,SF,1,100,85.2990
1752701144.538257,421127.000,2196,1,SF,1,100,84.3123
1752701144.871257,421460.000,2248,1,SF,1,100,85.4192
1752701145.271258,421860.000,2317,1,SF,1,100,86.5133
1752701145.538259,422127.000,2372,1,SF,1,100,87.5948
1752701145.871259,422460.000,2422,1,SF,1,100,88.6637
1752701146.271260,422860.000,2491,1,SF,1,100,89.7203
1752701146.538261,423127.000,2542,1,SF,1,100,90.7647
