LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752701120.400207,396989.000,63668,1,T1,1,100,36.138
1752701120.534208,397123.000,63702,1,T1,1,100,36.130
1752701120.667208,397256.000,63719,1,T1,1,100,36.234
1752701120.800208,397389.000,63735,1,T1,1,100,36.137
1752701120.934208,397523.000,63769,1,T1,1,100,36.059
1752701121.067209,397656.000,63786,1,T1,1,100,36.132
1752701121.200209,397789.000,63803,1,T1,1,100,36.163
1752701121.333209,397922.000,63820,1,T1,1,100,36.071
1752701121.467210,398056.000,63851,1,T1,1,100,36.066
1752701121.600210,398189.000,63868,1,T1,1,100,36.029
1752701121.734210,398323.000,63887,1,T1,1,100,36.083
1752701121.867210,398456.000,63919,1,T1,1,100,36.178
1752701122.000211,398589.000,63935,1,T1,1,100,36.148
1752701122.134211,398723.000,63952,1,T1,1,100,36.099
1752701122.267211,398856.000,63984,1,T1,1,100,36.149
1752701122.400211,398989.000,64002,1,T1,1,100,36.136
1752701122.533212,399122.000,64020,1,T1,1,100,36.094
1752701122.667212,399256.000,64051,1,T1,1,100,36.076
1752701122.800212,399389.000,64067,1,T1,1,100,36.068
1752701122.933213,399522.000,64085,1,T1,1,100,36.065
1752701123.067213,399656.000,64103,1,T1,1,100,36.099
1752701123.200213,399789.000,64135,1,T1,1,100,36.114
1752701123.333213,399922.000,64152,1,T1,1,100,36.120
1752701123.467214,400056.000,64168,1,T1,1,100,36.087
1752701123.600214,400189.000,64202,1,T1,1,100,36.109
1752701123.733214,400322.000,64226,1,T1,1,100,36.153
1752701123.867214,400456.000,64243,1,T1,1,100,36.102
1752701124.000215,400589.000,64260,1,T1,1,100,36.150
1752701124.133215,400722.000,64292,1,T1,1,100,36.136
1752701124.266215,400855.000,64308,1,T1,1,100,36.094
1752701124.400216,400989.000,64329,1,T1,1,100,36.041
1752701124.533216,401122.000,64345,1,T1,1,100,36.159
1752701124.666216,401255.000,64377,1,T1,1,100,36.140
1752701124.800216,401389.000,64394,1,T1,1,100,36.131
1752701124.933217,401522.000,64413,1,T1,1,100,36.092
1752701125.066217,401655.000,64446,1,T1,1,100,36.075
1752701125.200217,401789.000,64464,1,T1,1,100,36.210
1752701125.333217,401922.000,64484,1,T1,1,100,36.162
1752701125.466218,402055.000,64516,1,T1,1,100,36.141
1752701125.600218,402189.000,64537,1,T1,1,100,36.132
1752701125.733218,402322.000,64553,1,T1,1,100,36.163
1752701125.866219,402455.000,64585,1,T1,1,100,36.142
1752701126.000219,402589.000,64602,1,T1,1,100,36.132
1752701126.133219,402722.000,64620,1,T1,1,100,36.164
1752701126.266219,402855.000,64638,1,T1,1,100,36.106
1752701126.400220,402989.000,64671,1,T1,1,100,36.152
1752701126.533220,403122.000,64688,1,T1,1,100,36.172
1752701126.666220,403255.000,64705,1,T1,1,100,36.039
1752701126.800220,403389.000,64739,1,T1,1,100,36.088
1752701126.933221,403522.000,64757,1,T1,1,100,36.073
1752701127.066221,403655.000,64776,1,T1,1,100,36.032
1752701127.200221,403789.000,64808,1,T1,1,100,36.120
1752701127.333222,403922.000,64824,1,T1,1,100,36.123
1752701127.466222,404055.000,64841,1,T1,1,100,36.124
1752701127.600222,404189.000,64877,1,T1,1,100,36.125
1752701127.733222,404322.000,64893,1,T1,1,100,36.125
1752701127.866223,404455.000,64913,1,T1,1,100,36.089
1752701127.999223,404588.000,64944,1,T1,1,100,36.039
1752701128.133223,404722.000,64960,1,T1,1,100,36.088
1752701128.266223,404855.000,64982,1,T1,1,100,36.109
1752701128.399224,404988.000,65015,1,T1,1,100,36.118
1752701128.533224,405122.000,65032,1,T1,1,100,36.193
1752701128.666224,405255.000,65049,1,T1,1,100,36.154
1752701128.799225,405388.000,65065,1,T1,1,100,35.996
1752701128.933225,405522.000,65087,1,T1,1,100,35.998
1752701129.066225,405655.000,65122,1,T1,1,100,36.070
1752701129.199225,405788.000,65139,1,T1,1,100,36.101
1752701129.333226,405922.000,65158,1,T1,1,100,36.079
1752701129.466226,406055.000,65190,1,T1,1,100,36.141
1752701129.599226,406188.000,65208,1,T1,1,100,36.132
1752701129.733226,406322.000,65225,1,T1,1,100,36.163
1752701129.866227,406455.000,65259,1,T1,1,100,36.142
1752701129.999227,406588.000,65275,1,T1,1,100,36.097
1752701130.133227,406722.000,65294,1,T1,1,100,36.113
1752701130.266228,406855.000,65311,1,T1,1,100,36.191
1752701130.399228,406988.000,65346,1,T1,1,100,36.189
1752701130.533228,407122.000,65364,1,T1,1,100,36.188
1752701130.666228,407255.000,65380,1,T1,1,100,36.188
1752701130.799229,407388.000,65414,1,T1,1,100,36.046
1752701130.932229,407521.000,65431,1,T1,1,100,36.126
1752701131.066229,407655.000,65449,1,T1,1,100,36.196
1752701131.199229,407788.000,65481,1,T1,1,100,36.050
1752701131.332230,407921.000,65498,1,T1,1,100,36.128
1752701131.466230,408055.000,65516,1,T1,1,100,36.126
1752701131.599230,408188.000,12,1,T1,1,100,36.161
1752701131.732231,408321.000,29,1,T1,1,100,36.070
1752701131.866231,408455.000,46,1,T1,1,100,36.172
1752701131.999231,408588.000,79,1,T1,1,100,36.110
1752701132.132231,408721.000,96,1,T1,1,100,36.154
1752701132.266232,408855.000,115,1,T1,1,100,36.208
1752701132.399232,408988.000,146,1,T1,1,100,36.197
1752701132.532232,409121.000,164,1,T1,1,100,36.191
1752701132.666232,409255.000,182,1,T1,1,100,36.118
1752701132.799233,409388.000,199,1,T1,1,100,36.122
1752701132.932233,409521.000,231,1,T1,1,100,36.053
1752701133.066233,409655.000,247,1,T1,1,100,36.165
1752701133.199234,409788.000,265,1,T1,1,100,36.178
1752701133.332234,409921.000,300,1,T1,1,100,36.112
1752701133.466234,410055.000,316,1,T1,1,100,36.120
1752701133.599234,410188.000,336,1,T1,1,100,36.194
1752701133.732235,410321.000,369,1,T1,1,100,36.190
1752701133.866235,410455.000,386,1,T1,1,100,36.224
