LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752701120.415207,397004.000,63669,1,TH,1,100,35.417
1752701120.548208,397137.000,63703,1,TH,1,100,35.417
1752701120.682208,397271.000,63720,1,TH,1,100,35.474
1752701120.815208,397404.000,63736,1,TH,1,100,35.481
1752701120.948208,397537.000,63770,1,TH,1,100,35.407
1752701121.082209,397671.000,63787,1,TH,1,100,35.407
1752701121.215209,397804.000,63804,1,TH,1,100,35.456
1752701121.348209,397937.000,63835,1,TH,1,100,35.456
1752701121.482210,398071.000,63852,1,TH,1,100,35.454
1752701121.615210,398204.000,63869,1,TH,1,100,35.454
1752701121.748210,398337.000,63888,1,TH,1,100,35.486
1752701121.882210,398471.000,63920,1,TH,1,100,35.493
1752701122.015211,398604.000,63936,1,TH,1,100,35.508
1752701122.148211,398737.000,63953,1,TH,1,100,35.508
1752701122.282211,398871.000,63985,1,TH,1,100,35.411
1752701122.415211,399004.000,64003,1,TH,1,100,35.411
1752701122.548212,399137.000,64021,1,TH,1,100,35.389
1752701122.682212,399271.000,64052,1,TH,1,100,35.396
1752701122.815212,399404.000,64068,1,TH,1,100,35.428
1752701122.948213,399537.000,64086,1,TH,1,100,35.428
1752701123.081213,399670.000,64119,1,TH,1,100,35.440
1752701123.215213,399804.000,64136,1,TH,1,100,35.440
1752701123.348213,399937.000,64153,1,TH,1,100,35.460
1752701123.481214,400070.000,64185,1,TH,1,100,35.460
1752701123.615214,400204.000,64203,1,TH,1,100,35.492
1752701123.748214,400337.000,64227,1,TH,1,100,35.499
1752701123.882214,400471.000,64244,1,TH,1,100,35.438
1752701124.015215,400604.000,64261,1,TH,1,100,35.438
1752701124.148215,400737.000,64293,1,TH,1,100,35.477
1752701124.281215,400870.000,64309,1,TH,1,100,35.477
1752701124.415216,401004.000,64330,1,TH,1,100,35.494
1752701124.548216,401137.000,64362,1,TH,1,100,35.494
1752701124.681216,401270.000,64378,1,TH,1,100,35.442
1752701124.815216,401404.000,64395,1,TH,1,100,35.442
1752701124.948217,401537.000,64414,1,TH,1,100,35.499
1752701125.081217,401670.000,64447,1,TH,1,100,35.506
1752701125.215217,401804.000,64465,1,TH,1,100,35.498
1752701125.348217,401937.000,64485,1,TH,1,100,35.498
1752701125.481218,402070.000,64517,1,TH,1,100,35.548
1752701125.615218,402204.000,64538,1,TH,1,100,35.548
1752701125.748218,402337.000,64554,1,TH,1,100,35.589
1752701125.881219,402470.000,64586,1,TH,1,100,35.589
1752701126.014219,402603.000,64603,1,TH,1,100,35.520
1752701126.148219,402737.000,64621,1,TH,1,100,35.520
1752701126.281219,402870.000,64655,1,TH,1,100,35.520
1752701126.414220,403003.000,64672,1,TH,1,100,35.527
1752701126.548220,403137.000,64689,1,TH,1,100,35.485
1752701126.681220,403270.000,64720,1,TH,1,100,35.485
1752701126.815220,403404.000,64740,1,TH,1,100,35.458
1752701126.948221,403537.000,64758,1,TH,1,100,35.458
1752701127.081221,403670.000,64777,1,TH,1,100,35.525
1752701127.214221,403803.000,64809,1,TH,1,100,35.525
1752701127.348222,403937.000,64825,1,TH,1,100,35.574
1752701127.481222,404070.000,64842,1,TH,1,100,35.581
1752701127.614222,404203.000,64878,1,TH,1,100,35.438
1752701127.748222,404337.000,64894,1,TH,1,100,35.438
1752701127.881223,404470.000,64914,1,TH,1,100,35.608
1752701128.014223,404603.000,64945,1,TH,1,100,35.608
1752701128.148223,404737.000,64961,1,TH,1,100,35.490
1752701128.281223,404870.000,64983,1,TH,1,100,35.490
1752701128.414224,405003.000,65016,1,TH,1,100,35.554
1752701128.548224,405137.000,65033,1,TH,1,100,35.554
1752701128.681224,405270.000,65050,1,TH,1,100,35.613
1752701128.814725,405403.500,65088,2,TH,1,100,35.620
1752701128.948225,405537.000,65088,2,TH,1,100,35.573
1752701129.081225,405670.000,65123,1,TH,1,100,35.573
1752701129.214225,405803.000,65140,1,TH,1,100,35.590
1752701129.348226,405937.000,65159,1,TH,1,100,35.590
1752701129.481226,406070.000,65191,1,TH,1,100,35.531
1752701129.614226,406203.000,65209,1,TH,1,100,35.531
