RD,TS_received,TS_sent,AK,RoundTrip,
400309,400318,2025-07-16_17-25-23-725380,400319,9,
405429,405486,2025-07-16_17-25-28-843965,405487,57,
410551,410564,2025-07-16_17-25-33-971762,410565,13,
415659,415672,2025-07-16_17-25-39-076920,415673,13,
420801,420809,2025-07-16_17-25-44-216588,420810,8,
425909,425917,2025-07-16_17-25-49-323761,425918,8,
431043,431050,2025-07-16_17-25-54-457777,431052,7,
436155,436163,2025-07-16_17-25-59-569439,436164,8,
441279,441300,2025-07-16_17-26-04-702643,441301,21,
446387,446397,2025-07-16_17-26-09-804763,446398,10,
451526,451539,2025-07-16_17-26-14-943687,451541,13,
456634,456663,2025-07-16_17-26-20-050616,456664,29,
461740,461801,2025-07-16_17-26-25-156649,461805,61,
466850,466866,2025-07-16_17-26-30-269433,466867,16,
471987,471996,2025-07-16_17-26-35-404270,471997,9,
477098,477106,2025-07-16_17-26-40-513482,477111,8,
482207,482225,2025-07-16_17-26-45-632770,482226,18,
487339,487389,2025-07-16_17-26-50-757203,487391,50,
492472,492482,2025-07-16_17-26-55-886822,492484,10,
497580,502703,2025-07-16_17-27-00-996276,502708,5123,
502711,502721,2025-07-16_17-27-06-127093,502722,10,
507815,507822,2025-07-16_17-27-11-229781,507823,7,
512923,512979,2025-07-16_17-27-16-339459,512980,56,
518032,523151,2025-07-16_17-27-21-448493,523152,5119,
523155,523168,2025-07-16_17-27-26-576410,523172,13,
528261,528269,2025-07-16_17-27-31-676565,528270,8,
533372,533426,2025-07-16_17-27-36-790238,533427,54,
538480,543620,2025-07-16_17-27-41-911644,543624,5140,
543628,543637,2025-07-16_17-27-47-043736,543638,9,
548733,548746,2025-07-16_17-27-52-150722,548748,13,
553868,553877,2025-07-16_17-27-57-282926,553879,9,
558976,559012,2025-07-16_17-28-02-394599,559013,36,
564084,564093,2025-07-16_17-28-07-501125,564095,9,
569213,569223,2025-07-16_17-28-12-630597,569224,10,
574327,574335,2025-07-16_17-28-17-743742,574337,8,
579437,579464,2025-07-16_17-28-22-853941,579465,27,
584588,584606,2025-07-16_17-28-28-003405,584608,18,
589693,589741,2025-07-16_17-28-33-112543,589743,48,
594801,594811,2025-07-16_17-28-38-218511,594812,10,
599943,599952,2025-07-16_17-28-43-358055,599953,9,
605050,605061,2025-07-16_17-28-48-465689,605062,11,
610160,610170,2025-07-16_17-28-53-578050,610171,10,
615275,615284,2025-07-16_17-28-58-690071,615285,9,
620391,620399,2025-07-16_17-29-03-806708,620403,8,
625539,625550,2025-07-16_17-29-08-954819,625551,11,
630660,630668,2025-07-16_17-29-14-076002,630670,8,
635784,635797,2025-07-16_17-29-19-204961,635800,13,
640910,640917,2025-07-16_17-29-24-324715,640922,7,
646032,646055,2025-07-16_17-29-29-447006,646056,23,
651165,651174,2025-07-16_17-29-34-580470,651175,9,
656294,656332,2025-07-16_17-29-39-708728,656334,38,
661427,661469,2025-07-16_17-29-44-842754,661470,42,
666552,666585,2025-07-16_17-29-49-989789,666586,33,
671667,671678,2025-07-16_17-29-55-083565,671679,11,
676797,676805,2025-07-16_17-30-00-212502,676807,8,
681919,681930,2025-07-16_17-30-05-335907,681931,11,
687039,687058,2025-07-16_17-30-10-454214,687062,19,
692155,692195,2025-07-16_17-30-15-572015,692196,40,
697294,697302,2025-07-16_17-30-20-709682,697303,8,
702407,702422,2025-07-16_17-30-25-827118,702423,15,
707540,707553,2025-07-16_17-30-30-957837,707554,13,
712664,712675,2025-07-16_17-30-36-079539,712676,11,
717782,717793,2025-07-16_17-30-41-197606,717794,11,
722905,722914,2025-07-16_17-30-46-322166,722915,9,
728020,728064,2025-07-16_17-30-51-435075,728065,44,
733154,733160,2025-07-16_17-30-56-568764,733165,6,
738284,738291,2025-07-16_17-31-01-699855,738292,7,
743405,
748543,748551,2025-07-16_17-31-11-958714,748552,8,
753686,753696,2025-07-16_17-31-17-103227,753697,10,
758818,758837,2025-07-16_17-31-22-241189,758838,19,
763953,763964,2025-07-16_17-31-27-372656,763966,11,
769081,769089,2025-07-16_17-31-32-496998,769090,8,
774221,774232,2025-07-16_17-31-37-640771,774234,11,
779361,779369,2025-07-16_17-31-42-776349,779373,8,
784502,784512,2025-07-16_17-31-47-920481,784513,10,
789619,789633,2025-07-16_17-31-53-037100,789635,14,
794737,794754,2025-07-16_17-31-58-158694,794758,17,
799852,799867,2025-07-16_17-32-03-275829,799870,15,
804967,804979,2025-07-16_17-32-08-386163,804980,12,
810071,810078,2025-07-16_17-32-13-486169,810079,7,
815178,815191,2025-07-16_17-32-18-598441,815192,13,
820311,820344,2025-07-16_17-32-23-726889,820345,33,
825423,825430,2025-07-16_17-32-28-838200,825431,7,
830557,830564,2025-07-16_17-32-33-972464,830569,7,
835665,835675,2025-07-16_17-32-39-081294,835676,10,
840809,840829,2025-07-16_17-32-44-235840,840830,20,
845915,845932,2025-07-16_17-32-49-332820,845934,17,
851041,851048,2025-07-16_17-32-54-456501,851049,7,
856148,856162,2025-07-16_17-32-59-567106,856166,14,
861287,866410,2025-07-16_17-33-04-702751,866411,5123,
866414,866431,2025-07-16_17-33-09-836525,866432,17,
871519,871525,2025-07-16_17-33-14-934011,871526,6,
876649,876658,2025-07-16_17-33-20-063992,876659,9,
881763,881794,2025-07-16_17-33-25-179378,881796,31,
886870,891989,2025-07-16_17-33-30-288373,891991,5119,
891995,892005,2025-07-16_17-33-35-413584,892008,10,
897099,897114,2025-07-16_17-33-40-521923,897115,15,
902224,902231,2025-07-16_17-33-45-640238,902232,7,
907334,907348,2025-07-16_17-33-50-752869,907349,14,
912443,917562,2025-07-16_17-33-55-860162,917564,5119,
917566,917574,2025-07-16_17-34-00-982206,917575,8,
922673,922695,2025-07-16_17-34-06-091325,922696,22,
927780,927833,2025-07-16_17-34-11-196934,927834,53,
932888,932899,2025-07-16_17-34-16-308192,932900,11,
938027,938043,2025-07-16_17-34-21-451204,938044,16,
943135,943152,2025-07-16_17-34-26-560412,943153,17,
948285,948294,2025-07-16_17-34-31-702441,948295,9,
953387,953403,2025-07-16_17-34-36-810755,953404,16,
958525,958559,2025-07-16_17-34-41-945160,958561,34,
963636,963698,2025-07-16_17-34-47-062282,963702,62,
968743,968755,2025-07-16_17-34-52-160926,968756,12,
973853,973861,2025-07-16_17-34-57-268819,973862,8,
978975,979007,2025-07-16_17-35-02-391416,979008,32,
984086,984093,2025-07-16_17-35-07-501955,984094,7,
989194,989206,2025-07-16_17-35-12-613720,989207,12,
994318,994340,2025-07-16_17-35-17-735904,994341,22,
999424,999433,2025-07-16_17-35-22-840568,999434,9,
1004532,1004540,2025-07-16_17-35-27-948662,1004546,8,
1009653,1009663,2025-07-16_17-35-33-071885,1009664,10,
1014770,1014777,2025-07-16_17-35-38-185987,1014779,7,
1019890,1019910,2025-07-16_17-35-43-308667,1019911,20,
1025004,1025011,2025-07-16_17-35-48-420054,1025016,7,
1030171,1030177,2025-07-16_17-35-53-586416,1030179,6,
1035290,1035324,2025-07-16_17-35-58-705658,1035327,34,
1040422,1040430,2025-07-16_17-36-03-839289,1040432,8,
1045543,1045556,2025-07-16_17-36-08-963915,1045560,13,
1050669,1050684,2025-07-16_17-36-14-092510,1050685,15,
1055795,1055806,2025-07-16_17-36-19-214776,1055807,11,
1060912,1060919,2025-07-16_17-36-24-328187,1060920,7,
1066028,1066051,2025-07-16_17-36-29-446897,1066052,23,
1071149,1071161,2025-07-16_17-36-34-569960,1071162,12,
1076258,1076267,2025-07-16_17-36-39-675854,1076272,9,
1081375,1081385,2025-07-16_17-36-44-794416,1081387,10,
1086492,1086505,2025-07-16_17-36-49-913964,1086507,13,
1091612,1091619,2025-07-16_17-36-55-027702,1091624,7,
1096737,1096749,2025-07-16_17-37-00-157730,1096750,12,
1101855,1101870,2025-07-16_17-37-05-274348,1101874,15,
1106981,1106990,2025-07-16_17-37-10-398415,1106994,9,
1112102,1112109,2025-07-16_17-37-15-517367,1112110,7,
1117234,1117246,2025-07-16_17-37-20-650994,1117247,12,
1122341,1122366,2025-07-16_17-37-25-758440,1122367,25,
1127472,1127481,2025-07-16_17-37-30-890729,1127486,9,
1132588,1132598,2025-07-16_17-37-36-006662,1132599,10,
1137713,1137723,2025-07-16_17-37-41-129837,1137725,10,
1142836,1142845,2025-07-16_17-37-46-253577,1142846,9,
1147946,1147965,2025-07-16_17-37-51-366688,1147967,19,
1153075,1153096,2025-07-16_17-37-56-503411,1153097,21,
1158197,1158204,2025-07-16_17-38-01-613300,1158205,7,
1163315,1163324,2025-07-16_17-38-06-733037,1163325,9,
1168433,1168445,2025-07-16_17-38-11-853220,1168446,12,
1173548,1173566,2025-07-16_17-38-16-972974,1173567,18,
1178672,1178693,2025-07-16_17-38-22-088927,1178695,21,
1183791,1183804,2025-07-16_17-38-27-212697,1183805,13,
1188908,1188921,2025-07-16_17-38-32-329869,1188922,13,
1194032,1199152,2025-07-16_17-38-37-451226,1199153,5120,
1199160,1199172,2025-07-16_17-38-42-577419,1199173,12,
1204286,1204293,2025-07-16_17-38-47-701425,1204295,7,
1209393,1209405,2025-07-16_17-38-52-814292,1209406,12,
1214530,1214557,2025-07-16_17-38-57-951797,1214558,27,
1219638,1219694,2025-07-16_17-39-03-055952,1219695,56,
1224745,1229879,2025-07-16_17-39-08-162244,1229881,5134,
1229884,1229891,2025-07-16_17-39-13-300058,1229893,7,
1234989,1235002,2025-07-16_17-39-18-410318,1235003,13,
1240127,1240143,2025-07-16_17-39-23-545523,1240145,16,
1245228,1245241,2025-07-16_17-39-28-650656,1245242,13,
1250369,1250381,2025-07-16_17-39-33-788636,1250382,12,
