LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752784452.307920,337621.000,52778,2,AK,1,100,52031
1752784452.307920,337621.000,52778,2,AK,1,100,RD
1752784452.319420,337632.500,52781,2,AK,1,100,52779
1752784452.330920,337644.000,52781,2,AK,1,100,RD
1752784454.874943,340188.000,53633,2,AK,1,100,52779
1752784457.418965,342732.000,53633,2,AK,1,100,RD
1752784457.425465,342738.500,53636,2,AK,1,100,53634
1752784457.431965,342745.000,53636,2,AK,1,100,RD
1752784459.987987,345301.000,54487,2,AK,1,100,53634
1752784462.544010,347857.000,54487,2,AK,1,100,RD
1752784462.549010,347862.000,54490,2,AK,1,100,54488
1752784462.554010,347867.000,54490,2,AK,1,100,RD
1752784465.109532,350422.500,55339,2,AK,1,100,54488
1752784467.665055,352978.000,55339,2,AK,1,100,RD
1752784467.673555,352986.500,55342,2,AK,1,100,55340
1752784467.682055,352995.000,55342,2,AK,1,100,RD
1752784470.230077,355543.000,56196,2,AK,1,100,55340
1752784472.778100,358091.000,56196,2,AK,1,100,RD
1752784472.786600,358099.500,56199,2,AK,1,100,56197
1752784472.795100,358108.000,56199,2,AK,1,100,RD
1752784475.346622,360659.500,57056,2,AK,1,100,56197
1752784477.898145,363211.000,57056,2,AK,1,100,RD
1752784477.918645,363231.500,57059,2,AK,1,100,57057
1752784477.939145,363252.000,57059,2,AK,1,100,RD
1752784480.478167,365791.000,57909,2,AK,1,100,57057
1752784483.017190,368330.000,57909,2,AK,1,100,RD
1752784483.023690,368336.500,57912,2,AK,1,100,57910
1752784483.030190,368343.000,57912,2,AK,1,100,RD
1752784485.582712,370895.500,58778,2,AK,1,100,57910
1752784488.135235,373448.000,58778,2,AK,1,100,RD
1752784488.139735,373452.500,58781,2,AK,1,100,58779
1752784488.144235,373457.000,58781,2,AK,1,100,RD
1752784490.701757,376014.500,59640,2,AK,1,100,58779
1752784493.259280,378572.000,59640,2,AK,1,100,RD
1752784493.264780,378577.500,59643,2,AK,1,100,59641
1752784493.270280,378583.000,59643,2,AK,1,100,RD
1752784495.822802,381135.500,60503,2,AK,1,100,59641
1752784498.375324,383688.000,60503,2,AK,1,100,RD
1752784498.382825,383695.500,60506,2,AK,1,100,60504
1752784498.390325,383703.000,60506,2,AK,1,100,RD
1752784500.937347,386250.000,60885,2,AK,1,100,60504
1752784503.484369,388797.000,60885,2,AK,1,100,RD
1752784503.506369,388819.000,60888,2,AK,1,100,60886
1752784503.528370,388841.000,60888,2,AK,1,100,RD
1752784506.066392,391379.000,61749,2,AK,1,100,60886
1752784508.604414,393917.000,61749,2,AK,1,100,RD
1752784508.609414,393922.000,61752,2,AK,1,100,61750
1752784508.614414,393927.000,61752,2,AK,1,100,RD
1752784511.169937,396482.500,62616,2,AK,1,100,61750
1752784513.725459,399038.000,62616,2,AK,1,100,RD
1752784513.736459,399049.000,62619,2,AK,1,100,62617
1752784513.747459,399060.000,62619,2,AK,1,100,RD
1752784516.300482,401613.000,63478,2,AK,1,100,62617
1752784518.853504,404166.000,63478,2,AK,1,100,RD
1752784518.859504,404172.000,63481,2,AK,1,100,63479
1752784518.865504,404178.000,63481,2,AK,1,100,RD
1752784521.420027,406732.500,64342,2,AK,1,100,63479
1752784523.974549,409287.000,64342,2,AK,1,100,RD
1752784523.983549,409296.000,64345,2,AK,1,100,64343
1752784523.992549,409305.000,64345,2,AK,1,100,RD
1752784526.543572,411856.000,65203,2,AK,1,100,64343
1752784529.094594,414407.000,65203,2,AK,1,100,RD
1752784529.101594,414414.000,65206,2,AK,1,100,65204
1752784529.108594,414421.000,65206,2,AK,1,100,RD
1752784531.662617,416975.000,531,2,AK,1,100,65204
1752784534.216639,419529.000,531,2,AK,1,100,RD
1752784534.221139,419533.500,534,2,AK,1,100,532
1752784534.225639,419538.000,534,2,AK,1,100,RD
1752784536.775161,422087.500,1393,2,AK,1,100,532
1752784539.324684,424637.000,1393,2,AK,1,100,RD
1752784539.329684,424642.000,1396,2,AK,1,100,1394
1752784539.334684,424647.000,1396,2,AK,1,100,RD
1752784541.894206,427206.500,2268,2,AK,1,100,1394
1752784544.453729,429766.000,2268,2,AK,1,100,RD
1752784544.465729,429778.000,2271,2,AK,1,100,2269
1752784544.477729,429790.000,2271,2,AK,1,100,RD
1752784547.019751,432332.000,3135,2,AK,1,100,2269
1752784549.561774,434874.000,3135,2,AK,1,100,RD
1752784549.572774,434885.000,3138,2,AK,1,100,3136
1752784549.583774,434896.000,3138,2,AK,1,100,RD
1752784552.140796,437453.000,4015,2,AK,1,100,3136
1752784554.697819,440010.000,4015,2,AK,1,100,RD
1752784554.710319,440022.500,4018,2,AK,1,100,4016
1752784554.722819,440035.000,4018,2,AK,1,100,RD
1752784557.265841,442578.000,4873,2,AK,1,100,4016
1752784559.808864,445121.000,4873,2,AK,1,100,RD
1752784559.815864,445128.000,4876,2,AK,1,100,4874
1752784559.822864,445135.000,4876,2,AK,1,100,RD
1752784562.369886,447682.000,5738,2,AK,1,100,4874
1752784564.916909,450229.000,5738,2,AK,1,100,RD
1752784567.473431,452785.500,6608,2,AK,1,100,5739
1752784570.029953,455342.000,6608,2,AK,1,100,RD
1752784570.032453,455344.500,6610,2,AK,1,100,5739
1752784570.034953,455347.000,6610,2,AK,1,100,RD
1752784570.041453,455353.500,6613,2,AK,1,100,6611
1752784570.047954,455360.000,6613,2,AK,1,100,RD
1752784572.594476,457906.500,7475,2,AK,1,100,6611
