LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752784451.474913,336788.000,52656,1,BV,1,100,3.64
1752784456.474957,341788.000,53496,1,BV,1,100,3.64
1752784461.474001,346787.000,54315,1,BV,1,100,3.64
1752784466.474044,351787.000,55150,1,BV,1,100,3.64
1752784471.473088,356786.000,55990,1,BV,1,100,3.64
1752784476.473132,361786.000,56831,1,BV,1,100,3.64
1752784481.472176,366785.000,57669,1,BV,1,100,3.64
1752784486.472220,371785.000,58518,1,BV,1,100,3.64
1752784491.471264,376784.000,59345,1,BV,1,100,3.64
1752784496.471308,381784.000,60194,1,BV,1,100,3.64
1752784501.470352,386783.000,60661,1,BV,1,100,3.64
1752784506.470395,391783.000,61406,1,BV,1,100,3.64
1752784511.469439,396782.000,62255,1,BV,1,100,3.64
1752784516.469483,401782.000,63079,1,BV,1,100,3.64
1752784521.468527,406781.000,63923,1,BV,1,100,3.64
1752784526.468571,411781.000,64777,1,BV,1,100,3.64
1752784531.467615,416780.000,83,1,BV,1,100,3.64
1752784536.467659,421780.000,926,1,BV,1,100,3.64
1752784541.466703,426779.000,1769,1,BV,1,100,3.64
1752784546.466747,431779.000,2631,1,BV,1,100,3.64
1752784551.465790,436778.000,3478,1,BV,1,100,3.64
1752784556.465834,441778.000,4327,1,BV,1,100,3.64
1752784561.464878,446777.000,5182,1,BV,1,100,3.64
1752784566.464922,451777.000,6020,1,BV,1,100,3.64
1752784571.463966,456776.000,6870,1,BV,1,100,3.64
1752784576.464010,461776.000,7716,1,BV,1,100,3.64
1752784581.463054,466775.000,8582,1,BV,1,100,3.64
1752784586.463098,471775.000,9428,1,BV,1,100,3.65
1752784591.462142,476774.000,10274,1,BV,1,100,3.65
1752784596.462185,481774.000,11120,1,BV,1,100,3.65
1752784601.461229,486773.000,11986,1,BV,1,100,3.64
1752784606.461273,491773.000,12843,1,BV,1,100,3.65
1752784611.460317,496772.000,13679,1,BV,1,100,3.64
1752784616.460361,501772.000,14509,1,BV,1,100,3.64
1752784621.459405,506771.000,14877,1,BV,1,100,3.64
1752784626.459449,511771.000,15699,1,BV,1,100,3.64
1752784631.458493,516770.000,16541,1,BV,1,100,3.64
1752784636.458536,521770.000,17360,1,BV,1,100,3.64
1752784641.457580,526769.000,18165,1,BV,1,100,3.64
1752784646.457624,531769.000,18988,1,BV,1,100,3.65
1752784651.456668,536768.000,19811,1,BV,1,100,3.65
1752784656.456712,541768.000,20651,1,BV,1,100,3.64
1752784661.455756,546767.000,21476,1,BV,1,100,3.64
1752784666.455800,551767.000,22300,1,BV,1,100,3.64
1752784671.454844,556766.000,23124,1,BV,1,100,3.65
