LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752784451.474913,336788.000,52657,1,B%,1,100,36
1752784456.474957,341788.000,53497,1,B%,1,100,36
1752784461.474001,346787.000,54316,1,B%,1,100,36
1752784466.474044,351787.000,55151,1,B%,1,100,37
1752784471.473088,356786.000,55991,1,B%,1,100,36
1752784476.473132,361786.000,56832,1,B%,1,100,36
1752784481.472176,366785.000,57670,1,B%,1,100,36
1752784486.472220,371785.000,58519,1,B%,1,100,36
1752784491.471264,376784.000,59346,1,B%,1,100,37
1752784496.471308,381784.000,60195,1,B%,1,100,36
1752784501.470352,386783.000,60662,1,B%,1,100,36
1752784506.470395,391783.000,61407,1,B%,1,100,37
1752784511.469439,396782.000,62256,1,B%,1,100,36
1752784516.469483,401782.000,63080,1,B%,1,100,37
1752784521.468527,406781.000,63924,1,B%,1,100,36
1752784526.468571,411781.000,64778,1,B%,1,100,37
1752784531.467615,416780.000,84,1,B%,1,100,36
1752784536.467659,421780.000,927,1,B%,1,100,36
1752784541.466703,426779.000,1770,1,B%,1,100,37
1752784546.466747,431779.000,2632,1,B%,1,100,37
1752784551.465790,436778.000,3479,1,B%,1,100,37
1752784556.465834,441778.000,4328,1,B%,1,100,36
1752784561.464878,446777.000,5183,1,B%,1,100,37
1752784566.464922,451777.000,6021,1,B%,1,100,36
1752784571.463966,456776.000,6871,1,B%,1,100,37
1752784576.464010,461776.000,7717,1,B%,1,100,37
1752784581.463054,466775.000,8583,1,B%,1,100,36
1752784586.463098,471775.000,9429,1,B%,1,100,37
1752784591.462142,476774.000,10275,1,B%,1,100,37
1752784596.462185,481774.000,11121,1,B%,1,100,37
1752784601.461229,486773.000,11987,1,B%,1,100,37
1752784606.461273,491773.000,12844,1,B%,1,100,37
1752784611.460317,496772.000,13680,1,B%,1,100,37
1752784616.460361,501772.000,14510,1,B%,1,100,37
1752784621.459405,506771.000,14878,1,B%,1,100,36
1752784626.459449,511771.000,15700,1,B%,1,100,37
1752784631.458493,516770.000,16542,1,B%,1,100,37
1752784636.458536,521770.000,17361,1,B%,1,100,37
1752784641.457580,526769.000,18166,1,B%,1,100,37
1752784646.457624,531769.000,18989,1,B%,1,100,37
1752784651.456668,536768.000,19812,1,B%,1,100,37
1752784656.456712,541768.000,20652,1,B%,1,100,37
1752784661.455756,546767.000,21477,1,B%,1,100,37
1752784666.455800,551767.000,22301,1,B%,1,100,37
1752784671.454844,556766.000,23125,1,B%,1,100,37
1752784676.454888,561766.000,23963,1,B%,1,100,38
1752784681.453931,566765.000,24787,1,B%,1,100,38
1752784686.453975,571765.000,25610,1,B%,1,100,37
1752784691.453019,576764.000,26431,1,B%,1,100,37
1752784696.453063,581764.000,27273,1,B%,1,100,38
1752784701.452107,586763.000,28098,1,B%,1,100,37
1752784706.452151,591763.000,28919,1,B%,1,100,37
1752784711.451195,596762.000,29744,1,B%,1,100,37
1752784716.451239,601762.000,30584,1,B%,1,100,38
1752784721.450282,606761.000,31408,1,B%,1,100,37
1752784726.450326,611761.000,32233,1,B%,1,100,37
1752784731.449370,616760.000,33054,1,B%,1,100,37
1752784736.449414,621760.000,33878,1,B%,1,100,37
1752784741.448458,626759.000,34701,1,B%,1,100,38
1752784746.448502,631759.000,35525,1,B%,1,100,38
1752784751.447546,636758.000,36332,1,B%,1,100,38
1752784756.447590,641758.000,37158,1,B%,1,100,38
1752784761.446634,646757.000,37980,1,B%,1,100,38
1752784766.446677,651757.000,38805,1,B%,1,100,38
1752784771.445721,656756.000,39627,1,B%,1,100,38
1752784776.445765,661756.000,40432,1,B%,1,100,38
1752784781.444809,666755.000,41259,1,B%,1,100,38
1752784786.444853,671755.000,42082,1,B%,1,100,38
1752784791.443897,676754.000,42905,1,B%,1,100,38
1752784796.443941,681754.000,43728,1,B%,1,100,38
1752784801.442985,686753.000,44535,1,B%,1,100,37
1752784806.443028,691753.000,45361,1,B%,1,100,38
1752784811.442072,696752.000,46183,1,B%,1,100,39
1752784816.442116,701752.000,47008,1,B%,1,100,38
1752784821.441160,706751.000,47813,1,B%,1,100,38
1752784826.441204,711751.000,48590,1,B%,1,100,38
1752784831.440248,716750.000,49380,1,B%,1,100,39
1752784836.440292,721750.000,50204,1,B%,1,100,38
1752784841.439336,726749.000,51020,1,B%,1,100,38
1752784846.439380,731749.000,51844,1,B%,1,100,38
1752784851.438423,736748.000,52666,1,B%,1,100,38
1752784856.438467,741748.000,53493,1,B%,1,100,39
1752784861.437511,746747.000,54300,1,B%,1,100,39
1752784866.437555,751747.000,55122,1,B%,1,100,38
1752784871.436599,756746.000,55950,1,B%,1,100,38
1752784876.436643,761746.000,56774,1,B%,1,100,39
1752784881.435687,766745.000,57597,1,B%,1,100,39
1752784886.435731,771745.000,58421,1,B%,1,100,39
1752784891.434775,776744.000,59226,1,B%,1,100,38
1752784896.434818,781744.000,60050,1,B%,1,100,38
1752784901.433862,786743.000,60873,1,B%,1,100,39
1752784906.433906,791743.000,61698,1,B%,1,100,39
1752784911.432950,796742.000,62520,1,B%,1,100,39
1752784916.432994,801742.000,63325,1,B%,1,100,39
1752784921.432038,806741.000,64150,1,B%,1,100,39
1752784926.432082,811741.000,64973,1,B%,1,100,39
1752784931.431126,816740.000,262,1,B%,1,100,38
1752784936.431169,821740.000,1083,1,B%,1,100,39
1752784941.430213,826739.000,1924,1,B%,1,100,39
1752784946.430257,831739.000,2746,1,B%,1,100,39
1752784951.429301,836738.000,3568,1,B%,1,100,39
1752784956.429345,841738.000,4391,1,B%,1,100,38
1752784961.428389,846737.000,5212,1,B%,1,100,39
1752784966.428433,851737.000,6035,1,B%,1,100,39
1752784971.427477,856736.000,6875,1,B%,1,100,39
1752784976.427521,861736.000,7699,1,B%,1,100,39
1752784981.426564,866735.000,8521,1,B%,1,100,39
1752784986.426608,871735.000,9361,1,B%,1,100,39
1752784991.425652,876734.000,10183,1,B%,1,100,39
1752784996.425696,881734.000,11005,1,B%,1,100,39
1752785001.424740,886733.000,11829,1,B%,1,100,40
1752785006.424784,891733.000,12652,1,B%,1,100,39
1752785011.423828,896732.000,13492,1,B%,1,100,39
1752785016.423872,901732.000,14314,1,B%,1,100,39
1752785021.422915,906731.000,15137,1,B%,1,100,39
