LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752784449.708897,335022.000,52348,1,EL,1,100,-12722.599609
1752784449.775898,335089.000,52355,1,EL,1,100,-12813.400391
1752784449.842398,335155.500,52371,2,EL,1,100,-12857.799805
1752784449.908899,335222.000,52371,2,EL,1,100,-12869.799805
1752784449.975900,335289.000,52389,1,EL,1,100,-12872.000000
1752784450.042400,335355.500,52408,2,EL,1,100,-12878.200195
1752784450.108901,335422.000,52408,2,EL,1,100,-12886.200195
1752784450.175901,335489.000,52425,1,EL,1,100,-12893.000000
1752784450.242402,335555.500,52441,2,EL,1,100,-12900.400391
1752784450.308903,335622.000,52441,2,EL,1,100,-12906.400391
1752784450.375903,335689.000,52456,1,EL,1,100,-12906.599609
1752784450.442404,335755.500,52474,2,EL,1,100,-12911.200195
1752784450.508904,335822.000,52474,2,EL,1,100,-12924.599609
1752784450.575905,335889.000,52490,1,EL,1,100,-12933.400391
1752784450.642405,335955.500,52508,2,EL,1,100,-12947.400391
1752784450.708906,336022.000,52508,2,EL,1,100,-12951.799805
1752784450.775407,336088.500,52524,2,EL,1,100,-12963.400391
1752784450.841907,336155.000,52524,2,EL,1,100,-12987.799805
1752784450.908908,336222.000,52541,1,EL,1,100,-12997.200195
1752784450.975408,336288.500,52559,2,EL,1,100,-12991.799805
1752784451.041909,336355.000,52559,2,EL,1,100,-12978.200195
1752784451.108910,336422.000,52576,1,EL,1,100,-12965.200195
1752784451.175410,336488.500,52591,2,EL,1,100,-12973.000000
1752784451.241911,336555.000,52591,2,EL,1,100,-12961.000000
1752784451.308911,336622.000,52610,1,EL,1,100,-12982.400391
1752784451.375412,336688.500,52628,2,EL,1,100,-12998.200195
1752784451.441912,336755.000,52628,2,EL,1,100,-12997.200195
1752784451.508913,336822.000,52646,1,EL,1,100,-13003.799805
1752784451.575414,336888.500,52662,2,EL,1,100,-13022.799805
1752784451.641914,336955.000,52662,2,EL,1,100,-13034.599609
1752784451.708915,337022.000,52679,1,EL,1,100,-13040.599609
1752784451.775415,337088.500,52698,2,EL,1,100,-13037.599609
1752784451.841916,337155.000,52698,2,EL,1,100,-13033.200195
1752784451.908917,337222.000,52717,1,EL,1,100,-13034.400391
1752784451.975417,337288.500,52731,2,EL,1,100,-13038.400391
1752784452.041918,337355.000,52731,2,EL,1,100,-13041.599609
1752784452.108918,337422.000,52748,1,EL,1,100,-13047.000000
1752784452.175419,337488.500,52765,2,EL,1,100,-13053.799805
1752784452.241920,337555.000,52765,2,EL,1,100,-13061.000000
1752784452.308920,337622.000,52787,2,EL,1,100,-13067.000000
1752784452.375921,337689.000,52787,2,EL,1,100,-13072.799805
1752784452.442421,337755.500,52808,2,EL,1,100,-13076.000000
1752784452.508922,337822.000,52808,2,EL,1,100,-13085.400391
1752784452.575922,337889.000,52825,1,EL,1,100,-13071.799805
1752784452.642423,337955.500,52839,2,EL,1,100,-12897.400391
1752784452.708924,338022.000,52839,2,EL,1,100,-12993.599609
1752784452.775924,338089.000,52856,1,EL,1,100,-13049.400391
1752784452.842425,338155.500,52873,2,EL,1,100,-13039.400391
1752784452.908925,338222.000,52873,2,EL,1,100,-12972.599609
1752784452.975926,338289.000,52890,1,EL,1,100,-12972.200195
