LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752784449.727897,335041.000,52346,4,EM,1,100,RS
1752784449.727897,335041.000,52346,4,EM,1,100,RB
1752784449.727897,335041.000,52346,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784449.727897,335041.000,52346,4,EM,1,100,PS
1752784449.777898,335091.000,52365,4,EM,1,100,RS
1752784449.827898,335141.000,52365,4,EM,1,100,RB
1752784449.877899,335191.000,52365,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784449.927899,335241.000,52365,4,EM,1,100,PS
1752784449.978150,335291.250,52401,4,EM,1,100,RS
1752784450.028400,335341.500,52401,4,EM,1,100,RB
1752784450.078651,335391.750,52401,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784450.128901,335442.000,52401,4,EM,1,100,PS
1752784450.179151,335492.250,52436,4,EM,1,100,RS
1752784450.229402,335542.500,52436,4,EM,1,100,RB
1752784450.279652,335592.750,52436,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784450.329903,335643.000,52436,4,EM,1,100,PS
1752784450.380153,335693.250,52468,4,EM,1,100,RS
1752784450.430404,335743.500,52468,4,EM,1,100,RB
1752784450.480654,335793.750,52468,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784450.530904,335844.000,52468,4,EM,1,100,PS
1752784450.581155,335894.250,52501,4,EM,1,100,RS
1752784450.631405,335944.500,52501,4,EM,1,100,RB
1752784450.681656,335994.750,52501,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784450.731906,336045.000,52501,4,EM,1,100,PS
1752784450.782157,336095.250,52536,4,EM,1,100,RS
1752784450.832407,336145.500,52536,4,EM,1,100,RB
1752784450.882658,336195.750,52536,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784450.932908,336246.000,52536,4,EM,1,100,PS
1752784450.983158,336296.250,52571,4,EM,1,100,RS
1752784451.033409,336346.500,52571,4,EM,1,100,RB
1752784451.083659,336396.750,52571,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784451.133910,336447.000,52571,4,EM,1,100,PS
1752784451.184660,336497.750,52603,4,EM,1,100,RS
1752784451.235411,336548.500,52603,4,EM,1,100,RB
1752784451.286161,336599.250,52603,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784451.336912,336650.000,52603,4,EM,1,100,PS
1752784451.387162,336700.250,52640,4,EM,1,100,RS
1752784451.437412,336750.500,52640,4,EM,1,100,RB
1752784451.487663,336800.750,52640,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784451.537913,336851.000,52640,4,EM,1,100,PS
1752784451.588164,336901.250,52674,4,EM,1,100,RS
1752784451.638414,336951.500,52674,4,EM,1,100,RB
1752784451.688665,337001.750,52674,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784451.738915,337052.000,52674,4,EM,1,100,PS
1752784451.789166,337102.250,52710,4,EM,1,100,RS
1752784451.839416,337152.500,52710,4,EM,1,100,RB
1752784451.889666,337202.750,52710,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784451.939917,337253.000,52710,4,EM,1,100,PS
1752784451.990167,337303.250,52743,4,EM,1,100,RS
1752784452.040418,337353.500,52743,4,EM,1,100,RB
1752784452.090668,337403.750,52743,4,EM,1,100,2025-07-17_16-34-08-884190.csv
1752784452.140919,337454.000,52743,4,EM,1,100,PS
1752784452.208919,337522.000,52782,4,EM,1,100,RS
