LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752784449.816898,335130.000,52361,3,GZ,1,100,0.275
1752784449.816898,335130.000,52361,3,GZ,1,100,0.305
1752784449.816898,335130.000,52361,3,GZ,1,100,0.336
1752784449.856899,335170.000,52379,2,GZ,1,100,0.305
1752784449.896899,335210.000,52379,2,GZ,1,100,0.336
1752784449.936899,335250.000,52397,3,GZ,1,100,0.580
1752784449.976900,335290.000,52397,3,GZ,1,100,0.702
1752784450.016900,335330.000,52397,3,GZ,1,100,0.610
1752784450.057234,335370.333,52416,3,GZ,1,100,0.336
1752784450.097567,335410.667,52416,3,GZ,1,100,0.031
1752784450.137901,335451.000,52416,3,GZ,1,100,-0.122
1752784450.177401,335490.500,52432,2,GZ,1,100,0.244
1752784450.216902,335530.000,52432,2,GZ,1,100,0.305
1752784450.252235,335565.333,52448,3,GZ,1,100,0.275
1752784450.287569,335600.667,52448,3,GZ,1,100,0.580
1752784450.322903,335636.000,52448,3,GZ,1,100,0.488
1752784450.362903,335676.000,52464,2,GZ,1,100,-0.214
1752784450.402903,335716.000,52464,2,GZ,1,100,0.183
1752784450.442904,335756.000,52482,3,GZ,1,100,0.275
1752784450.482904,335796.000,52482,3,GZ,1,100,0.214
1752784450.522904,335836.000,52482,3,GZ,1,100,0.153
1752784450.562905,335876.000,52497,2,GZ,1,100,0.854
1752784450.602905,335916.000,52497,2,GZ,1,100,1.190
1752784450.642905,335956.000,52515,3,GZ,1,100,1.251
1752784450.682906,335996.000,52515,3,GZ,1,100,1.404
1752784450.722906,336036.000,52515,3,GZ,1,100,1.587
1752784450.762907,336076.000,52532,3,GZ,1,100,1.587
1752784450.802907,336116.000,52532,3,GZ,1,100,2.014
1752784450.842907,336156.000,52532,3,GZ,1,100,2.014
1752784450.882908,336196.000,52549,2,GZ,1,100,1.617
1752784450.922908,336236.000,52549,2,GZ,1,100,0.549
1752784450.962908,336276.000,52567,3,GZ,1,100,-0.397
1752784451.002909,336316.000,52567,3,GZ,1,100,-0.336
1752784451.042909,336356.000,52567,3,GZ,1,100,0.183
1752784451.082909,336396.000,52582,2,GZ,1,100,0.183
1752784451.122910,336436.000,52582,2,GZ,1,100,0.610
1752784451.162910,336476.000,52599,3,GZ,1,100,0.488
1752784451.202910,336516.000,52599,3,GZ,1,100,0.854
1752784451.242911,336556.000,52599,3,GZ,1,100,1.038
1752784451.282911,336596.000,52618,2,GZ,1,100,0.153
1752784451.322911,336636.000,52618,2,GZ,1,100,-0.702
1752784451.362912,336676.000,52636,3,GZ,1,100,-0.824
1752784451.402912,336716.000,52636,3,GZ,1,100,-0.580
1752784451.442912,336756.000,52636,3,GZ,1,100,-0.244
1752784451.482913,336796.000,52652,2,GZ,1,100,0.519
1752784451.522913,336836.000,52652,2,GZ,1,100,0.885
1752784451.562914,336876.000,52670,3,GZ,1,100,0.732
1752784451.602914,336916.000,52670,3,GZ,1,100,0.854
1752784451.642914,336956.000,52670,3,GZ,1,100,0.977
1752784451.682915,336996.000,52687,2,GZ,1,100,1.251
1752784451.722915,337036.000,52687,2,GZ,1,100,0.702
1752784451.762915,337076.000,52706,3,GZ,1,100,0.580
1752784451.802916,337116.000,52706,3,GZ,1,100,0.610
1752784451.842916,337156.000,52706,3,GZ,1,100,1.038
1752784451.882916,337196.000,52723,2,GZ,1,100,0.885
1752784451.922917,337236.000,52723,2,GZ,1,100,0.641
1752784451.962917,337276.000,52739,3,GZ,1,100,0.854
1752784452.002917,337316.000,52739,3,GZ,1,100,0.854
1752784452.042918,337356.000,52739,3,GZ,1,100,0.427
1752784452.082918,337396.000,52756,2,GZ,1,100,0.885
