LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752784449.816898,335130.000,52352,3,PR,1,100,71468
1752784449.816898,335130.000,52352,3,PR,1,100,71468
1752784449.816898,335130.000,52352,3,PR,1,100,71471
1752784449.856899,335170.000,52368,2,PR,1,100,71463
1752784449.896899,335210.000,52368,2,PR,1,100,71478
1752784449.936899,335250.000,52386,3,PR,1,100,71483
1752784449.976900,335290.000,52386,3,PR,1,100,71475
1752784450.016900,335330.000,52386,3,PR,1,100,71487
1752784450.056900,335370.000,52405,2,PR,1,100,71498
1752784450.096901,335410.000,52405,2,PR,1,100,71496
1752784450.136901,335450.000,52422,3,PR,1,100,71503
1752784450.176901,335490.000,52422,3,PR,1,100,71488
1752784450.216902,335530.000,52422,3,PR,1,100,71457
1752784450.256902,335570.000,52438,3,PR,1,100,71475
1752784450.296902,335610.000,52438,3,PR,1,100,71442
1752784450.336903,335650.000,52438,3,PR,1,100,71465
1752784450.376903,335690.000,52453,2,PR,1,100,71449
1752784450.416903,335730.000,52453,2,PR,1,100,71447
1752784450.456904,335770.000,52471,3,PR,1,100,71433
1752784450.496904,335810.000,52471,3,PR,1,100,71444
1752784450.536905,335850.000,52471,3,PR,1,100,71451
1752784450.576905,335890.000,52487,2,PR,1,100,71444
1752784450.616905,335930.000,52487,2,PR,1,100,71445
1752784450.656906,335970.000,52505,3,PR,1,100,71463
1752784450.696906,336010.000,52505,3,PR,1,100,71461
1752784450.736906,336050.000,52505,3,PR,1,100,71462
1752784450.776907,336090.000,52521,2,PR,1,100,71466
1752784450.816907,336130.000,52521,2,PR,1,100,71468
1752784450.856907,336170.000,52538,3,PR,1,100,71442
1752784450.896908,336210.000,52538,3,PR,1,100,71441
1752784450.936908,336250.000,52538,3,PR,1,100,71431
1752784450.976908,336290.000,52556,2,PR,1,100,71420
1752784451.016909,336330.000,52556,2,PR,1,100,71422
1752784451.056909,336370.000,52573,3,PR,1,100,71421
1752784451.096909,336410.000,52573,3,PR,1,100,71406
1752784451.136910,336450.000,52573,3,PR,1,100,71401
1752784451.176910,336490.000,52588,2,PR,1,100,71411
1752784451.216911,336530.000,52588,2,PR,1,100,71429
1752784451.263411,336576.500,52607,2,PR,1,100,71426
1752784451.309911,336623.000,52607,2,PR,1,100,71443
1752784451.349912,336663.000,52625,3,PR,1,100,71441
1752784451.389912,336703.000,52625,3,PR,1,100,71422
1752784451.429912,336743.000,52625,3,PR,1,100,71432
1752784451.469913,336783.000,52643,3,PR,1,100,71435
1752784451.509913,336823.000,52643,3,PR,1,100,71425
1752784451.549913,336863.000,52643,3,PR,1,100,71429
1752784451.589914,336903.000,52659,2,PR,1,100,71409
1752784451.629914,336943.000,52659,2,PR,1,100,71407
1752784451.670248,336983.333,52676,3,PR,1,100,71406
1752784451.710582,337023.667,52676,3,PR,1,100,71401
1752784451.750915,337064.000,52676,3,PR,1,100,71398
1752784451.790416,337103.500,52695,2,PR,1,100,71408
1752784451.829916,337143.000,52695,2,PR,1,100,71397
1752784451.869916,337183.000,52714,3,PR,1,100,71414
1752784451.909917,337223.000,52714,3,PR,1,100,71415
1752784451.949917,337263.000,52714,3,PR,1,100,71430
1752784451.989917,337303.000,52728,2,PR,1,100,71438
1752784452.029918,337343.000,52728,2,PR,1,100,71444
1752784452.070251,337383.333,52745,3,PR,1,100,71432
1752784452.110585,337423.667,52745,3,PR,1,100,71446
1752784452.150919,337464.000,52745,3,PR,1,100,71414
1752784452.190419,337503.500,52762,2,PR,1,100,71417
1752784452.229919,337543.000,52762,2,PR,1,100,71414
1752784452.269920,337583.000,52784,4,PR,1,100,71398
1752784452.309920,337623.000,52784,4,PR,1,100,71410
1752784452.349920,337663.000,52784,4,PR,1,100,71407
1752784452.389921,337703.000,52784,4,PR,1,100,71398
1752784452.429921,337743.000,52805,3,PR,1,100,71422
1752784452.469922,337783.000,52805,3,PR,1,100,71426
1752784452.509922,337823.000,52805,3,PR,1,100,71442
1752784452.549922,337863.000,52822,2,PR,1,100,71402
1752784452.589923,337903.000,52822,2,PR,1,100,71410
1752784452.629923,337943.000,52836,3,PR,1,100,71407
1752784452.669923,337983.000,52836,3,PR,1,100,71402
1752784452.709924,338023.000,52836,3,PR,1,100,71414
1752784452.749924,338063.000,52853,2,PR,1,100,71404
1752784452.789924,338103.000,52853,2,PR,1,100,71382
1752784452.829925,338143.000,52870,3,PR,1,100,71387
1752784452.869925,338183.000,52870,3,PR,1,100,71364
1752784452.909925,338223.000,52870,3,PR,1,100,71374
1752784452.949926,338263.000,52887,2,PR,1,100,71392
1752784452.989926,338303.000,52887,2,PR,1,100,71394
1752784453.029926,338343.000,52903,3,PR,1,100,71396
1752784453.069927,338383.000,52903,3,PR,1,100,71397
1752784453.109927,338423.000,52903,3,PR,1,100,71414
1752784453.149927,338463.000,52921,2,PR,1,100,71430
1752784453.189928,338503.000,52921,2,PR,1,100,71418
1752784453.229928,338543.000,52937,3,PR,1,100,71444
1752784453.269929,338583.000,52937,3,PR,1,100,71445
1752784453.309929,338623.000,52937,3,PR,1,100,71446
1752784453.349929,338663.000,52954,3,PR,1,100,71414
1752784453.389930,338703.000,52954,3,PR,1,100,71401
1752784453.429930,338743.000,52954,3,PR,1,100,71409
1752784453.469930,338783.000,52971,2,PR,1,100,71422
1752784453.509931,338823.000,52971,2,PR,1,100,71423
1752784453.549931,338863.000,52988,3,PR,1,100,71437
1752784453.589931,338903.000,52988,3,PR,1,100,71439
1752784453.629932,338943.000,52988,3,PR,1,100,71431
1752784453.669932,338983.000,53006,2,PR,1,100,71428
1752784453.709932,339023.000,53006,2,PR,1,100,71443
1752784453.749933,339063.000,53023,3,PR,1,100,71438
1752784453.789933,339103.000,53023,3,PR,1,100,71447
1752784453.829933,339143.000,53023,3,PR,1,100,71457
1752784453.869934,339183.000,53038,2,PR,1,100,71476
1752784453.909934,339223.000,53038,2,PR,1,100,71470
1752784453.949934,339263.000,53055,3,PR,1,100,71449
1752784453.989935,339303.000,53055,3,PR,1,100,71429
1752784454.029935,339343.000,53055,3,PR,1,100,71418
