LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752784452.311920,337625.000,52779,2,RD,1,100,TL
1752784452.311920,337625.000,52779,2,RD,1,100,TU
1752784454.865943,340179.000,53634,2,RD,1,100,TL
1752784457.419965,342733.000,53634,2,RD,1,100,TU
1752784459.982487,345295.500,54488,2,RD,1,100,TL
1752784462.545010,347858.000,54488,2,RD,1,100,TU
1752784465.105032,350418.000,55340,2,RD,1,100,TL
1752784467.665055,352978.000,55340,2,RD,1,100,TU
1752784470.221577,355534.500,56197,2,RD,1,100,TL
1752784472.778100,358091.000,56197,2,RD,1,100,TU
1752784475.338622,360651.500,57057,2,RD,1,100,TL
1752784477.899145,363212.000,57057,2,RD,1,100,TU
1752784480.458167,365771.000,57910,2,RD,1,100,TL
1752784483.017190,368330.000,57910,2,RD,1,100,TU
1752784485.576712,370889.500,58779,2,RD,1,100,TL
1752784488.136235,373449.000,58779,2,RD,1,100,TU
1752784490.698257,376011.000,59641,2,RD,1,100,TL
1752784493.260280,378573.000,59641,2,RD,1,100,TU
1752784495.818302,381131.000,60504,2,RD,1,100,TL
1752784498.376324,383689.000,60504,2,RD,1,100,TU
1752784500.930847,386243.500,60886,2,RD,1,100,TL
1752784503.485369,388798.000,60886,2,RD,1,100,TU
1752784506.045392,391358.000,61750,2,RD,1,100,TL
1752784508.605414,393918.000,61750,2,RD,1,100,TU
1752784511.165937,396478.500,62617,2,RD,1,100,TL
1752784513.726459,399039.000,62617,2,RD,1,100,TU
1752784516.290482,401603.000,63479,2,RD,1,100,TL
1752784518.854504,404167.000,63479,2,RD,1,100,TU
1752784521.417027,406729.500,64343,2,RD,1,100,TL
1752784523.979549,409292.000,64343,2,RD,1,100,TU
1752784526.537572,411850.000,65204,2,RD,1,100,TL
1752784529.095594,414408.000,65204,2,RD,1,100,TU
1752784531.656617,416969.000,532,2,RD,1,100,TL
1752784534.217639,419530.000,532,2,RD,1,100,TU
1752784536.771661,422084.000,1394,2,RD,1,100,TL
1752784539.325684,424638.000,1394,2,RD,1,100,TU
1752784541.890206,427202.500,2269,2,RD,1,100,TL
1752784544.454729,429767.000,2269,2,RD,1,100,TU
1752784547.008751,432321.000,3136,2,RD,1,100,TL
1752784549.562774,434875.000,3136,2,RD,1,100,TU
1752784552.130296,437442.500,4016,2,RD,1,100,TL
1752784554.697819,440010.000,4016,2,RD,1,100,TU
1752784557.253841,442566.000,4874,2,RD,1,100,TL
1752784559.809864,445122.000,4874,2,RD,1,100,TU
1752784562.363386,447675.500,5739,2,RD,1,100,TL
1752784564.916909,450229.000,5739,2,RD,1,100,TU
1752784567.475931,452788.000,6611,2,RD,1,100,TL
1752784570.034953,455347.000,6611,2,RD,1,100,TU
1752784572.588476,457900.500,7476,2,RD,1,100,TL
1752784575.141998,460454.000,7476,2,RD,1,100,TU
1752784577.708521,463020.500,8357,2,RD,1,100,TL
1752784580.275043,465587.000,8357,2,RD,1,100,TU
1752784582.828066,468140.000,9220,2,RD,1,100,TL
1752784585.381088,470693.000,9220,2,RD,1,100,TU
1752784587.948611,473260.500,10099,2,RD,1,100,TL
1752784590.516133,475828.000,10099,2,RD,1,100,TU
1752784593.070156,478382.000,10963,2,RD,1,100,TL
1752784595.624178,480936.000,10963,2,RD,1,100,TU
1752784598.200701,483512.500,11846,2,RD,1,100,TL
1752784600.777223,486089.000,11846,2,RD,1,100,TU
1752784603.327746,488639.500,12716,2,RD,1,100,TL
1752784605.878268,491190.000,12716,2,RD,1,100,TU
1752784608.431790,493743.500,13574,2,RD,1,100,TL
1752784610.985313,496297.000,13574,2,RD,1,100,TU
1752784613.545335,498857.000,14441,2,RD,1,100,TL
1752784616.105358,501417.000,14441,2,RD,1,100,TU
