LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752784449.908899,335222.000,52366,1,SF,1,100,77.8237
1752784450.175901,335489.000,52420,1,SF,1,100,79.0057
1752784450.508904,335822.000,52469,1,SF,1,100,78.0917
1752784450.841907,336155.000,52519,1,SF,1,100,77.1883
1752784451.241911,336555.000,52586,1,SF,1,100,78.3777
1752784451.508913,336822.000,52641,1,SF,1,100,79.5532
1752784451.841916,337155.000,52693,1,SF,1,100,80.7152
1752784452.241920,337555.000,52760,1,SF,1,100,79.7815
1752784452.508922,337822.000,52803,1,SF,1,100,80.9408
1752784452.908925,338222.000,52868,1,SF,1,100,80.0045
1752784453.175928,338489.000,52919,1,SF,1,100,79.0790
1752784453.508931,338822.000,52969,1,SF,1,100,80.2465
1752784453.908934,339222.000,53036,1,SF,1,100,79.3182
1752784454.175936,339489.000,53089,1,SF,1,100,80.4829
1752784454.508939,339822.000,53141,1,SF,1,100,81.6341
1752784454.841942,340155.000,53190,1,SF,1,100,80.6897
1752784455.241946,340555.000,53259,1,SF,1,100,81.8386
1752784455.508948,340822.000,53311,1,SF,1,100,80.8918
1752784455.841951,341155.000,53360,1,SF,1,100,79.9561
1752784456.241955,341555.000,53431,1,SF,1,100,83.1956
1752784456.508957,341822.000,53479,1,SF,1,100,82.2332
1752784456.841960,342155.000,53535,1,SF,1,100,83.3642
1752784457.174963,342488.000,53584,1,SF,1,100,82.3998
1752784457.508966,342822.000,53640,1,SF,1,100,81.4466
1752784457.908969,343222.000,53707,1,SF,1,100,82.5867
1752784458.174972,343488.000,53759,1,SF,1,100,81.6313
1752784458.507975,343821.000,53808,1,SF,1,100,80.6870
1752784458.841977,344155.000,53858,1,SF,1,100,79.7536
1752784459.241981,344555.000,53923,1,SF,1,100,78.8310
1752784459.507983,344821.000,53978,1,SF,1,100,80.0014
1752784459.841986,345155.000,54028,1,SF,1,100,81.1582
1752784460.241990,345555.000,54095,1,SF,1,100,80.2193
1752784460.507992,345821.000,54146,1,SF,1,100,79.2913
1752784460.840995,346154.000,54198,1,SF,1,100,80.4563
1752784461.174998,346488.000,54249,1,SF,1,100,81.6079
1752784461.575001,346888.000,54318,1,SF,1,100,80.6638
1752784461.841004,347154.000,54370,1,SF,1,100,81.8129
1752784462.175007,347488.000,54419,1,SF,1,100,80.8665
1752784462.641011,347954.000,54492,1,SF,1,100,79.9311
1752784462.841013,348154.000,54526,1,SF,1,100,81.0887
1752784463.241016,348554.000,54593,1,SF,1,100,80.1506
1752784463.508018,348821.000,54645,1,SF,1,100,81.3057
1752784463.841021,349154.000,54696,1,SF,1,100,80.3651
1752784464.175024,349488.000,54744,1,SF,1,100,79.4355
1752784464.574028,349887.000,54811,1,SF,1,100,78.5165
1752784464.841030,350154.000,54864,1,SF,1,100,79.6905
1752784465.174033,350487.000,54914,1,SF,1,100,78.7686
1752784465.574037,350887.000,54981,1,SF,1,100,77.8574
1752784465.841039,351154.000,55032,1,SF,1,100,79.0390
1752784466.174042,351487.000,55083,1,SF,1,100,78.1247
1752784466.508045,351821.000,55133,1,SF,1,100,77.2210
1752784466.908048,352221.000,55202,1,SF,1,100,76.3277
1752784467.174051,352487.000,55252,1,SF,1,100,77.5269
1752784467.507053,352820.000,55305,1,SF,1,100,78.7124
1752784467.841056,353154.000,55360,1,SF,1,100,77.8018
1752784468.174059,353487.000,55413,1,SF,1,100,78.9840
