LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752784449.716897,335030.000,52350,1,TH,1,100,31.848
1752784449.850899,335164.000,52373,1,TH,1,100,31.820
1752784449.983900,335297.000,52391,1,TH,1,100,31.827
1752784450.116901,335430.000,52410,1,TH,1,100,31.865
1752784450.250902,335564.000,52442,1,TH,1,100,31.865
1752784450.383903,335697.000,52458,1,TH,1,100,31.860
1752784450.516904,335830.000,52476,1,TH,1,100,31.867
1752784450.650906,335964.000,52509,1,TH,1,100,31.867
1752784450.783907,336097.000,52526,1,TH,1,100,31.867
1752784450.916908,336230.000,52543,1,TH,1,100,31.876
1752784451.049909,336363.000,52561,1,TH,1,100,31.876
1752784451.183910,336497.000,52593,1,TH,1,100,31.869
1752784451.316911,336630.000,52612,1,TH,1,100,31.876
1752784451.449913,336763.000,52630,1,TH,1,100,31.883
1752784451.583914,336897.000,52664,1,TH,1,100,31.883
1752784451.716915,337030.000,52681,1,TH,1,100,31.895
1752784451.849916,337163.000,52700,1,TH,1,100,31.902
1752784451.983917,337297.000,52733,1,TH,1,100,31.877
1752784452.116918,337430.000,52750,1,TH,1,100,31.877
1752784452.249920,337563.000,52767,1,TH,1,100,31.902
1752784452.383921,337697.000,52789,1,TH,1,100,31.909
1752784452.516922,337830.000,52810,1,TH,1,100,31.823
1752784452.649923,337963.000,52841,1,TH,1,100,31.823
1752784452.783924,338097.000,52858,1,TH,1,100,31.906
1752784452.916925,338230.000,52875,1,TH,1,100,31.906
1752784453.049927,338363.000,52908,1,TH,1,100,31.947
1752784453.183928,338497.000,52926,1,TH,1,100,31.954
1752784453.316929,338630.000,52942,1,TH,1,100,31.910
1752784453.449930,338763.000,52976,1,TH,1,100,31.910
1752784453.583931,338897.000,52993,1,TH,1,100,31.923
1752784453.716932,339030.000,53011,1,TH,1,100,31.923
1752784453.849934,339163.000,53043,1,TH,1,100,31.902
1752784453.983935,339297.000,53060,1,TH,1,100,31.909
1752784454.116936,339430.000,53078,1,TH,1,100,32.018
1752784454.249937,339563.000,53114,1,TH,1,100,32.018
1752784454.383938,339697.000,53131,1,TH,1,100,31.978
1752784454.516939,339830.000,53148,1,TH,1,100,31.985
1752784454.649941,339963.000,53165,1,TH,1,100,31.951
1752784454.783942,340097.000,53197,1,TH,1,100,31.951
1752784454.916943,340230.000,53215,1,TH,1,100,31.907
1752784455.049944,340363.000,53232,1,TH,1,100,31.914
1752784455.182945,340496.000,53266,1,TH,1,100,31.919
1752784455.316946,340630.000,53282,1,TH,1,100,31.919
1752784455.449948,340763.000,53299,1,TH,1,100,32.013
1752784455.582949,340896.000,53333,1,TH,1,100,32.013
1752784455.716950,341030.000,53349,1,TH,1,100,32.023
1752784455.849951,341163.000,53367,1,TH,1,100,32.031
1752784455.982952,341296.000,53400,1,TH,1,100,31.993
1752784456.116954,341430.000,53420,1,TH,1,100,31.993
1752784456.249955,341563.000,53438,1,TH,1,100,31.885
1752784456.382956,341696.000,53469,1,TH,1,100,31.892
1752784456.516957,341830.000,53486,1,TH,1,100,31.986
1752784456.649958,341963.000,53505,1,TH,1,100,31.986
1752784456.782959,342096.000,53541,1,TH,1,100,32.006
1752784456.916961,342230.000,53557,1,TH,1,100,32.006
1752784457.049962,342363.000,53574,1,TH,1,100,32.006
1752784457.182963,342496.000,53591,1,TH,1,100,32.013
1752784457.316964,342630.000,53622,1,TH,1,100,31.985
1752784457.449965,342763.000,53647,1,TH,1,100,31.985
1752784457.582966,342896.000,53663,1,TH,1,100,31.995
1752784457.716968,343030.000,53680,1,TH,1,100,32.002
1752784457.849969,343163.000,53714,1,TH,1,100,32.022
1752784457.982970,343296.000,53730,1,TH,1,100,32.022
1752784458.115971,343429.000,53749,1,TH,1,100,31.994
1752784458.249972,343563.000,53781,1,TH,1,100,31.994
1752784458.382973,343696.000,53797,1,TH,1,100,31.996
1752784458.515975,343829.000,53815,1,TH,1,100,32.003
1752784458.649976,343963.000,53831,1,TH,1,100,32.036
1752784458.782977,344096.000,53865,1,TH,1,100,32.036
