LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752784452.305920,337619.000,52777,1,TL,1,100,2025-07-17_16-34-07-336080
1752784452.329920,337643.000,52780,1,TL,1,100,2025-07-17_16-34-12-315111
1752784457.416965,342730.000,53632,1,TL,1,100,2025-07-17_16-34-12-440257
1752784457.430965,342744.000,53635,1,TL,1,100,2025-07-17_16-34-17-423982
1752784462.543010,347856.000,54486,1,TL,1,100,2025-07-17_16-34-17-572155
1752784462.552010,347865.000,54489,1,TL,1,100,2025-07-17_16-34-22-548510
1752784467.663055,352976.000,55338,1,TL,1,100,2025-07-17_16-34-22-679705
1752784467.678055,352991.000,55341,1,TL,1,100,2025-07-17_16-34-27-674961
1752784472.776100,358089.000,56195,1,TL,1,100,2025-07-17_16-34-27-797759
1752784472.794100,358107.000,56198,1,TL,1,100,2025-07-17_16-34-32-790081
1752784477.897145,363210.000,57055,1,TL,1,100,2025-07-17_16-34-32-920753
1752784477.938145,363251.000,57058,1,TL,1,100,2025-07-17_16-34-37-902596
1752784483.015190,368328.000,57908,1,TL,1,100,2025-07-17_16-34-38-030153
1752784483.029190,368342.000,57911,1,TL,1,100,2025-07-17_16-34-43-022308
1752784488.134235,373447.000,58777,1,TL,1,100,2025-07-17_16-34-43-146827
1752784488.143235,373456.000,58780,1,TL,1,100,2025-07-17_16-34-48-139557
1752784493.258280,378571.000,59639,1,TL,1,100,2025-07-17_16-34-48-278388
1752784493.269280,378582.000,59642,1,TL,1,100,2025-07-17_16-34-53-266314
1752784498.374324,383687.000,60502,1,TL,1,100,2025-07-17_16-34-53-389130
1752784498.389325,383702.000,60505,1,TL,1,100,2025-07-17_16-34-58-384013
1752784503.482369,388795.000,60884,1,TL,1,100,2025-07-17_16-34-58-511337
1752784503.527370,388840.000,60887,1,TL,1,100,2025-07-17_16-35-03-489589
1752784508.603414,393916.000,61748,1,TL,1,100,2025-07-17_16-35-03-621018
1752784508.613414,393926.000,61751,1,TL,1,100,2025-07-17_16-35-08-609008
1752784513.724459,399037.000,62615,1,TL,1,100,2025-07-17_16-35-08-738323
1752784513.746459,399059.000,62618,1,TL,1,100,2025-07-17_16-35-13-739778
1752784518.852504,404165.000,63477,1,TL,1,100,2025-07-17_16-35-13-869895
1752784518.864504,404177.000,63480,1,TL,1,100,2025-07-17_16-35-18-858461
1752784523.972549,409285.000,64341,1,TL,1,100,2025-07-17_16-35-18-987845
1752784523.990549,409303.000,64344,1,TL,1,100,2025-07-17_16-35-23-986892
1752784529.093594,414406.000,65202,1,TL,1,100,2025-07-17_16-35-24-123569
1752784529.106594,414419.000,65205,1,TL,1,100,2025-07-17_16-35-29-102080
1752784534.215639,419528.000,530,1,TL,1,100,2025-07-17_16-35-29-228611
1752784534.224639,419537.000,533,1,TL,1,100,2025-07-17_16-35-34-221587
1752784539.323684,424636.000,1392,1,TL,1,100,2025-07-17_16-35-34-311782
1752784539.333684,424646.000,1395,1,TL,1,100,2025-07-17_16-35-39-330176
1752784544.452729,429765.000,2267,1,TL,1,100,2025-07-17_16-35-39-368741
1752784544.475729,429788.000,2270,1,TL,1,100,2025-07-17_16-35-44-469606
1752784549.560774,434873.000,3134,1,TL,1,100,2025-07-17_16-35-44-543427
1752784549.582774,434895.000,3137,1,TL,1,100,2025-07-17_16-35-49-568077
1752784554.695819,440008.000,4014,1,TL,1,100,2025-07-17_16-35-49-608693
1752784554.721819,440034.000,4017,1,TL,1,100,2025-07-17_16-35-54-706331
1752784559.807864,445120.000,4872,1,TL,1,100,2025-07-17_16-35-54-790238
1752784559.821864,445134.000,4875,1,TL,1,100,2025-07-17_16-35-59-815358
1752784564.915908,450228.000,5737,1,TL,1,100,2025-07-17_16-35-59-864326
1752784570.028953,455341.000,6607,1,TL,1,100,2025-07-17_16-36-04-935794
1752784570.033953,455346.000,6609,1,TL,1,100,2025-07-17_16-36-05-055099
1752784570.046954,455359.000,6612,1,TL,1,100,2025-07-17_16-36-10-039153
1752784575.139998,460452.000,7474,1,TL,1,100,2025-07-17_16-36-10-118942
1752784575.154998,460467.000,7477,1,TL,1,100,2025-07-17_16-36-15-149325
1752784580.273043,465585.000,8355,1,TL,1,100,2025-07-17_16-36-15-186035
1752784580.286043,465598.000,8358,1,TL,1,100,2025-07-17_16-36-20-279769
1752784585.379088,470691.000,9218,1,TL,1,100,2025-07-17_16-36-20-350268
1752784585.388088,470700.000,9221,1,TL,1,100,2025-07-17_16-36-25-384671
1752784590.515133,475827.000,10097,1,TL,1,100,2025-07-17_16-36-25-422811
1752784590.532133,475844.000,10100,1,TL,1,100,2025-07-17_16-36-30-528410
1752784595.623178,480935.000,10961,1,TL,1,100,2025-07-17_16-36-30-609529
1752784595.637178,480949.000,10964,1,TL,1,100,2025-07-17_16-36-35-634040
1752784600.772223,486084.000,11844,1,TL,1,100,2025-07-17_16-36-35-680868
1752784600.798223,486110.000,11847,1,TL,1,100,2025-07-17_16-36-40-795234
1752784605.876268,491188.000,12714,1,TL,1,100,2025-07-17_16-36-40-849569
1752784605.897268,491209.000,12717,1,TL,1,100,2025-07-17_16-36-45-890726
1752784610.983313,496295.000,13572,1,TL,1,100,2025-07-17_16-36-45-919526
1752784610.992313,496304.000,13575,1,TL,1,100,2025-07-17_16-36-50-989413
1752784616.104358,501416.000,14439,1,TL,1,100,2025-07-17_16-36-51-013180
1752784616.116358,501428.000,14442,1,TL,1,100,2025-07-17_16-36-56-112203
1752784621.282403,506594.000,14831,1,TL,1,100,2025-07-17_16-36-56-186262
1752784621.316404,506628.000,14834,1,TL,1,100,2025-07-17_16-37-01-289618
1752784626.406448,511718.000,15679,1,TL,1,100,2025-07-17_16-37-01-372475
1752784626.428448,511740.000,15682,1,TL,1,100,2025-07-17_16-37-06-416495
1752784631.513493,516825.000,16521,1,TL,1,100,2025-07-17_16-37-06-510810
1752784631.548493,516860.000,16524,1,TL,1,100,2025-07-17_16-37-11-519642
1752784636.621538,521933.000,17363,1,TL,1,100,2025-07-17_16-37-11-575054
1752784641.741583,527053.000,18202,1,TL,1,100,2025-07-17_16-37-16-629337
