LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
-5.493331705679495e-06,-0.00012359996337778863,-6.40888698995941e-06,1.3733329264198735e-05,0.0
-1.922666096987823e-05,0.00028473769341105375,2.7466658528397473e-06,0.0,0.008
-9.155552842799156e-06,-0.00020050660725730153,9.155552842799157e-07,6.40888698995941e-06,0.016
-1.5564439832758568e-05,0.0004568620868556779,0.0,-2.7466658528397473e-06,0.024
-1.5564439832758568e-05,-0.00020599993896298105,-5.493331705679495e-06,-1.8311105685598313e-06,0.032
-1.8311105685598312e-05,0.001368755149998474,3.6622211371196626e-06,0.0,0.04
-8.239997558519242e-06,-0.00020325327311014127,-6.40888698995941e-06,4.577776421399578e-06,0.048
-2.746665852839747e-05,0.0015820795312356942,-9.155552842799157e-07,5.493331705679495e-06,0.056
-1.098666341135899e-05,-0.00024353770561845757,-5.493331705679495e-06,-3.6622211371196626e-06,0.064
-1.8311105685598312e-05,0.0014612262337107453,2.7466658528397473e-06,7.324442274239325e-06,0.072
-1.281777397991882e-05,-0.000781884212775048,-3.6622211371196626e-06,-1.0071108127079073e-05,0.08
-1.5564439832758568e-05,0.0015976439710684528,-1.464888454847865e-05,1.5564439832758568e-05,0.088
-3.6622211371196626e-06,-0.0009247108371227148,-7.324442274239325e-06,-4.577776421399578e-06,0.096
-1.5564439832758568e-05,0.0013861507003997923,-2.7466658528397473e-06,2.105777153843806e-05,0.104
-1.098666341135899e-05,-0.00042023987548448134,-1.281777397991882e-05,8.239997558519242e-06,0.112
-1.098666341135899e-05,0.0005346842860194707,-2.0142216254158147e-05,2.105777153843806e-05,0.12
-1.5564439832758568e-05,-0.0011545152134769736,-9.155552842799156e-06,9.155552842799157e-07,0.128
-1.6479995117038484e-05,0.0001171910763878292,-1.1902218695638903e-05,8.239997558519242e-06,0.136
-1.6479995117038484e-05,-0.0015747550889614551,-1.281777397991882e-05,3.6622211371196626e-06,0.144
-2.105777153843806e-05,-0.0005978576006347849,-1.098666341135899e-05,1.3733329264198735e-05,0.152
-1.922666096987823e-05,-0.0006793420209356975,-4.577776421399578e-06,1.281777397991882e-05,0.16
-2.0142216254158147e-05,-0.0013257240516373178,-1.8311105685598313e-06,1.8311105685598313e-06,0.168
-2.3804437391277807e-05,-0.001377910702841273,-1.8311105685598313e-06,-4.577776421399578e-06,0.176
-2.838221381267739e-05,-0.0006271553697317423,-3.6622211371196626e-06,-5.493331705679495e-06,0.184
-1.8311105685598312e-05,-9.97955259865108e-05,2.7466658528397473e-06,-1.6479995117038484e-05,0.192
-1.3733329264198735e-05,9.063997314371165e-05,5.493331705679495e-06,-1.922666096987823e-05,0.2
-1.1902218695638903e-05,0.0004641865291299173,5.493331705679495e-06,-1.73955504013184e-05,0.208
-1.098666341135899e-05,0.00021790215765861995,4.577776421399578e-06,-1.5564439832758568e-05,0.216
-1.0071108127079073e-05,0.00021973326822717976,8.239997558519242e-06,-1.73955504013184e-05,0.224
-1.1902218695638903e-05,-0.0002829065828424939,7.324442274239325e-06,-1.922666096987823e-05,0.232
-1.464888454847865e-05,-0.00030671102023377173,6.40888698995941e-06,-1.8311105685598312e-05,0.24
-1.3733329264198735e-05,-0.0003817865535447249,5.493331705679495e-06,-1.6479995117038484e-05,0.248
-1.281777397991882e-05,-0.0003744621112704855,5.493331705679495e-06,-1.6479995117038484e-05,0.256
-1.281777397991882e-05,-0.0006491286965544602,7.324442274239325e-06,-1.6479995117038484e-05,0.264
-1.3733329264198735e-05,-0.0007827997680593279,6.40888698995941e-06,-1.73955504013184e-05,0.272
-1.5564439832758568e-05,-0.0010711996826075014,6.40888698995941e-06,-1.6479995117038484e-05,0.28
-1.464888454847865e-05,-0.0009732352671895504,6.40888698995941e-06,-1.6479995117038484e-05,0.288
-1.5564439832758568e-05,-0.001249732963042085,5.493331705679495e-06,-1.5564439832758568e-05,0.296
-1.464888454847865e-05,-0.0012634662923062838,7.324442274239325e-06,-1.6479995117038484e-05,0.304
-1.6479995117038484e-05,-0.0016232795190282907,6.40888698995941e-06,-1.6479995117038484e-05,0.312
-1.6479995117038484e-05,-0.00163151951658681,6.40888698995941e-06,-1.6479995117038484e-05,0.32
-1.73955504013184e-05,-0.001867732779931028,6.40888698995941e-06,-1.5564439832758568e-05,0.328
-1.73955504013184e-05,-0.0018704794457838677,6.40888698995941e-06,-1.5564439832758568e-05,0.336
-1.73955504013184e-05,-0.0021863460188604384,6.40888698995941e-06,-1.464888454847865e-05,0.344
-1.8311105685598312e-05,-0.0022357860042115543,6.40888698995941e-06,-1.5564439832758568e-05,0.352
-1.922666096987823e-05,-0.0025333414716025267,6.40888698995941e-06,-1.464888454847865e-05,0.36
-1.922666096987823e-05,-0.002506790368358409,6.40888698995941e-06,-1.464888454847865e-05,0.368
-1.922666096987823e-05,-0.0028052613910336615,5.493331705679495e-06,-1.464888454847865e-05,0.376
-1.922666096987823e-05,-0.0028583635975218966,6.40888698995941e-06,-1.464888454847865e-05,0.384
-2.0142216254158147e-05,-0.0031879634998626663,6.40888698995941e-06,-1.464888454847865e-05,0.392
-2.105777153843806e-05,-0.0031943723868526255,6.40888698995941e-06,-1.464888454847865e-05,0.4
-2.105777153843806e-05,-0.0034681234168523205,5.493331705679495e-06,-1.3733329264198735e-05,0.408
-2.105777153843806e-05,-0.00347544785912656,6.40888698995941e-06,-1.464888454847865e-05,0.416
-2.197332682271798e-05,-0.0038663899655140836,5.493331705679495e-06,-1.3733329264198735e-05,0.424
-2.197332682271798e-05,-0.0038947721793267612,6.40888698995941e-06,-1.464888454847865e-05,0.432
-2.2888882106997894e-05,-0.004195989867854853,5.493331705679495e-06,-1.3733329264198735e-05,0.44
-2.2888882106997894e-05,-0.004160283211767937,5.493331705679495e-06,-1.3733329264198735e-05,0.448
-2.3804437391277807e-05,-0.004464247566148868,5.493331705679495e-06,-1.3733329264198735e-05,0.456
-2.2888882106997894e-05,-0.004626300851466414,5.493331705679495e-06,-1.3733329264198735e-05,0.464
-2.4719992675557722e-05,-0.004950407422101504,5.493331705679495e-06,-1.281777397991882e-05,0.472
-2.4719992675557722e-05,-0.004943082979827265,5.493331705679495e-06,-1.3733329264198735e-05,0.48
-2.563554795983764e-05,-0.0051664784691915645,5.493331705679495e-06,-1.281777397991882e-05,0.488
-2.563554795983764e-05,-0.005158238471633045,5.493331705679495e-06,-1.464888454847865e-05,0.496
-2.563554795983764e-05,-0.005748771629993591,5.493331705679495e-06,-1.1902218695638903e-05,0.504
-2.563554795983764e-05,-0.005765251625110629,5.493331705679495e-06,-1.281777397991882e-05,0.512
