LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
4.8524430066835536e-05,0.003514816736350596,-6.40888698995941e-05,0.0006683553575243385,0.0
6.866664632099367e-05,0.0023273415326395454,-6.40888698995941e-05,0.0028720969267860955,0.008
7.690664387951292e-05,0.003683278908658101,-6.95822016052736e-05,0.0013064973906674396,0.016
8.331553086947232e-05,0.0016855372783593247,-7.049775688955351e-05,0.004330576494644001,0.024
9.430219428083131e-05,0.004361705374309518,-7.324442274239325e-05,0.0007132175664540543,0.032
9.521774956511123e-05,0.0006170842616046631,-7.049775688955351e-05,0.003757438886684774,0.04
0.00010437330240791038,0.005233314004943998,-7.690664387951292e-05,-0.0009860530411694693,0.048
0.00012085329752494887,0.0006244087038789026,-6.775109103671375e-05,0.0026743369853816337,0.056
0.0001464888454847865,0.0021222571489608443,-7.141331217383343e-05,0.0004513687551499984,0.064
0.00016113773003326518,0.0032090212714011046,-7.324442274239325e-05,0.0007571642200994902,0.072
0.0001693777275917844,0.0049623096407971435,-7.599108859523301e-05,-0.0009686574907681508,0.08
0.00018036439100314338,0.0013971373638111512,-7.232886745811333e-05,0.0011243018890957363,0.088
0.0001858577227088229,0.0047462385937070825,-7.782219916379283e-05,0.0005850398266548661,0.096
0.00019226660969878228,0.0023859370708334605,-8.239997558519242e-05,0.0005136265144810326,0.104
0.00021607104709006012,0.004387340922269356,-9.430219428083131e-05,0.0019885860774559766,0.112
0.00021973326822717976,0.002225714896084475,-8.789330729087191e-05,0.0011819818720053713,0.12
0.00022797326578569903,0.003286843470564897,-8.331553086947232e-05,0.002976470229194006,0.128
0.0002270577105014191,0.0016031373027741323,-9.063997314371165e-05,0.0009402752769554735,0.136
0.0002380443739127781,0.0022431104464857936,-8.789330729087191e-05,0.003548692281868953,0.144
0.0002645954771568956,0.0008697775200659199,-9.796441541795099e-05,0.0029993591113010036,0.152
0.00026734214300973535,0.0010721152378917814,-9.430219428083131e-05,0.004808496353038117,0.16
0.0002664265877254555,0.001359599597155675,-9.521774956511123e-05,0.0018512527848139895,0.168
0.00026551103244117557,-0.0004962309640797143,-7.873775444807274e-05,0.004533829767754142,0.176
0.0002829065828424939,0.0019144260994293037,-8.514664143803215e-05,0.0008349864192632831,0.184
0.00030304879909665207,-0.0003854487746818445,-9.704886013367107e-05,0.0023081148716696674,0.192
0.00029847102267525254,0.0007388531144138919,-9.063997314371165e-05,0.0009503463850825525,0.2
0.00028931546983245333,0.0010995818964201786,-8.056886501663259e-05,0.00028748435926389355,0.208
0.00027649769585253456,7.782219916379283e-05,-7.049775688955351e-05,0.0007113864558854946,0.216
0.0001858577227088229,-0.0028592791528061763,-6.40888698995941e-06,9.796441541795099e-05,0.224
2.0142216254158147e-05,-0.00630085146641438,0.00011352885525070956,-0.0023236793115024262,0.232
9.155552842799157e-07,-0.006970122379222998,0.00012451551866206854,-0.0026972258674886314,0.24
-1.464888454847865e-05,-0.007747428815576647,0.0001345866267891476,-0.002442701498458815,0.248
-2.746665852839747e-05,-0.0076183355204931785,0.00014099551377910703,-0.0032007812738425855,0.256
-2.2888882106997894e-05,-0.0073976866969817185,0.00013275551622058779,-0.0030167546617023222,0.264
0.0,-0.006760460219122897,0.00011169774468214971,-0.0027091280861842705,0.272
-7.324442274239325e-06,-0.006983855708487197,0.00011535996581926937,-0.0028061769463179416,0.28
-1.8311105685598312e-05,-0.0075414288766136655,0.00011993774224066895,-0.002789696951200903,0.288
-2.3804437391277807e-05,-0.007345500045777764,0.00012085329752494887,-0.003123874629963072,0.296
-2.3804437391277807e-05,-0.007394940031128879,0.00011627552110354929,-0.003123874629963072,0.304
-9.155552842799156e-06,-0.006906033509323404,0.00010345774712363048,-0.002907803582873012,0.312
-1.5564439832758568e-05,-0.007206335642567216,0.00010437330240791038,-0.003048799096652119,0.32
-1.922666096987823e-05,-0.007354655598620563,0.0001052888576921903,-0.002995696890163884,0.328
-2.4719992675557722e-05,-0.007446211127048554,0.0001052888576921903,-0.0032621234778893397,0.336
-2.2888882106997894e-05,-0.007325357829523605,0.00010071108127079072,-0.0032190923795281834,0.344
-1.73955504013184e-05,-0.007257606738486892,9.247108371227149e-05,-0.0031870479445783866,0.352
-1.922666096987823e-05,-0.00727408673360393,9.247108371227149e-05,-0.0032328257087923824,0.36
-2.2888882106997894e-05,-0.007559739982299264,9.155552842799158e-05,-0.003280434583574938,0.368
-2.3804437391277807e-05,-0.007471846675008392,9.063997314371165e-05,-0.003412274544511246,0.376
-2.563554795983764e-05,-0.0076128421887874985,8.789330729087191e-05,-0.0034360789819025232,0.384
-2.0142216254158147e-05,-0.007433393353068635,8.14844203009125e-05,-0.0034287545396282843,0.392
-2.3804437391277807e-05,-0.007657704397717215,8.056886501663259e-05,-0.0034864345225379192,0.4
-2.3804437391277807e-05,-0.007683339945677052,7.873775444807274e-05,-0.0035541856135746326,0.408
-2.6551103244117554e-05,-0.007871028778954434,7.690664387951292e-05,-0.003648487807855464,0.416
-2.563554795983764e-05,-0.007793206579790642,7.415997802667316e-05,-0.0036869411297952206,0.424
