LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1752621168.151142,72030.000,9796,1,AZ,1,100,0.130
1752621168.190642,72069.500,9810,2,AZ,1,100,0.129
1752621168.230142,72109.000,9810,2,AZ,1,100,0.133
1752621168.270143,72149.000,9830,3,AZ,1,100,0.128
1752621168.310143,72189.000,9830,3,AZ,1,100,0.131
1752621168.350143,72229.000,9830,3,AZ,1,100,0.130
1752621168.390144,72269.000,9848,2,AZ,1,100,0.130
1752621168.430144,72309.000,9848,2,AZ,1,100,0.135
1752621168.470478,72349.333,9865,3,AZ,1,100,0.132
1752621168.510811,72389.667,9865,3,AZ,1,100,0.134
1752621168.551145,72430.000,9865,3,AZ,1,100,0.130
1752621168.591145,72470.000,9879,2,AZ,1,100,0.129
1752621168.631146,72510.000,9879,2,AZ,1,100,0.131
1752621168.670813,72549.667,9897,3,AZ,1,100,0.126
1752621168.710480,72589.333,9897,3,AZ,1,100,0.127
1752621168.750147,72629.000,9897,3,AZ,1,100,0.119
1752621168.790147,72669.000,9913,2,AZ,1,100,0.118
1752621168.830147,72709.000,9913,2,AZ,1,100,0.109
1752621168.870148,72749.000,9930,3,AZ,1,100,0.113
1752621168.910148,72789.000,9930,3,AZ,1,100,0.107
1752621168.950148,72829.000,9930,3,AZ,1,100,0.104
1752621168.990149,72869.000,9945,2,AZ,1,100,0.093
1752621169.030149,72909.000,9945,2,AZ,1,100,0.088
1752621169.070149,72949.000,9964,3,AZ,1,100,0.089
1752621169.110150,72989.000,9964,3,AZ,1,100,0.087
1752621169.150150,73029.000,9964,3,AZ,1,100,0.091
1752621169.190150,73069.000,9980,3,AZ,1,100,0.102
1752621169.230151,73109.000,9980,3,AZ,1,100,0.092
1752621169.270151,73149.000,9980,3,AZ,1,100,0.102
1752621169.310151,73189.000,9998,2,AZ,1,100,0.107
1752621169.350152,73229.000,9998,2,AZ,1,100,0.093
1752621169.390152,73269.000,10012,3,AZ,1,100,0.103
1752621169.430152,73309.000,10012,3,AZ,1,100,0.098
1752621169.470153,73349.000,10012,3,AZ,1,100,0.111
1752621169.510153,73389.000,10029,2,AZ,1,100,0.110
1752621169.550153,73429.000,10029,2,AZ,1,100,0.110
1752621169.590154,73469.000,10045,3,AZ,1,100,0.116
1752621169.630154,73509.000,10045,3,AZ,1,100,0.100
1752621169.670154,73549.000,10045,3,AZ,1,100,0.087
1752621169.705488,73584.333,10063,3,AZ,1,100,0.085
1752621169.740822,73619.667,10063,3,AZ,1,100,0.095
1752621169.776155,73655.000,10063,3,AZ,1,100,0.089
1752621169.816156,73695.000,10080,2,AZ,1,100,0.095
1752621169.856156,73735.000,10080,2,AZ,1,100,0.094
1752621169.896156,73775.000,10098,3,AZ,1,100,0.103
1752621169.936157,73815.000,10098,3,AZ,1,100,0.102
1752621169.976157,73855.000,10098,3,AZ,1,100,0.099
1752621170.016157,73895.000,10115,2,AZ,1,100,0.094
1752621170.056158,73935.000,10115,2,AZ,1,100,0.109
1752621170.096158,73975.000,10137,3,AZ,1,100,0.152
1752621170.136158,74015.000,10137,3,AZ,1,100,0.134
1752621170.176159,74055.000,10137,3,AZ,1,100,0.130
1752621170.216159,74095.000,10153,2,AZ,1,100,0.092
1752621170.256159,74135.000,10153,2,AZ,1,100,0.036
1752621170.296160,74175.000,10169,3,AZ,1,100,-0.003
1752621170.336160,74215.000,10169,3,AZ,1,100,0.001
1752621170.376160,74255.000,10169,3,AZ,1,100,0.016
1752621170.416161,74295.000,10187,2,AZ,1,100,0.049
1752621170.456161,74335.000,10187,2,AZ,1,100,0.063
1752621170.496161,74375.000,10206,3,AZ,1,100,0.041
1752621170.536162,74415.000,10206,3,AZ,1,100,0.036
1752621170.576162,74455.000,10206,3,AZ,1,100,0.038
1752621170.616162,74495.000,10223,2,AZ,1,100,0.050
1752621170.656163,74535.000,10223,2,AZ,1,100,0.092
1752621170.696163,74575.000,10238,3,AZ,1,100,0.122
1752621170.736163,74615.000,10238,3,AZ,1,100,0.137
1752621170.776164,74655.000,10238,3,AZ,1,100,0.144
1752621170.816164,74695.000,10254,3,AZ,1,100,0.142
1752621170.856164,74735.000,10254,3,AZ,1,100,0.128
1752621170.896165,74775.000,10254,3,AZ,1,100,0.125
1752621170.936165,74815.000,10273,2,AZ,1,100,0.127
1752621170.976165,74855.000,10273,2,AZ,1,100,0.146
1752621171.016166,74895.000,10290,3,AZ,1,100,0.140
1752621171.056166,74935.000,10290,3,AZ,1,100,0.135
1752621171.096166,74975.000,10290,3,AZ,1,100,0.125
1752621171.136167,75015.000,10305,2,AZ,1,100,0.123
1752621171.176167,75055.000,10305,2,AZ,1,100,0.123
1752621171.216168,75095.000,10321,3,AZ,1,100,0.135
1752621171.256168,75135.000,10321,3,AZ,1,100,0.135
1752621171.296168,75175.000,10321,3,AZ,1,100,0.138
1752621171.336169,75215.000,10339,2,AZ,1,100,0.151
1752621171.376169,75255.000,10339,2,AZ,1,100,0.155
1752621171.416169,75295.000,10355,3,AZ,1,100,0.141
1752621171.456170,75335.000,10355,3,AZ,1,100,0.117
1752621171.496170,75375.000,10355,3,AZ,1,100,0.095
1752621171.536170,75415.000,10370,2,AZ,1,100,0.100
1752621171.576171,75455.000,10370,2,AZ,1,100,0.106
1752621171.616171,75495.000,10387,3,AZ,1,100,0.110
1752621171.656171,75535.000,10387,3,AZ,1,100,0.140
1752621171.696172,75575.000,10387,3,AZ,1,100,0.140
1752621171.736172,75615.000,10406,2,AZ,1,100,0.128
1752621171.776172,75655.000,10406,2,AZ,1,100,0.116
1752621171.816173,75695.000,10422,3,AZ,1,100,0.118
1752621171.856173,75735.000,10422,3,AZ,1,100,0.125
1752621171.896173,75775.000,10422,3,AZ,1,100,0.131
1752621171.936174,75815.000,10438,2,AZ,1,100,0.138
1752621171.976174,75855.000,10438,2,AZ,1,100,0.142
1752621172.016174,75895.000,10454,3,AZ,1,100,0.140
1752621172.056175,75935.000,10454,3,AZ,1,100,0.133
1752621172.096175,75975.000,10454,3,AZ,1,100,0.147
1752621172.136175,76015.000,10473,2,AZ,1,100,0.146
1752621172.176176,76055.000,10473,2,AZ,1,100,0.120
1752621172.216176,76095.000,10491,3,AZ,1,100,0.104
1752621172.256176,76135.000,10491,3,AZ,1,100,0.101
1752621172.296177,76175.000,10491,3,AZ,1,100,0.124
1752621172.336177,76215.000,10510,2,AZ,1,100,0.149
1752621172.376177,76255.000,10510,2,AZ,1,100,0.153
