LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752621172.981182,76860.000,10619,1,BV,1,100,3.76
1752621177.981225,81860.000,11434,1,BV,1,100,3.76
1752621182.980267,86859.000,12296,1,BV,1,100,3.76
1752621187.980309,91859.000,13139,1,BV,1,100,3.76
1752621192.979352,96858.000,13981,1,BV,1,100,3.76
1752621197.979394,101858.000,14824,1,BV,1,100,3.76
1752621202.978437,106857.000,15669,1,BV,1,100,3.76
1752621207.978479,111857.000,16518,1,BV,1,100,3.76
1752621212.978521,116857.000,17378,1,BV,1,100,3.76
1752621217.977564,121856.000,18210,1,BV,1,100,3.76
1752621222.976606,126855.000,19060,1,BV,1,100,3.76
1752621227.976648,131855.000,19928,1,BV,1,100,3.76
1752621232.975691,136854.000,20772,1,BV,1,100,3.76
1752621237.975733,141854.000,21614,1,BV,1,100,3.76
1752621242.974775,146853.000,22470,1,BV,1,100,3.76
1752621247.974818,151853.000,23334,1,BV,1,100,3.76
1752621252.973860,156852.000,24179,1,BV,1,100,3.76
1752621257.973902,161852.000,25006,1,BV,1,100,3.76
1752621262.972945,166851.000,25657,1,BV,1,100,3.76
1752621267.972987,171851.000,26508,1,BV,1,100,3.76
1752621272.972029,176850.000,27343,1,BV,1,100,3.76
1752621277.972072,181850.000,28192,1,BV,1,100,3.76
1752621282.972114,186850.000,29054,1,BV,1,100,3.76
1752621287.971156,191849.000,29904,1,BV,1,100,3.76
1752621292.971199,196849.000,30745,1,BV,1,100,3.76
1752621297.970241,201848.000,31591,1,BV,1,100,3.76
1752621302.969283,206847.000,32450,1,BV,1,100,3.76
1752621307.969326,211847.000,33298,1,BV,1,100,3.76
1752621312.968368,216846.000,34140,1,BV,1,100,3.76
1752621317.968410,221846.000,34975,1,BV,1,100,3.76
1752621322.967453,226845.000,35828,1,BV,1,100,3.77
1752621327.967495,231845.000,36675,1,BV,1,100,3.76
1752621332.967537,236845.000,37519,1,BV,1,100,3.76
1752621337.966580,241844.000,38374,1,BV,1,100,3.76
1752621342.965622,246843.000,39203,1,BV,1,100,3.76
1752621347.965664,251843.000,40044,1,BV,1,100,3.76
1752621352.964707,256842.000,40883,1,BV,1,100,3.76
1752621357.964749,261842.000,41715,1,BV,1,100,3.76
1752621362.963791,266841.000,42532,1,BV,1,100,3.77
1752621367.963834,271841.000,43355,1,BV,1,100,3.76
1752621372.962876,276840.000,44182,1,BV,1,100,3.77
1752621377.962919,281840.000,45005,1,BV,1,100,3.77
1752621382.961961,286839.000,45829,1,BV,1,100,3.77
1752621387.962003,291839.000,46634,1,BV,1,100,3.77
1752621392.961046,296838.000,47459,1,BV,1,100,3.76
