LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752621168.147142,72026.000,9784,4,EM,1,100,RS
1752621168.147142,72026.000,9784,4,EM,1,100,RB
1752621168.147142,72026.000,9784,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621168.147142,72026.000,9784,4,EM,1,100,PS
1752621168.198392,72077.250,9817,4,EM,1,100,RS
1752621168.249642,72128.500,9817,4,EM,1,100,RB
1752621168.300893,72179.750,9817,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621168.352143,72231.000,9817,4,EM,1,100,PS
1752621168.402144,72281.000,9855,4,EM,1,100,RS
1752621168.452144,72331.000,9855,4,EM,1,100,RB
1752621168.502145,72381.000,9855,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621168.552145,72431.000,9855,4,EM,1,100,PS
1752621168.602395,72481.250,9886,4,EM,1,100,RS
1752621168.652646,72531.500,9886,4,EM,1,100,RB
1752621168.702896,72581.750,9886,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621168.753147,72632.000,9886,4,EM,1,100,PS
1752621168.803397,72682.250,9920,4,EM,1,100,RS
1752621168.853647,72732.500,9920,4,EM,1,100,RB
1752621168.903898,72782.750,9920,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621168.954148,72833.000,9920,4,EM,1,100,PS
1752621169.004399,72883.250,9952,4,EM,1,100,RS
1752621169.054649,72933.500,9952,4,EM,1,100,RB
1752621169.104900,72983.750,9952,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621169.155150,73034.000,9952,4,EM,1,100,PS
1752621169.206150,73085.000,9987,4,EM,1,100,RS
1752621169.257151,73136.000,9987,4,EM,1,100,RB
1752621169.308151,73187.000,9987,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621169.359152,73238.000,9987,4,EM,1,100,PS
1752621169.409402,73288.250,10019,4,EM,1,100,RS
1752621169.459653,73338.500,10019,4,EM,1,100,RB
1752621169.509903,73388.750,10019,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621169.560153,73439.000,10019,4,EM,1,100,PS
1752621169.611154,73490.000,10052,4,EM,1,100,RS
1752621169.662154,73541.000,10052,4,EM,1,100,RB
1752621169.713155,73592.000,10052,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621169.764155,73643.000,10052,4,EM,1,100,PS
1752621169.814406,73693.250,10087,4,EM,1,100,RS
1752621169.864656,73743.500,10087,4,EM,1,100,RB
1752621169.914906,73793.750,10087,4,EM,1,100,2025-07-15_19-12-47-299953.csv
1752621169.965157,73844.000,10087,4,EM,1,100,PS
