LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752621168.430144,72309,9838,1,HR,1,100,96.75
1752621169.084149,72963,9954,1,HR,1,100,96.08
1752621169.884156,73763,10089,1,HR,1,100,91.40
1752621170.564162,74443,10196,1,HR,1,100,90.69
1752621170.964165,74843,10263,1,HR,1,100,103.87
1752621171.723172,75602,10396,1,HR,1,100,98.33
1752621172.243176,76122,10481,1,HR,1,100,102.12
1752621173.003183,76882,10601,1,HR,1,100,96.97
1752621173.483187,77362,10687,1,HR,1,100,103.20
1752621174.057192,77936,10788,1,HR,1,100,104.08
1752621174.577196,78456,10871,1,HR,1,100,106.59
1752621175.176201,79055,10978,1,HR,1,100,105.13
1752621175.736206,79615,11045,1,HR,1,100,105.57
1752621176.337211,80216,11146,1,HR,1,100,104.34
1752621177.176218,81055,11284,1,HR,1,100,97.02
1752621177.816223,81695,11403,1,HR,1,100,96.30
1752621178.589230,82468,11522,1,HR,1,100,92.44
1752621179.309236,83188,11656,1,HR,1,100,90.42
1752621180.109243,83988,11779,1,HR,1,100,86.99
1752621180.829249,84708,11903,1,HR,1,100,86.18
1752621181.469254,85348,12025,1,HR,1,100,87.86
1752621182.109260,85988,12128,1,HR,1,100,89.17
1752621182.709265,86588,12228,1,HR,1,100,91.58
1752621183.309270,87188,12333,1,HR,1,100,93.45
1752621183.922275,87801,12433,1,HR,1,100,94.90
1752621184.482280,88361,12518,1,HR,1,100,97.62
1752621185.162286,89041,12638,1,HR,1,100,95.54
1752621185.802291,89681,12744,1,HR,1,100,95.14
1752621186.402296,90281,12846,1,HR,1,100,96.22
1752621187.042302,90921,12951,1,HR,1,100,95.67
1752621187.762308,91641,13070,1,HR,1,100,92.93
1752621188.495314,92374,13209,1,HR,1,100,90.80
1752621189.215320,93094,13331,1,HR,1,100,89.14
1752621189.975326,93854,13448,1,HR,1,100,86.87
1752621190.695332,94574,13573,1,HR,1,100,86.09
1752621191.375338,95254,13692,1,HR,1,100,86.56
1752621191.975343,95854,13795,1,HR,1,100,89.55
1752621192.615349,96494,13898,1,HR,1,100,90.48
1752621193.188354,97067,14001,1,HR,1,100,94.19
1752621193.788359,97667,14104,1,HR,1,100,95.48
1752621194.388364,98267,14203,1,HR,1,100,96.48
1752621194.988369,98867,14305,1,HR,1,100,97.26
1752621195.668375,99547,14411,1,HR,1,100,95.26
1752621196.348380,100227,14533,1,HR,1,100,93.70
1752621197.068386,100947,14653,1,HR,1,100,91.39
1752621197.761392,101640,14771,1,HR,1,100,90.69
1752621198.401398,102280,14875,1,HR,1,100,91.37
1752621199.121404,103000,14995,1,HR,1,100,89.59
1752621199.841410,103720,15117,1,HR,1,100,88.20
1752621200.481415,104360,15236,1,HR,1,100,89.43
1752621201.201421,105080,15363,1,HR,1,100,88.08
1752621201.841427,105720,15468,1,HR,1,100,89.34
1752621202.534433,106413,15585,1,HR,1,100,89.09
1752621203.214439,107093,15706,1,HR,1,100,88.90
1752621203.734443,107613,15793,1,HR,1,100,94.79
1752621204.294448,108173,15879,1,HR,1,100,97.53
1752621204.974453,108853,15996,1,HR,1,100,95.47
1752621205.733460,109612,16118,1,HR,1,100,91.80
1752621206.413466,110292,16245,1,HR,1,100,91.00
1752621207.133472,111012,16363,1,HR,1,100,89.30
1752621207.867478,111746,16484,1,HR,1,100,87.97
1752621208.626484,112505,16622,1,HR,1,100,85.97
1752621209.426491,113305,16757,1,HR,1,100,83.53
1752621210.186498,114065,16877,1,HR,1,100,82.51
1752621210.866503,114745,16994,1,HR,1,100,83.78
1752621211.626510,115505,17119,1,HR,1,100,82.71
1752621212.280515,116159,17238,1,HR,1,100,85.16
1752621212.959521,116838,17362,1,HR,1,100,85.85
1752621213.679527,117558,17481,1,HR,1,100,85.29
1752621214.279532,118158,17584,1,HR,1,100,88.56
1752621214.919538,118798,17689,1,HR,1,100,89.71
1752621215.559543,119438,17794,1,HR,1,100,90.61
1752621216.159548,120038,17901,1,HR,1,100,92.70
1752621216.773553,120652,17989,1,HR,1,100,94.32
1752621217.412559,121291,18107,1,HR,1,100,94.19
1752621218.052564,121931,18214,1,HR,1,100,94.09
1752621218.772570,122651,18333,1,HR,1,100,91.70
1752621219.452576,123331,18453,1,HR,1,100,90.93
1752621220.172582,124051,18571,1,HR,1,100,89.24
1752621220.932589,124811,18692,1,HR,1,100,86.96
1752621221.705595,125584,18837,1,HR,1,100,85.18
1752621222.505602,126384,18974,1,HR,1,100,82.91
1752621223.265608,127144,19095,1,HR,1,100,82.03
1752621224.065615,127944,19231,1,HR,1,100,80.47
1752621224.665620,128544,19336,1,HR,1,100,84.81
1752621225.345626,129224,19456,1,HR,1,100,85.57
1752621225.985631,129864,19559,1,HR,1,100,87.39
1752621226.678637,130557,19683,1,HR,1,100,87.58
1752621227.318643,131197,19788,1,HR,1,100,88.95
1752621227.918648,131797,19891,1,HR,1,100,91.40
1752621228.518653,132397,19998,1,HR,1,100,93.31
1752621229.118658,132997,20100,1,HR,1,100,94.80
1752621229.718663,133597,20204,1,HR,1,100,95.96
1752621230.398669,134277,20324,1,HR,1,100,94.24
1752621231.131675,135010,20445,1,HR,1,100,91.82
1752621231.851681,135730,20570,1,HR,1,100,89.93
1752621232.571687,136450,20689,1,HR,1,100,88.46
1752621233.331694,137210,20811,1,HR,1,100,86.35
1752621234.091700,137970,20944,1,HR,1,100,84.70
1752621234.810706,138689,21065,1,HR,1,100,84.40
1752621235.584713,139463,21199,1,HR,1,100,83.19
1752621236.264718,140143,21304,1,HR,1,100,84.31
1752621236.824723,140703,21412,1,HR,1,100,89.38
1752621237.464729,141343,21515,1,HR,1,100,90.35
1752621238.103734,141982,21617,1,HR,1,100,91.11
