LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752621168.151142,72030.000,9789,1,PG,1,100,2864
1752621168.190642,72069.500,9805,2,PG,1,100,2866
1752621168.230142,72109.000,9805,2,PG,1,100,2858
1752621168.270143,72149.000,9823,3,PG,1,100,2855
1752621168.310143,72189.000,9823,3,PG,1,100,2854
1752621168.350143,72229.000,9823,3,PG,1,100,2854
1752621168.390144,72269.000,9841,2,PG,1,100,2855
1752621168.430144,72309.000,9841,2,PG,1,100,2849
1752621168.470478,72349.333,9858,3,PG,1,100,2877
1752621168.510811,72389.667,9858,3,PG,1,100,2869
1752621168.551145,72430.000,9858,3,PG,1,100,2879
1752621168.591145,72470.000,9874,2,PG,1,100,2877
1752621168.631146,72510.000,9874,2,PG,1,100,2873
1752621168.670813,72549.667,9890,3,PG,1,100,2860
1752621168.710480,72589.333,9890,3,PG,1,100,2861
1752621168.750147,72629.000,9890,3,PG,1,100,2864
1752621168.790147,72669.000,9906,2,PG,1,100,2861
1752621168.830147,72709.000,9906,2,PG,1,100,2869
1752621168.870148,72749.000,9923,3,PG,1,100,2858
1752621168.910148,72789.000,9923,3,PG,1,100,2864
1752621168.950148,72829.000,9923,3,PG,1,100,2858
1752621168.997149,72876.000,9940,2,PG,1,100,2882
1752621169.044149,72923.000,9940,2,PG,1,100,2865
1752621169.084149,72963.000,9957,3,PG,1,100,2855
1752621169.124150,73003.000,9957,3,PG,1,100,2869
1752621169.164150,73043.000,9957,3,PG,1,100,2873
1752621169.204150,73083.000,9973,2,PG,1,100,2870
1752621169.244151,73123.000,9973,2,PG,1,100,2871
1752621169.284151,73163.000,9991,3,PG,1,100,2862
1752621169.324151,73203.000,9991,3,PG,1,100,2879
1752621169.364152,73243.000,9991,3,PG,1,100,2878
1752621169.404152,73283.000,10007,2,PG,1,100,2869
1752621169.444152,73323.000,10007,2,PG,1,100,2856
1752621169.484153,73363.000,10022,3,PG,1,100,2875
1752621169.524153,73403.000,10022,3,PG,1,100,2865
1752621169.564154,73443.000,10022,3,PG,1,100,2865
1752621169.604154,73483.000,10038,2,PG,1,100,2862
1752621169.644154,73523.000,10038,2,PG,1,100,2870
1752621169.684155,73563.000,10056,3,PG,1,100,2857
1752621169.724155,73603.000,10056,3,PG,1,100,2857
1752621169.764155,73643.000,10056,3,PG,1,100,2873
1752621169.804156,73683.000,10074,2,PG,1,100,2862
1752621169.844156,73723.000,10074,2,PG,1,100,2858
1752621169.884156,73763.000,10092,3,PG,1,100,2880
1752621169.924157,73803.000,10092,3,PG,1,100,2866
1752621169.964157,73843.000,10092,3,PG,1,100,2874
1752621170.004157,73883.000,10108,2,PG,1,100,2881
1752621170.044158,73923.000,10108,2,PG,1,100,2874
1752621170.084158,73963.000,10130,3,PG,1,100,2870
1752621170.124158,74003.000,10130,3,PG,1,100,2860
1752621170.164159,74043.000,10130,3,PG,1,100,2857
1752621170.204159,74083.000,10146,3,PG,1,100,2868
1752621170.244159,74123.000,10146,3,PG,1,100,2865
1752621170.284160,74163.000,10146,3,PG,1,100,2875
1752621170.324160,74203.000,10164,2,PG,1,100,2863
1752621170.364160,74243.000,10164,2,PG,1,100,2856
1752621170.404161,74283.000,10180,3,PG,1,100,2861
1752621170.444161,74323.000,10180,3,PG,1,100,2849
1752621170.484161,74363.000,10180,3,PG,1,100,2858
1752621170.524162,74403.000,10199,2,PG,1,100,2871
1752621170.564162,74443.000,10199,2,PG,1,100,2872
1752621170.604162,74483.000,10216,3,PG,1,100,2875
1752621170.644163,74523.000,10216,3,PG,1,100,2877
1752621170.684163,74563.000,10216,3,PG,1,100,2876
1752621170.724163,74603.000,10233,2,PG,1,100,2854
1752621170.764164,74643.000,10233,2,PG,1,100,2871
1752621170.804164,74683.000,10247,3,PG,1,100,2865
1752621170.844164,74723.000,10247,3,PG,1,100,2861
1752621170.884165,74763.000,10247,3,PG,1,100,2871
1752621170.924165,74803.000,10266,2,PG,1,100,2865
1752621170.964165,74843.000,10266,2,PG,1,100,2863
1752621171.004166,74883.000,10283,3,PG,1,100,2872
1752621171.044166,74923.000,10283,3,PG,1,100,2861
1752621171.084166,74963.000,10283,3,PG,1,100,2869
1752621171.124167,75003.000,10300,2,PG,1,100,2865
1752621171.164167,75043.000,10300,2,PG,1,100,2863
1752621171.204167,75083.000,10314,3,PG,1,100,2877
1752621171.244168,75123.000,10314,3,PG,1,100,2871
1752621171.284168,75163.000,10314,3,PG,1,100,2855
1752621171.324168,75203.000,10332,2,PG,1,100,2856
1752621171.364169,75243.000,10332,2,PG,1,100,2852
1752621171.404169,75283.000,10348,3,PG,1,100,2863
1752621171.444169,75323.000,10348,3,PG,1,100,2868
1752621171.484170,75363.000,10348,3,PG,1,100,2858
1752621171.523837,75402.667,10365,3,PG,1,100,2873
1752621171.563504,75442.333,10365,3,PG,1,100,2863
1752621171.603171,75482.000,10365,3,PG,1,100,2854
1752621171.643671,75522.500,10380,2,PG,1,100,2875
1752621171.684171,75563.000,10380,2,PG,1,100,2872
1752621171.723838,75602.667,10399,3,PG,1,100,2862
1752621171.763505,75642.333,10399,3,PG,1,100,2871
1752621171.803172,75682.000,10399,3,PG,1,100,2865
1752621171.843673,75722.500,10415,2,PG,1,100,2862
1752621171.884173,75763.000,10415,2,PG,1,100,2851
1752621171.923840,75802.667,10432,3,PG,1,100,2868
1752621171.963507,75842.333,10432,3,PG,1,100,2853
1752621172.003174,75882.000,10432,3,PG,1,100,2866
1752621172.043675,75922.500,10448,2,PG,1,100,2855
1752621172.084175,75963.000,10448,2,PG,1,100,2862
1752621172.123842,76002.667,10466,3,PG,1,100,2868
1752621172.163509,76042.333,10466,3,PG,1,100,2856
1752621172.203176,76082.000,10466,3,PG,1,100,2854
1752621172.243176,76122.000,10484,2,PG,1,100,2846
1752621172.283177,76162.000,10484,2,PG,1,100,2879
1752621172.323177,76202.000,10504,3,PG,1,100,2879
1752621172.363177,76242.000,10504,3,PG,1,100,2878
1752621172.403178,76282.000,10504,3,PG,1,100,2875
1752621172.443178,76322.000,10519,2,PG,1,100,2873
1752621172.483178,76362.000,10519,2,PG,1,100,2864
1752621172.523179,76402.000,10535,3,PG,1,100,2865
1752621172.563179,76442.000,10535,3,PG,1,100,2872
1752621172.603179,76482.000,10535,3,PG,1,100,2853
1752621172.643180,76522.000,10554,2,PG,1,100,2865
1752621172.683180,76562.000,10554,2,PG,1,100,2878
1752621172.723180,76602.000,10571,3,PG,1,100,2878
1752621172.763181,76642.000,10571,3,PG,1,100,2864
1752621172.803181,76682.000,10571,3,PG,1,100,2859
1752621172.843181,76722.000,10587,2,PG,1,100,2860
1752621172.883182,76762.000,10587,2,PG,1,100,2860
1752621172.923182,76802.000,10605,3,PG,1,100,2872
1752621172.963182,76842.000,10605,3,PG,1,100,2859
1752621173.003183,76882.000,10605,3,PG,1,100,2870
1752621173.043183,76922.000,10623,3,PG,1,100,2859
1752621173.083183,76962.000,10623,3,PG,1,100,2854
1752621173.123184,77002.000,10623,3,PG,1,100,2846
1752621173.163184,77042.000,10640,2,PG,1,100,2855
1752621173.203184,77082.000,10640,2,PG,1,100,2858
1752621173.243185,77122.000,10656,3,PG,1,100,2867
1752621173.283185,77162.000,10656,3,PG,1,100,2875
1752621173.323185,77202.000,10656,3,PG,1,100,2865
1752621173.363186,77242.000,10672,2,PG,1,100,2853
1752621173.403186,77282.000,10672,2,PG,1,100,2843
1752621173.443186,77322.000,10690,3,PG,1,100,2848
1752621173.483187,77362.000,10690,3,PG,1,100,2862
1752621173.523187,77402.000,10690,3,PG,1,100,2850
1752621173.563187,77442.000,10707,2,PG,1,100,2866
1752621173.603188,77482.000,10707,2,PG,1,100,2862
1752621173.643188,77522.000,10724,2,PG,1,100,2855
1752621173.683188,77562.000,10724,2,PG,1,100,2849
1752621173.727855,77606.667,10739,3,PG,1,100,2846
1752621173.772522,77651.333,10739,3,PG,1,100,2848
1752621173.817190,77696.000,10739,3,PG,1,100,2841
1752621173.857190,77736.000,10755,3,PG,1,100,2858
1752621173.897190,77776.000,10755,3,PG,1,100,2852
1752621173.937191,77816.000,10755,3,PG,1,100,2842
1752621173.977191,77856.000,10773,2,PG,1,100,2845
1752621174.017191,77896.000,10773,2,PG,1,100,2843
1752621174.057192,77936.000,10791,3,PG,1,100,2851
1752621174.097192,77976.000,10791,3,PG,1,100,2866
1752621174.137192,78016.000,10791,3,PG,1,100,2864
1752621174.177193,78056.000,10807,2,PG,1,100,2868
1752621174.217193,78096.000,10807,2,PG,1,100,2858
1752621174.257193,78136.000,10822,3,PG,1,100,2847
1752621174.297194,78176.000,10822,3,PG,1,100,2839
1752621174.337194,78216.000,10822,3,PG,1,100,2831
1752621174.377194,78256.000,10840,2,PG,1,100,2861
1752621174.417195,78296.000,10840,2,PG,1,100,2858
1752621174.457195,78336.000,10856,3,PG,1,100,2852
1752621174.497195,78376.000,10856,3,PG,1,100,2863
1752621174.537196,78416.000,10856,3,PG,1,100,2855
1752621174.577196,78456.000,10874,2,PG,1,100,2846
1752621174.617196,78496.000,10874,2,PG,1,100,2847
1752621174.656863,78535.667,10890,3,PG,1,100,2863
1752621174.696530,78575.333,10890,3,PG,1,100,2864
1752621174.736197,78615.000,10890,3,PG,1,100,2849
1752621174.776698,78655.500,10907,2,PG,1,100,2866
1752621174.817198,78696.000,10907,2,PG,1,100,2861
1752621174.857198,78736.000,10925,3,PG,1,100,2851
1752621174.897199,78776.000,10925,3,PG,1,100,2844
1752621174.937199,78816.000,10925,3,PG,1,100,2845
1752621174.977199,78856.000,10943,2,PG,1,100,2843
1752621175.017200,78896.000,10943,2,PG,1,100,2857
1752621175.057200,78936.000,10959,3,PG,1,100,2851
1752621175.097200,78976.000,10959,3,PG,1,100,2857
1752621175.137201,79016.000,10959,3,PG,1,100,2867
1752621175.177001,79055.800,10982,5,PG,1,100,2843
1752621175.216801,79095.600,10982,5,PG,1,100,2851
1752621175.256602,79135.400,10982,5,PG,1,100,2846
1752621175.296402,79175.200,10982,5,PG,1,100,2856
1752621175.336202,79215.000,10982,5,PG,1,100,2868
1752621175.376703,79255.500,10999,2,PG,1,100,2865
1752621175.417203,79296.000,10999,2,PG,1,100,2857
1752621175.456870,79335.667,11013,3,PG,1,100,2859
1752621175.496537,79375.333,11013,3,PG,1,100,2843
1752621175.536204,79415.000,11013,3,PG,1,100,2834
1752621175.576538,79455.333,11030,3,PG,1,100,2859
1752621175.616871,79495.667,11030,3,PG,1,100,2858
1752621175.657205,79536.000,11030,3,PG,1,100,2834
1752621175.696705,79575.500,11051,2,PG,1,100,2863
1752621175.736206,79615.000,11051,2,PG,1,100,2848
1752621175.776206,79655.000,11068,3,PG,1,100,2852
1752621175.816206,79695.000,11068,3,PG,1,100,2844
1752621175.856207,79735.000,11068,3,PG,1,100,2854
1752621175.896207,79775.000,11082,2,PG,1,100,2862
1752621175.936207,79815.000,11082,2,PG,1,100,2858
1752621175.976208,79855.000,11100,3,PG,1,100,2845
1752621176.016208,79895.000,11100,3,PG,1,100,2854
1752621176.056208,79935.000,11100,3,PG,1,100,2849
1752621176.096209,79975.000,11116,2,PG,1,100,2832
1752621176.136209,80015.000,11116,2,PG,1,100,2842
1752621176.176210,80055.000,11133,3,PG,1,100,2830
1752621176.216210,80095.000,11133,3,PG,1,100,2832
1752621176.256210,80135.000,11133,3,PG,1,100,2863
1752621176.296711,80175.500,11152,2,PG,1,100,2862
1752621176.337211,80216.000,11152,2,PG,1,100,2869
1752621176.376878,80255.667,11169,3,PG,1,100,2864
1752621176.416545,80295.333,11169,3,PG,1,100,2854
1752621176.456212,80335.000,11169,3,PG,1,100,2844
1752621176.496212,80375.000,11187,2,PG,1,100,2849
1752621176.536213,80415.000,11187,2,PG,1,100,2862
1752621176.576213,80455.000,11204,3,PG,1,100,2852
1752621176.616213,80495.000,11204,3,PG,1,100,2857
1752621176.656214,80535.000,11204,3,PG,1,100,2868
1752621176.696214,80575.000,11219,2,PG,1,100,2869
1752621176.736214,80615.000,11219,2,PG,1,100,2856
1752621176.776215,80655.000,11236,3,PG,1,100,2843
1752621176.816215,80695.000,11236,3,PG,1,100,2861
1752621176.856215,80735.000,11236,3,PG,1,100,2849
1752621176.896216,80775.000,11252,3,PG,1,100,2838
1752621176.936216,80815.000,11252,3,PG,1,100,2857
1752621176.976216,80855.000,11252,3,PG,1,100,2852
1752621177.016217,80895.000,11270,2,PG,1,100,2842
1752621177.056217,80935.000,11270,2,PG,1,100,2851
1752621177.096217,80975.000,11287,3,PG,1,100,2852
1752621177.136218,81015.000,11287,3,PG,1,100,2867
1752621177.176218,81055.000,11287,3,PG,1,100,2869
1752621177.216218,81095.000,11303,2,PG,1,100,2869
1752621177.256219,81135.000,11303,2,PG,1,100,2871
1752621177.296219,81175.000,11320,3,PG,1,100,2861
1752621177.336219,81215.000,11320,3,PG,1,100,2854
1752621177.376220,81255.000,11320,3,PG,1,100,2852
1752621177.416220,81295.000,11337,2,PG,1,100,2870
1752621177.456220,81335.000,11337,2,PG,1,100,2862
1752621177.496221,81375.000,11353,3,PG,1,100,2850
1752621177.536221,81415.000,11353,3,PG,1,100,2863
1752621177.576221,81455.000,11353,3,PG,1,100,2860
1752621177.616222,81495.000,11371,2,PG,1,100,2847
1752621177.656222,81535.000,11371,2,PG,1,100,2853
1752621177.696222,81575.000,11387,3,PG,1,100,2845
1752621177.736223,81615.000,11387,3,PG,1,100,2851
1752621177.776223,81655.000,11387,3,PG,1,100,2860
1752621177.816223,81695.000,11406,2,PG,1,100,2848
1752621177.856224,81735.000,11406,2,PG,1,100,2860
1752621177.896224,81775.000,11422,3,PG,1,100,2863
1752621177.936224,81815.000,11422,3,PG,1,100,2849
1752621177.976225,81855.000,11422,3,PG,1,100,2851
1752621178.016225,81895.000,11440,2,PG,1,100,2861
1752621178.056225,81935.000,11440,2,PG,1,100,2860
1752621178.096226,81975.000,11456,3,PG,1,100,2857
1752621178.136226,82015.000,11456,3,PG,1,100,2870
1752621178.176226,82055.000,11456,3,PG,1,100,2868
1752621178.216227,82095.000,11473,2,PG,1,100,2847
1752621178.256227,82135.000,11473,2,PG,1,100,2847
1752621178.296227,82175.000,11490,3,PG,1,100,2859
1752621178.336228,82215.000,11490,3,PG,1,100,2851
1752621178.376228,82255.000,11490,3,PG,1,100,2855
1752621178.416228,82295.000,11507,2,PG,1,100,2859
1752621178.456229,82335.000,11507,2,PG,1,100,2876
1752621178.500563,82379.333,11525,3,PG,1,100,2857
1752621178.544896,82423.667,11525,3,PG,1,100,2851
1752621178.589230,82468.000,11525,3,PG,1,100,2863
1752621178.629730,82508.500,11543,2,PG,1,100,2860
1752621178.670231,82549.000,11543,2,PG,1,100,2869
1752621178.709898,82588.667,11561,3,PG,1,100,2857
1752621178.749565,82628.333,11561,3,PG,1,100,2876
1752621178.789232,82668.000,11561,3,PG,1,100,2870
1752621178.829232,82708.000,11576,2,PG,1,100,2861
1752621178.869232,82748.000,11576,2,PG,1,100,2868
1752621178.909233,82788.000,11592,3,PG,1,100,2864
1752621178.949233,82828.000,11592,3,PG,1,100,2867
1752621178.989233,82868.000,11592,3,PG,1,100,2866
1752621179.029234,82908.000,11610,2,PG,1,100,2848
1752621179.069234,82948.000,11610,2,PG,1,100,2860
1752621179.109234,82988.000,11626,3,PG,1,100,2857
