LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752621170.143158,74022.000,10124,2,RD,1,100,TL
1752621170.143158,74022.000,10124,2,RD,1,100,TU
1752621172.696680,76575.500,10976,2,RD,1,100,TL
1752621175.250202,79129.000,10976,2,RD,1,100,TU
1752621177.808223,81687.000,11831,2,RD,1,100,TL
1752621180.366245,84245.000,11831,2,RD,1,100,TU
1752621182.918767,86797.500,12689,2,RD,1,100,TL
1752621185.471288,89350.000,12689,2,RD,1,100,TU
1752621188.024810,91903.500,13552,2,RD,1,100,TL
1752621190.578331,94457.000,13552,2,RD,1,100,TU
1752621193.132853,97011.500,14407,2,RD,1,100,TL
1752621195.687375,99566.000,14407,2,RD,1,100,TU
1752621198.251396,102130.000,15289,2,RD,1,100,TL
1752621200.815418,104694.000,15289,2,RD,1,100,TU
1752621203.368940,107247.500,16155,2,RD,1,100,TL
1752621205.922461,109801.000,16155,2,RD,1,100,TU
1752621208.495983,112374.500,17031,2,RD,1,100,TL
1752621211.069505,114948.000,17031,2,RD,1,100,TU
1752621213.623027,117501.500,17898,2,RD,1,100,TL
1752621216.176548,120055.000,17898,2,RD,1,100,TU
1752621218.739070,122617.500,18763,2,RD,1,100,TL
1752621221.301592,125180.000,18763,2,RD,1,100,TU
1752621223.854613,127733.000,19627,2,RD,1,100,TL
1752621226.407635,130286.000,19627,2,RD,1,100,TU
1752621228.978157,132856.500,20515,2,RD,1,100,TL
1752621231.548678,135427.000,20515,2,RD,1,100,TU
1752621234.103200,137981.500,21374,2,RD,1,100,TL
1752621236.657722,140536.000,21374,2,RD,1,100,TU
1752621239.229244,143107.500,22262,2,RD,1,100,TL
1752621241.800765,145679.000,22262,2,RD,1,100,TU
1752621244.354287,148232.500,23127,2,RD,1,100,TL
1752621246.907809,150786.000,23127,2,RD,1,100,TU
1752621249.465830,153344.000,23989,2,RD,1,100,TL
1752621252.023852,155902.000,23989,2,RD,1,100,TU
1752621254.573873,158452.000,24849,2,RD,1,100,TL
1752621257.123895,161002.000,24849,2,RD,1,100,TU
1752621259.677917,163556.000,25515,2,RD,1,100,TL
1752621262.231938,166110.000,25515,2,RD,1,100,TU
1752621264.795460,168673.500,26382,2,RD,1,100,TL
1752621267.358982,171237.000,26382,2,RD,1,100,TU
1752621269.907503,173785.500,27241,2,RD,1,100,TL
1752621272.456025,176334.000,27241,2,RD,1,100,TU
1752621275.010047,178888.000,28105,2,RD,1,100,TL
1752621277.564068,181442.000,28105,2,RD,1,100,TU
1752621280.125590,184003.500,28981,2,RD,1,100,TL
1752621282.687112,186565.000,28981,2,RD,1,100,TU
1752621285.237633,189115.500,29849,2,RD,1,100,TL
1752621287.788155,191666.000,29849,2,RD,1,100,TU
1752621290.342176,194220.000,30707,2,RD,1,100,TL
1752621292.896198,196774.000,30707,2,RD,1,100,TU
1752621295.466220,199344.000,31595,2,RD,1,100,TL
1752621298.036242,201914.000,31595,2,RD,1,100,TU
1752621300.590263,204468.000,32455,2,RD,1,100,TL
1752621303.144285,207022.000,32455,2,RD,1,100,TU
1752621305.712807,209590.500,33333,2,RD,1,100,TL
1752621308.281328,212159.000,33333,2,RD,1,100,TU
1752621310.840850,214718.500,34198,2,RD,1,100,TL
1752621313.400372,217278.000,34198,2,RD,1,100,TU
1752621315.967393,219845.000,35067,2,RD,1,100,TL
1752621318.534415,222412.000,35067,2,RD,1,100,TU
1752621321.095937,224973.500,35934,2,RD,1,100,TL
1752621323.657459,227535.000,35934,2,RD,1,100,TU
1752621326.217480,230095.000,36798,2,RD,1,100,TL
1752621328.777502,232655.000,36798,2,RD,1,100,TU
1752621331.338524,235216.000,37663,2,RD,1,100,TL
1752621333.899545,237777.000,37663,2,RD,1,100,TU
1752621336.455567,240333.000,38528,2,RD,1,100,TL
1752621339.011589,242889.000,38528,2,RD,1,100,TU
1752621341.573610,245451.000,39390,2,RD,1,100,TL
1752621344.135632,248013.000,39390,2,RD,1,100,TU
1752621346.698154,250575.500,40251,2,RD,1,100,TL
1752621349.260675,253138.000,40251,2,RD,1,100,TU
1752621351.828697,255706.000,41109,2,RD,1,100,TL
1752621354.396719,258274.000,41109,2,RD,1,100,TU
1752621356.955241,260832.500,41958,2,RD,1,100,TL
1752621359.513762,263391.000,41958,2,RD,1,100,TU
1752621362.070284,265947.500,42807,2,RD,1,100,TL
1752621364.626806,268504.000,42807,2,RD,1,100,TU
1752621367.188327,271065.500,43645,2,RD,1,100,TL
1752621369.749849,273627.000,43645,2,RD,1,100,TU
1752621372.309871,276187.000,44486,2,RD,1,100,TL
1752621374.869892,278747.000,44486,2,RD,1,100,TU
1752621377.431414,281308.500,45325,2,RD,1,100,TL
1752621379.992936,283870.000,45325,2,RD,1,100,TU
1752621382.558457,286435.500,46167,2,RD,1,100,TL
1752621385.123979,289001.000,46167,2,RD,1,100,TU
1752621387.683501,291560.500,47004,2,RD,1,100,TL
1752621390.243023,294120.000,47004,2,RD,1,100,TU
1752621392.802544,296679.500,47846,2,RD,1,100,TL
1752621395.362066,299239.000,47846,2,RD,1,100,TU
1752621397.920588,301797.500,48686,2,RD,1,100,TL
1752621400.479109,304356.000,48686,2,RD,1,100,TU
1752621403.044131,306921.000,49523,2,RD,1,100,TL
1752621405.609153,309486.000,49523,2,RD,1,100,TU
1752621408.166174,312043.000,50365,2,RD,1,100,TL
1752621410.723196,314600.000,50365,2,RD,1,100,TU
1752621413.279718,317156.500,51204,2,RD,1,100,TL
1752621415.836239,319713.000,51204,2,RD,1,100,TU
1752621418.393261,322270.000,52043,2,RD,1,100,TL
1752621420.950283,324827.000,52043,2,RD,1,100,TU
1752621423.508304,327385.000,52882,2,RD,1,100,TL
1752621426.066326,329943.000,52882,2,RD,1,100,TU
1752621428.624848,332501.500,53719,2,RD,1,100,TL
1752621431.183369,335060.000,53719,2,RD,1,100,TU
1752621433.746391,337623.000,54560,2,RD,1,100,TL
1752621436.309413,340186.000,54560,2,RD,1,100,TU
1752621438.869434,342746.000,55400,2,RD,1,100,TL
1752621441.429456,345306.000,55400,2,RD,1,100,TU
1752621443.987478,347864.000,56239,2,RD,1,100,TL
1752621446.545499,350422.000,56239,2,RD,1,100,TU
1752621449.107021,352983.500,57079,2,RD,1,100,TL
1752621451.668543,355545.000,57079,2,RD,1,100,TU
1752621454.231564,358108.000,57919,2,RD,1,100,TL
1752621456.794586,360671.000,57919,2,RD,1,100,TU
1752621459.355608,363232.000,58760,2,RD,1,100,TL
1752621461.916630,365793.000,58760,2,RD,1,100,TU
1752621464.477651,368354.000,59600,2,RD,1,100,TL
1752621467.038673,370915.000,59600,2,RD,1,100,TU
1752621469.598195,373474.500,60440,2,RD,1,100,TL
1752621472.157716,376034.000,60440,2,RD,1,100,TU
1752621474.883739,378760.000,61263,2,RD,1,100,TL
1752621477.609762,381486.000,61263,2,RD,1,100,TU
1752621480.166784,384043.000,61948,2,RD,1,100,TL
1752621482.723806,386600.000,61948,2,RD,1,100,TU
1752621485.282827,389159.000,62787,2,RD,1,100,TL
1752621487.841849,391718.000,62787,2,RD,1,100,TU
1752621490.403371,394279.500,63628,2,RD,1,100,TL
1752621492.964893,396841.000,63628,2,RD,1,100,TU
1752621495.523414,399399.500,64470,2,RD,1,100,TL
1752621498.081936,401958.000,64470,2,RD,1,100,TU
1752621500.636457,404512.500,65309,2,RD,1,100,TL
1752621503.190979,407067.000,65309,2,RD,1,100,TU
1752621505.751001,409627.000,614,2,RD,1,100,TL
1752621508.311022,412187.000,614,2,RD,1,100,TU
1752621510.864544,414740.500,1453,2,RD,1,100,TL
1752621513.418066,417294.000,1453,2,RD,1,100,TU
1752621515.986087,419862.000,2307,2,RD,1,100,TL
1752621518.554109,422430.000,2307,2,RD,1,100,TU
1752621521.108131,424984.000,3147,2,RD,1,100,TL
1752621523.662152,427538.000,3147,2,RD,1,100,TU
1752621526.232674,430108.500,4001,2,RD,1,100,TL
1752621528.803196,432679.000,4001,2,RD,1,100,TU
1752621531.358718,435234.500,4842,2,RD,1,100,TL
1752621533.914239,437790.000,4842,2,RD,1,100,TU
1752621536.467261,440343.000,5680,2,RD,1,100,TL
1752621539.020283,442896.000,5680,2,RD,1,100,TU
1752621541.575304,445451.000,6520,2,RD,1,100,TL
1752621544.130326,448006.000,6520,2,RD,1,100,TU
1752621546.691348,450567.000,7375,2,RD,1,100,TL
1752621549.252369,453128.000,7375,2,RD,1,100,TU
1752621551.806391,455682.000,8212,2,RD,1,100,TL
1752621554.360412,458236.000,8212,2,RD,1,100,TU
1752621556.914434,460790.000,9056,2,RD,1,100,TL
1752621559.468456,463344.000,9056,2,RD,1,100,TU
1752621562.024977,465900.500,9896,2,RD,1,100,TL
1752621564.581499,468457.000,9896,2,RD,1,100,TU
1752621567.149521,471025.000,10754,2,RD,1,100,TL
1752621569.717543,473593.000,10754,2,RD,1,100,TU
1752621572.272064,476147.500,11591,2,RD,1,100,TL
1752621574.826586,478702.000,11591,2,RD,1,100,TU
1752621577.396608,481272.000,12446,2,RD,1,100,TL
1752621579.966629,483842.000,12446,2,RD,1,100,TU
1752621582.520651,486396.000,13285,2,RD,1,100,TL
1752621585.074673,488950.000,13285,2,RD,1,100,TU
1752621587.628194,491503.500,14122,2,RD,1,100,TL
1752621590.181716,494057.000,14122,2,RD,1,100,TU
1752621592.751738,496627.000,14977,2,RD,1,100,TL
1752621595.321759,499197.000,14977,2,RD,1,100,TU
1752621597.873781,501749.000,15815,2,RD,1,100,TL
1752621600.425803,504301.000,15815,2,RD,1,100,TU
1752621602.997824,506873.000,16670,2,RD,1,100,TL
1752621605.569846,509445.000,16670,2,RD,1,100,TU
1752621608.122868,511998.000,17508,2,RD,1,100,TL
1752621610.675889,514551.000,17508,2,RD,1,100,TU
1752621613.242411,517117.500,18364,2,RD,1,100,TL
1752621615.808933,519684.000,18364,2,RD,1,100,TU
1752621618.366455,522241.500,19201,2,RD,1,100,TL
1752621620.923976,524799.000,19201,2,RD,1,100,TU
1752621623.477998,527353.000,20038,2,RD,1,100,TL
1752621626.032019,529907.000,20038,2,RD,1,100,TU
1752621628.597041,532472.000,20894,2,RD,1,100,TL
1752621631.162063,535037.000,20894,2,RD,1,100,TU
1752621633.715585,537590.500,21732,2,RD,1,100,TL
1752621636.269106,540144.000,21732,2,RD,1,100,TU
1752621638.823128,542698.000,22569,2,RD,1,100,TL
1752621641.377149,545252.000,22569,2,RD,1,100,TU
1752621643.943671,547818.500,23425,2,RD,1,100,TL
1752621646.510193,550385.000,23425,2,RD,1,100,TU
1752621649.063715,552938.500,24262,2,RD,1,100,TL
1752621651.617236,555492.000,24262,2,RD,1,100,TU
1752621654.189758,558064.500,25118,2,RD,1,100,TL
1752621656.762280,560637.000,25118,2,RD,1,100,TU
1752621659.316301,563191.000,25956,2,RD,1,100,TL
1752621661.870323,565745.000,25956,2,RD,1,100,TU
1752621664.443845,568318.500,26810,2,RD,1,100,TL
1752621667.017367,570892.000,26810,2,RD,1,100,TU
1752621669.570388,573445.000,27649,2,RD,1,100,TL
1752621672.123410,575998.000,27649,2,RD,1,100,TU
1752621674.693932,578568.500,28502,2,RD,1,100,TL
1752621677.264453,581139.000,28502,2,RD,1,100,TU
1752621679.817975,583692.500,29340,2,RD,1,100,TL
1752621682.371497,586246.000,29340,2,RD,1,100,TU
1752621684.933518,588808.000,29991,2,RD,1,100,TL
1752621687.495540,591370.000,29991,2,RD,1,100,TU
1752621690.050062,593924.500,30831,2,RD,1,100,TL
1752621692.604583,596479.000,30831,2,RD,1,100,TU
1752621695.161105,599035.500,31668,2,RD,1,100,TL
1752621697.717627,601592.000,31668,2,RD,1,100,TU
1752621700.284648,604159.000,32522,2,RD,1,100,TL
1752621702.851670,606726.000,32522,2,RD,1,100,TU
1752621705.405192,609279.500,33361,2,RD,1,100,TL
1752621707.958713,611833.000,33361,2,RD,1,100,TU
1752621710.521735,614396.000,34203,2,RD,1,100,TL
1752621713.084757,616959.000,34203,2,RD,1,100,TU
1752621715.647778,619522.000,35040,2,RD,1,100,TL
1752621718.210800,622085.000,35040,2,RD,1,100,TU
1752621720.780822,624655.000,35886,2,RD,1,100,TL
1752621723.350844,627225.000,35886,2,RD,1,100,TU
1752621725.909865,629784.000,36725,2,RD,1,100,TL
1752621728.468887,632343.000,36725,2,RD,1,100,TU
1752621731.028409,634902.500,37564,2,RD,1,100,TL
1752621733.587930,637462.000,37564,2,RD,1,100,TU
1752621736.145952,640020.000,38403,2,RD,1,100,TL
1752621738.703974,642578.000,38403,2,RD,1,100,TU
1752621741.262495,645136.500,39240,2,RD,1,100,TL
1752621743.821017,647695.000,39240,2,RD,1,100,TU
1752621746.386539,650260.500,40079,2,RD,1,100,TL
1752621748.952061,652826.000,40079,2,RD,1,100,TU
1752621751.514582,655388.500,40919,2,RD,1,100,TL
1752621754.077104,657951.000,40919,2,RD,1,100,TU
1752621756.638626,660512.500,41757,2,RD,1,100,TL
1752621759.200147,663074.000,41757,2,RD,1,100,TU
1752621761.757669,665631.500,42596,2,RD,1,100,TL
