LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752621167.883139,71762,9786,1,SR,1,100,0.200000
1752621168.216142,72095,9819,1,SR,1,100,0.066667
1752621168.549145,72428,10071,1,SR,1,100,1.200000
1752621170.149158,74028,10177,1,SR,1,100,0.266667
1752621171.749172,75628,10463,1,SR,1,100,0.333333
1752621172.216176,76095,10500,1,SR,1,100,0.066667
1752621172.416178,76295,10550,1,SR,1,100,0.200000
1752621173.482187,77361,10922,1,SR,1,100,1.400000
1752621175.015200,78894,10956,1,SR,1,100,0.066667
1752621175.482204,79361,11048,1,SR,1,100,0.200000
1752621175.948208,79827,11148,1,SR,1,100,0.266667
1752621176.348211,80227,11184,1,SR,1,100,0.066667
1752621177.482221,81361,11367,1,SR,1,100,0.133333
1752621178.281227,82160,11504,1,SR,1,100,0.133333
1752621178.548230,82427,11558,1,SR,1,100,0.133333
1752621179.081234,82960,11692,1,SR,1,100,0.400000
1752621179.749240,83628,11759,1,SR,1,100,0.133333
1752621180.281244,84160,11867,1,SR,1,100,0.266667
1752621180.681248,84560,11905,1,SR,1,100,0.066667
1752621180.881249,84760,11938,1,SR,1,100,0.066667
1752621181.081251,84960,11991,1,SR,1,100,0.133333
1752621181.614256,85493,12076,1,SR,1,100,0.133333
1752621182.014259,85893,12178,1,SR,1,100,0.333333
1752621182.614264,86493,12264,1,SR,1,100,0.266667
1752621183.682273,87561,12484,1,SR,1,100,0.533333
1752621184.748282,88627,12585,1,SR,1,100,0.066667
1752621185.347287,89226,12693,1,SR,1,100,0.066667
1752621185.681290,89560,12746,1,SR,1,100,0.066667
1752621186.148294,90027,12865,1,SR,1,100,0.266667
1752621186.681298,90560,12916,1,SR,1,100,0.066667
1752621186.881300,90760,12953,1,SR,1,100,0.066667
1752621187.214303,91093,13003,1,SR,1,100,0.066667
1752621187.414305,91293,13072,1,SR,1,100,0.200000
1752621187.747308,91626,13142,1,SR,1,100,0.333333
1752621188.481314,92360,13228,1,SR,1,100,0.133333
1752621188.747316,92626,13278,1,SR,1,100,0.133333
1752621189.014318,92893,13314,1,SR,1,100,0.066667
1752621189.747324,93626,13465,1,SR,1,100,0.200000
1752621190.080327,93959,13501,1,SR,1,100,0.066667
1752621190.547331,94426,13575,1,SR,1,100,0.066667
1752621190.748333,94627,13625,1,SR,1,100,0.200000
1752621191.214337,95093,13728,1,SR,1,100,0.333333
