LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752621170.140158,74019.000,10122,1,TL,1,100,2025-07-15_19-12-45-091265
1752621170.151158,74030.000,10125,1,TL,1,100,2025-07-15_19-12-50-146249
1752621175.248202,79127.000,10974,1,TL,1,100,2025-07-15_19-12-50-200131
1752621180.359245,84238.000,11827,1,TL,1,100,2025-07-15_19-12-55-263685
1752621180.365245,84244.000,11829,1,TL,1,100,2025-07-15_19-12-55-390764
1752621180.383245,84262.000,11832,1,TL,1,100,2025-07-15_19-13-00-370364
1752621185.469288,89348.000,12687,1,TL,1,100,2025-07-15_19-13-00-443227
1752621185.524289,89403.000,12690,1,TL,1,100,2025-07-15_19-13-05-480163
1752621190.577331,94456.000,13550,1,TL,1,100,2025-07-15_19-13-05-547435
1752621190.590332,94469.000,13553,1,TL,1,100,2025-07-15_19-13-10-583099
1752621195.685375,99564.000,14405,1,TL,1,100,2025-07-15_19-13-10-628141
1752621195.701375,99580.000,14408,1,TL,1,100,2025-07-15_19-13-15-692449
1752621200.810418,104689.000,15287,1,TL,1,100,2025-07-15_19-13-15-729800
1752621200.842418,104721.000,15290,1,TL,1,100,2025-07-15_19-13-20-819251
1752621205.921461,109800.000,16153,1,TL,1,100,2025-07-15_19-13-20-913885
1752621205.936462,109815.000,16156,1,TL,1,100,2025-07-15_19-13-25-931710
1752621211.067505,114946.000,17029,1,TL,1,100,2025-07-15_19-13-25-969814
1752621211.112505,114991.000,17032,1,TL,1,100,2025-07-15_19-13-31-073216
1752621216.174548,120053.000,17896,1,TL,1,100,2025-07-15_19-13-31-140929
1752621221.296592,125175.000,18759,1,TL,1,100,2025-07-15_19-13-36-181627
1752621221.299592,125178.000,18761,1,TL,1,100,2025-07-15_19-13-36-317127
1752621221.311592,125190.000,18764,1,TL,1,100,2025-07-15_19-13-41-305064
1752621226.405635,130284.000,19625,1,TL,1,100,2025-07-15_19-13-41-387815
1752621226.425635,130304.000,19628,1,TL,1,100,2025-07-15_19-13-46-418925
1752621231.546678,135425.000,20513,1,TL,1,100,2025-07-15_19-13-46-458021
1752621231.572679,135451.000,20516,1,TL,1,100,2025-07-15_19-13-51-553183
1752621236.654722,140533.000,21372,1,TL,1,100,2025-07-15_19-13-51-638639
1752621236.666722,140545.000,21375,1,TL,1,100,2025-07-15_19-13-56-660650
1752621241.798765,145677.000,22260,1,TL,1,100,2025-07-15_19-13-56-712928
1752621241.814765,145693.000,22263,1,TL,1,100,2025-07-15_19-14-01-810463
1752621246.905809,150784.000,23125,1,TL,1,100,2025-07-15_19-14-01-886712
1752621246.919809,150798.000,23128,1,TL,1,100,2025-07-15_19-14-06-914223
1752621252.017852,155896.000,23987,1,TL,1,100,2025-07-15_19-14-06-975053
1752621252.036852,155915.000,23990,1,TL,1,100,2025-07-15_19-14-12-027956
1752621257.121895,161000.000,24847,1,TL,1,100,2025-07-15_19-14-12-062049
1752621257.157895,161036.000,24850,1,TL,1,100,2025-07-15_19-14-17-138523
1752621262.229938,166108.000,25513,1,TL,1,100,2025-07-15_19-14-17-185428
1752621267.350982,171229.000,26378,1,TL,1,100,2025-07-15_19-14-22-237042
1752621267.356982,171235.000,26380,1,TL,1,100,2025-07-15_19-14-22-366201
1752621267.368982,171247.000,26383,1,TL,1,100,2025-07-15_19-14-27-362395
1752621272.454025,176332.000,27239,1,TL,1,100,2025-07-15_19-14-27-437029
1752621272.463025,176341.000,27242,1,TL,1,100,2025-07-15_19-14-32-459525
1752621277.562068,181440.000,28103,1,TL,1,100,2025-07-15_19-14-32-518721
1752621277.573068,181451.000,28106,1,TL,1,100,2025-07-15_19-14-37-568888
1752621282.682112,186560.000,28979,1,TL,1,100,2025-07-15_19-14-37-600379
1752621282.695112,186573.000,28982,1,TL,1,100,2025-07-15_19-14-42-690604
1752621287.786155,191664.000,29847,1,TL,1,100,2025-07-15_19-14-42-768814
1752621287.797155,191675.000,29850,1,TL,1,100,2025-07-15_19-14-47-792078
1752621292.894198,196772.000,30705,1,TL,1,100,2025-07-15_19-14-47-842787
1752621292.916198,196794.000,30708,1,TL,1,100,2025-07-15_19-14-52-913381
1752621298.034242,201912.000,31593,1,TL,1,100,2025-07-15_19-14-52-975723
1752621298.059242,201937.000,31596,1,TL,1,100,2025-07-15_19-14-58-039472
1752621303.142285,207020.000,32453,1,TL,1,100,2025-07-15_19-14-58-118633
1752621303.155285,207033.000,32456,1,TL,1,100,2025-07-15_19-15-03-149587
1752621308.275328,212153.000,33331,1,TL,1,100,2025-07-15_19-15-03-189329
1752621313.398372,217276.000,34196,1,TL,1,100,2025-07-15_19-15-08-428431
1752621313.422372,217300.000,34199,1,TL,1,100,2025-07-15_19-15-13-417836
1752621318.532415,222410.000,35065,1,TL,1,100,2025-07-15_19-15-13-534357
1752621318.550415,222428.000,35068,1,TL,1,100,2025-07-15_19-15-18-541123
1752621323.652459,227530.000,35932,1,TL,1,100,2025-07-15_19-15-18-673732
1752621323.663459,227541.000,35935,1,TL,1,100,2025-07-15_19-15-23-660201
1752621328.771502,232649.000,36796,1,TL,1,100,2025-07-15_19-15-23-786996
1752621328.786502,232664.000,36799,1,TL,1,100,2025-07-15_19-15-28-781630
1752621333.897545,237775.000,37661,1,TL,1,100,2025-07-15_19-15-28-908278
1752621333.918545,237796.000,37664,1,TL,1,100,2025-07-15_19-15-33-903103
1752621339.009589,242887.000,38526,1,TL,1,100,2025-07-15_19-15-34-037412
1752621339.057589,242935.000,38529,1,TL,1,100,2025-07-15_19-15-39-019525
1752621344.130632,248008.000,39388,1,TL,1,100,2025-07-15_19-15-39-143606
1752621344.148632,248026.000,39391,1,TL,1,100,2025-07-15_19-15-44-141947
1752621349.257675,253135.000,40249,1,TL,1,100,2025-07-15_19-15-44-268101
1752621354.392719,258270.000,41105,1,TL,1,100,2025-07-15_19-15-49-264741
1752621354.395719,258273.000,41107,1,TL,1,100,2025-07-15_19-15-49-404212
1752621354.415719,258293.000,41110,1,TL,1,100,2025-07-15_19-15-54-406833
1752621359.511762,263389.000,41956,1,TL,1,100,2025-07-15_19-15-54-531413
1752621359.521762,263399.000,41959,1,TL,1,100,2025-07-15_19-15-59-516962
1752621364.621806,268499.000,42805,1,TL,1,100,2025-07-15_19-15-59-639512
1752621369.742849,273620.000,43641,1,TL,1,100,2025-07-15_19-16-04-741113
1752621369.747849,273625.000,43643,1,TL,1,100,2025-07-15_19-16-04-757026
1752621369.760849,273638.000,43646,1,TL,1,100,2025-07-15_19-16-09-754834
1752621374.867892,278745.000,44484,1,TL,1,100,2025-07-15_19-16-09-886078
1752621379.987936,283865.000,45321,1,TL,1,100,2025-07-15_19-16-14-986618
1752621379.991936,283869.000,45323,1,TL,1,100,2025-07-15_19-16-15-002524
1752621380.001936,283879.000,45326,1,TL,1,100,2025-07-15_19-16-19-996507
1752621385.121979,288999.000,46165,1,TL,1,100,2025-07-15_19-16-20-122608
1752621385.135979,289013.000,46168,1,TL,1,100,2025-07-15_19-16-25-132068
1752621390.240022,294117.000,47002,1,TL,1,100,2025-07-15_19-16-25-254543
1752621390.258023,294135.000,47005,1,TL,1,100,2025-07-15_19-16-30-246736
1752621395.360066,299237.000,47844,1,TL,1,100,2025-07-15_19-16-30-382862
1752621395.376066,299253.000,47847,1,TL,1,100,2025-07-15_19-16-35-365475
1752621400.477109,304354.000,48684,1,TL,1,100,2025-07-15_19-16-35-500418
1752621400.504109,304381.000,48687,1,TL,1,100,2025-07-15_19-16-40-496946
1752621405.604153,309481.000,49521,1,TL,1,100,2025-07-15_19-16-40-612315
1752621405.651153,309528.000,49524,1,TL,1,100,2025-07-15_19-16-45-618929
1752621410.721196,314598.000,50363,1,TL,1,100,2025-07-15_19-16-45-758365
1752621415.829239,319706.000,51200,1,TL,1,100,2025-07-15_19-16-50-726010
1752621415.831239,319708.000,51202,1,TL,1,100,2025-07-15_19-16-50-852860
1752621415.843239,319720.000,51205,1,TL,1,100,2025-07-15_19-16-55-839074
1752621420.948283,324825.000,52041,1,TL,1,100,2025-07-15_19-16-55-964651
1752621420.962283,324839.000,52044,1,TL,1,100,2025-07-15_19-17-00-954562
1752621426.064326,329941.000,52880,1,TL,1,100,2025-07-15_19-17-01-087321
1752621426.080326,329957.000,52883,1,TL,1,100,2025-07-15_19-17-06-072562
1752621431.181369,335058.000,53717,1,TL,1,100,2025-07-15_19-17-06-197370
1752621431.197369,335074.000,53720,1,TL,1,100,2025-07-15_19-17-11-193530
1752621436.307413,340184.000,54558,1,TL,1,100,2025-07-15_19-17-11-314653
1752621436.336413,340213.000,54561,1,TL,1,100,2025-07-15_19-17-16-330019
1752621441.427456,345304.000,55398,1,TL,1,100,2025-07-15_19-17-16-442215
