LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752789132.519995,99639.000,14220,2,AK,1,100,13463
1752789132.519995,99639.000,14220,2,AK,1,100,RD
1752789132.525995,99645.000,14223,2,AK,1,100,14221
1752789132.531995,99651.000,14223,2,AK,1,100,RD
1752789135.096003,102215.000,15085,2,AK,1,100,14221
1752789137.660011,104779.000,15085,2,AK,1,100,RD
1752789137.666511,104785.500,15088,2,AK,1,100,15086
1752789137.673011,104792.000,15088,2,AK,1,100,RD
1752789140.219519,107338.500,15943,2,AK,1,100,15086
1752789142.766027,109885.000,15943,2,AK,1,100,RD
1752789142.772527,109891.500,15946,2,AK,1,100,15944
1752789142.779027,109898.000,15946,2,AK,1,100,RD
1752789145.340035,112459.000,16815,2,AK,1,100,15944
1752789147.901043,115020.000,16815,2,AK,1,100,RD
1752789147.926543,115045.500,16818,2,AK,1,100,16816
1752789147.952043,115071.000,16818,2,AK,1,100,RD
1752789150.480551,117599.500,17670,2,AK,1,100,16816
1752789153.009059,120128.000,17670,2,AK,1,100,RD
1752789155.569567,122688.500,18525,2,AK,1,100,17671
1752789158.130075,125249.000,18525,2,AK,1,100,RD
1752789158.132575,125251.500,18527,2,AK,1,100,17671
1752789158.135075,125254.000,18527,2,AK,1,100,RD
1752789158.140075,125259.000,18530,2,AK,1,100,18528
1752789158.145075,125264.000,18530,2,AK,1,100,RD
1752789160.691583,127810.500,19392,2,AK,1,100,18528
1752789163.238091,130357.000,19392,2,AK,1,100,RD
1752789163.244091,130363.000,19395,2,AK,1,100,19393
1752789163.250091,130369.000,19395,2,AK,1,100,RD
1752789165.812599,132931.500,20263,2,AK,1,100,19393
1752789168.375107,135494.000,20263,2,AK,1,100,RD
1752789168.389107,135508.000,20266,2,AK,1,100,20264
1752789168.403107,135522.000,20266,2,AK,1,100,RD
1752789170.942615,138061.500,21126,2,AK,1,100,20264
1752789173.482123,140601.000,21126,2,AK,1,100,RD
1752789173.489123,140608.000,21129,2,AK,1,100,21127
1752789173.496123,140615.000,21129,2,AK,1,100,RD
1752789176.059131,143178.000,22010,2,AK,1,100,21127
1752789178.622139,145741.000,22010,2,AK,1,100,RD
1752789178.629639,145748.500,22013,2,AK,1,100,22011
1752789178.637139,145756.000,22013,2,AK,1,100,RD
1752789181.183147,148302.000,22870,2,AK,1,100,22011
1752789183.729155,150848.000,22870,2,AK,1,100,RD
1752789183.739155,150858.000,22873,2,AK,1,100,22871
1752789183.749155,150868.000,22873,2,AK,1,100,RD
1752789186.295163,153414.000,23733,2,AK,1,100,22871
1752789188.841171,155960.000,23733,2,AK,1,100,RD
1752789188.847671,155966.500,23736,2,AK,1,100,23734
1752789188.854171,155973.000,23736,2,AK,1,100,RD
1752789191.407679,158526.500,24617,2,AK,1,100,23734
1752789193.961187,161080.000,24617,2,AK,1,100,RD
1752789193.975187,161094.000,24620,2,AK,1,100,24618
1752789193.989187,161108.000,24620,2,AK,1,100,RD
1752789196.529695,163648.500,25480,2,AK,1,100,24618
1752789199.070203,166189.000,25480,2,AK,1,100,RD
1752789199.075203,166194.000,25483,2,AK,1,100,25481
1752789199.080203,166199.000,25483,2,AK,1,100,RD
1752789201.648711,168767.500,26364,2,AK,1,100,25481
1752789204.217219,171336.000,26364,2,AK,1,100,RD
1752789204.222219,171341.000,26367,2,AK,1,100,26365
1752789204.227219,171346.000,26367,2,AK,1,100,RD
1752789206.775227,173894.000,27226,2,AK,1,100,26365
1752789209.323235,176442.000,27226,2,AK,1,100,RD
1752789209.328235,176447.000,27229,2,AK,1,100,27227
1752789209.333235,176452.000,27229,2,AK,1,100,RD
1752789211.901243,179020.000,28094,2,AK,1,100,27227
1752789214.469251,181588.000,28094,2,AK,1,100,RD
1752789214.476751,181595.500,28097,2,AK,1,100,28095
1752789214.484251,181603.000,28097,2,AK,1,100,RD
1752789217.030259,184149.000,28951,2,AK,1,100,28095
1752789219.576267,186695.000,28951,2,AK,1,100,RD
1752789222.133774,189252.500,29805,2,AK,1,100,28952
1752789224.691282,191810.000,29805,2,AK,1,100,RD
1752789224.692782,191811.500,29807,2,AK,1,100,28952
1752789224.694282,191813.000,29807,2,AK,1,100,RD
1752789224.705783,191824.500,29810,2,AK,1,100,29808
1752789224.717283,191836.000,29810,2,AK,1,100,RD
1752789227.258790,194377.500,30657,2,AK,1,100,29808
1752789229.800298,196919.000,30657,2,AK,1,100,RD
1752789229.805298,196924.000,30660,2,AK,1,100,30658
1752789229.810298,196929.000,30660,2,AK,1,100,RD
1752789232.373806,199492.500,31543,2,AK,1,100,30658
1752789234.937314,202056.000,31543,2,AK,1,100,RD
1752789234.947314,202066.000,31546,2,AK,1,100,31544
1752789234.957314,202076.000,31546,2,AK,1,100,RD
1752789237.502822,204621.500,32406,2,AK,1,100,31544
1752789240.048330,207167.000,32406,2,AK,1,100,RD
1752789242.614838,209733.500,33278,2,AK,1,100,32407
1752789245.181346,212300.000,33278,2,AK,1,100,RD
1752789245.182346,212301.000,33280,2,AK,1,100,32407
1752789245.183346,212302.000,33280,2,AK,1,100,RD
1752789245.188846,212307.500,33283,2,AK,1,100,33281
1752789245.194346,212313.000,33283,2,AK,1,100,RD
1752789247.748354,214867.000,34145,2,AK,1,100,33281
1752789250.302362,217421.000,34145,2,AK,1,100,RD
1752789250.308862,217427.500,34148,2,AK,1,100,34146
1752789250.315362,217434.000,34148,2,AK,1,100,RD
1752789252.868370,219987.000,35010,2,AK,1,100,34146
1752789255.421378,222540.000,35010,2,AK,1,100,RD
1752789255.435378,222554.000,35013,2,AK,1,100,35011
1752789255.449378,222568.000,35013,2,AK,1,100,RD
1752789258.003386,225122.000,35872,2,AK,1,100,35011
1752789260.557394,227676.000,35872,2,AK,1,100,RD
1752789260.571894,227690.500,35875,2,AK,1,100,35873
1752789260.586394,227705.000,35875,2,AK,1,100,RD
1752789263.125902,230244.500,36739,2,AK,1,100,35873
1752789265.665410,232784.000,36739,2,AK,1,100,RD
1752789265.671410,232790.000,36742,2,AK,1,100,36740
1752789265.677410,232796.000,36742,2,AK,1,100,RD
1752789268.230418,235349.000,37600,2,AK,1,100,36740
1752789270.783426,237902.000,37600,2,AK,1,100,RD
1752789270.788926,237907.500,37603,2,AK,1,100,37601
1752789270.794426,237913.000,37603,2,AK,1,100,RD
1752789273.348434,240467.000,38466,2,AK,1,100,37601
1752789275.902442,243021.000,38466,2,AK,1,100,RD
1752789275.907442,243026.000,38469,2,AK,1,100,38467
1752789275.912442,243031.000,38469,2,AK,1,100,RD
1752789278.465950,245584.500,39329,2,AK,1,100,38467
1752789281.019458,248138.000,39329,2,AK,1,100,RD
1752789281.025958,248144.500,39332,2,AK,1,100,39330
1752789281.032458,248151.000,39332,2,AK,1,100,RD
1752789283.587466,250706.000,40205,2,AK,1,100,39330
1752789286.142474,253261.000,40205,2,AK,1,100,RD
1752789286.158974,253277.500,40208,2,AK,1,100,40206
1752789286.175474,253294.000,40208,2,AK,1,100,RD
1752789288.718482,255837.000,41072,2,AK,1,100,40206
1752789291.261490,258380.000,41072,2,AK,1,100,RD
1752789291.266990,258385.500,41075,2,AK,1,100,41073
1752789291.272490,258391.000,41075,2,AK,1,100,RD
1752789293.821498,260940.000,41941,2,AK,1,100,41073
1752789296.370506,263489.000,41941,2,AK,1,100,RD
1752789296.375506,263494.000,41944,2,AK,1,100,41942
1752789296.380506,263499.000,41944,2,AK,1,100,RD
1752789298.939014,266057.500,42805,2,AK,1,100,41942
1752789301.497522,268616.000,42805,2,AK,1,100,RD
1752789301.504022,268622.500,42808,2,AK,1,100,42806
1752789301.510522,268629.000,42808,2,AK,1,100,RD
1752789304.067030,271185.500,43676,2,AK,1,100,42806
1752789306.623538,273742.000,43676,2,AK,1,100,RD
1752789306.633038,273751.500,43679,2,AK,1,100,43677
1752789306.642538,273761.000,43679,2,AK,1,100,RD
1752789309.190546,276309.000,44545,2,AK,1,100,43677
1752789311.738554,278857.000,44545,2,AK,1,100,RD
1752789311.750554,278869.000,44548,2,AK,1,100,44546
1752789311.762554,278881.000,44548,2,AK,1,100,RD
1752789314.308562,281427.000,45413,2,AK,1,100,44546
1752789316.854570,283973.000,45413,2,AK,1,100,RD
1752789316.876570,283995.000,45416,2,AK,1,100,45414
1752789316.898570,284017.000,45416,2,AK,1,100,RD
1752789319.438578,286557.000,46280,2,AK,1,100,45414
1752789321.978586,289097.000,46280,2,AK,1,100,RD
1752789321.983586,289102.000,46283,2,AK,1,100,46281
1752789321.988586,289107.000,46283,2,AK,1,100,RD
1752789324.542594,291661.000,47145,2,AK,1,100,46281
1752789327.096602,294215.000,47145,2,AK,1,100,RD
1752789327.109102,294227.500,47148,2,AK,1,100,47146
1752789327.121602,294240.000,47148,2,AK,1,100,RD
1752789329.673110,296791.500,48013,2,AK,1,100,47146
1752789332.224618,299343.000,48013,2,AK,1,100,RD
1752789332.231618,299350.000,48016,2,AK,1,100,48014
1752789332.238618,299357.000,48016,2,AK,1,100,RD
1752789334.794126,301912.500,48876,2,AK,1,100,48014
1752789337.349634,304468.000,48876,2,AK,1,100,RD
1752789337.355134,304473.500,48879,2,AK,1,100,48877
1752789337.360634,304479.000,48879,2,AK,1,100,RD
1752789339.913642,307032.000,49744,2,AK,1,100,48877
1752789342.466650,309585.000,49744,2,AK,1,100,RD
1752789342.477150,309595.500,49747,2,AK,1,100,49745
1752789342.487650,309606.000,49747,2,AK,1,100,RD
1752789345.038658,312157.000,50621,2,AK,1,100,49745
1752789347.589666,314708.000,50621,2,AK,1,100,RD
1752789347.607666,314726.000,50624,2,AK,1,100,50622
1752789347.625666,314744.000,50624,2,AK,1,100,RD
1752789350.172674,317291.000,51285,2,AK,1,100,50622
1752789352.719682,319838.000,51285,2,AK,1,100,RD
1752789352.740182,319858.500,51288,2,AK,1,100,51286
1752789352.760682,319879.000,51288,2,AK,1,100,RD
1752789355.302690,322421.000,52138,2,AK,1,100,51286
1752789357.844698,324963.000,52138,2,AK,1,100,RD
1752789357.851198,324969.500,52141,2,AK,1,100,52139
1752789357.857698,324976.000,52141,2,AK,1,100,RD
1752789360.409206,327527.500,53001,2,AK,1,100,52139
1752789362.960714,330079.000,53001,2,AK,1,100,RD
1752789362.966214,330084.500,53004,2,AK,1,100,53002
1752789362.971714,330090.000,53004,2,AK,1,100,RD
1752789365.531722,332650.000,53860,2,AK,1,100,53002
1752789368.091730,335210.000,53860,2,AK,1,100,RD
1752789368.097730,335216.000,53863,2,AK,1,100,53861
1752789368.103730,335222.000,53863,2,AK,1,100,RD
1752789370.656738,337775.000,54723,2,AK,1,100,53861
1752789373.209746,340328.000,54723,2,AK,1,100,RD
1752789373.216246,340334.500,54726,2,AK,1,100,54724
1752789373.222746,340341.000,54726,2,AK,1,100,RD
1752789375.775254,342893.500,55596,2,AK,1,100,54724
1752789378.327762,345446.000,55596,2,AK,1,100,RD
1752789378.339262,345457.500,55599,2,AK,1,100,55597
1752789378.350762,345469.000,55599,2,AK,1,100,RD
1752789380.897270,348015.500,56462,2,AK,1,100,55597
1752789383.443777,350562.000,56462,2,AK,1,100,RD
1752789383.451778,350570.000,56465,2,AK,1,100,56463
1752789383.459778,350578.000,56465,2,AK,1,100,RD
1752789386.013785,353132.000,57326,2,AK,1,100,56463
1752789388.567793,355686.000,57326,2,AK,1,100,RD
1752789388.574293,355692.500,57329,2,AK,1,100,57327
1752789388.580794,355699.000,57329,2,AK,1,100,RD
1752789391.135801,358254.000,58187,2,AK,1,100,57327
1752789393.690809,360809.000,58187,2,AK,1,100,RD
1752789396.250817,363369.000,59048,2,AK,1,100,58188
1752789398.810825,365929.000,59048,2,AK,1,100,RD
1752789398.811825,365930.000,59050,2,AK,1,100,58188
1752789398.812825,365931.000,59050,2,AK,1,100,RD
1752789398.818825,365937.000,59053,2,AK,1,100,59051
1752789398.824825,365943.000,59053,2,AK,1,100,RD
1752789401.376333,368494.500,59915,2,AK,1,100,59051
1752789403.927841,371046.000,59915,2,AK,1,100,RD
1752789403.937841,371056.000,59918,2,AK,1,100,59916
1752789403.947841,371066.000,59918,2,AK,1,100,RD
1752789406.503849,373622.000,60778,2,AK,1,100,59916
1752789409.059857,376178.000,60778,2,AK,1,100,RD
1752789409.066857,376185.000,60781,2,AK,1,100,60779
1752789409.073857,376192.000,60781,2,AK,1,100,RD
1752789411.626365,378744.500,61642,2,AK,1,100,60779
1752789414.178873,381297.000,61642,2,AK,1,100,RD
1752789414.185373,381303.500,61645,2,AK,1,100,61643
1752789414.191873,381310.000,61645,2,AK,1,100,RD
1752789416.745381,383863.500,62513,2,AK,1,100,61643
1752789419.298889,386417.000,62513,2,AK,1,100,RD
1752789419.305889,386424.000,62516,2,AK,1,100,62514
1752789419.312889,386431.000,62516,2,AK,1,100,RD
1752789421.868897,388987.000,63364,2,AK,1,100,62514
1752789424.424905,391543.000,63364,2,AK,1,100,RD
1752789424.431405,391549.500,63367,2,AK,1,100,63365
